date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2014-03-11,4.9,4.9,4.62,4.69,329000.0,5.0,5.0,4.75,4.84,315900.0,5.2,5.27,4.8,4.85,678300.0,4.75,5.05,4.63,4.8,1253900.0,4.1,4.58,3.91,4.5,2581400.0,4.94
2014-03-12,4.65,4.69,4.5,4.53,309400.0,4.9,4.9,4.62,4.69,329000.0,5.0,5.0,4.75,4.84,315900.0,5.2,5.27,4.8,4.85,678300.0,4.75,5.05,4.63,4.8,1253900.0,5.55
2014-03-13,4.59,4.76,4.53,4.7,130600.0,4.65,4.69,4.5,4.53,309400.0,4.9,4.9,4.62,4.69,329000.0,5.0,5.0,4.75,4.84,315900.0,5.2,5.27,4.8,4.85,678300.0,5.3
2014-03-14,4.77,5.0,4.75,4.85,121600.0,4.59,4.76,4.53,4.7,130600.0,4.65,4.69,4.5,4.53,309400.0,4.9,4.9,4.62,4.69,329000.0,5.0,5.0,4.75,4.84,315900.0,5.2
2014-03-17,4.95,4.95,4.82,4.88,439400.0,4.77,5.0,4.75,4.85,121600.0,4.59,4.76,4.53,4.7,130600.0,4.65,4.69,4.5,4.53,309400.0,4.9,4.9,4.62,4.69,329000.0,5.19
2014-03-18,4.94,5.05,4.86,4.9,661000.0,4.95,4.95,4.82,4.88,439400.0,4.77,5.0,4.75,4.85,121600.0,4.59,4.76,4.53,4.7,130600.0,4.65,4.69,4.5,4.53,309400.0,5.09
2014-03-19,5.05,5.05,4.88,4.94,199600.0,4.94,5.05,4.86,4.9,661000.0,4.95,4.95,4.82,4.88,439400.0,4.77,5.0,4.75,4.85,121600.0,4.59,4.76,4.53,4.7,130600.0,4.89
2014-03-20,5.12,5.85,5.11,5.55,2236700.0,5.05,5.05,4.88,4.94,199600.0,4.94,5.05,4.86,4.9,661000.0,4.95,4.95,4.82,4.88,439400.0,4.77,5.0,4.75,4.85,121600.0,5.0
2014-03-21,5.55,5.69,5.25,5.3,1567800.0,5.12,5.85,5.11,5.55,2236700.0,5.05,5.05,4.88,4.94,199600.0,4.94,5.05,4.86,4.9,661000.0,4.95,4.95,4.82,4.88,439400.0,5.28
2014-03-24,5.5,5.54,5.0,5.2,812800.0,5.55,5.69,5.25,5.3,1567800.0,5.12,5.85,5.11,5.55,2236700.0,5.05,5.05,4.88,4.94,199600.0,4.94,5.05,4.86,4.9,661000.0,5.49
2014-03-25,5.25,5.29,5.06,5.19,275700.0,5.5,5.54,5.0,5.2,812800.0,5.55,5.69,5.25,5.3,1567800.0,5.12,5.85,5.11,5.55,2236700.0,5.05,5.05,4.88,4.94,199600.0,5.6
2014-03-26,5.19,5.19,5.08,5.09,241300.0,5.25,5.29,5.06,5.19,275700.0,5.5,5.54,5.0,5.2,812800.0,5.55,5.69,5.25,5.3,1567800.0,5.12,5.85,5.11,5.55,2236700.0,6.23
2014-03-27,5.09,5.1,4.84,4.89,324400.0,5.19,5.19,5.08,5.09,241300.0,5.25,5.29,5.06,5.19,275700.0,5.5,5.54,5.0,5.2,812800.0,5.55,5.69,5.25,5.3,1567800.0,6.78
