date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2015-11-25,22.78,22.78,22.41,22.48,364500.0,23.0,23.01,22.6,22.74,900300.0,22.88,23.15,22.76,23.1,437700.0,22.55,22.85,22.5,22.73,536300.0,22.4,22.64,22.35,22.5,456600.0,22.1
2015-11-26,22.5,22.75,22.45,22.65,281600.0,22.78,22.78,22.41,22.48,364500.0,23.0,23.01,22.6,22.74,900300.0,22.88,23.15,22.76,23.1,437700.0,22.55,22.85,22.5,22.73,536300.0,22.3
2015-11-27,22.73,22.8,22.67,22.76,196500.0,22.5,22.75,22.45,22.65,281600.0,22.78,22.78,22.41,22.48,364500.0,23.0,23.01,22.6,22.74,900300.0,22.88,23.15,22.76,23.1,437700.0,22.12
2015-11-30,22.8,22.8,22.5,22.55,277300.0,22.73,22.8,22.67,22.76,196500.0,22.5,22.75,22.45,22.65,281600.0,22.78,22.78,22.41,22.48,364500.0,23.0,23.01,22.6,22.74,900300.0,21.53
2015-12-01,22.7,22.91,22.55,22.85,540300.0,22.8,22.8,22.5,22.55,277300.0,22.73,22.8,22.67,22.76,196500.0,22.5,22.75,22.45,22.65,281600.0,22.78,22.78,22.41,22.48,364500.0,21.64
2015-12-02,22.86,22.95,21.86,21.95,1223500.0,22.7,22.91,22.55,22.85,540300.0,22.8,22.8,22.5,22.55,277300.0,22.73,22.8,22.67,22.76,196500.0,22.5,22.75,22.45,22.65,281600.0,21.93
2015-12-03,21.9,22.48,21.9,22.1,890700.0,22.86,22.95,21.86,21.95,1223500.0,22.7,22.91,22.55,22.85,540300.0,22.8,22.8,22.5,22.55,277300.0,22.73,22.8,22.67,22.76,196500.0,21.8
2015-12-04,22.18,22.5,22.15,22.3,245700.0,21.9,22.48,21.9,22.1,890700.0,22.86,22.95,21.86,21.95,1223500.0,22.7,22.91,22.55,22.85,540300.0,22.8,22.8,22.5,22.55,277300.0,21.79
2015-12-07,22.38,22.39,22.0,22.12,279600.0,22.18,22.5,22.15,22.3,245700.0,21.9,22.48,21.9,22.1,890700.0,22.86,22.95,21.86,21.95,1223500.0,22.7,22.91,22.55,22.85,540300.0,21.9
2015-12-08,22.1,22.11,21.53,21.53,597100.0,22.38,22.39,22.0,22.12,279600.0,22.18,22.5,22.15,22.3,245700.0,21.9,22.48,21.9,22.1,890700.0,22.86,22.95,21.86,21.95,1223500.0,22.19
