date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,10.1,10.3,10.1,10.15,64600.0,10.45,10.45,10.0,10.05,61500.0,10.4,10.5,10.3,10.4,46600.0,10.7,10.7,10.4,10.4,43300.0,10.75,10.75,10.6,10.6,42300.0,10.6
2000-01-13,10.15,10.3,10.15,10.25,29300.0,10.1,10.3,10.1,10.15,64600.0,10.45,10.45,10.0,10.05,61500.0,10.4,10.5,10.3,10.4,46600.0,10.7,10.7,10.4,10.4,43300.0,10.45
2000-01-14,10.25,10.35,10.25,10.35,54400.0,10.15,10.3,10.15,10.25,29300.0,10.1,10.3,10.1,10.15,64600.0,10.45,10.45,10.0,10.05,61500.0,10.4,10.5,10.3,10.4,46600.0,10.25
2000-01-17,10.35,10.5,10.25,10.45,40600.0,10.25,10.35,10.25,10.35,54400.0,10.15,10.3,10.15,10.25,29300.0,10.1,10.3,10.1,10.15,64600.0,10.45,10.45,10.0,10.05,61500.0,10.1
2000-01-18,10.45,10.45,10.4,10.45,27800.0,10.35,10.5,10.25,10.45,40600.0,10.25,10.35,10.25,10.35,54400.0,10.15,10.3,10.15,10.25,29300.0,10.1,10.3,10.1,10.15,64600.0,10.25
2000-01-19,10.4,10.6,10.4,10.6,93200.0,10.45,10.45,10.4,10.45,27800.0,10.35,10.5,10.25,10.45,40600.0,10.25,10.35,10.25,10.35,54400.0,10.15,10.3,10.15,10.25,29300.0,10.15
2000-01-20,10.65,10.65,10.4,10.6,25200.0,10.4,10.6,10.4,10.6,93200.0,10.45,10.45,10.4,10.45,27800.0,10.35,10.5,10.25,10.45,40600.0,10.25,10.35,10.25,10.35,54400.0,10.3
2000-01-21,10.65,10.7,10.45,10.45,35900.0,10.65,10.65,10.4,10.6,25200.0,10.4,10.6,10.4,10.6,93200.0,10.45,10.45,10.4,10.45,27800.0,10.35,10.5,10.25,10.45,40600.0,10.25
2000-01-24,10.5,10.6,10.1,10.25,50000.0,10.65,10.7,10.45,10.45,35900.0,10.65,10.65,10.4,10.6,25200.0,10.4,10.6,10.4,10.6,93200.0,10.45,10.45,10.4,10.45,27800.0,10.1
2000-01-25,10.3,10.35,10.0,10.1,74000.0,10.5,10.6,10.1,10.25,50000.0,10.65,10.7,10.45,10.45,35900.0,10.65,10.65,10.4,10.6,25200.0,10.4,10.6,10.4,10.6,93200.0,10.15
