date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,6.375,6.625,6.2,6.525,1282400.0,6.7,6.7,6.225,6.275,1857000.0,6.9,6.9,6.6,6.6,2016200.0,7.175,7.175,6.7,6.925,2374000.0,7.15,7.275,7.05,7.175,3900600.0,8.05
2000-01-13,6.5,6.85,6.45,6.8,3851200.0,6.375,6.625,6.2,6.525,1282400.0,6.7,6.7,6.225,6.275,1857000.0,6.9,6.9,6.6,6.6,2016200.0,7.175,7.175,6.7,6.925,2374000.0,7.75
2000-01-14,6.925,7.4,6.75,6.875,3613000.0,6.5,6.85,6.45,6.8,3851200.0,6.375,6.625,6.2,6.525,1282400.0,6.7,6.7,6.225,6.275,1857000.0,6.9,6.9,6.6,6.6,2016200.0,7.425
2000-01-17,7.125,7.725,7.125,7.55,2281400.0,6.925,7.4,6.75,6.875,3613000.0,6.5,6.85,6.45,6.8,3851200.0,6.375,6.625,6.2,6.525,1282400.0,6.7,6.7,6.225,6.275,1857000.0,7.25
2000-01-18,7.75,8.425,7.6,8.275,4986000.0,7.125,7.725,7.125,7.55,2281400.0,6.925,7.4,6.75,6.875,3613000.0,6.5,6.85,6.45,6.8,3851200.0,6.375,6.625,6.2,6.525,1282400.0,7.275
2000-01-19,8.35,8.425,8.15,8.25,2011200.0,7.75,8.425,7.6,8.275,4986000.0,7.125,7.725,7.125,7.55,2281400.0,6.925,7.4,6.75,6.875,3613000.0,6.5,6.85,6.45,6.8,3851200.0,7.225
2000-01-20,8.3,8.3,7.925,8.05,1201200.0,8.35,8.425,8.15,8.25,2011200.0,7.75,8.425,7.6,8.275,4986000.0,7.125,7.725,7.125,7.55,2281400.0,6.925,7.4,6.75,6.875,3613000.0,7.15
2000-01-21,8.05,8.175,7.725,7.75,1331000.0,8.3,8.3,7.925,8.05,1201200.0,8.35,8.425,8.15,8.25,2011200.0,7.75,8.425,7.6,8.275,4986000.0,7.125,7.725,7.125,7.55,2281400.0,6.825
2000-01-24,7.875,7.875,7.125,7.425,1255800.0,8.05,8.175,7.725,7.75,1331000.0,8.3,8.3,7.925,8.05,1201200.0,8.35,8.425,8.15,8.25,2011200.0,7.75,8.425,7.6,8.275,4986000.0,7.0
2000-01-25,7.425,7.575,6.875,7.25,480200.0,7.875,7.875,7.125,7.425,1255800.0,8.05,8.175,7.725,7.75,1331000.0,8.3,8.3,7.925,8.05,1201200.0,8.35,8.425,8.15,8.25,2011200.0,6.925
2000-01-26,7.5,7.575,7.25,7.275,598800.0,7.425,7.575,6.875,7.25,480200.0,7.875,7.875,7.125,7.425,1255800.0,8.05,8.175,7.725,7.75,1331000.0,8.3,8.3,7.925,8.05,1201200.0,6.75
2000-01-27,7.3,7.35,7.0,7.225,541800.0,7.5,7.575,7.25,7.275,598800.0,7.425,7.575,6.875,7.25,480200.0,7.875,7.875,7.125,7.425,1255800.0,8.05,8.175,7.725,7.75,1331000.0,6.775
2000-01-28,7.225,7.25,7.125,7.15,355200.0,7.3,7.35,7.0,7.225,541800.0,7.5,7.575,7.25,7.275,598800.0,7.425,7.575,6.875,7.25,480200.0,7.875,7.875,7.125,7.425,1255800.0,6.95
2000-01-31,7.125,7.3,6.825,6.825,597000.0,7.225,7.25,7.125,7.15,355200.0,7.3,7.35,7.0,7.225,541800.0,7.5,7.575,7.25,7.275,598800.0,7.425,7.575,6.875,7.25,480200.0,6.775
