date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-02-18,8.125,8.2,8.125,8.15,1821400.0,8.2,8.25,8.0,8.125,775600.0,8.325,8.35,8.025,8.2,551600.0,8.5,8.5,8.25,8.325,693600.0,8.575,8.575,8.4,8.5,310400.0,8.125
2000-02-21,8.15,8.25,8.15,8.15,1817400.0,8.125,8.2,8.125,8.15,1821400.0,8.2,8.25,8.0,8.125,775600.0,8.325,8.35,8.025,8.2,551600.0,8.5,8.5,8.25,8.325,693600.0,8.2
2000-02-22,8.15,8.15,8.1,8.1,1097600.0,8.15,8.25,8.15,8.15,1817400.0,8.125,8.2,8.125,8.15,1821400.0,8.2,8.25,8.0,8.125,775600.0,8.325,8.35,8.025,8.2,551600.0,8.15
2000-02-23,8.1,8.1,7.875,8.0,2327000.0,8.15,8.15,8.1,8.1,1097600.0,8.15,8.25,8.15,8.15,1817400.0,8.125,8.2,8.125,8.15,1821400.0,8.2,8.25,8.0,8.125,775600.0,8.175
2000-02-24,7.875,7.975,7.8,7.9,1090000.0,8.1,8.1,7.875,8.0,2327000.0,8.15,8.15,8.1,8.1,1097600.0,8.15,8.25,8.15,8.15,1817400.0,8.125,8.2,8.125,8.15,1821400.0,8.3
2000-02-25,7.875,7.925,7.875,7.925,25800.0,7.875,7.975,7.8,7.9,1090000.0,8.1,8.1,7.875,8.0,2327000.0,8.15,8.15,8.1,8.1,1097600.0,8.15,8.25,8.15,8.15,1817400.0,8.5
2000-02-28,7.95,8.125,7.9,8.125,55000.0,7.875,7.925,7.875,7.925,25800.0,7.875,7.975,7.8,7.9,1090000.0,8.1,8.1,7.875,8.0,2327000.0,8.15,8.15,8.1,8.1,1097600.0,8.55
2000-02-29,8.15,8.225,8.0,8.2,641000.0,7.95,8.125,7.9,8.125,55000.0,7.875,7.925,7.875,7.925,25800.0,7.875,7.975,7.8,7.9,1090000.0,8.1,8.1,7.875,8.0,2327000.0,8.55
2000-03-01,8.125,8.15,8.025,8.15,592400.0,8.15,8.225,8.0,8.2,641000.0,7.95,8.125,7.9,8.125,55000.0,7.875,7.925,7.875,7.925,25800.0,7.875,7.975,7.8,7.9,1090000.0,8.6
2000-03-02,8.125,8.25,8.125,8.175,328200.0,8.125,8.15,8.025,8.15,592400.0,8.15,8.225,8.0,8.2,641000.0,7.95,8.125,7.9,8.125,55000.0,7.875,7.925,7.875,7.925,25800.0,8.65
2000-03-03,8.25,8.3,8.25,8.3,149800.0,8.125,8.25,8.125,8.175,328200.0,8.125,8.15,8.025,8.15,592400.0,8.15,8.225,8.0,8.2,641000.0,7.95,8.125,7.9,8.125,55000.0,8.625
2000-03-06,8.45,8.7,8.45,8.5,831000.0,8.25,8.3,8.25,8.3,149800.0,8.125,8.25,8.125,8.175,328200.0,8.125,8.15,8.025,8.15,592400.0,8.15,8.225,8.0,8.2,641000.0,8.625
2000-03-07,8.5,8.6,8.45,8.55,670400.0,8.45,8.7,8.45,8.5,831000.0,8.25,8.3,8.25,8.3,149800.0,8.125,8.25,8.125,8.175,328200.0,8.125,8.15,8.025,8.15,592400.0,8.65
2000-03-08,8.7,8.7,8.5,8.55,664800.0,8.5,8.6,8.45,8.55,670400.0,8.45,8.7,8.45,8.5,831000.0,8.25,8.3,8.25,8.3,149800.0,8.125,8.25,8.125,8.175,328200.0,8.7
2000-03-09,8.525,8.6,8.5,8.6,81000.0,8.7,8.7,8.5,8.55,664800.0,8.5,8.6,8.45,8.55,670400.0,8.45,8.7,8.45,8.5,831000.0,8.25,8.3,8.25,8.3,149800.0,8.95
2000-03-10,8.45,8.65,8.45,8.65,719000.0,8.525,8.6,8.5,8.6,81000.0,8.7,8.7,8.5,8.55,664800.0,8.5,8.6,8.45,8.55,670400.0,8.45,8.7,8.45,8.5,831000.0,8.975
2000-03-13,8.5,8.625,8.45,8.625,329800.0,8.45,8.65,8.45,8.65,719000.0,8.525,8.6,8.5,8.6,81000.0,8.7,8.7,8.5,8.55,664800.0,8.5,8.6,8.45,8.55,670400.0,9.0
2000-03-14,8.55,8.7,8.55,8.625,337800.0,8.5,8.625,8.45,8.625,329800.0,8.45,8.65,8.45,8.65,719000.0,8.525,8.6,8.5,8.6,81000.0,8.7,8.7,8.5,8.55,664800.0,8.9
2000-03-15,8.625,8.675,8.625,8.65,161600.0,8.55,8.7,8.55,8.625,337800.0,8.5,8.625,8.45,8.625,329800.0,8.45,8.65,8.45,8.65,719000.0,8.525,8.6,8.5,8.6,81000.0,8.925
2000-03-16,8.625,8.75,8.625,8.7,143600.0,8.625,8.675,8.625,8.65,161600.0,8.55,8.7,8.55,8.625,337800.0,8.5,8.625,8.45,8.625,329800.0,8.45,8.65,8.45,8.65,719000.0,8.875
2000-03-17,8.75,8.95,8.65,8.95,458800.0,8.625,8.75,8.625,8.7,143600.0,8.625,8.675,8.625,8.65,161600.0,8.55,8.7,8.55,8.625,337800.0,8.5,8.625,8.45,8.625,329800.0,8.875
2000-03-20,9.25,9.25,8.975,8.975,229200.0,8.75,8.95,8.65,8.95,458800.0,8.625,8.75,8.625,8.7,143600.0,8.625,8.675,8.625,8.65,161600.0,8.55,8.7,8.55,8.625,337800.0,9.1
2000-03-21,9.0,9.1,8.95,9.0,447400.0,9.25,9.25,8.975,8.975,229200.0,8.75,8.95,8.65,8.95,458800.0,8.625,8.75,8.625,8.7,143600.0,8.625,8.675,8.625,8.65,161600.0,9.325
2000-03-22,9.05,9.05,8.75,8.9,113000.0,9.0,9.1,8.95,9.0,447400.0,9.25,9.25,8.975,8.975,229200.0,8.75,8.95,8.65,8.95,458800.0,8.625,8.75,8.625,8.7,143600.0,9.5
2000-03-23,8.8,8.95,8.8,8.925,184200.0,9.05,9.05,8.75,8.9,113000.0,9.0,9.1,8.95,9.0,447400.0,9.25,9.25,8.975,8.975,229200.0,8.75,8.95,8.65,8.95,458800.0,9.55
2000-03-24,8.925,9.0,8.75,8.875,265200.0,8.8,8.95,8.8,8.925,184200.0,9.05,9.05,8.75,8.9,113000.0,9.0,9.1,8.95,9.0,447400.0,9.25,9.25,8.975,8.975,229200.0,9.5
2000-03-27,8.75,8.95,8.75,8.875,51600.0,8.925,9.0,8.75,8.875,265200.0,8.8,8.95,8.8,8.925,184200.0,9.05,9.05,8.75,8.9,113000.0,9.0,9.1,8.95,9.0,447400.0,9.625
2000-03-28,8.875,9.1,8.875,9.1,621400.0,8.75,8.95,8.75,8.875,51600.0,8.925,9.0,8.75,8.875,265200.0,8.8,8.95,8.8,8.925,184200.0,9.05,9.05,8.75,8.9,113000.0,9.675
2000-03-29,9.25,9.8,9.125,9.325,656800.0,8.875,9.1,8.875,9.1,621400.0,8.75,8.95,8.75,8.875,51600.0,8.925,9.0,8.75,8.875,265200.0,8.8,8.95,8.8,8.925,184200.0,9.8
2000-03-30,9.375,9.5,9.25,9.5,2296800.0,9.25,9.8,9.125,9.325,656800.0,8.875,9.1,8.875,9.1,621400.0,8.75,8.95,8.75,8.875,51600.0,8.925,9.0,8.75,8.875,265200.0,10.0
2000-03-31,9.5,9.625,9.425,9.55,292800.0,9.375,9.5,9.25,9.5,2296800.0,9.25,9.8,9.125,9.325,656800.0,8.875,9.1,8.875,9.1,621400.0,8.75,8.95,8.75,8.875,51600.0,9.85
2000-04-03,9.625,9.625,9.5,9.5,80600.0,9.5,9.625,9.425,9.55,292800.0,9.375,9.5,9.25,9.5,2296800.0,9.25,9.8,9.125,9.325,656800.0,8.875,9.1,8.875,9.1,621400.0,10.125
2000-04-04,9.625,9.625,9.5,9.625,457400.0,9.625,9.625,9.5,9.5,80600.0,9.5,9.625,9.425,9.55,292800.0,9.375,9.5,9.25,9.5,2296800.0,9.25,9.8,9.125,9.325,656800.0,10.5
2000-04-05,9.575,9.675,9.5,9.675,78800.0,9.625,9.625,9.5,9.625,457400.0,9.625,9.625,9.5,9.5,80600.0,9.5,9.625,9.425,9.55,292800.0,9.375,9.5,9.25,9.5,2296800.0,10.95
2000-04-06,9.75,9.85,9.625,9.8,82200.0,9.575,9.675,9.5,9.675,78800.0,9.625,9.625,9.5,9.625,457400.0,9.625,9.625,9.5,9.5,80600.0,9.5,9.625,9.425,9.55,292800.0,10.5
2000-04-07,10.0,10.05,9.8,10.0,542200.0,9.75,9.85,9.625,9.8,82200.0,9.575,9.675,9.5,9.675,78800.0,9.625,9.625,9.5,9.625,457400.0,9.625,9.625,9.5,9.5,80600.0,10.375
2000-04-10,10.0,10.0,9.85,9.85,66400.0,10.0,10.05,9.8,10.0,542200.0,9.75,9.85,9.625,9.8,82200.0,9.575,9.675,9.5,9.675,78800.0,9.625,9.625,9.5,9.625,457400.0,10.25
2000-04-11,9.925,10.25,9.9,10.125,286600.0,10.0,10.0,9.85,9.85,66400.0,10.0,10.05,9.8,10.0,542200.0,9.75,9.85,9.625,9.8,82200.0,9.575,9.675,9.5,9.675,78800.0,10.25
2000-04-12,10.375,10.75,10.35,10.5,528600.0,9.925,10.25,9.9,10.125,286600.0,10.0,10.0,9.85,9.85,66400.0,10.0,10.05,9.8,10.0,542200.0,9.75,9.85,9.625,9.8,82200.0,10.25
2000-04-13,10.5,11.25,10.5,10.95,370800.0,10.375,10.75,10.35,10.5,528600.0,9.925,10.25,9.9,10.125,286600.0,10.0,10.0,9.85,9.85,66400.0,10.0,10.05,9.8,10.0,542200.0,0.0
2000-04-14,11.025,11.025,10.5,10.5,206800.0,10.5,11.25,10.5,10.95,370800.0,10.375,10.75,10.35,10.5,528600.0,9.925,10.25,9.9,10.125,286600.0,10.0,10.0,9.85,9.85,66400.0,10.075
2000-04-17,10.5,10.625,10.0,10.375,262200.0,11.025,11.025,10.5,10.5,206800.0,10.5,11.25,10.5,10.95,370800.0,10.375,10.75,10.35,10.5,528600.0,9.925,10.25,9.9,10.125,286600.0,10.15
2000-04-18,10.25,10.575,10.25,10.25,129400.0,10.5,10.625,10.0,10.375,262200.0,11.025,11.025,10.5,10.5,206800.0,10.5,11.25,10.5,10.95,370800.0,10.375,10.75,10.35,10.5,528600.0,10.25
2000-04-19,10.25,10.4,10.25,10.25,273200.0,10.25,10.575,10.25,10.25,129400.0,10.5,10.625,10.0,10.375,262200.0,11.025,11.025,10.5,10.5,206800.0,10.5,11.25,10.5,10.95,370800.0,10.25
2000-04-20,10.225,10.25,10.0,10.25,1338200.0,10.25,10.4,10.25,10.25,273200.0,10.25,10.575,10.25,10.25,129400.0,10.5,10.625,10.0,10.375,262200.0,11.025,11.025,10.5,10.5,206800.0,10.25
2000-04-21,0.0,0.0,0.0,0.0,0.0,10.225,10.25,10.0,10.25,1338200.0,10.25,10.4,10.25,10.25,273200.0,10.25,10.575,10.25,10.25,129400.0,10.5,10.625,10.0,10.375,262200.0,10.325
2000-04-24,10.5,10.5,10.075,10.075,85600.0,0.0,0.0,0.0,0.0,0.0,10.225,10.25,10.0,10.25,1338200.0,10.25,10.4,10.25,10.25,273200.0,10.25,10.575,10.25,10.25,129400.0,10.5
