date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,5.25,5.25,5.15,5.2,118000.0,5.4,5.4,5.2,5.2,300500.0,5.5,5.5,5.15,5.35,895800.0,4.65,4.75,4.5,4.75,98800.0,4.25,4.7,4.25,4.55,100800.0,5.05
2000-01-13,5.2,5.2,5.05,5.15,76800.0,5.25,5.25,5.15,5.2,118000.0,5.4,5.4,5.2,5.2,300500.0,5.5,5.5,5.15,5.35,895800.0,4.65,4.75,4.5,4.75,98800.0,5.0
2000-01-14,5.2,5.45,5.15,5.15,186700.0,5.2,5.2,5.05,5.15,76800.0,5.25,5.25,5.15,5.2,118000.0,5.4,5.4,5.2,5.2,300500.0,5.5,5.5,5.15,5.35,895800.0,4.85
2000-01-17,5.2,5.45,5.1,5.45,87700.0,5.2,5.45,5.15,5.15,186700.0,5.2,5.2,5.05,5.15,76800.0,5.25,5.25,5.15,5.2,118000.0,5.4,5.4,5.2,5.2,300500.0,4.55
2000-01-18,5.5,5.5,5.35,5.35,102700.0,5.2,5.45,5.1,5.45,87700.0,5.2,5.45,5.15,5.15,186700.0,5.2,5.2,5.05,5.15,76800.0,5.25,5.25,5.15,5.2,118000.0,4.5
2000-01-19,5.3,5.35,5.2,5.3,47100.0,5.5,5.5,5.35,5.35,102700.0,5.2,5.45,5.1,5.45,87700.0,5.2,5.45,5.15,5.15,186700.0,5.2,5.2,5.05,5.15,76800.0,4.78
2000-01-20,5.3,5.3,5.05,5.05,89600.0,5.3,5.35,5.2,5.3,47100.0,5.5,5.5,5.35,5.35,102700.0,5.2,5.45,5.1,5.45,87700.0,5.2,5.45,5.15,5.15,186700.0,4.85
2000-01-21,5.15,5.15,5.0,5.0,288900.0,5.3,5.3,5.05,5.05,89600.0,5.3,5.35,5.2,5.3,47100.0,5.5,5.5,5.35,5.35,102700.0,5.2,5.45,5.1,5.45,87700.0,4.95
2000-01-24,4.95,4.95,4.75,4.85,146100.0,5.15,5.15,5.0,5.0,288900.0,5.3,5.3,5.05,5.05,89600.0,5.3,5.35,5.2,5.3,47100.0,5.5,5.5,5.35,5.35,102700.0,4.9
2000-01-25,4.56,4.8,4.5,4.55,346500.0,4.95,4.95,4.75,4.85,146100.0,5.15,5.15,5.0,5.0,288900.0,5.3,5.3,5.05,5.05,89600.0,5.3,5.35,5.2,5.3,47100.0,4.9
2000-01-26,4.6,4.75,4.2,4.5,187400.0,4.56,4.8,4.5,4.55,346500.0,4.95,4.95,4.75,4.85,146100.0,5.15,5.15,5.0,5.0,288900.0,5.3,5.3,5.05,5.05,89600.0,4.95
2000-01-27,4.7,4.85,4.5,4.78,49900.0,4.6,4.75,4.2,4.5,187400.0,4.56,4.8,4.5,4.55,346500.0,4.95,4.95,4.75,4.85,146100.0,5.15,5.15,5.0,5.0,288900.0,4.7
2000-01-28,4.85,5.05,4.8,4.85,57200.0,4.7,4.85,4.5,4.78,49900.0,4.6,4.75,4.2,4.5,187400.0,4.56,4.8,4.5,4.55,346500.0,4.95,4.95,4.75,4.85,146100.0,4.7
2000-01-31,5.0,5.0,4.85,4.95,22300.0,4.85,5.05,4.8,4.85,57200.0,4.7,4.85,4.5,4.78,49900.0,4.6,4.75,4.2,4.5,187400.0,4.56,4.8,4.5,4.55,346500.0,4.45
2000-02-01,5.1,5.1,4.8,4.9,31200.0,5.0,5.0,4.85,4.95,22300.0,4.85,5.05,4.8,4.85,57200.0,4.7,4.85,4.5,4.78,49900.0,4.6,4.75,4.2,4.5,187400.0,4.6
2000-02-02,4.5,4.9,4.5,4.9,11700.0,5.1,5.1,4.8,4.9,31200.0,5.0,5.0,4.85,4.95,22300.0,4.85,5.05,4.8,4.85,57200.0,4.7,4.85,4.5,4.78,49900.0,4.35
2000-02-03,4.85,4.95,4.8,4.95,16200.0,4.5,4.9,4.5,4.9,11700.0,5.1,5.1,4.8,4.9,31200.0,5.0,5.0,4.85,4.95,22300.0,4.85,5.05,4.8,4.85,57200.0,4.4
2000-02-04,4.75,4.8,4.65,4.7,28100.0,4.85,4.95,4.8,4.95,16200.0,4.5,4.9,4.5,4.9,11700.0,5.1,5.1,4.8,4.9,31200.0,5.0,5.0,4.85,4.95,22300.0,4.45
2000-02-07,4.6,4.7,4.55,4.7,35800.0,4.75,4.8,4.65,4.7,28100.0,4.85,4.95,4.8,4.95,16200.0,4.5,4.9,4.5,4.9,11700.0,5.1,5.1,4.8,4.9,31200.0,4.6
2000-02-08,4.6,4.8,4.4,4.45,163000.0,4.6,4.7,4.55,4.7,35800.0,4.75,4.8,4.65,4.7,28100.0,4.85,4.95,4.8,4.95,16200.0,4.5,4.9,4.5,4.9,11700.0,4.5
2000-02-09,4.7,4.7,4.25,4.6,189900.0,4.6,4.8,4.4,4.45,163000.0,4.6,4.7,4.55,4.7,35800.0,4.75,4.8,4.65,4.7,28100.0,4.85,4.95,4.8,4.95,16200.0,4.47
2000-02-10,4.6,4.65,4.35,4.35,15600.0,4.7,4.7,4.25,4.6,189900.0,4.6,4.8,4.4,4.45,163000.0,4.6,4.7,4.55,4.7,35800.0,4.75,4.8,4.65,4.7,28100.0,4.25
2000-02-11,4.65,4.65,4.31,4.4,778700.0,4.6,4.65,4.35,4.35,15600.0,4.7,4.7,4.25,4.6,189900.0,4.6,4.8,4.4,4.45,163000.0,4.6,4.7,4.55,4.7,35800.0,4.16
2000-02-14,4.4,4.5,4.37,4.45,47000.0,4.65,4.65,4.31,4.4,778700.0,4.6,4.65,4.35,4.35,15600.0,4.7,4.7,4.25,4.6,189900.0,4.6,4.8,4.4,4.45,163000.0,4.05
2000-02-15,4.5,4.74,4.45,4.6,465700.0,4.4,4.5,4.37,4.45,47000.0,4.65,4.65,4.31,4.4,778700.0,4.6,4.65,4.35,4.35,15600.0,4.7,4.7,4.25,4.6,189900.0,4.15
2000-02-16,4.6,4.6,4.5,4.5,48100.0,4.5,4.74,4.45,4.6,465700.0,4.4,4.5,4.37,4.45,47000.0,4.65,4.65,4.31,4.4,778700.0,4.6,4.65,4.35,4.35,15600.0,4.07
2000-02-17,4.71,4.71,4.45,4.47,29900.0,4.6,4.6,4.5,4.5,48100.0,4.5,4.74,4.45,4.6,465700.0,4.4,4.5,4.37,4.45,47000.0,4.65,4.65,4.31,4.4,778700.0,4.25
2000-02-18,4.5,4.5,4.25,4.25,46300.0,4.71,4.71,4.45,4.47,29900.0,4.6,4.6,4.5,4.5,48100.0,4.5,4.74,4.45,4.6,465700.0,4.4,4.5,4.37,4.45,47000.0,4.4
2000-02-21,4.35,4.35,4.16,4.16,63400.0,4.5,4.5,4.25,4.25,46300.0,4.71,4.71,4.45,4.47,29900.0,4.6,4.6,4.5,4.5,48100.0,4.5,4.74,4.45,4.6,465700.0,4.25
2000-02-22,4.58,4.58,4.05,4.05,162100.0,4.35,4.35,4.16,4.16,63400.0,4.5,4.5,4.25,4.25,46300.0,4.71,4.71,4.45,4.47,29900.0,4.6,4.6,4.5,4.5,48100.0,4.15
2000-02-23,4.1,4.3,4.0,4.15,125700.0,4.58,4.58,4.05,4.05,162100.0,4.35,4.35,4.16,4.16,63400.0,4.5,4.5,4.25,4.25,46300.0,4.71,4.71,4.45,4.47,29900.0,4.2
2000-02-24,4.01,4.25,4.01,4.07,18300.0,4.1,4.3,4.0,4.15,125700.0,4.58,4.58,4.05,4.05,162100.0,4.35,4.35,4.16,4.16,63400.0,4.5,4.5,4.25,4.25,46300.0,4.1
2000-02-25,4.05,4.4,4.05,4.25,33300.0,4.01,4.25,4.01,4.07,18300.0,4.1,4.3,4.0,4.15,125700.0,4.58,4.58,4.05,4.05,162100.0,4.35,4.35,4.16,4.16,63400.0,3.92
2000-02-28,4.4,4.4,4.15,4.4,18300.0,4.05,4.4,4.05,4.25,33300.0,4.01,4.25,4.01,4.07,18300.0,4.1,4.3,4.0,4.15,125700.0,4.58,4.58,4.05,4.05,162100.0,3.92
2000-02-29,4.5,4.5,4.2,4.25,244300.0,4.4,4.4,4.15,4.4,18300.0,4.05,4.4,4.05,4.25,33300.0,4.01,4.25,4.01,4.07,18300.0,4.1,4.3,4.0,4.15,125700.0,3.85
2000-03-01,4.2,4.3,4.1,4.15,87800.0,4.5,4.5,4.2,4.25,244300.0,4.4,4.4,4.15,4.4,18300.0,4.05,4.4,4.05,4.25,33300.0,4.01,4.25,4.01,4.07,18300.0,3.87
2000-03-02,4.15,4.3,4.15,4.2,26000.0,4.2,4.3,4.1,4.15,87800.0,4.5,4.5,4.2,4.25,244300.0,4.4,4.4,4.15,4.4,18300.0,4.05,4.4,4.05,4.25,33300.0,3.85
2000-03-03,4.2,4.2,4.1,4.1,55100.0,4.15,4.3,4.15,4.2,26000.0,4.2,4.3,4.1,4.15,87800.0,4.5,4.5,4.2,4.25,244300.0,4.4,4.4,4.15,4.4,18300.0,4.1
2000-03-06,4.1,4.1,3.9,3.92,82700.0,4.2,4.2,4.1,4.1,55100.0,4.15,4.3,4.15,4.2,26000.0,4.2,4.3,4.1,4.15,87800.0,4.5,4.5,4.2,4.25,244300.0,4.15
2000-03-07,3.92,3.97,3.85,3.92,62100.0,4.1,4.1,3.9,3.92,82700.0,4.2,4.2,4.1,4.1,55100.0,4.15,4.3,4.15,4.2,26000.0,4.2,4.3,4.1,4.15,87800.0,4.3
2000-03-08,3.95,3.95,3.8,3.85,74600.0,3.92,3.97,3.85,3.92,62100.0,4.1,4.1,3.9,3.92,82700.0,4.2,4.2,4.1,4.1,55100.0,4.15,4.3,4.15,4.2,26000.0,4.3
2000-03-09,3.85,4.1,3.85,3.87,42400.0,3.95,3.95,3.8,3.85,74600.0,3.92,3.97,3.85,3.92,62100.0,4.1,4.1,3.9,3.92,82700.0,4.2,4.2,4.1,4.1,55100.0,4.51
2000-03-10,3.95,4.0,3.85,3.85,75300.0,3.85,4.1,3.85,3.87,42400.0,3.95,3.95,3.8,3.85,74600.0,3.92,3.97,3.85,3.92,62100.0,4.1,4.1,3.9,3.92,82700.0,4.7
2000-03-13,3.8,4.1,3.8,4.1,28900.0,3.95,4.0,3.85,3.85,75300.0,3.85,4.1,3.85,3.87,42400.0,3.95,3.95,3.8,3.85,74600.0,3.92,3.97,3.85,3.92,62100.0,4.7
2000-03-14,4.02,4.15,4.0,4.15,14800.0,3.8,4.1,3.8,4.1,28900.0,3.95,4.0,3.85,3.85,75300.0,3.85,4.1,3.85,3.87,42400.0,3.95,3.95,3.8,3.85,74600.0,4.95
2000-03-15,4.15,4.4,4.15,4.3,27700.0,4.02,4.15,4.0,4.15,14800.0,3.8,4.1,3.8,4.1,28900.0,3.95,4.0,3.85,3.85,75300.0,3.85,4.1,3.85,3.87,42400.0,4.97
2000-03-16,4.35,4.45,4.25,4.3,181900.0,4.15,4.4,4.15,4.3,27700.0,4.02,4.15,4.0,4.15,14800.0,3.8,4.1,3.8,4.1,28900.0,3.95,4.0,3.85,3.85,75300.0,4.8
2000-03-17,4.3,4.51,4.3,4.51,60700.0,4.35,4.45,4.25,4.3,181900.0,4.15,4.4,4.15,4.3,27700.0,4.02,4.15,4.0,4.15,14800.0,3.8,4.1,3.8,4.1,28900.0,4.7
2000-03-20,4.6,4.7,4.5,4.7,61100.0,4.3,4.51,4.3,4.51,60700.0,4.35,4.45,4.25,4.3,181900.0,4.15,4.4,4.15,4.3,27700.0,4.02,4.15,4.0,4.15,14800.0,4.4
2000-03-21,4.7,4.75,4.65,4.7,134400.0,4.6,4.7,4.5,4.7,61100.0,4.3,4.51,4.3,4.51,60700.0,4.35,4.45,4.25,4.3,181900.0,4.15,4.4,4.15,4.3,27700.0,4.3
2000-03-22,4.75,5.1,4.75,4.95,632700.0,4.7,4.75,4.65,4.7,134400.0,4.6,4.7,4.5,4.7,61100.0,4.3,4.51,4.3,4.51,60700.0,4.35,4.45,4.25,4.3,181900.0,4.25
2000-03-23,4.95,5.0,4.85,4.97,66800.0,4.75,5.1,4.75,4.95,632700.0,4.7,4.75,4.65,4.7,134400.0,4.6,4.7,4.5,4.7,61100.0,4.3,4.51,4.3,4.51,60700.0,4.65
2000-03-24,4.95,4.95,4.6,4.8,18900.0,4.95,5.0,4.85,4.97,66800.0,4.75,5.1,4.75,4.95,632700.0,4.7,4.75,4.65,4.7,134400.0,4.6,4.7,4.5,4.7,61100.0,4.35
2000-03-27,4.85,4.85,4.7,4.7,10700.0,4.95,4.95,4.6,4.8,18900.0,4.95,5.0,4.85,4.97,66800.0,4.75,5.1,4.75,4.95,632700.0,4.7,4.75,4.65,4.7,134400.0,4.65
2000-03-28,4.6,4.74,4.4,4.4,20000.0,4.85,4.85,4.7,4.7,10700.0,4.95,4.95,4.6,4.8,18900.0,4.95,5.0,4.85,4.97,66800.0,4.75,5.1,4.75,4.95,632700.0,4.2
2000-03-29,4.25,4.4,4.25,4.3,23300.0,4.6,4.74,4.4,4.4,20000.0,4.85,4.85,4.7,4.7,10700.0,4.95,4.95,4.6,4.8,18900.0,4.95,5.0,4.85,4.97,66800.0,4.54
2000-03-30,4.25,4.5,4.25,4.25,122900.0,4.25,4.4,4.25,4.3,23300.0,4.6,4.74,4.4,4.4,20000.0,4.85,4.85,4.7,4.7,10700.0,4.95,4.95,4.6,4.8,18900.0,4.4
2000-03-31,4.25,4.7,4.25,4.65,25800.0,4.25,4.5,4.25,4.25,122900.0,4.25,4.4,4.25,4.3,23300.0,4.6,4.74,4.4,4.4,20000.0,4.85,4.85,4.7,4.7,10700.0,4.5
2000-04-03,4.65,4.7,4.35,4.35,31700.0,4.25,4.7,4.25,4.65,25800.0,4.25,4.5,4.25,4.25,122900.0,4.25,4.4,4.25,4.3,23300.0,4.6,4.74,4.4,4.4,20000.0,4.59
2000-04-04,4.35,4.65,4.2,4.65,33500.0,4.65,4.7,4.35,4.35,31700.0,4.25,4.7,4.25,4.65,25800.0,4.25,4.5,4.25,4.25,122900.0,4.25,4.4,4.25,4.3,23300.0,4.25
2000-04-05,4.65,4.65,4.2,4.2,23200.0,4.35,4.65,4.2,4.65,33500.0,4.65,4.7,4.35,4.35,31700.0,4.25,4.7,4.25,4.65,25800.0,4.25,4.5,4.25,4.25,122900.0,4.5
2000-04-06,4.25,4.55,4.25,4.54,18900.0,4.65,4.65,4.2,4.2,23200.0,4.35,4.65,4.2,4.65,33500.0,4.65,4.7,4.35,4.35,31700.0,4.25,4.7,4.25,4.65,25800.0,4.3
2000-04-07,4.5,4.5,4.4,4.4,5300.0,4.25,4.55,4.25,4.54,18900.0,4.65,4.65,4.2,4.2,23200.0,4.35,4.65,4.2,4.65,33500.0,4.65,4.7,4.35,4.35,31700.0,4.4
2000-04-10,4.25,4.5,4.25,4.5,9600.0,4.5,4.5,4.4,4.4,5300.0,4.25,4.55,4.25,4.54,18900.0,4.65,4.65,4.2,4.2,23200.0,4.35,4.65,4.2,4.65,33500.0,4.6
2000-04-11,4.3,4.59,4.3,4.59,6400.0,4.25,4.5,4.25,4.5,9600.0,4.5,4.5,4.4,4.4,5300.0,4.25,4.55,4.25,4.54,18900.0,4.65,4.65,4.2,4.2,23200.0,4.7
2000-04-12,4.5,4.55,4.25,4.25,63800.0,4.3,4.59,4.3,4.59,6400.0,4.25,4.5,4.25,4.5,9600.0,4.5,4.5,4.4,4.4,5300.0,4.25,4.55,4.25,4.54,18900.0,4.6
2000-04-13,4.35,4.55,4.3,4.5,29300.0,4.5,4.55,4.25,4.25,63800.0,4.3,4.59,4.3,4.59,6400.0,4.25,4.5,4.25,4.5,9600.0,4.5,4.5,4.4,4.4,5300.0,0.0
2000-04-14,4.3,4.45,4.25,4.3,91500.0,4.35,4.55,4.3,4.5,29300.0,4.5,4.55,4.25,4.25,63800.0,4.3,4.59,4.3,4.59,6400.0,4.25,4.5,4.25,4.5,9600.0,4.55
2000-04-17,4.2,4.4,4.15,4.4,68600.0,4.3,4.45,4.25,4.3,91500.0,4.35,4.55,4.3,4.5,29300.0,4.5,4.55,4.25,4.25,63800.0,4.3,4.59,4.3,4.59,6400.0,4.65
