date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,19.4,19.45,19.0,19.4,118200.0,19.1,19.5,19.0,19.0,117400.0,20.25,20.25,19.0,19.5,169000.0,19.4,19.5,19.0,19.0,25500.0,19.5,19.5,18.9,19.0,146700.0,19.0
2000-01-13,19.25,19.45,19.0,19.05,94000.0,19.4,19.45,19.0,19.4,118200.0,19.1,19.5,19.0,19.0,117400.0,20.25,20.25,19.0,19.5,169000.0,19.4,19.5,19.0,19.0,25500.0,17.6
2000-01-14,19.35,19.4,18.8,19.05,173600.0,19.25,19.45,19.0,19.05,94000.0,19.4,19.45,19.0,19.4,118200.0,19.1,19.5,19.0,19.0,117400.0,20.25,20.25,19.0,19.5,169000.0,17.9
2000-01-17,19.0,19.4,19.0,19.05,19700.0,19.35,19.4,18.8,19.05,173600.0,19.25,19.45,19.0,19.05,94000.0,19.4,19.45,19.0,19.4,118200.0,19.1,19.5,19.0,19.0,117400.0,17.15
2000-01-18,19.4,19.85,18.8,19.85,130100.0,19.0,19.4,19.0,19.05,19700.0,19.35,19.4,18.8,19.05,173600.0,19.25,19.45,19.0,19.05,94000.0,19.4,19.45,19.0,19.4,118200.0,16.45
2000-01-19,19.25,19.4,19.0,19.2,34000.0,19.4,19.85,18.8,19.85,130100.0,19.0,19.4,19.0,19.05,19700.0,19.35,19.4,18.8,19.05,173600.0,19.25,19.45,19.0,19.05,94000.0,17.0
2000-01-20,19.0,19.2,19.0,19.0,86000.0,19.25,19.4,19.0,19.2,34000.0,19.4,19.85,18.8,19.85,130100.0,19.0,19.4,19.0,19.05,19700.0,19.35,19.4,18.8,19.05,173600.0,16.75
2000-01-21,19.1,19.1,17.6,17.6,367800.0,19.0,19.2,19.0,19.0,86000.0,19.25,19.4,19.0,19.2,34000.0,19.4,19.85,18.8,19.85,130100.0,19.0,19.4,19.0,19.05,19700.0,16.8
2000-01-24,18.0,18.5,17.75,17.9,61000.0,19.1,19.1,17.6,17.6,367800.0,19.0,19.2,19.0,19.0,86000.0,19.25,19.4,19.0,19.2,34000.0,19.4,19.85,18.8,19.85,130100.0,17.1
2000-01-25,17.8,17.85,16.5,17.15,74800.0,18.0,18.5,17.75,17.9,61000.0,19.1,19.1,17.6,17.6,367800.0,19.0,19.2,19.0,19.0,86000.0,19.25,19.4,19.0,19.2,34000.0,17.1
2000-01-26,17.0,17.15,16.1,16.45,51300.0,17.8,17.85,16.5,17.15,74800.0,18.0,18.5,17.75,17.9,61000.0,19.1,19.1,17.6,17.6,367800.0,19.0,19.2,19.0,19.0,86000.0,16.5
2000-01-27,17.0,17.8,16.25,17.0,67600.0,17.0,17.15,16.1,16.45,51300.0,17.8,17.85,16.5,17.15,74800.0,18.0,18.5,17.75,17.9,61000.0,19.1,19.1,17.6,17.6,367800.0,16.3
2000-01-28,17.4,17.4,16.75,16.75,119800.0,17.0,17.8,16.25,17.0,67600.0,17.0,17.15,16.1,16.45,51300.0,17.8,17.85,16.5,17.15,74800.0,18.0,18.5,17.75,17.9,61000.0,16.4
2000-01-31,17.2,17.5,16.8,16.8,226100.0,17.4,17.4,16.75,16.75,119800.0,17.0,17.8,16.25,17.0,67600.0,17.0,17.15,16.1,16.45,51300.0,17.8,17.85,16.5,17.15,74800.0,16.95
2000-02-01,16.8,17.4,16.75,17.1,129000.0,17.2,17.5,16.8,16.8,226100.0,17.4,17.4,16.75,16.75,119800.0,17.0,17.8,16.25,17.0,67600.0,17.0,17.15,16.1,16.45,51300.0,16.15
2000-02-02,17.25,17.4,16.85,17.1,114600.0,16.8,17.4,16.75,17.1,129000.0,17.2,17.5,16.8,16.8,226100.0,17.4,17.4,16.75,16.75,119800.0,17.0,17.8,16.25,17.0,67600.0,16.15
2000-02-03,17.05,17.05,16.45,16.5,109800.0,17.25,17.4,16.85,17.1,114600.0,16.8,17.4,16.75,17.1,129000.0,17.2,17.5,16.8,16.8,226100.0,17.4,17.4,16.75,16.75,119800.0,16.15
2000-02-04,16.5,16.8,16.3,16.3,122300.0,17.05,17.05,16.45,16.5,109800.0,17.25,17.4,16.85,17.1,114600.0,16.8,17.4,16.75,17.1,129000.0,17.2,17.5,16.8,16.8,226100.0,16.3
2000-02-07,17.0,17.0,16.3,16.4,91500.0,16.5,16.8,16.3,16.3,122300.0,17.05,17.05,16.45,16.5,109800.0,17.25,17.4,16.85,17.1,114600.0,16.8,17.4,16.75,17.1,129000.0,16.35
