date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2007-12-17,11.0,11.0,10.96,11.0,201100.0,10.98,11.1,10.98,11.1,23500.0,11.1,11.1,11.0,11.0,21700.0,11.0,11.1,11.0,11.1,176800.0,11.01,11.02,10.98,11.0,107200.0,11.79
2007-12-18,11.15,11.16,11.14,11.15,325200.0,11.0,11.0,10.96,11.0,201100.0,10.98,11.1,10.98,11.1,23500.0,11.1,11.1,11.0,11.0,21700.0,11.0,11.1,11.0,11.1,176800.0,11.79
2007-12-19,11.44,11.5,11.3,11.5,10700.0,11.15,11.16,11.14,11.15,325200.0,11.0,11.0,10.96,11.0,201100.0,10.98,11.1,10.98,11.1,23500.0,11.1,11.1,11.0,11.0,21700.0,12.47
2007-12-20,11.5,11.55,11.5,11.55,8900.0,11.44,11.5,11.3,11.5,10700.0,11.15,11.16,11.14,11.15,325200.0,11.0,11.0,10.96,11.0,201100.0,10.98,11.1,10.98,11.1,23500.0,12.47
2007-12-21,11.4,11.7,11.36,11.7,2900.0,11.5,11.55,11.5,11.55,8900.0,11.44,11.5,11.3,11.5,10700.0,11.15,11.16,11.14,11.15,325200.0,11.0,11.0,10.96,11.0,201100.0,13.5
2007-12-24,11.75,11.75,11.75,11.75,18100.0,11.4,11.7,11.36,11.7,2900.0,11.5,11.55,11.5,11.55,8900.0,11.44,11.5,11.3,11.5,10700.0,11.15,11.16,11.14,11.15,325200.0,13.89
2007-12-27,12.44,12.44,11.75,11.79,13900.0,11.75,11.75,11.75,11.75,18100.0,11.4,11.7,11.36,11.7,2900.0,11.5,11.55,11.5,11.55,8900.0,11.44,11.5,11.3,11.5,10700.0,13.15
2007-12-28,11.79,11.79,11.79,11.79,0.0,12.44,12.44,11.75,11.79,13900.0,11.75,11.75,11.75,11.75,18100.0,11.4,11.7,11.36,11.7,2900.0,11.5,11.55,11.5,11.55,8900.0,12.8
2007-12-31,12.49,12.49,12.0,12.47,5900.0,11.79,11.79,11.79,11.79,0.0,12.44,12.44,11.75,11.79,13900.0,11.75,11.75,11.75,11.75,18100.0,11.4,11.7,11.36,11.7,2900.0,12.4
2008-01-02,12.47,12.47,12.47,12.47,0.0,12.49,12.49,12.0,12.47,5900.0,11.79,11.79,11.79,11.79,0.0,12.44,12.44,11.75,11.79,13900.0,11.75,11.75,11.75,11.75,18100.0,12.4
2008-01-03,13.0,13.75,12.75,13.5,9200.0,12.47,12.47,12.47,12.47,0.0,12.49,12.49,12.0,12.47,5900.0,11.79,11.79,11.79,11.79,0.0,12.44,12.44,11.75,11.79,13900.0,12.25
2008-01-04,13.5,14.0,13.4,13.89,9400.0,13.0,13.75,12.75,13.5,9200.0,12.47,12.47,12.47,12.47,0.0,12.49,12.49,12.0,12.47,5900.0,11.79,11.79,11.79,11.79,0.0,12.05
2008-01-07,14.0,14.0,13.15,13.15,4500.0,13.5,14.0,13.4,13.89,9400.0,13.0,13.75,12.75,13.5,9200.0,12.47,12.47,12.47,12.47,0.0,12.49,12.49,12.0,12.47,5900.0,12.5
2008-01-08,12.75,12.8,12.75,12.8,2800.0,14.0,14.0,13.15,13.15,4500.0,13.5,14.0,13.4,13.89,9400.0,13.0,13.75,12.75,13.5,9200.0,12.47,12.47,12.47,12.47,0.0,12.3
2008-01-09,13.0,13.0,12.4,12.4,5800.0,12.75,12.8,12.75,12.8,2800.0,14.0,14.0,13.15,13.15,4500.0,13.5,14.0,13.4,13.89,9400.0,13.0,13.75,12.75,13.5,9200.0,12.0
