date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,4.49,4.56,4.25,4.49,88912.0,4.64,4.7,4.55,4.64,48520.0,4.65,4.85,4.65,4.65,116280.0,4.8,4.8,4.69,4.8,46545.0,4.85,4.85,4.65,4.85,12490.0,4.41
2000-01-13,4.38,4.49,4.25,4.38,82146.0,4.49,4.56,4.25,4.49,88912.0,4.64,4.7,4.55,4.64,48520.0,4.65,4.85,4.65,4.65,116280.0,4.8,4.8,4.69,4.8,46545.0,4.36
2000-01-14,4.4,4.4,4.3,4.4,52930.0,4.38,4.49,4.25,4.38,82146.0,4.49,4.56,4.25,4.49,88912.0,4.64,4.7,4.55,4.64,48520.0,4.65,4.85,4.65,4.65,116280.0,4.3
2000-01-17,4.42,4.45,4.3,4.42,63700.0,4.4,4.4,4.3,4.4,52930.0,4.38,4.49,4.25,4.38,82146.0,4.49,4.56,4.25,4.49,88912.0,4.64,4.7,4.55,4.64,48520.0,4.39
2000-01-18,4.65,4.7,4.3,4.65,120668.0,4.42,4.45,4.3,4.42,63700.0,4.4,4.4,4.3,4.4,52930.0,4.38,4.49,4.25,4.38,82146.0,4.49,4.56,4.25,4.49,88912.0,4.4
2000-01-19,4.5,4.59,4.37,4.5,74900.0,4.65,4.7,4.3,4.65,120668.0,4.42,4.45,4.3,4.42,63700.0,4.4,4.4,4.3,4.4,52930.0,4.38,4.49,4.25,4.38,82146.0,4.35
2000-01-20,4.41,4.55,4.4,4.41,51330.0,4.5,4.59,4.37,4.5,74900.0,4.65,4.7,4.3,4.65,120668.0,4.42,4.45,4.3,4.42,63700.0,4.4,4.4,4.3,4.4,52930.0,4.39
2000-01-21,4.36,4.4,4.3,4.36,188500.0,4.41,4.55,4.4,4.41,51330.0,4.5,4.59,4.37,4.5,74900.0,4.65,4.7,4.3,4.65,120668.0,4.42,4.45,4.3,4.42,63700.0,4.42
2000-01-24,4.3,4.36,4.27,4.3,134307.0,4.36,4.4,4.3,4.36,188500.0,4.41,4.55,4.4,4.41,51330.0,4.5,4.59,4.37,4.5,74900.0,4.65,4.7,4.3,4.65,120668.0,4.38
2000-01-25,4.39,4.5,4.28,4.39,83450.0,4.3,4.36,4.27,4.3,134307.0,4.36,4.4,4.3,4.36,188500.0,4.41,4.55,4.4,4.41,51330.0,4.5,4.59,4.37,4.5,74900.0,4.44
2000-01-26,4.4,4.49,4.33,4.4,43957.0,4.39,4.5,4.28,4.39,83450.0,4.3,4.36,4.27,4.3,134307.0,4.36,4.4,4.3,4.36,188500.0,4.41,4.55,4.4,4.41,51330.0,4.35
2000-01-27,4.35,4.55,4.3,4.35,116927.0,4.4,4.49,4.33,4.4,43957.0,4.39,4.5,4.28,4.39,83450.0,4.3,4.36,4.27,4.3,134307.0,4.36,4.4,4.3,4.36,188500.0,4.2
2000-01-28,4.39,4.44,4.31,4.39,1134665.0,4.35,4.55,4.3,4.35,116927.0,4.4,4.49,4.33,4.4,43957.0,4.39,4.5,4.28,4.39,83450.0,4.3,4.36,4.27,4.3,134307.0,4.01
2000-01-31,4.42,4.45,4.3,4.42,44200.0,4.39,4.44,4.31,4.39,1134665.0,4.35,4.55,4.3,4.35,116927.0,4.4,4.49,4.33,4.4,43957.0,4.39,4.5,4.28,4.39,83450.0,3.91
2000-02-01,4.38,4.55,4.36,4.38,23075.0,4.42,4.45,4.3,4.42,44200.0,4.39,4.44,4.31,4.39,1134665.0,4.35,4.55,4.3,4.35,116927.0,4.4,4.49,4.33,4.4,43957.0,3.85
2000-02-02,4.44,4.44,4.31,4.44,33750.0,4.38,4.55,4.36,4.38,23075.0,4.42,4.45,4.3,4.42,44200.0,4.39,4.44,4.31,4.39,1134665.0,4.35,4.55,4.3,4.35,116927.0,3.7
2000-02-03,4.35,4.53,4.31,4.35,66858.0,4.44,4.44,4.31,4.44,33750.0,4.38,4.55,4.36,4.38,23075.0,4.42,4.45,4.3,4.42,44200.0,4.39,4.44,4.31,4.39,1134665.0,3.81
2000-02-04,4.2,4.32,4.2,4.2,66600.0,4.35,4.53,4.31,4.35,66858.0,4.44,4.44,4.31,4.44,33750.0,4.38,4.55,4.36,4.38,23075.0,4.42,4.45,4.3,4.42,44200.0,3.77
2000-02-07,4.01,4.15,4.01,4.01,46920.0,4.2,4.32,4.2,4.2,66600.0,4.35,4.53,4.31,4.35,66858.0,4.44,4.44,4.31,4.44,33750.0,4.38,4.55,4.36,4.38,23075.0,3.87
2000-02-08,3.91,4.2,3.75,3.91,70700.0,4.01,4.15,4.01,4.01,46920.0,4.2,4.32,4.2,4.2,66600.0,4.35,4.53,4.31,4.35,66858.0,4.44,4.44,4.31,4.44,33750.0,4.25
2000-02-09,3.85,3.95,3.8,3.85,97350.0,3.91,4.2,3.75,3.91,70700.0,4.01,4.15,4.01,4.01,46920.0,4.2,4.32,4.2,4.2,66600.0,4.35,4.53,4.31,4.35,66858.0,4.08
2000-02-10,3.7,3.88,3.6,3.7,74700.0,3.85,3.95,3.8,3.85,97350.0,3.91,4.2,3.75,3.91,70700.0,4.01,4.15,4.01,4.01,46920.0,4.2,4.32,4.2,4.2,66600.0,4.2
2000-02-11,3.81,3.85,3.7,3.81,164030.0,3.7,3.88,3.6,3.7,74700.0,3.85,3.95,3.8,3.85,97350.0,3.91,4.2,3.75,3.91,70700.0,4.01,4.15,4.01,4.01,46920.0,4.1
2000-02-14,3.77,3.94,3.77,3.77,57400.0,3.81,3.85,3.7,3.81,164030.0,3.7,3.88,3.6,3.7,74700.0,3.85,3.95,3.8,3.85,97350.0,3.91,4.2,3.75,3.91,70700.0,4.25
2000-02-15,3.87,3.89,3.77,3.87,155820.0,3.77,3.94,3.77,3.77,57400.0,3.81,3.85,3.7,3.81,164030.0,3.7,3.88,3.6,3.7,74700.0,3.85,3.95,3.8,3.85,97350.0,4.32
