date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2013-03-11,6.4,6.61,6.27,6.46,1091900.0,6.8,6.82,5.87,6.43,7094700.0,5.57,5.79,5.56,5.74,6237800.0,5.9,5.9,5.41,5.53,4557100.0,5.55,5.85,5.54,5.81,6228500.0,6.81
2013-03-12,6.36,6.53,6.34,6.5,521500.0,6.4,6.61,6.27,6.46,1091900.0,6.8,6.82,5.87,6.43,7094700.0,5.57,5.79,5.56,5.74,6237800.0,5.9,5.9,5.41,5.53,4557100.0,6.91
2013-03-13,6.44,6.6,6.4,6.48,669000.0,6.36,6.53,6.34,6.5,521500.0,6.4,6.61,6.27,6.46,1091900.0,6.8,6.82,5.87,6.43,7094700.0,5.57,5.79,5.56,5.74,6237800.0,6.71
2013-03-14,6.43,6.65,6.42,6.6,310400.0,6.44,6.6,6.4,6.48,669000.0,6.36,6.53,6.34,6.5,521500.0,6.4,6.61,6.27,6.46,1091900.0,6.8,6.82,5.87,6.43,7094700.0,6.55
2013-03-15,6.74,7.3,6.71,7.17,1214100.0,6.43,6.65,6.42,6.6,310400.0,6.44,6.6,6.4,6.48,669000.0,6.36,6.53,6.34,6.5,521500.0,6.4,6.61,6.27,6.46,1091900.0,6.62
2013-03-18,7.44,7.45,7.06,7.16,913800.0,6.74,7.3,6.71,7.17,1214100.0,6.43,6.65,6.42,6.6,310400.0,6.44,6.6,6.4,6.48,669000.0,6.36,6.53,6.34,6.5,521500.0,6.67
2013-03-19,7.11,7.18,6.74,6.81,975800.0,7.44,7.45,7.06,7.16,913800.0,6.74,7.3,6.71,7.17,1214100.0,6.43,6.65,6.42,6.6,310400.0,6.44,6.6,6.4,6.48,669000.0,6.71
2013-03-20,6.8,6.96,6.61,6.91,499100.0,7.11,7.18,6.74,6.81,975800.0,7.44,7.45,7.06,7.16,913800.0,6.74,7.3,6.71,7.17,1214100.0,6.43,6.65,6.42,6.6,310400.0,6.65
2013-03-21,7.03,7.03,6.7,6.71,631100.0,6.8,6.96,6.61,6.91,499100.0,7.11,7.18,6.74,6.81,975800.0,7.44,7.45,7.06,7.16,913800.0,6.74,7.3,6.71,7.17,1214100.0,6.6
2013-03-22,6.8,6.85,6.5,6.55,519300.0,7.03,7.03,6.7,6.71,631100.0,6.8,6.96,6.61,6.91,499100.0,7.11,7.18,6.74,6.81,975800.0,7.44,7.45,7.06,7.16,913800.0,6.55
2013-03-25,6.65,6.68,6.46,6.62,645400.0,6.8,6.85,6.5,6.55,519300.0,7.03,7.03,6.7,6.71,631100.0,6.8,6.96,6.61,6.91,499100.0,7.11,7.18,6.74,6.81,975800.0,6.44
2013-03-26,6.72,6.74,6.6,6.67,445200.0,6.65,6.68,6.46,6.62,645400.0,6.8,6.85,6.5,6.55,519300.0,7.03,7.03,6.7,6.71,631100.0,6.8,6.96,6.61,6.91,499100.0,6.26
2013-03-27,6.75,6.83,6.5,6.71,770400.0,6.72,6.74,6.6,6.67,445200.0,6.65,6.68,6.46,6.62,645400.0,6.8,6.85,6.5,6.55,519300.0,7.03,7.03,6.7,6.71,631100.0,6.75
2013-03-28,6.8,6.8,6.64,6.65,186100.0,6.75,6.83,6.5,6.71,770400.0,6.72,6.74,6.6,6.67,445200.0,6.65,6.68,6.46,6.62,645400.0,6.8,6.85,6.5,6.55,519300.0,6.9
2013-04-01,6.7,6.7,6.59,6.6,245400.0,6.8,6.8,6.64,6.65,186100.0,6.75,6.83,6.5,6.71,770400.0,6.72,6.74,6.6,6.67,445200.0,6.65,6.68,6.46,6.62,645400.0,6.8
2013-04-02,6.6,6.6,6.39,6.55,291400.0,6.7,6.7,6.59,6.6,245400.0,6.8,6.8,6.64,6.65,186100.0,6.75,6.83,6.5,6.71,770400.0,6.72,6.74,6.6,6.67,445200.0,6.86
2013-04-03,6.58,6.59,6.2,6.44,268800.0,6.6,6.6,6.39,6.55,291400.0,6.7,6.7,6.59,6.6,245400.0,6.8,6.8,6.64,6.65,186100.0,6.75,6.83,6.5,6.71,770400.0,6.92
2013-04-04,6.35,6.35,6.1,6.26,300200.0,6.58,6.59,6.2,6.44,268800.0,6.6,6.6,6.39,6.55,291400.0,6.7,6.7,6.59,6.6,245400.0,6.8,6.8,6.64,6.65,186100.0,6.9
