date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2003-06-09,5.4471,5.4471,5.3431,5.3926,198711.0,5.4273,5.4719,5.4223,5.4471,418626.0,5.4471,5.4719,5.3827,5.4273,335426.0,5.4174,5.4223,5.358,5.4223,423069.0,5.2936,5.3728,5.249,5.3728,592094.0,5.5461
2003-06-10,5.3926,5.4223,5.3283,5.3976,343706.0,5.4471,5.4471,5.3431,5.3926,198711.0,5.4273,5.4719,5.4223,5.4471,418626.0,5.4471,5.4719,5.3827,5.4273,335426.0,5.4174,5.4223,5.358,5.4223,423069.0,5.5412
2003-06-11,5.4223,5.4917,5.3976,5.4471,484257.0,5.3926,5.4223,5.3283,5.3976,343706.0,5.4471,5.4471,5.3431,5.3926,198711.0,5.4273,5.4719,5.4223,5.4471,418626.0,5.4471,5.4719,5.3827,5.4273,335426.0,5.5461
2003-06-12,5.4719,5.5214,5.4322,5.4966,220319.0,5.4223,5.4917,5.3976,5.4471,484257.0,5.3926,5.4223,5.3283,5.3976,343706.0,5.4471,5.4471,5.3431,5.3926,198711.0,5.4273,5.4719,5.4223,5.4471,418626.0,5.5214
2003-06-13,5.5412,5.5412,5.3976,5.4223,232637.0,5.4719,5.5214,5.4322,5.4966,220319.0,5.4223,5.4917,5.3976,5.4471,484257.0,5.3926,5.4223,5.3283,5.3976,343706.0,5.4471,5.4471,5.3431,5.3926,198711.0,5.5709
2003-06-16,5.4471,5.4471,5.4124,5.4223,1559599.0,5.5412,5.5412,5.3976,5.4223,232637.0,5.4719,5.5214,5.4322,5.4966,220319.0,5.4223,5.4917,5.3976,5.4471,484257.0,5.3926,5.4223,5.3283,5.3976,343706.0,5.6947
2003-06-17,5.4421,5.5461,5.4223,5.5461,151659.0,5.4471,5.4471,5.4124,5.4223,1559599.0,5.5412,5.5412,5.3976,5.4223,232637.0,5.4719,5.5214,5.4322,5.4966,220319.0,5.4223,5.4917,5.3976,5.4471,484257.0,5.6452
2003-06-18,5.5709,5.5709,5.4471,5.5412,308164.0,5.4421,5.5461,5.4223,5.5461,151659.0,5.4471,5.4471,5.4124,5.4223,1559599.0,5.5412,5.5412,5.3976,5.4223,232637.0,5.4719,5.5214,5.4322,5.4966,220319.0,5.5709
2003-06-19,5.4867,5.5957,5.4867,5.5461,198711.0,5.5709,5.5709,5.4471,5.5412,308164.0,5.4421,5.5461,5.4223,5.5461,151659.0,5.4471,5.4471,5.4124,5.4223,1559599.0,5.5412,5.5412,5.3976,5.4223,232637.0,5.4818
2003-06-20,5.5461,5.5957,5.5214,5.5214,123992.0,5.4867,5.5957,5.4867,5.5461,198711.0,5.5709,5.5709,5.4471,5.5412,308164.0,5.4421,5.5461,5.4223,5.5461,151659.0,5.4471,5.4471,5.4124,5.4223,1559599.0,5.5214
2003-06-23,5.5461,5.5709,5.5065,5.5709,320886.0,5.5461,5.5957,5.5214,5.5214,123992.0,5.4867,5.5957,5.4867,5.5461,198711.0,5.5709,5.5709,5.4471,5.5412,308164.0,5.4421,5.5461,5.4223,5.5461,151659.0,5.5214
2003-06-24,5.5214,5.6947,5.5214,5.6947,175488.0,5.5461,5.5709,5.5065,5.5709,320886.0,5.5461,5.5957,5.5214,5.5214,123992.0,5.4867,5.5957,5.4867,5.5461,198711.0,5.5709,5.5709,5.4471,5.5412,308164.0,5.5957
2003-06-25,5.6947,5.6947,5.5957,5.6452,178921.0,5.5214,5.6947,5.5214,5.6947,175488.0,5.5461,5.5709,5.5065,5.5709,320886.0,5.5461,5.5957,5.5214,5.5214,123992.0,5.4867,5.5957,5.4867,5.5461,198711.0,5.6947
2003-06-26,5.5709,5.6303,5.457,5.5709,145802.0,5.6947,5.6947,5.5957,5.6452,178921.0,5.5214,5.6947,5.5214,5.6947,175488.0,5.5461,5.5709,5.5065,5.5709,320886.0,5.5461,5.5957,5.5214,5.5214,123992.0,5.6947
2003-06-27,5.5461,5.556,5.4768,5.4818,111270.0,5.5709,5.6303,5.457,5.5709,145802.0,5.6947,5.6947,5.5957,5.6452,178921.0,5.5214,5.6947,5.5214,5.6947,175488.0,5.5461,5.5709,5.5065,5.5709,320886.0,5.7442
2003-06-30,5.5362,5.5461,5.4669,5.5214,86835.0,5.5461,5.556,5.4768,5.4818,111270.0,5.5709,5.6303,5.457,5.5709,145802.0,5.6947,5.6947,5.5957,5.6452,178921.0,5.5214,5.6947,5.5214,5.6947,175488.0,5.769
2003-07-01,5.5214,5.5214,5.5214,5.5214,0.0,5.5362,5.5461,5.4669,5.5214,86835.0,5.5461,5.556,5.4768,5.4818,111270.0,5.5709,5.6303,5.457,5.5709,145802.0,5.6947,5.6947,5.5957,5.6452,178921.0,5.6947
2003-07-02,5.5461,5.6947,5.5461,5.5957,254649.0,5.5214,5.5214,5.5214,5.5214,0.0,5.5362,5.5461,5.4669,5.5214,86835.0,5.5461,5.556,5.4768,5.4818,111270.0,5.5709,5.6303,5.457,5.5709,145802.0,5.6699
2003-07-03,5.6105,5.6947,5.5709,5.6947,81989.0,5.5461,5.6947,5.5461,5.5957,254649.0,5.5214,5.5214,5.5214,5.5214,0.0,5.5362,5.5461,5.4669,5.5214,86835.0,5.5461,5.556,5.4768,5.4818,111270.0,5.6699
2003-07-04,5.6947,5.7442,5.6947,5.6947,73305.0,5.6105,5.6947,5.5709,5.6947,81989.0,5.5461,5.6947,5.5461,5.5957,254649.0,5.5214,5.5214,5.5214,5.5214,0.0,5.5362,5.5461,5.4669,5.5214,86835.0,5.7195
