date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,0.5684,0.5684,0.5684,0.5684,7100.0,0.5474,0.5474,0.5263,0.5263,66900.0,0.5474,0.5474,0.5474,0.5474,6600.0,0.5263,0.5263,0.5263,0.5263,0.0,0.5263,0.5263,0.5263,0.5263,2800.0,0.5263
2000-01-13,0.5684,0.5684,0.5684,0.5684,11800.0,0.5684,0.5684,0.5684,0.5684,7100.0,0.5474,0.5474,0.5263,0.5263,66900.0,0.5474,0.5474,0.5474,0.5474,6600.0,0.5263,0.5263,0.5263,0.5263,0.0,0.5684
2000-01-14,0.5684,0.5684,0.5474,0.5474,50800.0,0.5684,0.5684,0.5684,0.5684,11800.0,0.5684,0.5684,0.5684,0.5684,7100.0,0.5474,0.5474,0.5263,0.5263,66900.0,0.5474,0.5474,0.5474,0.5474,6600.0,0.5263
2000-01-17,0.5474,0.5474,0.5474,0.5474,2600.0,0.5684,0.5684,0.5474,0.5474,50800.0,0.5684,0.5684,0.5684,0.5684,11800.0,0.5684,0.5684,0.5684,0.5684,7100.0,0.5474,0.5474,0.5263,0.5263,66900.0,0.5474
2000-01-18,0.5474,0.5474,0.5263,0.5263,2300.0,0.5474,0.5474,0.5474,0.5474,2600.0,0.5684,0.5684,0.5474,0.5474,50800.0,0.5684,0.5684,0.5684,0.5684,11800.0,0.5684,0.5684,0.5684,0.5684,7100.0,0.5263
2000-01-19,0.5263,0.5263,0.5263,0.5263,700.0,0.5474,0.5474,0.5263,0.5263,2300.0,0.5474,0.5474,0.5474,0.5474,2600.0,0.5684,0.5684,0.5474,0.5474,50800.0,0.5684,0.5684,0.5684,0.5684,11800.0,0.5053
2000-01-20,0.5684,0.5684,0.5263,0.5263,11200.0,0.5263,0.5263,0.5263,0.5263,700.0,0.5474,0.5474,0.5263,0.5263,2300.0,0.5474,0.5474,0.5474,0.5474,2600.0,0.5684,0.5684,0.5474,0.5474,50800.0,0.5474
2000-01-21,0.5263,0.5684,0.5263,0.5684,25100.0,0.5684,0.5684,0.5263,0.5263,11200.0,0.5263,0.5263,0.5263,0.5263,700.0,0.5474,0.5474,0.5263,0.5263,2300.0,0.5474,0.5474,0.5474,0.5474,2600.0,0.5263
2000-01-24,0.5684,0.5684,0.4842,0.5263,41800.0,0.5263,0.5684,0.5263,0.5684,25100.0,0.5684,0.5684,0.5263,0.5263,11200.0,0.5263,0.5263,0.5263,0.5263,700.0,0.5474,0.5474,0.5263,0.5263,2300.0,0.4842
2000-01-25,0.5263,0.5474,0.5263,0.5474,2600.0,0.5684,0.5684,0.4842,0.5263,41800.0,0.5263,0.5684,0.5263,0.5684,25100.0,0.5684,0.5684,0.5263,0.5263,11200.0,0.5263,0.5263,0.5263,0.5263,700.0,0.5263
