date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2017-06-07,50.25,50.25,49.29,49.47,66400.0,49.74,50.31,48.93,50.13,132300.0,50.37,50.43,48.75,49.56,69800.0,49.29,50.28,49.2,50.16,128600.0,48.75,49.5,48.21,49.29,285100.0,47.43
2017-06-08,49.11,49.59,48.93,49.08,36500.0,50.25,50.25,49.29,49.47,66400.0,49.74,50.31,48.93,50.13,132300.0,50.37,50.43,48.75,49.56,69800.0,49.29,50.28,49.2,50.16,128600.0,46.92
2017-06-09,49.35,49.47,48.96,49.29,50100.0,49.11,49.59,48.93,49.08,36500.0,50.25,50.25,49.29,49.47,66400.0,49.74,50.31,48.93,50.13,132300.0,50.37,50.43,48.75,49.56,69800.0,46.8
2017-06-12,49.5,50.04,48.99,49.32,96200.0,49.35,49.47,48.96,49.29,50100.0,49.11,49.59,48.93,49.08,36500.0,50.25,50.25,49.29,49.47,66400.0,49.74,50.31,48.93,50.13,132300.0,46.38
2017-06-13,49.35,49.35,48.6,49.11,35300.0,49.5,50.04,48.99,49.32,96200.0,49.35,49.47,48.96,49.29,50100.0,49.11,49.59,48.93,49.08,36500.0,50.25,50.25,49.29,49.47,66400.0,46.23
2017-06-14,48.93,49.17,48.06,48.09,119500.0,49.35,49.35,48.6,49.11,35300.0,49.5,50.04,48.99,49.32,96200.0,49.35,49.47,48.96,49.29,50100.0,49.11,49.59,48.93,49.08,36500.0,46.29
2017-06-15,48.09,48.21,47.07,47.43,64100.0,48.93,49.17,48.06,48.09,119500.0,49.35,49.35,48.6,49.11,35300.0,49.5,50.04,48.99,49.32,96200.0,49.35,49.47,48.96,49.29,50100.0,46.5
2017-06-16,47.16,47.31,45.51,46.92,209700.0,48.09,48.21,47.07,47.43,64100.0,48.93,49.17,48.06,48.09,119500.0,49.35,49.35,48.6,49.11,35300.0,49.5,50.04,48.99,49.32,96200.0,47.37
2017-06-19,46.5,47.13,46.35,46.8,445000.0,47.16,47.31,45.51,46.92,209700.0,48.09,48.21,47.07,47.43,64100.0,48.93,49.17,48.06,48.09,119500.0,49.35,49.35,48.6,49.11,35300.0,48.0
2017-06-20,47.4,47.64,46.08,46.38,192700.0,46.5,47.13,46.35,46.8,445000.0,47.16,47.31,45.51,46.92,209700.0,48.09,48.21,47.07,47.43,64100.0,48.93,49.17,48.06,48.09,119500.0,48.3
2017-06-21,46.2,46.62,45.9,46.23,343000.0,47.4,47.64,46.08,46.38,192700.0,46.5,47.13,46.35,46.8,445000.0,47.16,47.31,45.51,46.92,209700.0,48.09,48.21,47.07,47.43,64100.0,47.88
2017-06-22,46.32,46.74,46.05,46.29,278200.0,46.2,46.62,45.9,46.23,343000.0,47.4,47.64,46.08,46.38,192700.0,46.5,47.13,46.35,46.8,445000.0,47.16,47.31,45.51,46.92,209700.0,47.49
2017-06-23,46.23,46.68,46.23,46.5,65200.0,46.32,46.74,46.05,46.29,278200.0,46.2,46.62,45.9,46.23,343000.0,47.4,47.64,46.08,46.38,192700.0,46.5,47.13,46.35,46.8,445000.0,47.58
2017-06-26,46.56,47.46,46.38,47.37,191000.0,46.23,46.68,46.23,46.5,65200.0,46.32,46.74,46.05,46.29,278200.0,46.2,46.62,45.9,46.23,343000.0,47.4,47.64,46.08,46.38,192700.0,47.31
2017-06-27,47.1,48.0,47.1,48.0,408000.0,46.56,47.46,46.38,47.37,191000.0,46.23,46.68,46.23,46.5,65200.0,46.32,46.74,46.05,46.29,278200.0,46.2,46.62,45.9,46.23,343000.0,47.01
2017-06-28,47.88,48.75,47.07,48.3,446000.0,47.1,48.0,47.1,48.0,408000.0,46.56,47.46,46.38,47.37,191000.0,46.23,46.68,46.23,46.5,65200.0,46.32,46.74,46.05,46.29,278200.0,46.56
2017-06-29,48.75,48.75,47.7,47.88,388500.0,47.88,48.75,47.07,48.3,446000.0,47.1,48.0,47.1,48.0,408000.0,46.56,47.46,46.38,47.37,191000.0,46.23,46.68,46.23,46.5,65200.0,46.44
