date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2015-01-12,10.52,10.53,10.44,10.52,54203.0,10.61,10.7,10.55,10.63,200448.0,10.58,10.78,10.36,10.62,193521.0,10.3,10.65,10.23,10.58,675509.0,10.26,10.29,10.23,10.27,141389.0,10.68
2015-01-13,10.52,10.6,10.5,10.55,88188.0,10.52,10.53,10.44,10.52,54203.0,10.61,10.7,10.55,10.63,200448.0,10.58,10.78,10.36,10.62,193521.0,10.3,10.65,10.23,10.58,675509.0,10.77
2015-01-14,10.54,10.72,10.48,10.57,143273.0,10.52,10.6,10.5,10.55,88188.0,10.52,10.53,10.44,10.52,54203.0,10.61,10.7,10.55,10.63,200448.0,10.58,10.78,10.36,10.62,193521.0,11.07
2015-01-15,10.6,10.61,10.52,10.6,84289.0,10.54,10.72,10.48,10.57,143273.0,10.52,10.6,10.5,10.55,88188.0,10.52,10.53,10.44,10.52,54203.0,10.61,10.7,10.55,10.63,200448.0,11.08
2015-01-16,10.61,10.62,10.56,10.61,29872.0,10.6,10.61,10.52,10.6,84289.0,10.54,10.72,10.48,10.57,143273.0,10.52,10.6,10.5,10.55,88188.0,10.52,10.53,10.44,10.52,54203.0,11.13
2015-01-19,10.6,10.68,10.55,10.64,40042.0,10.61,10.62,10.56,10.61,29872.0,10.6,10.61,10.52,10.6,84289.0,10.54,10.72,10.48,10.57,143273.0,10.52,10.6,10.5,10.55,88188.0,11.09
2015-01-20,10.61,10.71,10.61,10.68,82316.0,10.6,10.68,10.55,10.64,40042.0,10.61,10.62,10.56,10.61,29872.0,10.6,10.61,10.52,10.6,84289.0,10.54,10.72,10.48,10.57,143273.0,10.97
2015-01-21,10.66,10.94,10.64,10.77,91850.0,10.61,10.71,10.61,10.68,82316.0,10.6,10.68,10.55,10.64,40042.0,10.61,10.62,10.56,10.61,29872.0,10.6,10.61,10.52,10.6,84289.0,11.01
2015-01-22,10.73,11.13,10.73,11.07,144503.0,10.66,10.94,10.64,10.77,91850.0,10.61,10.71,10.61,10.68,82316.0,10.6,10.68,10.55,10.64,40042.0,10.61,10.62,10.56,10.61,29872.0,11.11
2015-01-23,11.05,11.21,11.03,11.08,77460.0,10.73,11.13,10.73,11.07,144503.0,10.66,10.94,10.64,10.77,91850.0,10.61,10.71,10.61,10.68,82316.0,10.6,10.68,10.55,10.64,40042.0,10.96
2015-01-26,11.13,11.17,10.84,11.13,51735.0,11.05,11.21,11.03,11.08,77460.0,10.73,11.13,10.73,11.07,144503.0,10.66,10.94,10.64,10.77,91850.0,10.61,10.71,10.61,10.68,82316.0,11.0
2015-01-27,11.07,11.17,11.01,11.09,50415.0,11.13,11.17,10.84,11.13,51735.0,11.05,11.21,11.03,11.08,77460.0,10.73,11.13,10.73,11.07,144503.0,10.66,10.94,10.64,10.77,91850.0,10.96
2015-01-28,11.14,11.16,10.96,10.97,32814.0,11.07,11.17,11.01,11.09,50415.0,11.13,11.17,10.84,11.13,51735.0,11.05,11.21,11.03,11.08,77460.0,10.73,11.13,10.73,11.07,144503.0,11.19
2015-01-29,10.99,11.07,10.77,11.01,50007.0,11.14,11.16,10.96,10.97,32814.0,11.07,11.17,11.01,11.09,50415.0,11.13,11.17,10.84,11.13,51735.0,11.05,11.21,11.03,11.08,77460.0,11.04
2015-01-30,11.0,11.12,10.96,11.11,60841.0,10.99,11.07,10.77,11.01,50007.0,11.14,11.16,10.96,10.97,32814.0,11.07,11.17,11.01,11.09,50415.0,11.13,11.17,10.84,11.13,51735.0,11.04
