date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2014-06-18,12.95,13.0,12.95,13.0,17400.0,12.95,13.0,12.95,12.95,18300.0,12.97,13.0,12.95,13.0,13000.0,13.07,13.07,13.0,13.0,7700.0,13.01,13.03,13.0,13.03,30400.0,13.35
2014-06-19,12.96,12.98,12.96,12.98,2400.0,12.95,13.0,12.95,13.0,17400.0,12.95,13.0,12.95,12.95,18300.0,12.97,13.0,12.95,13.0,13000.0,13.07,13.07,13.0,13.0,7700.0,13.3
2014-06-20,12.98,13.0,12.97,12.98,7100.0,12.96,12.98,12.96,12.98,2400.0,12.95,13.0,12.95,13.0,17400.0,12.95,13.0,12.95,12.95,18300.0,12.97,13.0,12.95,13.0,13000.0,13.35
2014-06-23,12.96,13.04,12.95,12.95,20500.0,12.98,13.0,12.97,12.98,7100.0,12.96,12.98,12.96,12.98,2400.0,12.95,13.0,12.95,13.0,17400.0,12.95,13.0,12.95,12.95,18300.0,13.76
2014-06-24,12.95,13.06,12.95,13.05,19200.0,12.96,13.04,12.95,12.95,20500.0,12.98,13.0,12.97,12.98,7100.0,12.96,12.98,12.96,12.98,2400.0,12.95,13.0,12.95,13.0,17400.0,14.14
2014-06-25,13.02,13.06,13.02,13.05,13500.0,12.95,13.06,12.95,13.05,19200.0,12.96,13.04,12.95,12.95,20500.0,12.98,13.0,12.97,12.98,7100.0,12.96,12.98,12.96,12.98,2400.0,14.25
2014-06-26,13.15,13.35,13.15,13.35,33000.0,13.02,13.06,13.02,13.05,13500.0,12.95,13.06,12.95,13.05,19200.0,12.96,13.04,12.95,12.95,20500.0,12.98,13.0,12.97,12.98,7100.0,14.37
2014-06-27,13.23,13.35,13.2,13.3,8700.0,13.15,13.35,13.15,13.35,33000.0,13.02,13.06,13.02,13.05,13500.0,12.95,13.06,12.95,13.05,19200.0,12.96,13.04,12.95,12.95,20500.0,14.5
2014-06-30,13.3,13.5,13.29,13.35,9700.0,13.23,13.35,13.2,13.3,8700.0,13.15,13.35,13.15,13.35,33000.0,13.02,13.06,13.02,13.05,13500.0,12.95,13.06,12.95,13.05,19200.0,14.25
2014-07-02,13.45,13.76,13.45,13.76,4100.0,13.3,13.5,13.29,13.35,9700.0,13.23,13.35,13.2,13.3,8700.0,13.15,13.35,13.15,13.35,33000.0,13.02,13.06,13.02,13.05,13500.0,14.25
2014-07-03,13.7,14.24,13.63,14.14,15700.0,13.45,13.76,13.45,13.76,4100.0,13.3,13.5,13.29,13.35,9700.0,13.23,13.35,13.2,13.3,8700.0,13.15,13.35,13.15,13.35,33000.0,14.1
2014-07-04,14.25,14.3,14.15,14.25,11000.0,13.7,14.24,13.63,14.14,15700.0,13.45,13.76,13.45,13.76,4100.0,13.3,13.5,13.29,13.35,9700.0,13.23,13.35,13.2,13.3,8700.0,14.45
2014-07-07,14.49,14.5,14.31,14.37,6200.0,14.25,14.3,14.15,14.25,11000.0,13.7,14.24,13.63,14.14,15700.0,13.45,13.76,13.45,13.76,4100.0,13.3,13.5,13.29,13.35,9700.0,14.57
2014-07-08,14.45,14.5,14.1,14.5,25400.0,14.49,14.5,14.31,14.37,6200.0,14.25,14.3,14.15,14.25,11000.0,13.7,14.24,13.63,14.14,15700.0,13.45,13.76,13.45,13.76,4100.0,15.3
2014-07-09,14.5,14.5,14.1,14.25,6400.0,14.45,14.5,14.1,14.5,25400.0,14.49,14.5,14.31,14.37,6200.0,14.25,14.3,14.15,14.25,11000.0,13.7,14.24,13.63,14.14,15700.0,15.45
2014-07-10,14.25,14.25,14.25,14.25,900.0,14.5,14.5,14.1,14.25,6400.0,14.45,14.5,14.1,14.5,25400.0,14.49,14.5,14.31,14.37,6200.0,14.25,14.3,14.15,14.25,11000.0,15.7
