date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,32.5,32.9,32.45,32.75,186100.0,32.0,32.35,31.65,32.1,207200.0,32.05,32.1,31.5,32.0,276900.0,32.85,32.85,31.6,32.1,173600.0,33.5,33.5,32.55,32.55,149600.0,32.25
2000-01-13,32.9,33.2,32.75,33.1,375300.0,32.5,32.9,32.45,32.75,186100.0,32.0,32.35,31.65,32.1,207200.0,32.05,32.1,31.5,32.0,276900.0,32.85,32.85,31.6,32.1,173600.0,31.95
2000-01-14,33.2,33.25,31.5,31.55,359700.0,32.9,33.2,32.75,33.1,375300.0,32.5,32.9,32.45,32.75,186100.0,32.0,32.35,31.65,32.1,207200.0,32.05,32.1,31.5,32.0,276900.0,30.3
2000-01-17,31.65,32.4,31.65,32.3,80300.0,33.2,33.25,31.5,31.55,359700.0,32.9,33.2,32.75,33.1,375300.0,32.5,32.9,32.45,32.75,186100.0,32.0,32.35,31.65,32.1,207200.0,30.45
2000-01-18,32.4,33.1,32.1,32.75,132600.0,31.65,32.4,31.65,32.3,80300.0,33.2,33.25,31.5,31.55,359700.0,32.9,33.2,32.75,33.1,375300.0,32.5,32.9,32.45,32.75,186100.0,30.75
2000-01-19,33.0,33.0,32.4,32.8,152100.0,32.4,33.1,32.1,32.75,132600.0,31.65,32.4,31.65,32.3,80300.0,33.2,33.25,31.5,31.55,359700.0,32.9,33.2,32.75,33.1,375300.0,32.2
2000-01-20,33.0,33.0,32.0,32.25,228700.0,33.0,33.0,32.4,32.8,152100.0,32.4,33.1,32.1,32.75,132600.0,31.65,32.4,31.65,32.3,80300.0,33.2,33.25,31.5,31.55,359700.0,32.05
2000-01-21,32.1,32.5,31.5,31.95,194400.0,33.0,33.0,32.0,32.25,228700.0,33.0,33.0,32.4,32.8,152100.0,32.4,33.1,32.1,32.75,132600.0,31.65,32.4,31.65,32.3,80300.0,32.35
2000-01-24,32.75,32.75,30.25,30.3,730700.0,32.1,32.5,31.5,31.95,194400.0,33.0,33.0,32.0,32.25,228700.0,33.0,33.0,32.4,32.8,152100.0,32.4,33.1,32.1,32.75,132600.0,33.0
2000-01-25,30.85,30.85,30.3,30.45,368900.0,32.75,32.75,30.25,30.3,730700.0,32.1,32.5,31.5,31.95,194400.0,33.0,33.0,32.0,32.25,228700.0,33.0,33.0,32.4,32.8,152100.0,32.3
2000-01-26,30.6,30.75,29.8,30.75,109500.0,30.85,30.85,30.3,30.45,368900.0,32.75,32.75,30.25,30.3,730700.0,32.1,32.5,31.5,31.95,194400.0,33.0,33.0,32.0,32.25,228700.0,32.5
2000-01-27,31.0,32.25,30.35,32.2,392000.0,30.6,30.75,29.8,30.75,109500.0,30.85,30.85,30.3,30.45,368900.0,32.75,32.75,30.25,30.3,730700.0,32.1,32.5,31.5,31.95,194400.0,32.7
2000-01-28,32.2,32.45,31.8,32.05,59600.0,31.0,32.25,30.35,32.2,392000.0,30.6,30.75,29.8,30.75,109500.0,30.85,30.85,30.3,30.45,368900.0,32.75,32.75,30.25,30.3,730700.0,33.4
2000-01-31,31.0,32.45,31.0,32.35,140000.0,32.2,32.45,31.8,32.05,59600.0,31.0,32.25,30.35,32.2,392000.0,30.6,30.75,29.8,30.75,109500.0,30.85,30.85,30.3,30.45,368900.0,33.25
2000-02-01,31.9,33.0,31.9,33.0,170800.0,31.0,32.45,31.0,32.35,140000.0,32.2,32.45,31.8,32.05,59600.0,31.0,32.25,30.35,32.2,392000.0,30.6,30.75,29.8,30.75,109500.0,33.15
2000-02-02,33.2,33.75,32.0,32.3,1075500.0,31.9,33.0,31.9,33.0,170800.0,31.0,32.45,31.0,32.35,140000.0,32.2,32.45,31.8,32.05,59600.0,31.0,32.25,30.35,32.2,392000.0,33.1
