date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,16.7,17.0,16.6,16.9,149200.0,16.8,16.85,16.65,16.7,66400.0,16.9,17.0,16.8,16.9,39000.0,16.95,17.0,16.85,16.95,90300.0,16.95,17.0,16.95,17.0,47400.0,16.35
2000-01-13,17.0,17.0,16.65,16.8,26000.0,16.7,17.0,16.6,16.9,149200.0,16.8,16.85,16.65,16.7,66400.0,16.9,17.0,16.8,16.9,39000.0,16.95,17.0,16.85,16.95,90300.0,16.2
2000-01-14,17.0,17.0,16.75,16.9,44100.0,17.0,17.0,16.65,16.8,26000.0,16.7,17.0,16.6,16.9,149200.0,16.8,16.85,16.65,16.7,66400.0,16.9,17.0,16.8,16.9,39000.0,15.8
2000-01-17,16.85,16.85,16.65,16.8,30000.0,17.0,17.0,16.75,16.9,44100.0,17.0,17.0,16.65,16.8,26000.0,16.7,17.0,16.6,16.9,149200.0,16.8,16.85,16.65,16.7,66400.0,15.95
2000-01-18,16.85,16.85,16.65,16.8,15000.0,16.85,16.85,16.65,16.8,30000.0,17.0,17.0,16.75,16.9,44100.0,17.0,17.0,16.65,16.8,26000.0,16.7,17.0,16.6,16.9,149200.0,15.5
2000-01-19,16.8,16.8,16.6,16.6,50000.0,16.85,16.85,16.65,16.8,15000.0,16.85,16.85,16.65,16.8,30000.0,17.0,17.0,16.75,16.9,44100.0,17.0,17.0,16.65,16.8,26000.0,15.85
2000-01-20,16.7,16.7,16.15,16.35,44600.0,16.8,16.8,16.6,16.6,50000.0,16.85,16.85,16.65,16.8,15000.0,16.85,16.85,16.65,16.8,30000.0,17.0,17.0,16.75,16.9,44100.0,15.85
2000-01-21,16.45,16.45,16.1,16.2,75800.0,16.7,16.7,16.15,16.35,44600.0,16.8,16.8,16.6,16.6,50000.0,16.85,16.85,16.65,16.8,15000.0,16.85,16.85,16.65,16.8,30000.0,16.0
2000-01-24,16.2,16.25,15.5,15.8,61400.0,16.45,16.45,16.1,16.2,75800.0,16.7,16.7,16.15,16.35,44600.0,16.8,16.8,16.6,16.6,50000.0,16.85,16.85,16.65,16.8,15000.0,16.1
2000-01-25,15.85,16.0,15.55,15.95,69400.0,16.2,16.25,15.5,15.8,61400.0,16.45,16.45,16.1,16.2,75800.0,16.7,16.7,16.15,16.35,44600.0,16.8,16.8,16.6,16.6,50000.0,16.2
2000-01-26,15.75,15.95,15.25,15.5,97800.0,15.85,16.0,15.55,15.95,69400.0,16.2,16.25,15.5,15.8,61400.0,16.45,16.45,16.1,16.2,75800.0,16.7,16.7,16.15,16.35,44600.0,16.3
2000-01-27,15.8,16.0,15.5,15.85,79100.0,15.75,15.95,15.25,15.5,97800.0,15.85,16.0,15.55,15.95,69400.0,16.2,16.25,15.5,15.8,61400.0,16.45,16.45,16.1,16.2,75800.0,17.05
