date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2008-08-05,24.025,24.405,23.46,24.055,307400.0,25.99,26.0,24.53,25.71,221400.0,25.695,26.49,25.205,26.49,225000.0,25.45,25.545,25.1,25.5,394800.0,24.105,26.475,23.825,25.25,559200.0,23.5
2008-08-06,24.275,25.1,23.825,25.0,123800.0,24.025,24.405,23.46,24.055,307400.0,25.99,26.0,24.53,25.71,221400.0,25.695,26.49,25.205,26.49,225000.0,25.45,25.545,25.1,25.5,394800.0,26.62
2008-08-07,24.81,25.49,24.35,24.77,167000.0,24.275,25.1,23.825,25.0,123800.0,24.025,24.405,23.46,24.055,307400.0,25.99,26.0,24.53,25.71,221400.0,25.695,26.49,25.205,26.49,225000.0,26.87
2008-08-08,25.01,25.525,24.205,24.675,88600.0,24.81,25.49,24.35,24.77,167000.0,24.275,25.1,23.825,25.0,123800.0,24.025,24.405,23.46,24.055,307400.0,25.99,26.0,24.53,25.71,221400.0,27.005
2008-08-11,24.025,24.72,22.5,23.25,189200.0,25.01,25.525,24.205,24.675,88600.0,24.81,25.49,24.35,24.77,167000.0,24.275,25.1,23.825,25.0,123800.0,24.025,24.405,23.46,24.055,307400.0,26.1
2008-08-12,22.995,23.74,22.53,23.33,85800.0,24.025,24.72,22.5,23.25,189200.0,25.01,25.525,24.205,24.675,88600.0,24.81,25.49,24.35,24.77,167000.0,24.275,25.1,23.825,25.0,123800.0,26.48
2008-08-13,23.5,25.16,23.025,23.5,241800.0,22.995,23.74,22.53,23.33,85800.0,24.025,24.72,22.5,23.25,189200.0,25.01,25.525,24.205,24.675,88600.0,24.81,25.49,24.35,24.77,167000.0,26.25
2008-08-14,23.87,26.625,23.69,26.62,468000.0,23.5,25.16,23.025,23.5,241800.0,22.995,23.74,22.53,23.33,85800.0,24.025,24.72,22.5,23.25,189200.0,25.01,25.525,24.205,24.675,88600.0,25.62
2008-08-15,25.755,26.875,25.265,26.87,174000.0,23.87,26.625,23.69,26.62,468000.0,23.5,25.16,23.025,23.5,241800.0,22.995,23.74,22.53,23.33,85800.0,24.025,24.72,22.5,23.25,189200.0,25.26
2008-08-18,26.705,27.5,26.645,27.005,260000.0,25.755,26.875,25.265,26.87,174000.0,23.87,26.625,23.69,26.62,468000.0,23.5,25.16,23.025,23.5,241800.0,22.995,23.74,22.53,23.33,85800.0,25.55
