date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,12.75,12.9,12.6,12.8,51900.0,12.75,12.95,12.75,12.75,61000.0,12.8,13.0,12.8,12.9,358600.0,13.0,13.0,12.85,13.0,65800.0,12.8,13.0,12.8,13.0,599700.0,12.0
2000-01-13,12.75,12.75,11.5,12.1,257300.0,12.75,12.9,12.6,12.8,51900.0,12.75,12.95,12.75,12.75,61000.0,12.8,13.0,12.8,12.9,358600.0,13.0,13.0,12.85,13.0,65800.0,11.9
2000-01-14,12.1,12.4,11.8,12.1,345500.0,12.75,12.75,11.5,12.1,257300.0,12.75,12.9,12.6,12.8,51900.0,12.75,12.95,12.75,12.75,61000.0,12.8,13.0,12.8,12.9,358600.0,11.85
2000-01-17,12.15,12.5,12.05,12.15,41500.0,12.1,12.4,11.8,12.1,345500.0,12.75,12.75,11.5,12.1,257300.0,12.75,12.9,12.6,12.8,51900.0,12.75,12.95,12.75,12.75,61000.0,11.65
2000-01-18,12.15,12.25,11.85,12.25,74900.0,12.15,12.5,12.05,12.15,41500.0,12.1,12.4,11.8,12.1,345500.0,12.75,12.75,11.5,12.1,257300.0,12.75,12.9,12.6,12.8,51900.0,11.15
2000-01-19,12.05,12.5,12.05,12.3,25900.0,12.15,12.25,11.85,12.25,74900.0,12.15,12.5,12.05,12.15,41500.0,12.1,12.4,11.8,12.1,345500.0,12.75,12.75,11.5,12.1,257300.0,10.85
2000-01-20,12.15,12.2,12.0,12.0,69200.0,12.05,12.5,12.05,12.3,25900.0,12.15,12.25,11.85,12.25,74900.0,12.15,12.5,12.05,12.15,41500.0,12.1,12.4,11.8,12.1,345500.0,10.8
2000-01-21,11.9,12.0,11.8,11.9,160800.0,12.15,12.2,12.0,12.0,69200.0,12.05,12.5,12.05,12.3,25900.0,12.15,12.25,11.85,12.25,74900.0,12.15,12.5,12.05,12.15,41500.0,11.85
2000-01-24,11.75,12.0,11.75,11.85,360400.0,11.9,12.0,11.8,11.9,160800.0,12.15,12.2,12.0,12.0,69200.0,12.05,12.5,12.05,12.3,25900.0,12.15,12.25,11.85,12.25,74900.0,11.75
2000-01-25,11.85,12.0,11.65,11.65,105600.0,11.75,12.0,11.75,11.85,360400.0,11.9,12.0,11.8,11.9,160800.0,12.15,12.2,12.0,12.0,69200.0,12.05,12.5,12.05,12.3,25900.0,11.5
2000-01-26,11.65,11.75,10.5,11.15,39700.0,11.85,12.0,11.65,11.65,105600.0,11.75,12.0,11.75,11.85,360400.0,11.9,12.0,11.8,11.9,160800.0,12.15,12.2,12.0,12.0,69200.0,11.1
2000-01-27,11.0,11.0,10.5,10.85,91700.0,11.65,11.75,10.5,11.15,39700.0,11.85,12.0,11.65,11.65,105600.0,11.75,12.0,11.75,11.85,360400.0,11.9,12.0,11.8,11.9,160800.0,11.05
2000-01-28,10.85,11.0,10.65,10.8,16300.0,11.0,11.0,10.5,10.85,91700.0,11.65,11.75,10.5,11.15,39700.0,11.85,12.0,11.65,11.65,105600.0,11.75,12.0,11.75,11.85,360400.0,10.8
2000-01-31,11.5,11.95,11.25,11.85,124300.0,10.85,11.0,10.65,10.8,16300.0,11.0,11.0,10.5,10.85,91700.0,11.65,11.75,10.5,11.15,39700.0,11.85,12.0,11.65,11.65,105600.0,10.65
2000-02-01,11.95,11.95,11.4,11.75,41300.0,11.5,11.95,11.25,11.85,124300.0,10.85,11.0,10.65,10.8,16300.0,11.0,11.0,10.5,10.85,91700.0,11.65,11.75,10.5,11.15,39700.0,10.4
2000-02-02,11.75,11.75,11.5,11.5,20900.0,11.95,11.95,11.4,11.75,41300.0,11.5,11.95,11.25,11.85,124300.0,10.85,11.0,10.65,10.8,16300.0,11.0,11.0,10.5,10.85,91700.0,10.6
2000-02-03,11.5,11.5,11.0,11.1,196700.0,11.75,11.75,11.5,11.5,20900.0,11.95,11.95,11.4,11.75,41300.0,11.5,11.95,11.25,11.85,124300.0,10.85,11.0,10.65,10.8,16300.0,10.5
