date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2003-10-17,1.8,1.8,1.55,1.65,72900.0,1.57,1.8,1.57,1.75,197000.0,1.53,1.6,1.44,1.6,153000.0,1.44,1.57,1.42,1.48,186100.0,0.0,0.0,0.0,0.0,0.0,1.7
2003-10-20,1.63,1.74,1.59,1.7,25600.0,1.8,1.8,1.55,1.65,72900.0,1.57,1.8,1.57,1.75,197000.0,1.53,1.6,1.44,1.6,153000.0,1.44,1.57,1.42,1.48,186100.0,1.72
2003-10-21,1.7,1.7,1.65,1.7,75700.0,1.63,1.74,1.59,1.7,25600.0,1.8,1.8,1.55,1.65,72900.0,1.57,1.8,1.57,1.75,197000.0,1.53,1.6,1.44,1.6,153000.0,1.7
2003-10-22,1.72,1.74,1.66,1.66,234100.0,1.7,1.7,1.65,1.7,75700.0,1.63,1.74,1.59,1.7,25600.0,1.8,1.8,1.55,1.65,72900.0,1.57,1.8,1.57,1.75,197000.0,1.78
2003-10-23,1.72,1.72,1.67,1.72,69300.0,1.72,1.74,1.66,1.66,234100.0,1.7,1.7,1.65,1.7,75700.0,1.63,1.74,1.59,1.7,25600.0,1.8,1.8,1.55,1.65,72900.0,2.0
2003-10-24,1.7,1.72,1.68,1.7,26400.0,1.72,1.72,1.67,1.72,69300.0,1.72,1.74,1.66,1.66,234100.0,1.7,1.7,1.65,1.7,75700.0,1.63,1.74,1.59,1.7,25600.0,2.0
2003-10-27,1.7,1.75,1.66,1.7,106500.0,1.7,1.72,1.68,1.7,26400.0,1.72,1.72,1.67,1.72,69300.0,1.72,1.74,1.66,1.66,234100.0,1.7,1.7,1.65,1.7,75700.0,2.18
2003-10-28,1.67,1.74,1.65,1.72,124500.0,1.7,1.75,1.66,1.7,106500.0,1.7,1.72,1.68,1.7,26400.0,1.72,1.72,1.67,1.72,69300.0,1.72,1.74,1.66,1.66,234100.0,2.43
2003-10-29,1.65,1.74,1.65,1.7,88500.0,1.67,1.74,1.65,1.72,124500.0,1.7,1.75,1.66,1.7,106500.0,1.7,1.72,1.68,1.7,26400.0,1.72,1.72,1.67,1.72,69300.0,2.25
2003-10-30,1.74,1.79,1.7,1.78,101300.0,1.65,1.74,1.65,1.7,88500.0,1.67,1.74,1.65,1.72,124500.0,1.7,1.75,1.66,1.7,106500.0,1.7,1.72,1.68,1.7,26400.0,2.22
2003-10-31,1.78,2.0,1.78,2.0,123600.0,1.74,1.79,1.7,1.78,101300.0,1.65,1.74,1.65,1.7,88500.0,1.67,1.74,1.65,1.72,124500.0,1.7,1.75,1.66,1.7,106500.0,2.2
2003-11-03,2.15,2.17,1.89,2.0,127400.0,1.78,2.0,1.78,2.0,123600.0,1.74,1.79,1.7,1.78,101300.0,1.65,1.74,1.65,1.7,88500.0,1.67,1.74,1.65,1.72,124500.0,2.12
2003-11-04,2.0,2.35,2.0,2.18,225900.0,2.15,2.17,1.89,2.0,127400.0,1.78,2.0,1.78,2.0,123600.0,1.74,1.79,1.7,1.78,101300.0,1.65,1.74,1.65,1.7,88500.0,2.2
2003-11-05,2.21,2.55,2.21,2.43,150200.0,2.0,2.35,2.0,2.18,225900.0,2.15,2.17,1.89,2.0,127400.0,1.78,2.0,1.78,2.0,123600.0,1.74,1.79,1.7,1.78,101300.0,2.19
2003-11-06,2.45,2.45,2.15,2.25,141100.0,2.21,2.55,2.21,2.43,150200.0,2.0,2.35,2.0,2.18,225900.0,2.15,2.17,1.89,2.0,127400.0,1.78,2.0,1.78,2.0,123600.0,2.07
2003-11-07,2.25,2.25,2.0,2.22,69700.0,2.45,2.45,2.15,2.25,141100.0,2.21,2.55,2.21,2.43,150200.0,2.0,2.35,2.0,2.18,225900.0,2.15,2.17,1.89,2.0,127400.0,2.15
2003-11-10,2.2,2.35,2.2,2.2,111800.0,2.25,2.25,2.0,2.22,69700.0,2.45,2.45,2.15,2.25,141100.0,2.21,2.55,2.21,2.43,150200.0,2.0,2.35,2.0,2.18,225900.0,1.95
2003-11-11,2.15,2.25,2.1,2.12,48500.0,2.2,2.35,2.2,2.2,111800.0,2.25,2.25,2.0,2.22,69700.0,2.45,2.45,2.15,2.25,141100.0,2.21,2.55,2.21,2.43,150200.0,2.0
2003-11-12,2.15,2.21,2.13,2.2,173000.0,2.15,2.25,2.1,2.12,48500.0,2.2,2.35,2.2,2.2,111800.0,2.25,2.25,2.0,2.22,69700.0,2.45,2.45,2.15,2.25,141100.0,2.15
2003-11-13,2.18,2.2,2.15,2.19,98400.0,2.15,2.21,2.13,2.2,173000.0,2.15,2.25,2.1,2.12,48500.0,2.2,2.35,2.2,2.2,111800.0,2.25,2.25,2.0,2.22,69700.0,2.22
2003-11-14,2.19,2.19,1.93,2.07,256300.0,2.18,2.2,2.15,2.19,98400.0,2.15,2.21,2.13,2.2,173000.0,2.15,2.25,2.1,2.12,48500.0,2.2,2.35,2.2,2.2,111800.0,2.19
2003-11-17,2.08,2.22,2.08,2.15,241300.0,2.19,2.19,1.93,2.07,256300.0,2.18,2.2,2.15,2.19,98400.0,2.15,2.21,2.13,2.2,173000.0,2.15,2.25,2.1,2.12,48500.0,2.15
2003-11-18,2.14,2.14,1.9,1.95,148000.0,2.08,2.22,2.08,2.15,241300.0,2.19,2.19,1.93,2.07,256300.0,2.18,2.2,2.15,2.19,98400.0,2.15,2.21,2.13,2.2,173000.0,2.16
2003-11-19,2.0,2.13,1.95,2.0,205700.0,2.14,2.14,1.9,1.95,148000.0,2.08,2.22,2.08,2.15,241300.0,2.19,2.19,1.93,2.07,256300.0,2.18,2.2,2.15,2.19,98400.0,2.15
2003-11-20,2.0,2.15,1.98,2.15,122700.0,2.0,2.13,1.95,2.0,205700.0,2.14,2.14,1.9,1.95,148000.0,2.08,2.22,2.08,2.15,241300.0,2.19,2.19,1.93,2.07,256300.0,2.15
2003-11-21,2.17,2.22,2.17,2.22,114700.0,2.0,2.15,1.98,2.15,122700.0,2.0,2.13,1.95,2.0,205700.0,2.14,2.14,1.9,1.95,148000.0,2.08,2.22,2.08,2.15,241300.0,2.17
2003-11-24,2.22,2.22,2.05,2.19,41900.0,2.17,2.22,2.17,2.22,114700.0,2.0,2.15,1.98,2.15,122700.0,2.0,2.13,1.95,2.0,205700.0,2.14,2.14,1.9,1.95,148000.0,2.29
2003-11-25,2.2,2.24,2.1,2.15,66000.0,2.22,2.22,2.05,2.19,41900.0,2.17,2.22,2.17,2.22,114700.0,2.0,2.15,1.98,2.15,122700.0,2.0,2.13,1.95,2.0,205700.0,2.41
2003-11-26,2.15,2.16,2.12,2.16,38600.0,2.2,2.24,2.1,2.15,66000.0,2.22,2.22,2.05,2.19,41900.0,2.17,2.22,2.17,2.22,114700.0,2.0,2.15,1.98,2.15,122700.0,2.44
