date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-07-19,17.05,20.0,17.05,18.7,144500.0,15.45,16.25,15.25,16.25,69800.0,15.05,15.25,15.05,15.2,61000.0,14.7,15.0,14.7,15.0,35900.0,15.25,15.25,14.5,14.75,125400.0,18.7
2000-07-20,19.0,19.0,18.55,18.95,90300.0,17.05,20.0,17.05,18.7,144500.0,15.45,16.25,15.25,16.25,69800.0,15.05,15.25,15.05,15.2,61000.0,14.7,15.0,14.7,15.0,35900.0,18.0
2000-07-21,18.95,18.95,17.6,18.2,37900.0,19.0,19.0,18.55,18.95,90300.0,17.05,20.0,17.05,18.7,144500.0,15.45,16.25,15.25,16.25,69800.0,15.05,15.25,15.05,15.2,61000.0,17.9
2000-07-24,18.35,18.75,18.3,18.5,28400.0,18.95,18.95,17.6,18.2,37900.0,19.0,19.0,18.55,18.95,90300.0,17.05,20.0,17.05,18.7,144500.0,15.45,16.25,15.25,16.25,69800.0,17.2
2000-07-25,18.45,18.75,18.3,18.5,23000.0,18.35,18.75,18.3,18.5,28400.0,18.95,18.95,17.6,18.2,37900.0,19.0,19.0,18.55,18.95,90300.0,17.05,20.0,17.05,18.7,144500.0,16.1
2000-07-26,18.55,18.75,18.5,18.75,23000.0,18.45,18.75,18.3,18.5,23000.0,18.35,18.75,18.3,18.5,28400.0,18.95,18.95,17.6,18.2,37900.0,19.0,19.0,18.55,18.95,90300.0,15.85
2000-07-27,18.95,18.95,18.3,18.7,51100.0,18.55,18.75,18.5,18.75,23000.0,18.45,18.75,18.3,18.5,23000.0,18.35,18.75,18.3,18.5,28400.0,18.95,18.95,17.6,18.2,37900.0,16.2
2000-07-28,18.7,18.7,17.25,18.0,10800.0,18.95,18.95,18.3,18.7,51100.0,18.55,18.75,18.5,18.75,23000.0,18.45,18.75,18.3,18.5,23000.0,18.35,18.75,18.3,18.5,28400.0,0.0
2000-07-31,18.35,18.35,17.9,17.9,15500.0,18.7,18.7,17.25,18.0,10800.0,18.95,18.95,18.3,18.7,51100.0,18.55,18.75,18.5,18.75,23000.0,18.45,18.75,18.3,18.5,23000.0,17.05
2000-08-01,17.1,17.75,17.0,17.2,15100.0,18.35,18.35,17.9,17.9,15500.0,18.7,18.7,17.25,18.0,10800.0,18.95,18.95,18.3,18.7,51100.0,18.55,18.75,18.5,18.75,23000.0,18.15
2000-08-02,17.0,17.0,15.7,16.1,41000.0,17.1,17.75,17.0,17.2,15100.0,18.35,18.35,17.9,17.9,15500.0,18.7,18.7,17.25,18.0,10800.0,18.95,18.95,18.3,18.7,51100.0,17.5
2000-08-03,16.2,16.2,15.75,15.85,99800.0,17.0,17.0,15.7,16.1,41000.0,17.1,17.75,17.0,17.2,15100.0,18.35,18.35,17.9,17.9,15500.0,18.7,18.7,17.25,18.0,10800.0,17.05
