date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2010-08-25,30.99,31.0,30.5,30.5,105500.0,31.25,31.4,30.5,30.99,38200.0,31.21,31.26,30.75,31.25,3100.0,31.45,31.45,30.3,31.4,23900.0,31.01,31.35,31.0,31.35,228200.0,32.75
2010-08-26,30.57,31.35,30.57,30.85,53900.0,30.99,31.0,30.5,30.5,105500.0,31.25,31.4,30.5,30.99,38200.0,31.21,31.26,30.75,31.25,3100.0,31.45,31.45,30.3,31.4,23900.0,32.75
2010-08-27,31.0,31.22,31.0,31.18,65600.0,30.57,31.35,30.57,30.85,53900.0,30.99,31.0,30.5,30.5,105500.0,31.25,31.4,30.5,30.99,38200.0,31.21,31.26,30.75,31.25,3100.0,33.68
2010-08-30,31.26,31.5,31.0,31.25,12200.0,31.0,31.22,31.0,31.18,65600.0,30.57,31.35,30.57,30.85,53900.0,30.99,31.0,30.5,30.5,105500.0,31.25,31.4,30.5,30.99,38200.0,33.25
2010-08-31,31.3,31.33,30.8,31.24,29700.0,31.26,31.5,31.0,31.25,12200.0,31.0,31.22,31.0,31.18,65600.0,30.57,31.35,30.57,30.85,53900.0,30.99,31.0,30.5,30.5,105500.0,33.17
2010-09-01,31.3,32.0,31.3,32.0,81900.0,31.3,31.33,30.8,31.24,29700.0,31.26,31.5,31.0,31.25,12200.0,31.0,31.22,31.0,31.18,65600.0,30.57,31.35,30.57,30.85,53900.0,33.1
2010-09-02,32.0,33.7,32.0,32.75,42700.0,31.3,32.0,31.3,32.0,81900.0,31.3,31.33,30.8,31.24,29700.0,31.26,31.5,31.0,31.25,12200.0,31.0,31.22,31.0,31.18,65600.0,33.25
2010-09-03,32.75,32.75,32.5,32.75,27400.0,32.0,33.7,32.0,32.75,42700.0,31.3,32.0,31.3,32.0,81900.0,31.3,31.33,30.8,31.24,29700.0,31.26,31.5,31.0,31.25,12200.0,33.69
2010-09-07,33.05,33.96,33.05,33.68,25300.0,32.75,32.75,32.5,32.75,27400.0,32.0,33.7,32.0,32.75,42700.0,31.3,32.0,31.3,32.0,81900.0,31.3,31.33,30.8,31.24,29700.0,34.0
2010-09-08,33.6,33.6,33.08,33.25,21000.0,33.05,33.96,33.05,33.68,25300.0,32.75,32.75,32.5,32.75,27400.0,32.0,33.7,32.0,32.75,42700.0,31.3,32.0,31.3,32.0,81900.0,34.29
2010-09-09,33.38,33.4,33.1,33.17,113900.0,33.6,33.6,33.08,33.25,21000.0,33.05,33.96,33.05,33.68,25300.0,32.75,32.75,32.5,32.75,27400.0,32.0,33.7,32.0,32.75,42700.0,34.88
2010-09-10,33.12,33.14,32.96,33.1,103100.0,33.38,33.4,33.1,33.17,113900.0,33.6,33.6,33.08,33.25,21000.0,33.05,33.96,33.05,33.68,25300.0,32.75,32.75,32.5,32.75,27400.0,35.14
2010-09-13,33.39,33.39,33.1,33.25,44200.0,33.12,33.14,32.96,33.1,103100.0,33.38,33.4,33.1,33.17,113900.0,33.6,33.6,33.08,33.25,21000.0,33.05,33.96,33.05,33.68,25300.0,35.19
2010-09-14,33.2,33.75,33.2,33.69,158500.0,33.39,33.39,33.1,33.25,44200.0,33.12,33.14,32.96,33.1,103100.0,33.38,33.4,33.1,33.17,113900.0,33.6,33.6,33.08,33.25,21000.0,35.78
2010-09-15,33.73,34.15,33.73,34.0,329200.0,33.2,33.75,33.2,33.69,158500.0,33.39,33.39,33.1,33.25,44200.0,33.12,33.14,32.96,33.1,103100.0,33.38,33.4,33.1,33.17,113900.0,35.6
2010-09-16,34.25,34.31,34.08,34.29,17400.0,33.73,34.15,33.73,34.0,329200.0,33.2,33.75,33.2,33.69,158500.0,33.39,33.39,33.1,33.25,44200.0,33.12,33.14,32.96,33.1,103100.0,35.5
2010-09-17,34.39,34.88,34.25,34.88,89800.0,34.25,34.31,34.08,34.29,17400.0,33.73,34.15,33.73,34.0,329200.0,33.2,33.75,33.2,33.69,158500.0,33.39,33.39,33.1,33.25,44200.0,35.5
2010-09-20,35.0,35.14,34.77,35.14,127600.0,34.39,34.88,34.25,34.88,89800.0,34.25,34.31,34.08,34.29,17400.0,33.73,34.15,33.73,34.0,329200.0,33.2,33.75,33.2,33.69,158500.0,35.58
2010-09-21,35.05,35.49,35.05,35.19,151200.0,35.0,35.14,34.77,35.14,127600.0,34.39,34.88,34.25,34.88,89800.0,34.25,34.31,34.08,34.29,17400.0,33.73,34.15,33.73,34.0,329200.0,35.69
2010-09-22,35.0,35.85,35.0,35.78,157500.0,35.05,35.49,35.05,35.19,151200.0,35.0,35.14,34.77,35.14,127600.0,34.39,34.88,34.25,34.88,89800.0,34.25,34.31,34.08,34.29,17400.0,35.85
2010-09-23,35.75,35.75,35.36,35.6,110000.0,35.0,35.85,35.0,35.78,157500.0,35.05,35.49,35.05,35.19,151200.0,35.0,35.14,34.77,35.14,127600.0,34.39,34.88,34.25,34.88,89800.0,35.9
2010-09-24,35.98,35.98,35.4,35.5,125400.0,35.75,35.75,35.36,35.6,110000.0,35.0,35.85,35.0,35.78,157500.0,35.05,35.49,35.05,35.19,151200.0,35.0,35.14,34.77,35.14,127600.0,35.5
2010-09-27,35.5,35.6,35.13,35.5,5700.0,35.98,35.98,35.4,35.5,125400.0,35.75,35.75,35.36,35.6,110000.0,35.0,35.85,35.0,35.78,157500.0,35.05,35.49,35.05,35.19,151200.0,36.2
2010-09-28,35.12,35.95,35.12,35.58,122900.0,35.5,35.6,35.13,35.5,5700.0,35.98,35.98,35.4,35.5,125400.0,35.75,35.75,35.36,35.6,110000.0,35.0,35.85,35.0,35.78,157500.0,36.47
2010-09-29,35.73,35.73,35.5,35.69,27600.0,35.12,35.95,35.12,35.58,122900.0,35.5,35.6,35.13,35.5,5700.0,35.98,35.98,35.4,35.5,125400.0,35.75,35.75,35.36,35.6,110000.0,36.68
2010-09-30,35.69,36.0,35.69,35.85,198700.0,35.73,35.73,35.5,35.69,27600.0,35.12,35.95,35.12,35.58,122900.0,35.5,35.6,35.13,35.5,5700.0,35.98,35.98,35.4,35.5,125400.0,36.8
