date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,9.0,9.0,8.8,8.9,1933400.0,9.025,9.025,8.875,8.95,3152400.0,9.05,9.05,8.95,9.0,4040800.0,9.125,9.125,8.95,9.0,2085200.0,9.0,9.1,8.975,9.0,1700600.0,8.9
2000-01-13,8.875,8.95,8.8,8.9,2763400.0,9.0,9.0,8.8,8.9,1933400.0,9.025,9.025,8.875,8.95,3152400.0,9.05,9.05,8.95,9.0,4040800.0,9.125,9.125,8.95,9.0,2085200.0,8.825
2000-01-14,8.925,9.025,8.9,8.9,1957200.0,8.875,8.95,8.8,8.9,2763400.0,9.0,9.0,8.8,8.9,1933400.0,9.025,9.025,8.875,8.95,3152400.0,9.05,9.05,8.95,9.0,4040800.0,8.6
2000-01-17,9.0,9.275,8.95,9.225,2053200.0,8.925,9.025,8.9,8.9,1957200.0,8.875,8.95,8.8,8.9,2763400.0,9.0,9.0,8.8,8.9,1933400.0,9.025,9.025,8.875,8.95,3152400.0,8.6
2000-01-18,9.175,9.175,9.0,9.0,2703200.0,9.0,9.275,8.95,9.225,2053200.0,8.925,9.025,8.9,8.9,1957200.0,8.875,8.95,8.8,8.9,2763400.0,9.0,9.0,8.8,8.9,1933400.0,8.625
2000-01-19,9.075,9.075,8.8,8.85,1569400.0,9.175,9.175,9.0,9.0,2703200.0,9.0,9.275,8.95,9.225,2053200.0,8.925,9.025,8.9,8.9,1957200.0,8.875,8.95,8.8,8.9,2763400.0,8.75
2000-01-20,8.925,9.05,8.85,8.9,2000800.0,9.075,9.075,8.8,8.85,1569400.0,9.175,9.175,9.0,9.0,2703200.0,9.0,9.275,8.95,9.225,2053200.0,8.925,9.025,8.9,8.9,1957200.0,8.6
2000-01-21,8.95,8.95,8.75,8.825,985800.0,8.925,9.05,8.85,8.9,2000800.0,9.075,9.075,8.8,8.85,1569400.0,9.175,9.175,9.0,9.0,2703200.0,9.0,9.275,8.95,9.225,2053200.0,8.75
2000-01-24,8.825,8.85,8.475,8.6,3734000.0,8.95,8.95,8.75,8.825,985800.0,8.925,9.05,8.85,8.9,2000800.0,9.075,9.075,8.8,8.85,1569400.0,9.175,9.175,9.0,9.0,2703200.0,8.65
2000-01-25,8.6,8.675,8.5,8.6,1133000.0,8.825,8.85,8.475,8.6,3734000.0,8.95,8.95,8.75,8.825,985800.0,8.925,9.05,8.85,8.9,2000800.0,9.075,9.075,8.8,8.85,1569400.0,8.625
2000-01-26,8.65,8.7,8.525,8.625,899600.0,8.6,8.675,8.5,8.6,1133000.0,8.825,8.85,8.475,8.6,3734000.0,8.95,8.95,8.75,8.825,985800.0,8.925,9.05,8.85,8.9,2000800.0,8.625
2000-01-27,8.675,8.825,8.6,8.75,1218600.0,8.65,8.7,8.525,8.625,899600.0,8.6,8.675,8.5,8.6,1133000.0,8.825,8.85,8.475,8.6,3734000.0,8.95,8.95,8.75,8.825,985800.0,8.6
