date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,6.1,6.8,6.1,6.8,5600.0,6.6,6.6,6.3,6.3,1600.0,6.8,6.8,6.6,6.6,3400.0,6.6,6.9,6.6,6.8,4300.0,6.8,6.8,6.75,6.75,300.0,6.5
2000-01-13,6.6,6.75,6.6,6.6,1200.0,6.1,6.8,6.1,6.8,5600.0,6.6,6.6,6.3,6.3,1600.0,6.8,6.8,6.6,6.6,3400.0,6.6,6.9,6.6,6.8,4300.0,6.1
2000-01-14,6.5,6.5,6.45,6.45,3800.0,6.6,6.75,6.6,6.6,1200.0,6.1,6.8,6.1,6.8,5600.0,6.6,6.6,6.3,6.3,1600.0,6.8,6.8,6.6,6.6,3400.0,6.55
2000-01-17,6.55,6.55,6.25,6.25,2200.0,6.5,6.5,6.45,6.45,3800.0,6.6,6.75,6.6,6.6,1200.0,6.1,6.8,6.1,6.8,5600.0,6.6,6.6,6.3,6.3,1600.0,6.3
2000-01-18,6.25,6.25,6.25,6.25,200.0,6.55,6.55,6.25,6.25,2200.0,6.5,6.5,6.45,6.45,3800.0,6.6,6.75,6.6,6.6,1200.0,6.1,6.8,6.1,6.8,5600.0,6.25
2000-01-19,6.2,6.2,6.0,6.1,18800.0,6.25,6.25,6.25,6.25,200.0,6.55,6.55,6.25,6.25,2200.0,6.5,6.5,6.45,6.45,3800.0,6.6,6.75,6.6,6.6,1200.0,5.75
2000-01-20,6.15,6.5,6.0,6.5,22200.0,6.2,6.2,6.0,6.1,18800.0,6.25,6.25,6.25,6.25,200.0,6.55,6.55,6.25,6.25,2200.0,6.5,6.5,6.45,6.45,3800.0,6.1
2000-01-21,6.2,6.2,6.0,6.1,13300.0,6.15,6.5,6.0,6.5,22200.0,6.2,6.2,6.0,6.1,18800.0,6.25,6.25,6.25,6.25,200.0,6.55,6.55,6.25,6.25,2200.0,6.3
2000-01-24,6.4,6.85,6.4,6.55,36800.0,6.2,6.2,6.0,6.1,13300.0,6.15,6.5,6.0,6.5,22200.0,6.2,6.2,6.0,6.1,18800.0,6.25,6.25,6.25,6.25,200.0,6.15
2000-01-25,6.6,6.6,6.1,6.3,9800.0,6.4,6.85,6.4,6.55,36800.0,6.2,6.2,6.0,6.1,13300.0,6.15,6.5,6.0,6.5,22200.0,6.2,6.2,6.0,6.1,18800.0,6.2
2000-01-26,6.3,6.3,6.2,6.25,4100.0,6.6,6.6,6.1,6.3,9800.0,6.4,6.85,6.4,6.55,36800.0,6.2,6.2,6.0,6.1,13300.0,6.15,6.5,6.0,6.5,22200.0,6.15
2000-01-27,6.1,6.15,5.75,5.75,57900.0,6.3,6.3,6.2,6.25,4100.0,6.6,6.6,6.1,6.3,9800.0,6.4,6.85,6.4,6.55,36800.0,6.2,6.2,6.0,6.1,13300.0,6.05
2000-01-28,5.8,6.1,5.8,6.1,1200.0,6.1,6.15,5.75,5.75,57900.0,6.3,6.3,6.2,6.25,4100.0,6.6,6.6,6.1,6.3,9800.0,6.4,6.85,6.4,6.55,36800.0,6.1
2000-01-31,6.4,6.4,6.15,6.3,2200.0,5.8,6.1,5.8,6.1,1200.0,6.1,6.15,5.75,5.75,57900.0,6.3,6.3,6.2,6.25,4100.0,6.6,6.6,6.1,6.3,9800.0,6.1
2000-02-01,6.3,6.3,6.15,6.15,1100.0,6.4,6.4,6.15,6.3,2200.0,5.8,6.1,5.8,6.1,1200.0,6.1,6.15,5.75,5.75,57900.0,6.3,6.3,6.2,6.25,4100.0,6.0
2000-02-02,6.2,6.2,6.1,6.2,6800.0,6.3,6.3,6.15,6.15,1100.0,6.4,6.4,6.15,6.3,2200.0,5.8,6.1,5.8,6.1,1200.0,6.1,6.15,5.75,5.75,57900.0,6.1
2000-02-03,6.15,6.15,6.05,6.15,8500.0,6.2,6.2,6.1,6.2,6800.0,6.3,6.3,6.15,6.15,1100.0,6.4,6.4,6.15,6.3,2200.0,5.8,6.1,5.8,6.1,1200.0,6.1
2000-02-04,6.05,6.15,6.05,6.05,5400.0,6.15,6.15,6.05,6.15,8500.0,6.2,6.2,6.1,6.2,6800.0,6.3,6.3,6.15,6.15,1100.0,6.4,6.4,6.15,6.3,2200.0,5.75
