date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2008-07-31,11.28,11.3,11.1,11.1,14000.0,11.12,11.2,11.1,11.1,10800.0,11.18,11.2,11.05,11.1,15600.0,11.17,11.18,11.05,11.06,5400.0,11.29,11.35,11.25,11.25,17600.0,11.25
2008-08-01,11.29,11.29,11.05,11.05,5200.0,11.28,11.3,11.1,11.1,14000.0,11.12,11.2,11.1,11.1,10800.0,11.18,11.2,11.05,11.1,15600.0,11.17,11.18,11.05,11.06,5400.0,11.2
2008-08-05,11.09,11.16,11.09,11.16,9900.0,11.29,11.29,11.05,11.05,5200.0,11.28,11.3,11.1,11.1,14000.0,11.12,11.2,11.1,11.1,10800.0,11.18,11.2,11.05,11.1,15600.0,11.3
2008-08-06,11.25,11.8,11.24,11.66,49600.0,11.09,11.16,11.09,11.16,9900.0,11.29,11.29,11.05,11.05,5200.0,11.28,11.3,11.1,11.1,14000.0,11.12,11.2,11.1,11.1,10800.0,11.01
2008-08-07,11.72,11.84,11.3,11.66,32000.0,11.25,11.8,11.24,11.66,49600.0,11.09,11.16,11.09,11.16,9900.0,11.29,11.29,11.05,11.05,5200.0,11.28,11.3,11.1,11.1,14000.0,11.2
2008-08-08,11.66,11.75,11.58,11.75,45000.0,11.72,11.84,11.3,11.66,32000.0,11.25,11.8,11.24,11.66,49600.0,11.09,11.16,11.09,11.16,9900.0,11.29,11.29,11.05,11.05,5200.0,11.33
2008-08-11,11.73,11.73,11.25,11.25,22700.0,11.66,11.75,11.58,11.75,45000.0,11.72,11.84,11.3,11.66,32000.0,11.25,11.8,11.24,11.66,49600.0,11.09,11.16,11.09,11.16,9900.0,11.51
2008-08-12,11.2,11.23,11.0,11.2,75600.0,11.73,11.73,11.25,11.25,22700.0,11.66,11.75,11.58,11.75,45000.0,11.72,11.84,11.3,11.66,32000.0,11.25,11.8,11.24,11.66,49600.0,11.44
2008-08-13,11.45,11.45,11.2,11.3,37400.0,11.2,11.23,11.0,11.2,75600.0,11.73,11.73,11.25,11.25,22700.0,11.66,11.75,11.58,11.75,45000.0,11.72,11.84,11.3,11.66,32000.0,11.36
2008-08-14,11.07,11.13,10.6,11.01,11900.0,11.45,11.45,11.2,11.3,37400.0,11.2,11.23,11.0,11.2,75600.0,11.73,11.73,11.25,11.25,22700.0,11.66,11.75,11.58,11.75,45000.0,11.25
2008-08-15,11.21,11.22,11.01,11.2,19400.0,11.07,11.13,10.6,11.01,11900.0,11.45,11.45,11.2,11.3,37400.0,11.2,11.23,11.0,11.2,75600.0,11.73,11.73,11.25,11.25,22700.0,11.2
2008-08-18,11.1,11.5,11.1,11.33,16700.0,11.21,11.22,11.01,11.2,19400.0,11.07,11.13,10.6,11.01,11900.0,11.45,11.45,11.2,11.3,37400.0,11.2,11.23,11.0,11.2,75600.0,11.4
2008-08-19,11.57,11.65,11.38,11.51,7300.0,11.1,11.5,11.1,11.33,16700.0,11.21,11.22,11.01,11.2,19400.0,11.07,11.13,10.6,11.01,11900.0,11.45,11.45,11.2,11.3,37400.0,11.4
2008-08-20,11.55,11.6,11.44,11.44,151700.0,11.57,11.65,11.38,11.51,7300.0,11.1,11.5,11.1,11.33,16700.0,11.21,11.22,11.01,11.2,19400.0,11.07,11.13,10.6,11.01,11900.0,11.41
2008-08-21,11.6,11.6,11.36,11.36,14000.0,11.55,11.6,11.44,11.44,151700.0,11.57,11.65,11.38,11.51,7300.0,11.1,11.5,11.1,11.33,16700.0,11.21,11.22,11.01,11.2,19400.0,11.4
2008-08-22,11.35,11.35,11.25,11.25,16100.0,11.6,11.6,11.36,11.36,14000.0,11.55,11.6,11.44,11.44,151700.0,11.57,11.65,11.38,11.51,7300.0,11.1,11.5,11.1,11.33,16700.0,11.4
2008-08-25,11.31,11.4,11.2,11.2,12000.0,11.35,11.35,11.25,11.25,16100.0,11.6,11.6,11.36,11.36,14000.0,11.55,11.6,11.44,11.44,151700.0,11.57,11.65,11.38,11.51,7300.0,11.2
2008-08-26,11.2,11.4,11.2,11.4,31700.0,11.31,11.4,11.2,11.2,12000.0,11.35,11.35,11.25,11.25,16100.0,11.6,11.6,11.36,11.36,14000.0,11.55,11.6,11.44,11.44,151700.0,11.35
2008-08-27,11.36,11.4,11.35,11.4,11500.0,11.2,11.4,11.2,11.4,31700.0,11.31,11.4,11.2,11.2,12000.0,11.35,11.35,11.25,11.25,16100.0,11.6,11.6,11.36,11.36,14000.0,11.4
2008-08-28,11.49,11.52,11.37,11.41,9600.0,11.36,11.4,11.35,11.4,11500.0,11.2,11.4,11.2,11.4,31700.0,11.31,11.4,11.2,11.2,12000.0,11.35,11.35,11.25,11.25,16100.0,11.25
2008-08-29,11.45,11.58,11.4,11.4,39700.0,11.49,11.52,11.37,11.41,9600.0,11.36,11.4,11.35,11.4,11500.0,11.2,11.4,11.2,11.4,31700.0,11.31,11.4,11.2,11.2,12000.0,11.25
2008-09-02,11.4,11.56,11.4,11.4,3100.0,11.45,11.58,11.4,11.4,39700.0,11.49,11.52,11.37,11.41,9600.0,11.36,11.4,11.35,11.4,11500.0,11.2,11.4,11.2,11.4,31700.0,11.15
2008-09-03,11.4,11.4,11.2,11.2,15200.0,11.4,11.56,11.4,11.4,3100.0,11.45,11.58,11.4,11.4,39700.0,11.49,11.52,11.37,11.41,9600.0,11.36,11.4,11.35,11.4,11500.0,10.75
2008-09-04,11.2,11.35,11.2,11.35,10700.0,11.4,11.4,11.2,11.2,15200.0,11.4,11.56,11.4,11.4,3100.0,11.45,11.58,11.4,11.4,39700.0,11.49,11.52,11.37,11.41,9600.0,11.02
2008-09-05,11.3,11.4,11.3,11.4,15800.0,11.2,11.35,11.2,11.35,10700.0,11.4,11.4,11.2,11.2,15200.0,11.4,11.56,11.4,11.4,3100.0,11.45,11.58,11.4,11.4,39700.0,11.0
2008-09-08,11.45,11.45,11.15,11.25,20200.0,11.3,11.4,11.3,11.4,15800.0,11.2,11.35,11.2,11.35,10700.0,11.4,11.4,11.2,11.2,15200.0,11.4,11.56,11.4,11.4,3100.0,10.7
2008-09-09,11.3,11.35,11.25,11.25,20300.0,11.45,11.45,11.15,11.25,20200.0,11.3,11.4,11.3,11.4,15800.0,11.2,11.35,11.2,11.35,10700.0,11.4,11.4,11.2,11.2,15200.0,10.5
2008-09-10,11.25,11.43,11.15,11.15,64900.0,11.3,11.35,11.25,11.25,20300.0,11.45,11.45,11.15,11.25,20200.0,11.3,11.4,11.3,11.4,15800.0,11.2,11.35,11.2,11.35,10700.0,10.4
2008-09-11,11.15,11.15,10.69,10.75,27300.0,11.25,11.43,11.15,11.15,64900.0,11.3,11.35,11.25,11.25,20300.0,11.45,11.45,11.15,11.25,20200.0,11.3,11.4,11.3,11.4,15800.0,10.8
2008-09-12,10.8,11.22,10.75,11.02,50400.0,11.15,11.15,10.69,10.75,27300.0,11.25,11.43,11.15,11.15,64900.0,11.3,11.35,11.25,11.25,20300.0,11.45,11.45,11.15,11.25,20200.0,10.7
2008-09-15,10.8,11.05,10.8,11.0,24700.0,10.8,11.22,10.75,11.02,50400.0,11.15,11.15,10.69,10.75,27300.0,11.25,11.43,11.15,11.15,64900.0,11.3,11.35,11.25,11.25,20300.0,10.45
2008-09-16,10.8,11.0,10.7,10.7,19700.0,10.8,11.05,10.8,11.0,24700.0,10.8,11.22,10.75,11.02,50400.0,11.15,11.15,10.69,10.75,27300.0,11.25,11.43,11.15,11.15,64900.0,10.6
2008-09-17,10.98,10.98,10.41,10.5,6600.0,10.8,11.0,10.7,10.7,19700.0,10.8,11.05,10.8,11.0,24700.0,10.8,11.22,10.75,11.02,50400.0,11.15,11.15,10.69,10.75,27300.0,11.0
2008-09-18,10.6,10.73,10.35,10.4,39400.0,10.98,10.98,10.41,10.5,6600.0,10.8,11.0,10.7,10.7,19700.0,10.8,11.05,10.8,11.0,24700.0,10.8,11.22,10.75,11.02,50400.0,10.5
2008-09-19,10.84,11.15,10.75,10.8,30600.0,10.6,10.73,10.35,10.4,39400.0,10.98,10.98,10.41,10.5,6600.0,10.8,11.0,10.7,10.7,19700.0,10.8,11.05,10.8,11.0,24700.0,10.21
2008-09-22,11.15,11.15,10.65,10.7,24300.0,10.84,11.15,10.75,10.8,30600.0,10.6,10.73,10.35,10.4,39400.0,10.98,10.98,10.41,10.5,6600.0,10.8,11.0,10.7,10.7,19700.0,10.4
2008-09-23,10.7,10.7,10.4,10.45,82600.0,11.15,11.15,10.65,10.7,24300.0,10.84,11.15,10.75,10.8,30600.0,10.6,10.73,10.35,10.4,39400.0,10.98,10.98,10.41,10.5,6600.0,10.4
2008-09-24,10.45,10.68,10.45,10.6,90000.0,10.7,10.7,10.4,10.45,82600.0,11.15,11.15,10.65,10.7,24300.0,10.84,11.15,10.75,10.8,30600.0,10.6,10.73,10.35,10.4,39400.0,10.19
2008-09-25,10.6,11.01,10.6,11.0,21700.0,10.45,10.68,10.45,10.6,90000.0,10.7,10.7,10.4,10.45,82600.0,11.15,11.15,10.65,10.7,24300.0,10.84,11.15,10.75,10.8,30600.0,10.1
2008-09-26,10.72,10.82,10.4,10.5,20300.0,10.6,11.01,10.6,11.0,21700.0,10.45,10.68,10.45,10.6,90000.0,10.7,10.7,10.4,10.45,82600.0,11.15,11.15,10.65,10.7,24300.0,9.7
2008-09-29,10.51,10.51,10.1,10.21,26500.0,10.72,10.82,10.4,10.5,20300.0,10.6,11.01,10.6,11.0,21700.0,10.45,10.68,10.45,10.6,90000.0,10.7,10.7,10.4,10.45,82600.0,9.2
2008-09-30,10.2,10.5,10.2,10.4,36000.0,10.51,10.51,10.1,10.21,26500.0,10.72,10.82,10.4,10.5,20300.0,10.6,11.01,10.6,11.0,21700.0,10.45,10.68,10.45,10.6,90000.0,8.66
2008-10-01,10.3,10.4,10.25,10.4,211900.0,10.2,10.5,10.2,10.4,36000.0,10.51,10.51,10.1,10.21,26500.0,10.72,10.82,10.4,10.5,20300.0,10.6,11.01,10.6,11.0,21700.0,8.66
2008-10-02,10.27,10.4,10.19,10.19,60200.0,10.3,10.4,10.25,10.4,211900.0,10.2,10.5,10.2,10.4,36000.0,10.51,10.51,10.1,10.21,26500.0,10.72,10.82,10.4,10.5,20300.0,7.99
2008-10-03,10.2,10.33,10.0,10.1,36500.0,10.27,10.4,10.19,10.19,60200.0,10.3,10.4,10.25,10.4,211900.0,10.2,10.5,10.2,10.4,36000.0,10.51,10.51,10.1,10.21,26500.0,8.22
2008-10-06,9.79,9.8,8.61,9.7,60500.0,10.2,10.33,10.0,10.1,36500.0,10.27,10.4,10.19,10.19,60200.0,10.3,10.4,10.25,10.4,211900.0,10.2,10.5,10.2,10.4,36000.0,8.25
2008-10-07,9.7,9.7,9.0,9.2,37600.0,9.79,9.8,8.61,9.7,60500.0,10.2,10.33,10.0,10.1,36500.0,10.27,10.4,10.19,10.19,60200.0,10.3,10.4,10.25,10.4,211900.0,8.17
2008-10-08,9.19,9.19,8.0,8.66,139100.0,9.7,9.7,9.0,9.2,37600.0,9.79,9.8,8.61,9.7,60500.0,10.2,10.33,10.0,10.1,36500.0,10.27,10.4,10.19,10.19,60200.0,9.0
2008-10-09,8.7,9.05,8.65,8.66,89800.0,9.19,9.19,8.0,8.66,139100.0,9.7,9.7,9.0,9.2,37600.0,9.79,9.8,8.61,9.7,60500.0,10.2,10.33,10.0,10.1,36500.0,9.45
2008-10-10,8.5,8.6,7.3,7.99,40300.0,8.7,9.05,8.65,8.66,89800.0,9.19,9.19,8.0,8.66,139100.0,9.7,9.7,9.0,9.2,37600.0,9.79,9.8,8.61,9.7,60500.0,10.0
2008-10-14,9.05,9.05,8.0,8.22,32400.0,8.5,8.6,7.3,7.99,40300.0,8.7,9.05,8.65,8.66,89800.0,9.19,9.19,8.0,8.66,139100.0,9.7,9.7,9.0,9.2,37600.0,10.09
2008-10-15,8.5,8.6,7.61,8.25,77500.0,9.05,9.05,8.0,8.22,32400.0,8.5,8.6,7.3,7.99,40300.0,8.7,9.05,8.65,8.66,89800.0,9.19,9.19,8.0,8.66,139100.0,10.08
2008-10-16,8.0,8.61,7.5,8.17,10100.0,8.5,8.6,7.61,8.25,77500.0,9.05,9.05,8.0,8.22,32400.0,8.5,8.6,7.3,7.99,40300.0,8.7,9.05,8.65,8.66,89800.0,9.5
2008-10-17,8.0,9.2,7.8,9.0,239100.0,8.0,8.61,7.5,8.17,10100.0,8.5,8.6,7.61,8.25,77500.0,9.05,9.05,8.0,8.22,32400.0,8.5,8.6,7.3,7.99,40300.0,8.75
2008-10-20,9.05,9.8,9.0,9.45,46500.0,8.0,9.2,7.8,9.0,239100.0,8.0,8.61,7.5,8.17,10100.0,8.5,8.6,7.61,8.25,77500.0,9.05,9.05,8.0,8.22,32400.0,8.52
2008-10-21,9.59,10.2,9.58,10.0,13200.0,9.05,9.8,9.0,9.45,46500.0,8.0,9.2,7.8,9.0,239100.0,8.0,8.61,7.5,8.17,10100.0,8.5,8.6,7.61,8.25,77500.0,8.45
2008-10-22,10.1,10.1,9.8,10.09,26400.0,9.59,10.2,9.58,10.0,13200.0,9.05,9.8,9.0,9.45,46500.0,8.0,9.2,7.8,9.0,239100.0,8.0,8.61,7.5,8.17,10100.0,8.5
2008-10-23,10.0,10.54,10.0,10.08,36900.0,10.1,10.1,9.8,10.09,26400.0,9.59,10.2,9.58,10.0,13200.0,9.05,9.8,9.0,9.45,46500.0,8.0,9.2,7.8,9.0,239100.0,8.59
2008-10-24,9.29,9.71,9.1,9.5,33100.0,10.0,10.54,10.0,10.08,36900.0,10.1,10.1,9.8,10.09,26400.0,9.59,10.2,9.58,10.0,13200.0,9.05,9.8,9.0,9.45,46500.0,8.95
2008-10-27,9.65,9.65,8.75,8.75,28600.0,9.29,9.71,9.1,9.5,33100.0,10.0,10.54,10.0,10.08,36900.0,10.1,10.1,9.8,10.09,26400.0,9.59,10.2,9.58,10.0,13200.0,8.98
2008-10-28,8.8,9.14,8.5,8.52,14900.0,9.65,9.65,8.75,8.75,28600.0,9.29,9.71,9.1,9.5,33100.0,10.0,10.54,10.0,10.08,36900.0,10.1,10.1,9.8,10.09,26400.0,8.7
2008-10-29,8.74,8.97,8.33,8.45,79700.0,8.8,9.14,8.5,8.52,14900.0,9.65,9.65,8.75,8.75,28600.0,9.29,9.71,9.1,9.5,33100.0,10.0,10.54,10.0,10.08,36900.0,8.6
2008-10-30,8.45,8.5,8.35,8.5,68600.0,8.74,8.97,8.33,8.45,79700.0,8.8,9.14,8.5,8.52,14900.0,9.65,9.65,8.75,8.75,28600.0,9.29,9.71,9.1,9.5,33100.0,8.61
2008-10-31,8.36,8.7,8.36,8.59,87000.0,8.45,8.5,8.35,8.5,68600.0,8.74,8.97,8.33,8.45,79700.0,8.8,9.14,8.5,8.52,14900.0,9.65,9.65,8.75,8.75,28600.0,9.0
2008-11-03,8.75,9.0,8.7,8.95,33400.0,8.36,8.7,8.36,8.59,87000.0,8.45,8.5,8.35,8.5,68600.0,8.74,8.97,8.33,8.45,79700.0,8.8,9.14,8.5,8.52,14900.0,9.0
