date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,7.1667,7.1667,7.0,7.0,3000.0,6.75,6.75,6.6667,6.6667,9000.0,6.6667,7.0,6.6667,7.0,7200.0,7.0,7.0333,7.0,7.0333,6300.0,7.0,7.0,7.0,7.0,51600.0,6.6667
2000-01-13,6.6667,6.6667,6.6667,6.6667,121200.0,7.1667,7.1667,7.0,7.0,3000.0,6.75,6.75,6.6667,6.6667,9000.0,6.6667,7.0,6.6667,7.0,7200.0,7.0,7.0333,7.0,7.0333,6300.0,6.5
2000-01-14,6.6667,6.6667,6.35,6.35,900.0,6.6667,6.6667,6.6667,6.6667,121200.0,7.1667,7.1667,7.0,7.0,3000.0,6.75,6.75,6.6667,6.6667,9000.0,6.6667,7.0,6.6667,7.0,7200.0,6.5833
2000-01-17,6.5833,6.6667,6.3333,6.6667,73500.0,6.6667,6.6667,6.35,6.35,900.0,6.6667,6.6667,6.6667,6.6667,121200.0,7.1667,7.1667,7.0,7.0,3000.0,6.75,6.75,6.6667,6.6667,9000.0,6.6833
2000-01-18,6.6667,6.6667,6.6667,6.6667,33000.0,6.5833,6.6667,6.3333,6.6667,73500.0,6.6667,6.6667,6.35,6.35,900.0,6.6667,6.6667,6.6667,6.6667,121200.0,7.1667,7.1667,7.0,7.0,3000.0,6.6833
2000-01-19,6.6667,6.6667,6.6667,6.6667,30600.0,6.6667,6.6667,6.6667,6.6667,33000.0,6.5833,6.6667,6.3333,6.6667,73500.0,6.6667,6.6667,6.35,6.35,900.0,6.6667,6.6667,6.6667,6.6667,121200.0,6.8333
2000-01-20,6.75,6.75,6.6667,6.6667,127800.0,6.6667,6.6667,6.6667,6.6667,30600.0,6.6667,6.6667,6.6667,6.6667,33000.0,6.5833,6.6667,6.3333,6.6667,73500.0,6.6667,6.6667,6.35,6.35,900.0,6.6667
2000-01-21,6.6667,7.0,6.5,6.5,137100.0,6.75,6.75,6.6667,6.6667,127800.0,6.6667,6.6667,6.6667,6.6667,30600.0,6.6667,6.6667,6.6667,6.6667,33000.0,6.5833,6.6667,6.3333,6.6667,73500.0,6.8333
2000-01-24,6.3333,6.5833,6.3333,6.5833,18300.0,6.6667,7.0,6.5,6.5,137100.0,6.75,6.75,6.6667,6.6667,127800.0,6.6667,6.6667,6.6667,6.6667,30600.0,6.6667,6.6667,6.6667,6.6667,33000.0,6.5
2000-01-25,6.6667,7.0,6.6667,6.6833,165300.0,6.3333,6.5833,6.3333,6.5833,18300.0,6.6667,7.0,6.5,6.5,137100.0,6.75,6.75,6.6667,6.6667,127800.0,6.6667,6.6667,6.6667,6.6667,30600.0,6.5
2000-01-26,6.6833,6.6833,6.6833,6.6833,300.0,6.6667,7.0,6.6667,6.6833,165300.0,6.3333,6.5833,6.3333,6.5833,18300.0,6.6667,7.0,6.5,6.5,137100.0,6.75,6.75,6.6667,6.6667,127800.0,6.6667
2000-01-27,7.0,7.0,6.8333,6.8333,20400.0,6.6833,6.6833,6.6833,6.6833,300.0,6.6667,7.0,6.6667,6.6833,165300.0,6.3333,6.5833,6.3333,6.5833,18300.0,6.6667,7.0,6.5,6.5,137100.0,6.3333
2000-01-28,6.8333,6.8333,6.5833,6.6667,27300.0,7.0,7.0,6.8333,6.8333,20400.0,6.6833,6.6833,6.6833,6.6833,300.0,6.6667,7.0,6.6667,6.6833,165300.0,6.3333,6.5833,6.3333,6.5833,18300.0,6.25
2000-01-31,6.5,6.8333,6.5,6.8333,5400.0,6.8333,6.8333,6.5833,6.6667,27300.0,7.0,7.0,6.8333,6.8333,20400.0,6.6833,6.6833,6.6833,6.6833,300.0,6.6667,7.0,6.6667,6.6833,165300.0,6.5
2000-02-01,7.0,7.0,6.5,6.5,7200.0,6.5,6.8333,6.5,6.8333,5400.0,6.8333,6.8333,6.5833,6.6667,27300.0,7.0,7.0,6.8333,6.8333,20400.0,6.6833,6.6833,6.6833,6.6833,300.0,6.3333
2000-02-02,6.5833,6.5833,6.5,6.5,12000.0,7.0,7.0,6.5,6.5,7200.0,6.5,6.8333,6.5,6.8333,5400.0,6.8333,6.8333,6.5833,6.6667,27300.0,7.0,7.0,6.8333,6.8333,20400.0,6.1667
2000-02-03,6.6667,6.6667,6.6667,6.6667,14700.0,6.5833,6.5833,6.5,6.5,12000.0,7.0,7.0,6.5,6.5,7200.0,6.5,6.8333,6.5,6.8333,5400.0,6.8333,6.8333,6.5833,6.6667,27300.0,6.0
2000-02-04,6.8333,6.8333,6.0,6.3333,595200.0,6.6667,6.6667,6.6667,6.6667,14700.0,6.5833,6.5833,6.5,6.5,12000.0,7.0,7.0,6.5,6.5,7200.0,6.5,6.8333,6.5,6.8333,5400.0,6.0
2000-02-07,6.3333,6.3333,6.25,6.25,18600.0,6.8333,6.8333,6.0,6.3333,595200.0,6.6667,6.6667,6.6667,6.6667,14700.0,6.5833,6.5833,6.5,6.5,12000.0,7.0,7.0,6.5,6.5,7200.0,6.1667
2000-02-08,6.25,6.5,6.25,6.5,9300.0,6.3333,6.3333,6.25,6.25,18600.0,6.8333,6.8333,6.0,6.3333,595200.0,6.6667,6.6667,6.6667,6.6667,14700.0,6.5833,6.5833,6.5,6.5,12000.0,6.1667
2000-02-09,5.5,6.3333,5.5,6.3333,21000.0,6.25,6.5,6.25,6.5,9300.0,6.3333,6.3333,6.25,6.25,18600.0,6.8333,6.8333,6.0,6.3333,595200.0,6.6667,6.6667,6.6667,6.6667,14700.0,6.1667
2000-02-10,6.3333,6.3333,6.1667,6.1667,15300.0,5.5,6.3333,5.5,6.3333,21000.0,6.25,6.5,6.25,6.5,9300.0,6.3333,6.3333,6.25,6.25,18600.0,6.8333,6.8333,6.0,6.3333,595200.0,6.3333
2000-02-11,6.0,6.0,5.8333,6.0,39900.0,6.3333,6.3333,6.1667,6.1667,15300.0,5.5,6.3333,5.5,6.3333,21000.0,6.25,6.5,6.25,6.5,9300.0,6.3333,6.3333,6.25,6.25,18600.0,6.3333
2000-02-14,5.6667,6.0,5.6667,6.0,108300.0,6.0,6.0,5.8333,6.0,39900.0,6.3333,6.3333,6.1667,6.1667,15300.0,5.5,6.3333,5.5,6.3333,21000.0,6.25,6.5,6.25,6.5,9300.0,6.0
2000-02-15,6.0833,6.3333,6.0,6.1667,137400.0,5.6667,6.0,5.6667,6.0,108300.0,6.0,6.0,5.8333,6.0,39900.0,6.3333,6.3333,6.1667,6.1667,15300.0,5.5,6.3333,5.5,6.3333,21000.0,6.0
2000-02-16,6.1667,6.1667,6.1667,6.1667,1500.0,6.0833,6.3333,6.0,6.1667,137400.0,5.6667,6.0,5.6667,6.0,108300.0,6.0,6.0,5.8333,6.0,39900.0,6.3333,6.3333,6.1667,6.1667,15300.0,5.8333
2000-02-17,6.0,6.3333,6.0,6.1667,20400.0,6.1667,6.1667,6.1667,6.1667,1500.0,6.0833,6.3333,6.0,6.1667,137400.0,5.6667,6.0,5.6667,6.0,108300.0,6.0,6.0,5.8333,6.0,39900.0,5.6667
2000-02-18,6.0833,6.3333,6.0833,6.3333,5400.0,6.0,6.3333,6.0,6.1667,20400.0,6.1667,6.1667,6.1667,6.1667,1500.0,6.0833,6.3333,6.0,6.1667,137400.0,5.6667,6.0,5.6667,6.0,108300.0,5.6667
2000-02-21,6.3333,6.3333,6.3333,6.3333,3300.0,6.0833,6.3333,6.0833,6.3333,5400.0,6.0,6.3333,6.0,6.1667,20400.0,6.1667,6.1667,6.1667,6.1667,1500.0,6.0833,6.3333,6.0,6.1667,137400.0,6.1667
2000-02-22,6.1667,6.1667,6.0,6.0,2100.0,6.3333,6.3333,6.3333,6.3333,3300.0,6.0833,6.3333,6.0833,6.3333,5400.0,6.0,6.3333,6.0,6.1667,20400.0,6.1667,6.1667,6.1667,6.1667,1500.0,6.6667
2000-02-23,6.0,6.0,6.0,6.0,0.0,6.1667,6.1667,6.0,6.0,2100.0,6.3333,6.3333,6.3333,6.3333,3300.0,6.0833,6.3333,6.0833,6.3333,5400.0,6.0,6.3333,6.0,6.1667,20400.0,6.8333
2000-02-24,5.8333,6.3333,5.8333,5.8333,25200.0,6.0,6.0,6.0,6.0,0.0,6.1667,6.1667,6.0,6.0,2100.0,6.3333,6.3333,6.3333,6.3333,3300.0,6.0833,6.3333,6.0833,6.3333,5400.0,6.3333
2000-02-25,5.8333,5.8333,5.6667,5.6667,3600.0,5.8333,6.3333,5.8333,5.8333,25200.0,6.0,6.0,6.0,6.0,0.0,6.1667,6.1667,6.0,6.0,2100.0,6.3333,6.3333,6.3333,6.3333,3300.0,6.3333
2000-02-28,5.6667,5.6667,5.6667,5.6667,1500.0,5.8333,5.8333,5.6667,5.6667,3600.0,5.8333,6.3333,5.8333,5.8333,25200.0,6.0,6.0,6.0,6.0,0.0,6.1667,6.1667,6.0,6.0,2100.0,6.3333
2000-02-29,5.6667,6.1667,5.6667,6.1667,31800.0,5.6667,5.6667,5.6667,5.6667,1500.0,5.8333,5.8333,5.6667,5.6667,3600.0,5.8333,6.3333,5.8333,5.8333,25200.0,6.0,6.0,6.0,6.0,0.0,6.6667
2000-03-01,6.3333,6.6667,6.0,6.6667,75600.0,5.6667,6.1667,5.6667,6.1667,31800.0,5.6667,5.6667,5.6667,5.6667,1500.0,5.8333,5.8333,5.6667,5.6667,3600.0,5.8333,6.3333,5.8333,5.8333,25200.0,6.5
2000-03-02,6.0,6.8333,6.0,6.8333,80100.0,6.3333,6.6667,6.0,6.6667,75600.0,5.6667,6.1667,5.6667,6.1667,31800.0,5.6667,5.6667,5.6667,5.6667,1500.0,5.8333,5.8333,5.6667,5.6667,3600.0,6.75
2000-03-03,6.6667,6.6667,6.1667,6.3333,541200.0,6.0,6.8333,6.0,6.8333,80100.0,6.3333,6.6667,6.0,6.6667,75600.0,5.6667,6.1667,5.6667,6.1667,31800.0,5.6667,5.6667,5.6667,5.6667,1500.0,6.8333
2000-03-06,6.3333,6.4167,6.3333,6.3333,64800.0,6.6667,6.6667,6.1667,6.3333,541200.0,6.0,6.8333,6.0,6.8333,80100.0,6.3333,6.6667,6.0,6.6667,75600.0,5.6667,6.1667,5.6667,6.1667,31800.0,6.3333
2000-03-07,6.5,6.5,6.3333,6.3333,3300.0,6.3333,6.4167,6.3333,6.3333,64800.0,6.6667,6.6667,6.1667,6.3333,541200.0,6.0,6.8333,6.0,6.8333,80100.0,6.3333,6.6667,6.0,6.6667,75600.0,6.8333
2000-03-08,6.5,6.6667,6.5,6.6667,16200.0,6.5,6.5,6.3333,6.3333,3300.0,6.3333,6.4167,6.3333,6.3333,64800.0,6.6667,6.6667,6.1667,6.3333,541200.0,6.0,6.8333,6.0,6.8333,80100.0,6.8333
2000-03-09,6.5,6.5,6.1667,6.5,65700.0,6.5,6.6667,6.5,6.6667,16200.0,6.5,6.5,6.3333,6.3333,3300.0,6.3333,6.4167,6.3333,6.3333,64800.0,6.6667,6.6667,6.1667,6.3333,541200.0,6.8333
2000-03-10,6.7667,6.7667,6.5,6.75,7500.0,6.5,6.5,6.1667,6.5,65700.0,6.5,6.6667,6.5,6.6667,16200.0,6.5,6.5,6.3333,6.3333,3300.0,6.3333,6.4167,6.3333,6.3333,64800.0,6.5
2000-03-13,6.8333,7.0,6.8333,6.8333,9600.0,6.7667,6.7667,6.5,6.75,7500.0,6.5,6.5,6.1667,6.5,65700.0,6.5,6.6667,6.5,6.6667,16200.0,6.5,6.5,6.3333,6.3333,3300.0,6.8333
2000-03-14,6.3333,6.6667,6.3333,6.3333,23700.0,6.8333,7.0,6.8333,6.8333,9600.0,6.7667,6.7667,6.5,6.75,7500.0,6.5,6.5,6.1667,6.5,65700.0,6.5,6.6667,6.5,6.6667,16200.0,6.5
2000-03-15,6.3333,7.0,6.3333,6.8333,11700.0,6.3333,6.6667,6.3333,6.3333,23700.0,6.8333,7.0,6.8333,6.8333,9600.0,6.7667,6.7667,6.5,6.75,7500.0,6.5,6.5,6.1667,6.5,65700.0,6.5
2000-03-16,6.8333,6.9833,6.6667,6.8333,5400.0,6.3333,7.0,6.3333,6.8333,11700.0,6.3333,6.6667,6.3333,6.3333,23700.0,6.8333,7.0,6.8333,6.8333,9600.0,6.7667,6.7667,6.5,6.75,7500.0,6.6667
2000-03-17,6.3333,6.8333,6.3333,6.8333,14400.0,6.8333,6.9833,6.6667,6.8333,5400.0,6.3333,7.0,6.3333,6.8333,11700.0,6.3333,6.6667,6.3333,6.3333,23700.0,6.8333,7.0,6.8333,6.8333,9600.0,6.5833
2000-03-20,7.0,7.0,6.5,6.5,26100.0,6.3333,6.8333,6.3333,6.8333,14400.0,6.8333,6.9833,6.6667,6.8333,5400.0,6.3333,7.0,6.3333,6.8333,11700.0,6.3333,6.6667,6.3333,6.3333,23700.0,6.5833
2000-03-21,6.3333,7.0,6.3333,6.8333,5700.0,7.0,7.0,6.5,6.5,26100.0,6.3333,6.8333,6.3333,6.8333,14400.0,6.8333,6.9833,6.6667,6.8333,5400.0,6.3333,7.0,6.3333,6.8333,11700.0,6.0833
2000-03-22,6.6667,6.6667,6.5,6.5,1800.0,6.3333,7.0,6.3333,6.8333,5700.0,7.0,7.0,6.5,6.5,26100.0,6.3333,6.8333,6.3333,6.8333,14400.0,6.8333,6.9833,6.6667,6.8333,5400.0,6.3333
2000-03-23,6.4167,6.5,6.4167,6.5,1800.0,6.6667,6.6667,6.5,6.5,1800.0,6.3333,7.0,6.3333,6.8333,5700.0,7.0,7.0,6.5,6.5,26100.0,6.3333,6.8333,6.3333,6.8333,14400.0,6.1667
2000-03-24,6.6667,6.6667,6.6667,6.6667,600.0,6.4167,6.5,6.4167,6.5,1800.0,6.6667,6.6667,6.5,6.5,1800.0,6.3333,7.0,6.3333,6.8333,5700.0,7.0,7.0,6.5,6.5,26100.0,6.25
2000-03-27,6.5833,6.5833,5.8667,6.5833,164100.0,6.6667,6.6667,6.6667,6.6667,600.0,6.4167,6.5,6.4167,6.5,1800.0,6.6667,6.6667,6.5,6.5,1800.0,6.3333,7.0,6.3333,6.8333,5700.0,6.3333
2000-03-28,6.0833,6.5833,6.0833,6.5833,8700.0,6.5833,6.5833,5.8667,6.5833,164100.0,6.6667,6.6667,6.6667,6.6667,600.0,6.4167,6.5,6.4167,6.5,1800.0,6.6667,6.6667,6.5,6.5,1800.0,6.1667
2000-03-29,6.1667,6.5,6.0833,6.0833,1500.0,6.0833,6.5833,6.0833,6.5833,8700.0,6.5833,6.5833,5.8667,6.5833,164100.0,6.6667,6.6667,6.6667,6.6667,600.0,6.4167,6.5,6.4167,6.5,1800.0,6.3333
2000-03-30,6.3333,6.3333,6.3333,6.3333,600.0,6.1667,6.5,6.0833,6.0833,1500.0,6.0833,6.5833,6.0833,6.5833,8700.0,6.5833,6.5833,5.8667,6.5833,164100.0,6.6667,6.6667,6.6667,6.6667,600.0,6.3333
2000-03-31,6.3333,6.3333,6.1667,6.1667,11100.0,6.3333,6.3333,6.3333,6.3333,600.0,6.1667,6.5,6.0833,6.0833,1500.0,6.0833,6.5833,6.0833,6.5833,8700.0,6.5833,6.5833,5.8667,6.5833,164100.0,6.3167
2000-04-03,6.1667,6.3333,6.1667,6.25,94500.0,6.3333,6.3333,6.1667,6.1667,11100.0,6.3333,6.3333,6.3333,6.3333,600.0,6.1667,6.5,6.0833,6.0833,1500.0,6.0833,6.5833,6.0833,6.5833,8700.0,6.1667
2000-04-04,6.25,6.3333,6.1833,6.3333,177000.0,6.1667,6.3333,6.1667,6.25,94500.0,6.3333,6.3333,6.1667,6.1667,11100.0,6.3333,6.3333,6.3333,6.3333,600.0,6.1667,6.5,6.0833,6.0833,1500.0,6.3167
2000-04-05,6.3333,6.3333,6.1667,6.1667,8400.0,6.25,6.3333,6.1833,6.3333,177000.0,6.1667,6.3333,6.1667,6.25,94500.0,6.3333,6.3333,6.1667,6.1667,11100.0,6.3333,6.3333,6.3333,6.3333,600.0,6.1667
2000-04-06,6.3333,6.3333,6.25,6.3333,17100.0,6.3333,6.3333,6.1667,6.1667,8400.0,6.25,6.3333,6.1833,6.3333,177000.0,6.1667,6.3333,6.1667,6.25,94500.0,6.3333,6.3333,6.1667,6.1667,11100.0,6.1667
2000-04-07,6.3333,6.3333,6.3333,6.3333,31500.0,6.3333,6.3333,6.25,6.3333,17100.0,6.3333,6.3333,6.1667,6.1667,8400.0,6.25,6.3333,6.1833,6.3333,177000.0,6.1667,6.3333,6.1667,6.25,94500.0,6.1667
2000-04-10,6.1667,6.3167,6.1667,6.3167,1500.0,6.3333,6.3333,6.3333,6.3333,31500.0,6.3333,6.3333,6.25,6.3333,17100.0,6.3333,6.3333,6.1667,6.1667,8400.0,6.25,6.3333,6.1833,6.3333,177000.0,6.3333
2000-04-11,6.1667,6.1667,6.1667,6.1667,900.0,6.1667,6.3167,6.1667,6.3167,1500.0,6.3333,6.3333,6.3333,6.3333,31500.0,6.3333,6.3333,6.25,6.3333,17100.0,6.3333,6.3333,6.1667,6.1667,8400.0,6.3333
2000-04-12,6.3167,6.3167,6.3167,6.3167,1800.0,6.1667,6.1667,6.1667,6.1667,900.0,6.1667,6.3167,6.1667,6.3167,1500.0,6.3333,6.3333,6.3333,6.3333,31500.0,6.3333,6.3333,6.25,6.3333,17100.0,6.3167
2000-04-13,6.25,6.3333,6.1667,6.1667,14700.0,6.3167,6.3167,6.3167,6.3167,1800.0,6.1667,6.1667,6.1667,6.1667,900.0,6.1667,6.3167,6.1667,6.3167,1500.0,6.3333,6.3333,6.3333,6.3333,31500.0,0.0
2000-04-14,6.3333,6.3333,6.1667,6.1667,304200.0,6.25,6.3333,6.1667,6.1667,14700.0,6.3167,6.3167,6.3167,6.3167,1800.0,6.1667,6.1667,6.1667,6.1667,900.0,6.1667,6.3167,6.1667,6.3167,1500.0,6.1667
2000-04-17,6.1667,6.1667,6.1667,6.1667,1500.0,6.3333,6.3333,6.1667,6.1667,304200.0,6.25,6.3333,6.1667,6.1667,14700.0,6.3167,6.3167,6.3167,6.3167,1800.0,6.1667,6.1667,6.1667,6.1667,900.0,6.1667
2000-04-18,6.3333,6.3333,6.3333,6.3333,13500.0,6.1667,6.1667,6.1667,6.1667,1500.0,6.3333,6.3333,6.1667,6.1667,304200.0,6.25,6.3333,6.1667,6.1667,14700.0,6.3167,6.3167,6.3167,6.3167,1800.0,6.3333
2000-04-19,6.3333,6.3333,6.3333,6.3333,4800.0,6.3333,6.3333,6.3333,6.3333,13500.0,6.1667,6.1667,6.1667,6.1667,1500.0,6.3333,6.3333,6.1667,6.1667,304200.0,6.25,6.3333,6.1667,6.1667,14700.0,6.3333
2000-04-20,6.3167,6.3167,6.3167,6.3167,2100.0,6.3333,6.3333,6.3333,6.3333,4800.0,6.3333,6.3333,6.3333,6.3333,13500.0,6.1667,6.1667,6.1667,6.1667,1500.0,6.3333,6.3333,6.1667,6.1667,304200.0,6.6667
2000-04-21,0.0,0.0,0.0,0.0,0.0,6.3167,6.3167,6.3167,6.3167,2100.0,6.3333,6.3333,6.3333,6.3333,4800.0,6.3333,6.3333,6.3333,6.3333,13500.0,6.1667,6.1667,6.1667,6.1667,1500.0,6.2
2000-04-24,6.3333,6.3333,6.1667,6.1667,91200.0,0.0,0.0,0.0,0.0,0.0,6.3167,6.3167,6.3167,6.3167,2100.0,6.3333,6.3333,6.3333,6.3333,4800.0,6.3333,6.3333,6.3333,6.3333,13500.0,6.6667
2000-04-25,6.1667,6.3333,6.1667,6.1667,277800.0,6.3333,6.3333,6.1667,6.1667,91200.0,0.0,0.0,0.0,0.0,0.0,6.3167,6.3167,6.3167,6.3167,2100.0,6.3333,6.3333,6.3333,6.3333,4800.0,6.6667
2000-04-26,6.3333,6.3333,6.3333,6.3333,3000.0,6.1667,6.3333,6.1667,6.1667,277800.0,6.3333,6.3333,6.1667,6.1667,91200.0,0.0,0.0,0.0,0.0,0.0,6.3167,6.3167,6.3167,6.3167,2100.0,7.0
2000-04-27,6.5,6.5,6.3333,6.3333,3300.0,6.3333,6.3333,6.3333,6.3333,3000.0,6.1667,6.3333,6.1667,6.1667,277800.0,6.3333,6.3333,6.1667,6.1667,91200.0,0.0,0.0,0.0,0.0,0.0,7.0
2000-04-28,6.5,6.6667,6.4167,6.6667,30300.0,6.5,6.5,6.3333,6.3333,3300.0,6.3333,6.3333,6.3333,6.3333,3000.0,6.1667,6.3333,6.1667,6.1667,277800.0,6.3333,6.3333,6.1667,6.1667,91200.0,6.8333
2000-05-01,6.6667,6.6667,6.2,6.2,6000.0,6.5,6.6667,6.4167,6.6667,30300.0,6.5,6.5,6.3333,6.3333,3300.0,6.3333,6.3333,6.3333,6.3333,3000.0,6.1667,6.3333,6.1667,6.1667,277800.0,7.0
2000-05-02,6.6667,6.6667,6.6667,6.6667,1200.0,6.6667,6.6667,6.2,6.2,6000.0,6.5,6.6667,6.4167,6.6667,30300.0,6.5,6.5,6.3333,6.3333,3300.0,6.3333,6.3333,6.3333,6.3333,3000.0,7.0
2000-05-03,6.6667,7.0,6.6667,6.6667,52800.0,6.6667,6.6667,6.6667,6.6667,1200.0,6.6667,6.6667,6.2,6.2,6000.0,6.5,6.6667,6.4167,6.6667,30300.0,6.5,6.5,6.3333,6.3333,3300.0,7.1667
2000-05-04,7.0,7.0,7.0,7.0,306300.0,6.6667,7.0,6.6667,6.6667,52800.0,6.6667,6.6667,6.6667,6.6667,1200.0,6.6667,6.6667,6.2,6.2,6000.0,6.5,6.6667,6.4167,6.6667,30300.0,7.1667
2000-05-05,6.8333,7.0,6.8333,7.0,74100.0,7.0,7.0,7.0,7.0,306300.0,6.6667,7.0,6.6667,6.6667,52800.0,6.6667,6.6667,6.6667,6.6667,1200.0,6.6667,6.6667,6.2,6.2,6000.0,7.0833
2000-05-08,6.9167,6.9167,6.8333,6.8333,10500.0,6.8333,7.0,6.8333,7.0,74100.0,7.0,7.0,7.0,7.0,306300.0,6.6667,7.0,6.6667,6.6667,52800.0,6.6667,6.6667,6.6667,6.6667,1200.0,7.1
2000-05-09,6.9667,7.0167,6.9667,7.0,570900.0,6.9167,6.9167,6.8333,6.8333,10500.0,6.8333,7.0,6.8333,7.0,74100.0,7.0,7.0,7.0,7.0,306300.0,6.6667,7.0,6.6667,6.6667,52800.0,7.1833
2000-05-10,7.0,7.0,7.0,7.0,300.0,6.9667,7.0167,6.9667,7.0,570900.0,6.9167,6.9167,6.8333,6.8333,10500.0,6.8333,7.0,6.8333,7.0,74100.0,7.0,7.0,7.0,7.0,306300.0,7.6667
2000-05-11,7.1667,7.1667,7.05,7.1667,119700.0,7.0,7.0,7.0,7.0,300.0,6.9667,7.0167,6.9667,7.0,570900.0,6.9167,6.9167,6.8333,6.8333,10500.0,6.8333,7.0,6.8333,7.0,74100.0,7.5
2000-05-12,7.0,7.1667,7.0,7.1667,10500.0,7.1667,7.1667,7.05,7.1667,119700.0,7.0,7.0,7.0,7.0,300.0,6.9667,7.0167,6.9667,7.0,570900.0,6.9167,6.9167,6.8333,6.8333,10500.0,0.0
2000-05-15,7.0833,7.0833,7.0833,7.0833,8400.0,7.0,7.1667,7.0,7.1667,10500.0,7.1667,7.1667,7.05,7.1667,119700.0,7.0,7.0,7.0,7.0,300.0,6.9667,7.0167,6.9667,7.0,570900.0,7.5
2000-05-16,7.0833,7.3333,7.0833,7.1,458100.0,7.0833,7.0833,7.0833,7.0833,8400.0,7.0,7.1667,7.0,7.1667,10500.0,7.1667,7.1667,7.05,7.1667,119700.0,7.0,7.0,7.0,7.0,300.0,7.5333
2000-05-17,7.3333,7.3333,7.1833,7.1833,22500.0,7.0833,7.3333,7.0833,7.1,458100.0,7.0833,7.0833,7.0833,7.0833,8400.0,7.0,7.1667,7.0,7.1667,10500.0,7.1667,7.1667,7.05,7.1667,119700.0,7.5333
2000-05-18,7.1667,7.6667,7.1667,7.6667,57000.0,7.3333,7.3333,7.1833,7.1833,22500.0,7.0833,7.3333,7.0833,7.1,458100.0,7.0833,7.0833,7.0833,7.0833,8400.0,7.0,7.1667,7.0,7.1667,10500.0,7.5
2000-05-19,7.5,7.6667,7.5,7.5,372600.0,7.1667,7.6667,7.1667,7.6667,57000.0,7.3333,7.3333,7.1833,7.1833,22500.0,7.0833,7.3333,7.0833,7.1,458100.0,7.0833,7.0833,7.0833,7.0833,8400.0,7.5
2000-05-22,0.0,0.0,0.0,0.0,0.0,7.5,7.6667,7.5,7.5,372600.0,7.1667,7.6667,7.1667,7.6667,57000.0,7.3333,7.3333,7.1833,7.1833,22500.0,7.0833,7.3333,7.0833,7.1,458100.0,7.3333
2000-05-23,7.5833,7.5833,7.5,7.5,6900.0,0.0,0.0,0.0,0.0,0.0,7.5,7.6667,7.5,7.5,372600.0,7.1667,7.6667,7.1667,7.6667,57000.0,7.3333,7.3333,7.1833,7.1833,22500.0,7.5
