date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2010-05-21,10.7,10.7,10.7,10.7,0.0,11.0,11.0,10.66,10.7,3700.0,11.24,11.24,10.9,10.9,7400.0,11.13,11.25,11.13,11.25,1800.0,11.6,11.6,11.25,11.25,4200.0,10.9
2010-05-25,11.14,11.14,10.76,10.76,1100.0,10.7,10.7,10.7,10.7,0.0,11.0,11.0,10.66,10.7,3700.0,11.24,11.24,10.9,10.9,7400.0,11.13,11.25,11.13,11.25,1800.0,10.89
2010-05-26,10.7,10.9,10.7,10.9,1600.0,11.14,11.14,10.76,10.76,1100.0,10.7,10.7,10.7,10.7,0.0,11.0,11.0,10.66,10.7,3700.0,11.24,11.24,10.9,10.9,7400.0,10.9
2010-05-27,11.13,11.2,10.9,10.9,11700.0,10.7,10.9,10.7,10.9,1600.0,11.14,11.14,10.76,10.76,1100.0,10.7,10.7,10.7,10.7,0.0,11.0,11.0,10.66,10.7,3700.0,10.91
2010-05-28,11.4,11.4,11.4,11.4,300.0,11.13,11.2,10.9,10.9,11700.0,10.7,10.9,10.7,10.9,1600.0,11.14,11.14,10.76,10.76,1100.0,10.7,10.7,10.7,10.7,0.0,11.2
2010-05-31,11.23,11.23,11.23,11.23,100.0,11.4,11.4,11.4,11.4,300.0,11.13,11.2,10.9,10.9,11700.0,10.7,10.9,10.7,10.9,1600.0,11.14,11.14,10.76,10.76,1100.0,11.2
2010-06-01,11.0,11.0,10.9,10.9,1900.0,11.23,11.23,11.23,11.23,100.0,11.4,11.4,11.4,11.4,300.0,11.13,11.2,10.9,10.9,11700.0,10.7,10.9,10.7,10.9,1600.0,11.0
2010-06-02,10.9,10.9,10.81,10.89,2700.0,11.0,11.0,10.9,10.9,1900.0,11.23,11.23,11.23,11.23,100.0,11.4,11.4,11.4,11.4,300.0,11.13,11.2,10.9,10.9,11700.0,11.0
2010-06-03,10.99,10.99,10.9,10.9,800.0,10.9,10.9,10.81,10.89,2700.0,11.0,11.0,10.9,10.9,1900.0,11.23,11.23,11.23,11.23,100.0,11.4,11.4,11.4,11.4,300.0,10.7
2010-06-04,11.02,11.05,10.91,10.91,10800.0,10.99,10.99,10.9,10.9,800.0,10.9,10.9,10.81,10.89,2700.0,11.0,11.0,10.9,10.9,1900.0,11.23,11.23,11.23,11.23,100.0,10.63
2010-06-07,11.21,11.21,10.91,11.2,2300.0,11.02,11.05,10.91,10.91,10800.0,10.99,10.99,10.9,10.9,800.0,10.9,10.9,10.81,10.89,2700.0,11.0,11.0,10.9,10.9,1900.0,10.9
2010-06-08,11.2,11.2,11.2,11.2,0.0,11.21,11.21,10.91,11.2,2300.0,11.02,11.05,10.91,10.91,10800.0,10.99,10.99,10.9,10.9,800.0,10.9,10.9,10.81,10.89,2700.0,10.89
2010-06-09,11.0,11.0,11.0,11.0,1200.0,11.2,11.2,11.2,11.2,0.0,11.21,11.21,10.91,11.2,2300.0,11.02,11.05,10.91,10.91,10800.0,10.99,10.99,10.9,10.9,800.0,10.89
2010-06-10,11.0,11.0,11.0,11.0,900.0,11.0,11.0,11.0,11.0,1200.0,11.2,11.2,11.2,11.2,0.0,11.21,11.21,10.91,11.2,2300.0,11.02,11.05,10.91,10.91,10800.0,10.8
