date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,4.35,4.44,4.25,4.39,69600.0,4.4,4.4,4.3,4.34,89500.0,4.2,4.5,4.17,4.35,213100.0,4.02,4.2,4.0,4.13,50600.0,3.85,4.2,3.85,4.1,301700.0,3.95
2000-01-13,4.47,4.47,4.25,4.25,54500.0,4.35,4.44,4.25,4.39,69600.0,4.4,4.4,4.3,4.34,89500.0,4.2,4.5,4.17,4.35,213100.0,4.02,4.2,4.0,4.13,50600.0,4.11
2000-01-14,4.35,4.35,4.01,4.01,330100.0,4.47,4.47,4.25,4.25,54500.0,4.35,4.44,4.25,4.39,69600.0,4.4,4.4,4.3,4.34,89500.0,4.2,4.5,4.17,4.35,213100.0,4.5
2000-01-17,3.97,3.97,3.6,3.85,186200.0,4.35,4.35,4.01,4.01,330100.0,4.47,4.47,4.25,4.25,54500.0,4.35,4.44,4.25,4.39,69600.0,4.4,4.4,4.3,4.34,89500.0,4.6
2000-01-18,3.85,4.0,3.85,3.9,52800.0,3.97,3.97,3.6,3.85,186200.0,4.35,4.35,4.01,4.01,330100.0,4.47,4.47,4.25,4.25,54500.0,4.35,4.44,4.25,4.39,69600.0,4.34
2000-01-19,3.86,3.95,3.8,3.85,182100.0,3.85,4.0,3.85,3.9,52800.0,3.97,3.97,3.6,3.85,186200.0,4.35,4.35,4.01,4.01,330100.0,4.47,4.47,4.25,4.25,54500.0,4.18
2000-01-20,3.86,4.05,3.86,3.95,91200.0,3.86,3.95,3.8,3.85,182100.0,3.85,4.0,3.85,3.9,52800.0,3.97,3.97,3.6,3.85,186200.0,4.35,4.35,4.01,4.01,330100.0,4.4
2000-01-21,4.1,4.25,3.98,4.11,124800.0,3.86,4.05,3.86,3.95,91200.0,3.86,3.95,3.8,3.85,182100.0,3.85,4.0,3.85,3.9,52800.0,3.97,3.97,3.6,3.85,186200.0,4.31
2000-01-24,4.25,4.9,4.25,4.5,485700.0,4.1,4.25,3.98,4.11,124800.0,3.86,4.05,3.86,3.95,91200.0,3.86,3.95,3.8,3.85,182100.0,3.85,4.0,3.85,3.9,52800.0,4.19
2000-01-25,4.5,4.65,4.48,4.6,263300.0,4.25,4.9,4.25,4.5,485700.0,4.1,4.25,3.98,4.11,124800.0,3.86,4.05,3.86,3.95,91200.0,3.86,3.95,3.8,3.85,182100.0,4.0
