date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2012-02-01,6.6,6.75,6.6,6.69,28000.0,6.61,6.67,6.55,6.6,24700.0,6.4,6.69,6.39,6.59,33400.0,6.34,6.4,6.27,6.38,36700.0,6.29,6.39,6.2,6.39,326500.0,7.49
2012-02-02,6.7,7.52,6.7,7.34,94900.0,6.6,6.75,6.6,6.69,28000.0,6.61,6.67,6.55,6.6,24700.0,6.4,6.69,6.39,6.59,33400.0,6.34,6.4,6.27,6.38,36700.0,7.49
2012-02-03,7.49,7.98,7.35,7.35,239500.0,6.7,7.52,6.7,7.34,94900.0,6.6,6.75,6.6,6.69,28000.0,6.61,6.67,6.55,6.6,24700.0,6.4,6.69,6.39,6.59,33400.0,7.5
2012-02-06,7.45,7.47,7.15,7.47,43700.0,7.49,7.98,7.35,7.35,239500.0,6.7,7.52,6.7,7.34,94900.0,6.6,6.75,6.6,6.69,28000.0,6.61,6.67,6.55,6.6,24700.0,7.47
2012-02-07,7.48,7.51,7.45,7.5,83100.0,7.45,7.47,7.15,7.47,43700.0,7.49,7.98,7.35,7.35,239500.0,6.7,7.52,6.7,7.34,94900.0,6.6,6.75,6.6,6.69,28000.0,7.4
2012-02-08,7.5,7.5,7.13,7.35,116800.0,7.48,7.51,7.45,7.5,83100.0,7.45,7.47,7.15,7.47,43700.0,7.49,7.98,7.35,7.35,239500.0,6.7,7.52,6.7,7.34,94900.0,7.49
2012-02-09,7.4,7.49,7.36,7.49,36700.0,7.5,7.5,7.13,7.35,116800.0,7.48,7.51,7.45,7.5,83100.0,7.45,7.47,7.15,7.47,43700.0,7.49,7.98,7.35,7.35,239500.0,7.5
2012-02-10,7.49,7.49,7.35,7.49,36400.0,7.4,7.49,7.36,7.49,36700.0,7.5,7.5,7.13,7.35,116800.0,7.48,7.51,7.45,7.5,83100.0,7.45,7.47,7.15,7.47,43700.0,7.84
2012-02-13,7.49,7.5,7.44,7.5,55200.0,7.49,7.49,7.35,7.49,36400.0,7.4,7.49,7.36,7.49,36700.0,7.5,7.5,7.13,7.35,116800.0,7.48,7.51,7.45,7.5,83100.0,7.82
2012-02-14,7.44,7.5,7.37,7.47,35200.0,7.49,7.5,7.44,7.5,55200.0,7.49,7.49,7.35,7.49,36400.0,7.4,7.49,7.36,7.49,36700.0,7.5,7.5,7.13,7.35,116800.0,7.98
2012-02-15,7.43,7.49,7.38,7.4,21700.0,7.44,7.5,7.37,7.47,35200.0,7.49,7.5,7.44,7.5,55200.0,7.49,7.49,7.35,7.49,36400.0,7.4,7.49,7.36,7.49,36700.0,8.1
2012-02-16,7.49,7.5,7.4,7.49,30200.0,7.43,7.49,7.38,7.4,21700.0,7.44,7.5,7.37,7.47,35200.0,7.49,7.5,7.44,7.5,55200.0,7.49,7.49,7.35,7.49,36400.0,8.22
2012-02-17,7.5,7.59,7.47,7.5,84000.0,7.49,7.5,7.4,7.49,30200.0,7.43,7.49,7.38,7.4,21700.0,7.44,7.5,7.37,7.47,35200.0,7.49,7.5,7.44,7.5,55200.0,8.15
2012-02-21,7.59,7.88,7.58,7.84,41400.0,7.5,7.59,7.47,7.5,84000.0,7.49,7.5,7.4,7.49,30200.0,7.43,7.49,7.38,7.4,21700.0,7.44,7.5,7.37,7.47,35200.0,8.06
2012-02-22,7.78,7.9,7.72,7.82,30900.0,7.59,7.88,7.58,7.84,41400.0,7.5,7.59,7.47,7.5,84000.0,7.49,7.5,7.4,7.49,30200.0,7.43,7.49,7.38,7.4,21700.0,7.88
2012-02-23,7.83,7.99,7.83,7.98,44900.0,7.78,7.9,7.72,7.82,30900.0,7.59,7.88,7.58,7.84,41400.0,7.5,7.59,7.47,7.5,84000.0,7.49,7.5,7.4,7.49,30200.0,7.81
2012-02-24,8.0,8.14,7.99,8.1,31000.0,7.83,7.99,7.83,7.98,44900.0,7.78,7.9,7.72,7.82,30900.0,7.59,7.88,7.58,7.84,41400.0,7.5,7.59,7.47,7.5,84000.0,7.92
2012-02-27,8.19,8.27,8.12,8.22,30200.0,8.0,8.14,7.99,8.1,31000.0,7.83,7.99,7.83,7.98,44900.0,7.78,7.9,7.72,7.82,30900.0,7.59,7.88,7.58,7.84,41400.0,7.55
2012-02-28,8.32,8.33,8.14,8.15,31300.0,8.19,8.27,8.12,8.22,30200.0,8.0,8.14,7.99,8.1,31000.0,7.83,7.99,7.83,7.98,44900.0,7.78,7.9,7.72,7.82,30900.0,7.75
2012-02-29,8.2,8.22,8.05,8.06,37400.0,8.32,8.33,8.14,8.15,31300.0,8.19,8.27,8.12,8.22,30200.0,8.0,8.14,7.99,8.1,31000.0,7.83,7.99,7.83,7.98,44900.0,8.0
2012-03-01,8.14,8.15,7.83,7.88,48700.0,8.2,8.22,8.05,8.06,37400.0,8.32,8.33,8.14,8.15,31300.0,8.19,8.27,8.12,8.22,30200.0,8.0,8.14,7.99,8.1,31000.0,8.06
2012-03-02,7.81,7.83,7.7,7.81,51400.0,8.14,8.15,7.83,7.88,48700.0,8.2,8.22,8.05,8.06,37400.0,8.32,8.33,8.14,8.15,31300.0,8.19,8.27,8.12,8.22,30200.0,8.0
2012-03-05,7.91,7.96,7.81,7.92,19000.0,7.81,7.83,7.7,7.81,51400.0,8.14,8.15,7.83,7.88,48700.0,8.2,8.22,8.05,8.06,37400.0,8.32,8.33,8.14,8.15,31300.0,8.0
2012-03-06,7.88,7.88,7.5,7.55,30900.0,7.91,7.96,7.81,7.92,19000.0,7.81,7.83,7.7,7.81,51400.0,8.14,8.15,7.83,7.88,48700.0,8.2,8.22,8.05,8.06,37400.0,8.0
2012-03-07,7.66,7.79,7.63,7.75,25400.0,7.88,7.88,7.5,7.55,30900.0,7.91,7.96,7.81,7.92,19000.0,7.81,7.83,7.7,7.81,51400.0,8.14,8.15,7.83,7.88,48700.0,8.0
2012-03-08,7.92,8.05,7.9,8.0,35400.0,7.66,7.79,7.63,7.75,25400.0,7.88,7.88,7.5,7.55,30900.0,7.91,7.96,7.81,7.92,19000.0,7.81,7.83,7.7,7.81,51400.0,8.0
2012-03-09,8.0,8.17,8.0,8.06,50900.0,7.92,8.05,7.9,8.0,35400.0,7.66,7.79,7.63,7.75,25400.0,7.88,7.88,7.5,7.55,30900.0,7.91,7.96,7.81,7.92,19000.0,7.98
