date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2003-10-17,11.72,11.85,11.68,11.71,13300.0,11.56,11.85,11.55,11.8,40500.0,11.68,11.68,11.55,11.55,102100.0,11.58,11.66,11.55,11.56,11800.0,11.56,11.56,11.56,11.56,0.0,11.66
2003-10-20,11.8,11.8,11.56,11.65,23600.0,11.72,11.85,11.68,11.71,13300.0,11.56,11.85,11.55,11.8,40500.0,11.68,11.68,11.55,11.55,102100.0,11.58,11.66,11.55,11.56,11800.0,11.61
2003-10-21,11.64,11.64,11.58,11.6,15400.0,11.8,11.8,11.56,11.65,23600.0,11.72,11.85,11.68,11.71,13300.0,11.56,11.85,11.55,11.8,40500.0,11.68,11.68,11.55,11.55,102100.0,11.6
2003-10-22,11.57,11.65,11.57,11.6,52900.0,11.64,11.64,11.58,11.6,15400.0,11.8,11.8,11.56,11.65,23600.0,11.72,11.85,11.68,11.71,13300.0,11.56,11.85,11.55,11.8,40500.0,11.61
2003-10-23,11.61,11.7,11.57,11.57,20900.0,11.57,11.65,11.57,11.6,52900.0,11.64,11.64,11.58,11.6,15400.0,11.8,11.8,11.56,11.65,23600.0,11.72,11.85,11.68,11.71,13300.0,11.62
2003-10-24,11.58,11.65,11.58,11.65,15800.0,11.61,11.7,11.57,11.57,20900.0,11.57,11.65,11.57,11.6,52900.0,11.64,11.64,11.58,11.6,15400.0,11.8,11.8,11.56,11.65,23600.0,11.6
2003-10-27,11.68,11.68,11.62,11.66,27200.0,11.58,11.65,11.58,11.65,15800.0,11.61,11.7,11.57,11.57,20900.0,11.57,11.65,11.57,11.6,52900.0,11.64,11.64,11.58,11.6,15400.0,11.63
2003-10-28,11.63,11.67,11.61,11.61,28600.0,11.68,11.68,11.62,11.66,27200.0,11.58,11.65,11.58,11.65,15800.0,11.61,11.7,11.57,11.57,20900.0,11.57,11.65,11.57,11.6,52900.0,11.75
2003-10-29,11.59,11.6,11.55,11.6,58500.0,11.63,11.67,11.61,11.61,28600.0,11.68,11.68,11.62,11.66,27200.0,11.58,11.65,11.58,11.65,15800.0,11.61,11.7,11.57,11.57,20900.0,11.86
2003-10-30,11.62,11.65,11.6,11.61,10000.0,11.59,11.6,11.55,11.6,58500.0,11.63,11.67,11.61,11.61,28600.0,11.68,11.68,11.62,11.66,27200.0,11.58,11.65,11.58,11.65,15800.0,11.85
2003-10-31,11.6,11.65,11.58,11.62,12200.0,11.62,11.65,11.6,11.61,10000.0,11.59,11.6,11.55,11.6,58500.0,11.63,11.67,11.61,11.61,28600.0,11.68,11.68,11.62,11.66,27200.0,11.8
2003-11-03,11.6,11.64,11.6,11.6,15100.0,11.6,11.65,11.58,11.62,12200.0,11.62,11.65,11.6,11.61,10000.0,11.59,11.6,11.55,11.6,58500.0,11.63,11.67,11.61,11.61,28600.0,11.93
2003-11-04,11.6,11.64,11.6,11.63,20600.0,11.6,11.64,11.6,11.6,15100.0,11.6,11.65,11.58,11.62,12200.0,11.62,11.65,11.6,11.61,10000.0,11.59,11.6,11.55,11.6,58500.0,11.79
2003-11-05,11.65,11.75,11.61,11.75,51900.0,11.6,11.64,11.6,11.63,20600.0,11.6,11.64,11.6,11.6,15100.0,11.6,11.65,11.58,11.62,12200.0,11.62,11.65,11.6,11.61,10000.0,11.47
2003-11-06,11.8,11.95,11.8,11.86,106900.0,11.65,11.75,11.61,11.75,51900.0,11.6,11.64,11.6,11.63,20600.0,11.6,11.64,11.6,11.6,15100.0,11.6,11.65,11.58,11.62,12200.0,11.65
2003-11-07,11.71,11.85,11.71,11.85,33000.0,11.8,11.95,11.8,11.86,106900.0,11.65,11.75,11.61,11.75,51900.0,11.6,11.64,11.6,11.63,20600.0,11.6,11.64,11.6,11.6,15100.0,11.65
2003-11-10,11.9,11.9,11.8,11.8,24200.0,11.71,11.85,11.71,11.85,33000.0,11.8,11.95,11.8,11.86,106900.0,11.65,11.75,11.61,11.75,51900.0,11.6,11.64,11.6,11.63,20600.0,11.67
2003-11-11,11.7,11.93,11.7,11.93,15500.0,11.9,11.9,11.8,11.8,24200.0,11.71,11.85,11.71,11.85,33000.0,11.8,11.95,11.8,11.86,106900.0,11.65,11.75,11.61,11.75,51900.0,11.6
2003-11-12,11.85,11.85,11.74,11.79,24000.0,11.7,11.93,11.7,11.93,15500.0,11.9,11.9,11.8,11.8,24200.0,11.71,11.85,11.71,11.85,33000.0,11.8,11.95,11.8,11.86,106900.0,11.55
2003-11-13,11.65,11.65,11.46,11.47,73100.0,11.85,11.85,11.74,11.79,24000.0,11.7,11.93,11.7,11.93,15500.0,11.9,11.9,11.8,11.8,24200.0,11.71,11.85,11.71,11.85,33000.0,11.52
2003-11-14,11.45,11.75,11.45,11.65,37600.0,11.65,11.65,11.46,11.47,73100.0,11.85,11.85,11.74,11.79,24000.0,11.7,11.93,11.7,11.93,15500.0,11.9,11.9,11.8,11.8,24200.0,11.53
2003-11-17,11.69,11.69,11.5,11.65,34100.0,11.45,11.75,11.45,11.65,37600.0,11.65,11.65,11.46,11.47,73100.0,11.85,11.85,11.74,11.79,24000.0,11.7,11.93,11.7,11.93,15500.0,11.54
2003-11-18,11.65,11.67,11.55,11.67,37500.0,11.69,11.69,11.5,11.65,34100.0,11.45,11.75,11.45,11.65,37600.0,11.65,11.65,11.46,11.47,73100.0,11.85,11.85,11.74,11.79,24000.0,11.64
2003-11-19,11.67,11.75,11.56,11.6,10900.0,11.65,11.67,11.55,11.67,37500.0,11.69,11.69,11.5,11.65,34100.0,11.45,11.75,11.45,11.65,37600.0,11.65,11.65,11.46,11.47,73100.0,11.55
