date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2018-01-10,65.7,65.99,64.79,65.15,1055800.0,66.85,66.88,65.21,65.7,966800.0,69.0,69.03,66.81,66.85,825100.0,68.87,69.41,67.85,69.13,1138100.0,69.92,70.05,68.87,69.55,1113900.0,66.09
2018-01-11,64.75,66.8,64.74,66.63,981000.0,65.7,65.99,64.79,65.15,1055800.0,66.85,66.88,65.21,65.7,966800.0,69.0,69.03,66.81,66.85,825100.0,68.87,69.41,67.85,69.13,1138100.0,66.18
2018-01-12,66.5,66.95,66.18,66.64,766900.0,64.75,66.8,64.74,66.63,981000.0,65.7,65.99,64.79,65.15,1055800.0,66.85,66.88,65.21,65.7,966800.0,69.0,69.03,66.81,66.85,825100.0,66.03
2018-01-15,66.56,66.56,65.99,66.5,235200.0,66.5,66.95,66.18,66.64,766900.0,64.75,66.8,64.74,66.63,981000.0,65.7,65.99,64.79,65.15,1055800.0,66.85,66.88,65.21,65.7,966800.0,66.7
2018-01-16,66.98,66.98,65.81,65.96,799400.0,66.56,66.56,65.99,66.5,235200.0,66.5,66.95,66.18,66.64,766900.0,64.75,66.8,64.74,66.63,981000.0,65.7,65.99,64.79,65.15,1055800.0,66.11
2018-01-17,65.83,66.3,65.45,65.6,774000.0,66.98,66.98,65.81,65.96,799400.0,66.56,66.56,65.99,66.5,235200.0,66.5,66.95,66.18,66.64,766900.0,64.75,66.8,64.74,66.63,981000.0,65.45
2018-01-18,65.93,66.54,65.88,66.09,806400.0,65.83,66.3,65.45,65.6,774000.0,66.98,66.98,65.81,65.96,799400.0,66.56,66.56,65.99,66.5,235200.0,66.5,66.95,66.18,66.64,766900.0,66.58
2018-01-19,65.77,66.41,65.77,66.18,1491500.0,65.93,66.54,65.88,66.09,806400.0,65.83,66.3,65.45,65.6,774000.0,66.98,66.98,65.81,65.96,799400.0,66.56,66.56,65.99,66.5,235200.0,66.22
2018-01-22,66.01,66.38,65.68,66.03,991000.0,65.77,66.41,65.77,66.18,1491500.0,65.93,66.54,65.88,66.09,806400.0,65.83,66.3,65.45,65.6,774000.0,66.98,66.98,65.81,65.96,799400.0,65.37
2018-01-23,66.04,67.05,65.87,66.7,1203200.0,66.01,66.38,65.68,66.03,991000.0,65.77,66.41,65.77,66.18,1491500.0,65.93,66.54,65.88,66.09,806400.0,65.83,66.3,65.45,65.6,774000.0,64.35
2018-01-24,66.65,67.07,65.77,66.11,1064900.0,66.04,67.05,65.87,66.7,1203200.0,66.01,66.38,65.68,66.03,991000.0,65.77,66.41,65.77,66.18,1491500.0,65.93,66.54,65.88,66.09,806400.0,63.25
2018-01-25,66.14,66.27,65.42,65.45,795300.0,66.65,67.07,65.77,66.11,1064900.0,66.04,67.05,65.87,66.7,1203200.0,66.01,66.38,65.68,66.03,991000.0,65.77,66.41,65.77,66.18,1491500.0,62.14
2018-01-26,65.48,66.63,65.1,66.58,612900.0,66.14,66.27,65.42,65.45,795300.0,66.65,67.07,65.77,66.11,1064900.0,66.04,67.05,65.87,66.7,1203200.0,66.01,66.38,65.68,66.03,991000.0,60.43
2018-01-29,66.4,66.62,66.0,66.22,359700.0,65.48,66.63,65.1,66.58,612900.0,66.14,66.27,65.42,65.45,795300.0,66.65,67.07,65.77,66.11,1064900.0,66.04,67.05,65.87,66.7,1203200.0,58.67
2018-01-30,66.22,66.22,65.29,65.37,610900.0,66.4,66.62,66.0,66.22,359700.0,65.48,66.63,65.1,66.58,612900.0,66.14,66.27,65.42,65.45,795300.0,66.65,67.07,65.77,66.11,1064900.0,58.69
2018-01-31,65.37,65.37,64.27,64.35,761100.0,66.22,66.22,65.29,65.37,610900.0,66.4,66.62,66.0,66.22,359700.0,65.48,66.63,65.1,66.58,612900.0,66.14,66.27,65.42,65.45,795300.0,56.84
2018-02-01,63.94,64.28,62.82,63.25,1026900.0,65.37,65.37,64.27,64.35,761100.0,66.22,66.22,65.29,65.37,610900.0,66.4,66.62,66.0,66.22,359700.0,65.48,66.63,65.1,66.58,612900.0,56.05
2018-02-02,63.0,63.0,61.75,62.14,844500.0,63.94,64.28,62.82,63.25,1026900.0,65.37,65.37,64.27,64.35,761100.0,66.22,66.22,65.29,65.37,610900.0,66.4,66.62,66.0,66.22,359700.0,57.4
2018-02-05,61.47,62.34,60.37,60.43,1036000.0,63.0,63.0,61.75,62.14,844500.0,63.94,64.28,62.82,63.25,1026900.0,65.37,65.37,64.27,64.35,761100.0,66.22,66.22,65.29,65.37,610900.0,56.34
2018-02-06,58.12,59.31,55.72,58.67,1890900.0,61.47,62.34,60.37,60.43,1036000.0,63.0,63.0,61.75,62.14,844500.0,63.94,64.28,62.82,63.25,1026900.0,65.37,65.37,64.27,64.35,761100.0,55.74
2018-02-07,58.01,59.69,57.99,58.69,1106200.0,58.12,59.31,55.72,58.67,1890900.0,61.47,62.34,60.37,60.43,1036000.0,63.0,63.0,61.75,62.14,844500.0,63.94,64.28,62.82,63.25,1026900.0,55.68
2018-02-08,58.22,58.48,56.62,56.84,1309900.0,58.01,59.69,57.99,58.69,1106200.0,58.12,59.31,55.72,58.67,1890900.0,61.47,62.34,60.37,60.43,1036000.0,63.0,63.0,61.75,62.14,844500.0,55.84
2018-02-09,57.01,57.29,55.74,56.05,1791400.0,58.22,58.48,56.62,56.84,1309900.0,58.01,59.69,57.99,58.69,1106200.0,58.12,59.31,55.72,58.67,1890900.0,61.47,62.34,60.37,60.43,1036000.0,56.92
2018-02-12,56.6,57.81,56.25,57.4,1141300.0,57.01,57.29,55.74,56.05,1791400.0,58.22,58.48,56.62,56.84,1309900.0,58.01,59.69,57.99,58.69,1106200.0,58.12,59.31,55.72,58.67,1890900.0,59.77
2018-02-13,57.4,57.6,56.08,56.34,1135100.0,56.6,57.81,56.25,57.4,1141300.0,57.01,57.29,55.74,56.05,1791400.0,58.22,58.48,56.62,56.84,1309900.0,58.01,59.69,57.99,58.69,1106200.0,60.5
2018-02-14,56.13,56.5,55.5,55.74,1216500.0,57.4,57.6,56.08,56.34,1135100.0,56.6,57.81,56.25,57.4,1141300.0,57.01,57.29,55.74,56.05,1791400.0,58.22,58.48,56.62,56.84,1309900.0,63.8
2018-02-15,55.96,56.3,55.27,55.68,890000.0,56.13,56.5,55.5,55.74,1216500.0,57.4,57.6,56.08,56.34,1135100.0,56.6,57.81,56.25,57.4,1141300.0,57.01,57.29,55.74,56.05,1791400.0,63.5
2018-02-16,55.93,56.16,55.45,55.84,823500.0,55.96,56.3,55.27,55.68,890000.0,56.13,56.5,55.5,55.74,1216500.0,57.4,57.6,56.08,56.34,1135100.0,56.6,57.81,56.25,57.4,1141300.0,63.04
2018-02-20,56.2,57.15,55.75,56.92,1005300.0,55.93,56.16,55.45,55.84,823500.0,55.96,56.3,55.27,55.68,890000.0,56.13,56.5,55.5,55.74,1216500.0,57.4,57.6,56.08,56.34,1135100.0,63.05
