date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-03-09,8.4502,8.4502,8.4502,8.4502,0.0,8.4502,8.4502,8.4502,8.4502,0.0,8.4502,8.4502,8.4502,8.4502,306.0,9.7806,9.7806,9.7806,9.7806,0.0,9.7806,9.7806,9.7806,9.7806,0.0,9.9964
2000-03-10,8.4502,8.4502,8.4502,8.4502,0.0,8.4502,8.4502,8.4502,8.4502,0.0,8.4502,8.4502,8.4502,8.4502,0.0,8.4502,8.4502,8.4502,8.4502,306.0,9.7806,9.7806,9.7806,9.7806,0.0,8.9896
2000-03-13,8.9177,8.9177,8.9177,8.9177,111.0,8.4502,8.4502,8.4502,8.4502,0.0,8.4502,8.4502,8.4502,8.4502,0.0,8.4502,8.4502,8.4502,8.4502,0.0,8.4502,8.4502,8.4502,8.4502,306.0,7.5512
2000-03-14,8.9536,8.9536,8.9536,8.9536,0.0,8.9177,8.9177,8.9177,8.9177,111.0,8.4502,8.4502,8.4502,8.4502,0.0,8.4502,8.4502,8.4502,8.4502,0.0,8.4502,8.4502,8.4502,8.4502,0.0,7.5512
2000-03-15,8.9896,8.9896,8.9896,8.9896,806.0,8.9536,8.9536,8.9536,8.9536,0.0,8.9177,8.9177,8.9177,8.9177,111.0,8.4502,8.4502,8.4502,8.4502,0.0,8.4502,8.4502,8.4502,8.4502,0.0,8.63
2000-03-16,8.9896,8.9896,8.9896,8.9896,0.0,8.9896,8.9896,8.9896,8.9896,806.0,8.9536,8.9536,8.9536,8.9536,0.0,8.9177,8.9177,8.9177,8.9177,111.0,8.4502,8.4502,8.4502,8.4502,0.0,8.63
2000-03-17,9.9964,9.9964,9.9964,9.9964,306.0,8.9896,8.9896,8.9896,8.9896,0.0,8.9896,8.9896,8.9896,8.9896,806.0,8.9536,8.9536,8.9536,8.9536,0.0,8.9177,8.9177,8.9177,8.9177,111.0,8.63
2000-03-20,8.9896,8.9896,8.9896,8.9896,612.0,9.9964,9.9964,9.9964,9.9964,306.0,8.9896,8.9896,8.9896,8.9896,0.0,8.9896,8.9896,8.9896,8.9896,806.0,8.9536,8.9536,8.9536,8.9536,0.0,8.63
2000-03-21,8.0906,8.2704,7.5512,7.5512,1112.0,8.9896,8.9896,8.9896,8.9896,612.0,9.9964,9.9964,9.9964,9.9964,306.0,8.9896,8.9896,8.9896,8.9896,0.0,8.9896,8.9896,8.9896,8.9896,806.0,8.63
2000-03-22,7.5512,7.5512,7.5512,7.5512,0.0,8.0906,8.2704,7.5512,7.5512,1112.0,8.9896,8.9896,8.9896,8.9896,612.0,9.9964,9.9964,9.9964,9.9964,306.0,8.9896,8.9896,8.9896,8.9896,0.0,8.63
2000-03-23,8.63,8.63,8.63,8.63,389.0,7.5512,7.5512,7.5512,7.5512,0.0,8.0906,8.2704,7.5512,7.5512,1112.0,8.9896,8.9896,8.9896,8.9896,612.0,9.9964,9.9964,9.9964,9.9964,306.0,8.63
