date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,4.0,4.0,3.9167,3.9167,14700.0,3.9667,3.9667,3.9,3.9667,24900.0,3.9167,4.0,3.8333,3.8333,33000.0,3.9667,3.9667,3.9,3.9,180900.0,4.1667,4.1667,3.8333,4.0,11700.0,4.0
2000-01-13,3.95,4.0,3.9167,4.0,566700.0,4.0,4.0,3.9167,3.9167,14700.0,3.9667,3.9667,3.9,3.9667,24900.0,3.9167,4.0,3.8333,3.8333,33000.0,3.9667,3.9667,3.9,3.9,180900.0,3.9167
2000-01-14,4.0,4.0,3.9167,3.9167,31500.0,3.95,4.0,3.9167,4.0,566700.0,4.0,4.0,3.9167,3.9167,14700.0,3.9667,3.9667,3.9,3.9667,24900.0,3.9167,4.0,3.8333,3.8333,33000.0,4.0
2000-01-17,4.0,4.0,3.9,3.9,9300.0,4.0,4.0,3.9167,3.9167,31500.0,3.95,4.0,3.9167,4.0,566700.0,4.0,4.0,3.9167,3.9167,14700.0,3.9667,3.9667,3.9,3.9667,24900.0,3.9167
2000-01-18,3.9167,3.9167,3.9,3.9167,42900.0,4.0,4.0,3.9,3.9,9300.0,4.0,4.0,3.9167,3.9167,31500.0,3.95,4.0,3.9167,4.0,566700.0,4.0,4.0,3.9167,3.9167,14700.0,3.8333
2000-01-19,3.9,3.9,3.8333,3.8333,4500.0,3.9167,3.9167,3.9,3.9167,42900.0,4.0,4.0,3.9,3.9,9300.0,4.0,4.0,3.9167,3.9167,31500.0,3.95,4.0,3.9167,4.0,566700.0,3.8333
2000-01-20,3.8333,4.0,3.75,4.0,23100.0,3.9,3.9,3.8333,3.8333,4500.0,3.9167,3.9167,3.9,3.9167,42900.0,4.0,4.0,3.9,3.9,9300.0,4.0,4.0,3.9167,3.9167,31500.0,3.9167
2000-01-21,3.9167,4.0,3.9167,3.9167,12900.0,3.8333,4.0,3.75,4.0,23100.0,3.9,3.9,3.8333,3.8333,4500.0,3.9167,3.9167,3.9,3.9167,42900.0,4.0,4.0,3.9,3.9,9300.0,4.0
2000-01-24,3.8333,4.0,3.8333,4.0,2100.0,3.9167,4.0,3.9167,3.9167,12900.0,3.8333,4.0,3.75,4.0,23100.0,3.9,3.9,3.8333,3.8333,4500.0,3.9167,3.9167,3.9,3.9167,42900.0,3.8833
2000-01-25,3.9167,3.9167,3.9167,3.9167,26100.0,3.8333,4.0,3.8333,4.0,2100.0,3.9167,4.0,3.9167,3.9167,12900.0,3.8333,4.0,3.75,4.0,23100.0,3.9,3.9,3.8333,3.8333,4500.0,3.8333
2000-01-26,4.0,4.0,3.8333,3.8333,41100.0,3.9167,3.9167,3.9167,3.9167,26100.0,3.8333,4.0,3.8333,4.0,2100.0,3.9167,4.0,3.9167,3.9167,12900.0,3.8333,4.0,3.75,4.0,23100.0,3.8333
2000-01-27,3.8333,3.8333,3.8333,3.8333,22200.0,4.0,4.0,3.8333,3.8333,41100.0,3.9167,3.9167,3.9167,3.9167,26100.0,3.8333,4.0,3.8333,4.0,2100.0,3.9167,4.0,3.9167,3.9167,12900.0,3.85
2000-01-28,3.8333,3.9167,3.8333,3.9167,6900.0,3.8333,3.8333,3.8333,3.8333,22200.0,4.0,4.0,3.8333,3.8333,41100.0,3.9167,3.9167,3.9167,3.9167,26100.0,3.8333,4.0,3.8333,4.0,2100.0,3.85
2000-01-31,3.8333,4.0,3.8333,4.0,28200.0,3.8333,3.9167,3.8333,3.9167,6900.0,3.8333,3.8333,3.8333,3.8333,22200.0,4.0,4.0,3.8333,3.8333,41100.0,3.9167,3.9167,3.9167,3.9167,26100.0,3.8667
2000-02-01,3.8333,3.8833,3.8333,3.8833,2100.0,3.8333,4.0,3.8333,4.0,28200.0,3.8333,3.9167,3.8333,3.9167,6900.0,3.8333,3.8333,3.8333,3.8333,22200.0,4.0,4.0,3.8333,3.8333,41100.0,3.8667
2000-02-02,3.8333,3.8333,3.8333,3.8333,300.0,3.8333,3.8833,3.8333,3.8833,2100.0,3.8333,4.0,3.8333,4.0,28200.0,3.8333,3.9167,3.8333,3.9167,6900.0,3.8333,3.8333,3.8333,3.8333,22200.0,3.9
2000-02-03,3.8333,3.8333,3.8333,3.8333,4200.0,3.8333,3.8333,3.8333,3.8333,300.0,3.8333,3.8833,3.8333,3.8833,2100.0,3.8333,4.0,3.8333,4.0,28200.0,3.8333,3.9167,3.8333,3.9167,6900.0,3.8333
2000-02-04,3.85,3.85,3.8333,3.85,10800.0,3.8333,3.8333,3.8333,3.8333,4200.0,3.8333,3.8333,3.8333,3.8333,300.0,3.8333,3.8833,3.8333,3.8833,2100.0,3.8333,4.0,3.8333,4.0,28200.0,3.8333
2000-02-07,3.85,3.85,3.85,3.85,1800.0,3.85,3.85,3.8333,3.85,10800.0,3.8333,3.8333,3.8333,3.8333,4200.0,3.8333,3.8333,3.8333,3.8333,300.0,3.8333,3.8833,3.8333,3.8833,2100.0,3.8333
2000-02-08,3.8667,3.8667,3.8667,3.8667,20100.0,3.85,3.85,3.85,3.85,1800.0,3.85,3.85,3.8333,3.85,10800.0,3.8333,3.8333,3.8333,3.8333,4200.0,3.8333,3.8333,3.8333,3.8333,300.0,3.8667
2000-02-09,4.0,4.0,3.8667,3.8667,19500.0,3.8667,3.8667,3.8667,3.8667,20100.0,3.85,3.85,3.85,3.85,1800.0,3.85,3.85,3.8333,3.85,10800.0,3.8333,3.8333,3.8333,3.8333,4200.0,3.75
2000-02-10,3.8833,3.9,3.8333,3.9,28500.0,4.0,4.0,3.8667,3.8667,19500.0,3.8667,3.8667,3.8667,3.8667,20100.0,3.85,3.85,3.85,3.85,1800.0,3.85,3.85,3.8333,3.85,10800.0,3.8
2000-02-11,3.8333,3.8333,3.8333,3.8333,9600.0,3.8833,3.9,3.8333,3.9,28500.0,4.0,4.0,3.8667,3.8667,19500.0,3.8667,3.8667,3.8667,3.8667,20100.0,3.85,3.85,3.85,3.85,1800.0,3.8
2000-02-14,3.8333,3.8333,3.8333,3.8333,15900.0,3.8333,3.8333,3.8333,3.8333,9600.0,3.8833,3.9,3.8333,3.9,28500.0,4.0,4.0,3.8667,3.8667,19500.0,3.8667,3.8667,3.8667,3.8667,20100.0,3.8
2000-02-15,3.8333,3.9167,3.8333,3.8333,12000.0,3.8333,3.8333,3.8333,3.8333,15900.0,3.8333,3.8333,3.8333,3.8333,9600.0,3.8833,3.9,3.8333,3.9,28500.0,4.0,4.0,3.8667,3.8667,19500.0,0.0
2000-02-16,3.8333,3.8667,3.8333,3.8667,26400.0,3.8333,3.9167,3.8333,3.8333,12000.0,3.8333,3.8333,3.8333,3.8333,15900.0,3.8333,3.8333,3.8333,3.8333,9600.0,3.8833,3.9,3.8333,3.9,28500.0,4.0833
2000-02-17,4.0,4.0,3.75,3.75,152700.0,3.8333,3.8667,3.8333,3.8667,26400.0,3.8333,3.9167,3.8333,3.8333,12000.0,3.8333,3.8333,3.8333,3.8333,15900.0,3.8333,3.8333,3.8333,3.8333,9600.0,3.85
2000-02-18,3.75,3.8,3.75,3.8,29700.0,4.0,4.0,3.75,3.75,152700.0,3.8333,3.8667,3.8333,3.8667,26400.0,3.8333,3.9167,3.8333,3.8333,12000.0,3.8333,3.8333,3.8333,3.8333,15900.0,3.8333
2000-02-21,3.8333,3.8333,3.8,3.8,4800.0,3.75,3.8,3.75,3.8,29700.0,4.0,4.0,3.75,3.75,152700.0,3.8333,3.8667,3.8333,3.8667,26400.0,3.8333,3.9167,3.8333,3.8333,12000.0,3.8333
2000-02-22,3.8,3.8,3.8,3.8,900.0,3.8333,3.8333,3.8,3.8,4800.0,3.75,3.8,3.75,3.8,29700.0,4.0,4.0,3.75,3.75,152700.0,3.8333,3.8667,3.8333,3.8667,26400.0,3.8333
2000-02-23,0.0,0.0,0.0,0.0,0.0,3.8,3.8,3.8,3.8,900.0,3.8333,3.8333,3.8,3.8,4800.0,3.75,3.8,3.75,3.8,29700.0,4.0,4.0,3.75,3.75,152700.0,3.6667
2000-02-24,3.9167,4.0833,3.9167,4.0833,25200.0,0.0,0.0,0.0,0.0,0.0,3.8,3.8,3.8,3.8,900.0,3.8333,3.8333,3.8,3.8,4800.0,3.75,3.8,3.75,3.8,29700.0,3.9667
2000-02-25,4.0833,4.0833,3.85,3.85,5100.0,3.9167,4.0833,3.9167,4.0833,25200.0,0.0,0.0,0.0,0.0,0.0,3.8,3.8,3.8,3.8,900.0,3.8333,3.8333,3.8,3.8,4800.0,3.85
2000-02-28,3.95,3.95,3.8333,3.8333,10500.0,4.0833,4.0833,3.85,3.85,5100.0,3.9167,4.0833,3.9167,4.0833,25200.0,0.0,0.0,0.0,0.0,0.0,3.8,3.8,3.8,3.8,900.0,3.7667
2000-02-29,3.8333,3.8333,3.8333,3.8333,4200.0,3.95,3.95,3.8333,3.8333,10500.0,4.0833,4.0833,3.85,3.85,5100.0,3.9167,4.0833,3.9167,4.0833,25200.0,0.0,0.0,0.0,0.0,0.0,3.7667
2000-03-01,4.0,4.0,3.8,3.8333,121200.0,3.8333,3.8333,3.8333,3.8333,4200.0,3.95,3.95,3.8333,3.8333,10500.0,4.0833,4.0833,3.85,3.85,5100.0,3.9167,4.0833,3.9167,4.0833,25200.0,3.6333
2000-03-02,3.75,3.75,3.6667,3.6667,58200.0,4.0,4.0,3.8,3.8333,121200.0,3.8333,3.8333,3.8333,3.8333,4200.0,3.95,3.95,3.8333,3.8333,10500.0,4.0833,4.0833,3.85,3.85,5100.0,3.75
2000-03-03,3.75,3.9667,3.75,3.9667,32100.0,3.75,3.75,3.6667,3.6667,58200.0,4.0,4.0,3.8,3.8333,121200.0,3.8333,3.8333,3.8333,3.8333,4200.0,3.95,3.95,3.8333,3.8333,10500.0,3.6
2000-03-06,4.0,4.0,3.8,3.85,5100.0,3.75,3.9667,3.75,3.9667,32100.0,3.75,3.75,3.6667,3.6667,58200.0,4.0,4.0,3.8,3.8333,121200.0,3.8333,3.8333,3.8333,3.8333,4200.0,3.5
2000-03-07,3.8,3.8,3.7667,3.7667,6600.0,4.0,4.0,3.8,3.85,5100.0,3.75,3.9667,3.75,3.9667,32100.0,3.75,3.75,3.6667,3.6667,58200.0,4.0,4.0,3.8,3.8333,121200.0,3.5
2000-03-08,3.7667,3.8333,3.7167,3.7667,38100.0,3.8,3.8,3.7667,3.7667,6600.0,4.0,4.0,3.8,3.85,5100.0,3.75,3.9667,3.75,3.9667,32100.0,3.75,3.75,3.6667,3.6667,58200.0,3.6667
2000-03-09,3.7167,3.7167,3.6333,3.6333,18000.0,3.7667,3.8333,3.7167,3.7667,38100.0,3.8,3.8,3.7667,3.7667,6600.0,4.0,4.0,3.8,3.85,5100.0,3.75,3.9667,3.75,3.9667,32100.0,3.6833
2000-03-10,3.6333,3.8333,3.5833,3.75,11100.0,3.7167,3.7167,3.6333,3.6333,18000.0,3.7667,3.8333,3.7167,3.7667,38100.0,3.8,3.8,3.7667,3.7667,6600.0,4.0,4.0,3.8,3.85,5100.0,3.6667
2000-03-13,3.5833,3.6667,3.5833,3.6,5700.0,3.6333,3.8333,3.5833,3.75,11100.0,3.7167,3.7167,3.6333,3.6333,18000.0,3.7667,3.8333,3.7167,3.7667,38100.0,3.8,3.8,3.7667,3.7667,6600.0,3.8
2000-03-14,3.6667,3.6667,3.5,3.5,17700.0,3.5833,3.6667,3.5833,3.6,5700.0,3.6333,3.8333,3.5833,3.75,11100.0,3.7167,3.7167,3.6333,3.6333,18000.0,3.7667,3.8333,3.7167,3.7667,38100.0,3.6333
2000-03-15,3.5167,3.5167,3.5,3.5,7500.0,3.6667,3.6667,3.5,3.5,17700.0,3.5833,3.6667,3.5833,3.6,5700.0,3.6333,3.8333,3.5833,3.75,11100.0,3.7167,3.7167,3.6333,3.6333,18000.0,3.6667
2000-03-16,3.5167,3.6667,3.5167,3.6667,39000.0,3.5167,3.5167,3.5,3.5,7500.0,3.6667,3.6667,3.5,3.5,17700.0,3.5833,3.6667,3.5833,3.6,5700.0,3.6333,3.8333,3.5833,3.75,11100.0,3.75
2000-03-17,3.5833,3.6833,3.5833,3.6833,24300.0,3.5167,3.6667,3.5167,3.6667,39000.0,3.5167,3.5167,3.5,3.5,7500.0,3.6667,3.6667,3.5,3.5,17700.0,3.5833,3.6667,3.5833,3.6,5700.0,0.0
2000-03-20,3.8167,3.8167,3.6667,3.6667,9000.0,3.5833,3.6833,3.5833,3.6833,24300.0,3.5167,3.6667,3.5167,3.6667,39000.0,3.5167,3.5167,3.5,3.5,7500.0,3.6667,3.6667,3.5,3.5,17700.0,0.0
2000-03-21,3.8333,3.8333,3.6833,3.8,3900.0,3.8167,3.8167,3.6667,3.6667,9000.0,3.5833,3.6833,3.5833,3.6833,24300.0,3.5167,3.6667,3.5167,3.6667,39000.0,3.5167,3.5167,3.5,3.5,7500.0,0.0
2000-03-22,3.6667,3.6667,3.6333,3.6333,4500.0,3.8333,3.8333,3.6833,3.8,3900.0,3.8167,3.8167,3.6667,3.6667,9000.0,3.5833,3.6833,3.5833,3.6833,24300.0,3.5167,3.6667,3.5167,3.6667,39000.0,0.0
2000-03-23,3.6667,3.7333,3.6667,3.6667,8100.0,3.6667,3.6667,3.6333,3.6333,4500.0,3.8333,3.8333,3.6833,3.8,3900.0,3.8167,3.8167,3.6667,3.6667,9000.0,3.5833,3.6833,3.5833,3.6833,24300.0,0.0
2000-03-24,3.6667,3.8,3.6667,3.75,8100.0,3.6667,3.7333,3.6667,3.6667,8100.0,3.6667,3.6667,3.6333,3.6333,4500.0,3.8333,3.8333,3.6833,3.8,3900.0,3.8167,3.8167,3.6667,3.6667,9000.0,0.0
2000-03-27,0.0,0.0,0.0,0.0,0.0,3.6667,3.8,3.6667,3.75,8100.0,3.6667,3.7333,3.6667,3.6667,8100.0,3.6667,3.6667,3.6333,3.6333,4500.0,3.8333,3.8333,3.6833,3.8,3900.0,0.0
2000-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6667,3.8,3.6667,3.75,8100.0,3.6667,3.7333,3.6667,3.6667,8100.0,3.6667,3.6667,3.6333,3.6333,4500.0,0.0
2000-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6667,3.8,3.6667,3.75,8100.0,3.6667,3.7333,3.6667,3.6667,8100.0,0.0
2000-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6667,3.8,3.6667,3.75,8100.0,0.0
2000-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
