date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,23.5,23.525,22.5,23.0,577600.0,24.0,24.5,22.5,22.5,393400.0,22.125,24.95,21.375,24.0,711400.0,20.25,21.25,20.25,21.25,1843800.0,21.25,21.25,20.25,21.0,330400.0,21.375
2000-01-13,24.0,24.0,23.0,23.0,419000.0,23.5,23.525,22.5,23.0,577600.0,24.0,24.5,22.5,22.5,393400.0,22.125,24.95,21.375,24.0,711400.0,20.25,21.25,20.25,21.25,1843800.0,21.5
2000-01-14,23.25,23.25,22.875,22.9,438000.0,24.0,24.0,23.0,23.0,419000.0,23.5,23.525,22.5,23.0,577600.0,24.0,24.5,22.5,22.5,393400.0,22.125,24.95,21.375,24.0,711400.0,21.65
2000-01-17,23.15,23.15,22.825,22.875,144400.0,23.25,23.25,22.875,22.9,438000.0,24.0,24.0,23.0,23.0,419000.0,23.5,23.525,22.5,23.0,577600.0,24.0,24.5,22.5,22.5,393400.0,21.2
2000-01-18,22.5,22.5,21.75,22.25,426600.0,23.15,23.15,22.825,22.875,144400.0,23.25,23.25,22.875,22.9,438000.0,24.0,24.0,23.0,23.0,419000.0,23.5,23.525,22.5,23.0,577600.0,21.5
2000-01-19,22.0,22.375,21.25,21.475,1696800.0,22.5,22.5,21.75,22.25,426600.0,23.15,23.15,22.825,22.875,144400.0,23.25,23.25,22.875,22.9,438000.0,24.0,24.0,23.0,23.0,419000.0,20.5
2000-01-20,22.0,22.0,21.25,21.375,433600.0,22.0,22.375,21.25,21.475,1696800.0,22.5,22.5,21.75,22.25,426600.0,23.15,23.15,22.825,22.875,144400.0,23.25,23.25,22.875,22.9,438000.0,20.4
2000-01-21,21.625,21.95,21.25,21.5,1672400.0,22.0,22.0,21.25,21.375,433600.0,22.0,22.375,21.25,21.475,1696800.0,22.5,22.5,21.75,22.25,426600.0,23.15,23.15,22.825,22.875,144400.0,20.75
2000-01-24,22.25,22.65,21.65,21.65,245000.0,21.625,21.95,21.25,21.5,1672400.0,22.0,22.0,21.25,21.375,433600.0,22.0,22.375,21.25,21.475,1696800.0,22.5,22.5,21.75,22.25,426600.0,21.275
2000-01-25,21.7,22.0,20.975,21.2,510400.0,22.25,22.65,21.65,21.65,245000.0,21.625,21.95,21.25,21.5,1672400.0,22.0,22.0,21.25,21.375,433600.0,22.0,22.375,21.25,21.475,1696800.0,24.5
2000-01-26,21.5,21.85,21.45,21.5,260800.0,21.7,22.0,20.975,21.2,510400.0,22.25,22.65,21.65,21.65,245000.0,21.625,21.95,21.25,21.5,1672400.0,22.0,22.0,21.25,21.375,433600.0,27.25
