date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2014-12-15,14.98,15.16,13.92,13.96,506800.0,15.19,15.19,14.9,14.92,151100.0,15.39,15.59,14.96,14.99,116300.0,15.61,15.82,15.14,15.35,208300.0,15.2,15.5,15.0,15.5,407100.0,15.15
2014-12-16,14.1,14.52,13.98,14.2,227200.0,14.98,15.16,13.92,13.96,506800.0,15.19,15.19,14.9,14.92,151100.0,15.39,15.59,14.96,14.99,116300.0,15.61,15.82,15.14,15.35,208300.0,0.0
2014-12-17,14.28,14.83,14.21,14.59,395400.0,14.1,14.52,13.98,14.2,227200.0,14.98,15.16,13.92,13.96,506800.0,15.19,15.19,14.9,14.92,151100.0,15.39,15.59,14.96,14.99,116300.0,15.93
2014-12-18,14.85,15.36,14.64,15.36,211300.0,14.28,14.83,14.21,14.59,395400.0,14.1,14.52,13.98,14.2,227200.0,14.98,15.16,13.92,13.96,506800.0,15.19,15.19,14.9,14.92,151100.0,16.25
2014-12-19,15.4,15.55,15.05,15.5,497000.0,14.85,15.36,14.64,15.36,211300.0,14.28,14.83,14.21,14.59,395400.0,14.1,14.52,13.98,14.2,227200.0,14.98,15.16,13.92,13.96,506800.0,16.38
2014-12-22,15.75,15.75,15.22,15.22,231000.0,15.4,15.55,15.05,15.5,497000.0,14.85,15.36,14.64,15.36,211300.0,14.28,14.83,14.21,14.59,395400.0,14.1,14.52,13.98,14.2,227200.0,16.6
2014-12-23,15.31,15.33,15.08,15.15,0.0,15.75,15.75,15.22,15.22,231000.0,15.4,15.55,15.05,15.5,497000.0,14.85,15.36,14.64,15.36,211300.0,14.28,14.83,14.21,14.59,395400.0,16.93
2014-12-24,0.0,0.0,0.0,0.0,0.0,15.31,15.33,15.08,15.15,0.0,15.75,15.75,15.22,15.22,231000.0,15.4,15.55,15.05,15.5,497000.0,14.85,15.36,14.64,15.36,211300.0,17.23
2014-12-29,15.8,16.1,15.8,15.93,0.0,0.0,0.0,0.0,0.0,0.0,15.31,15.33,15.08,15.15,0.0,15.75,15.75,15.22,15.22,231000.0,15.4,15.55,15.05,15.5,497000.0,17.0
2014-12-30,16.02,16.35,15.91,16.25,234500.0,15.8,16.1,15.8,15.93,0.0,0.0,0.0,0.0,0.0,0.0,15.31,15.33,15.08,15.15,0.0,15.75,15.75,15.22,15.22,231000.0,16.45
2014-12-31,16.33,16.45,16.07,16.38,318500.0,16.02,16.35,15.91,16.25,234500.0,15.8,16.1,15.8,15.93,0.0,0.0,0.0,0.0,0.0,0.0,15.31,15.33,15.08,15.15,0.0,16.85
2015-01-02,16.37,16.6,16.19,16.6,179900.0,16.33,16.45,16.07,16.38,318500.0,16.02,16.35,15.91,16.25,234500.0,15.8,16.1,15.8,15.93,0.0,0.0,0.0,0.0,0.0,0.0,16.97
2015-01-05,16.89,17.02,16.52,16.93,474400.0,16.37,16.6,16.19,16.6,179900.0,16.33,16.45,16.07,16.38,318500.0,16.02,16.35,15.91,16.25,234500.0,15.8,16.1,15.8,15.93,0.0,16.54
2015-01-06,17.06,17.3,16.88,17.23,321500.0,16.89,17.02,16.52,16.93,474400.0,16.37,16.6,16.19,16.6,179900.0,16.33,16.45,16.07,16.38,318500.0,16.02,16.35,15.91,16.25,234500.0,16.65
2015-01-07,17.25,17.25,17.0,17.0,490000.0,17.06,17.3,16.88,17.23,321500.0,16.89,17.02,16.52,16.93,474400.0,16.37,16.6,16.19,16.6,179900.0,16.33,16.45,16.07,16.38,318500.0,17.45
2015-01-08,17.0,17.15,16.44,16.45,468400.0,17.25,17.25,17.0,17.0,490000.0,17.06,17.3,16.88,17.23,321500.0,16.89,17.02,16.52,16.93,474400.0,16.37,16.6,16.19,16.6,179900.0,17.95
2015-01-09,16.6,16.98,16.6,16.85,273500.0,17.0,17.15,16.44,16.45,468400.0,17.25,17.25,17.0,17.0,490000.0,17.06,17.3,16.88,17.23,321500.0,16.89,17.02,16.52,16.93,474400.0,18.07
2015-01-12,16.95,17.08,16.9,16.97,417100.0,16.6,16.98,16.6,16.85,273500.0,17.0,17.15,16.44,16.45,468400.0,17.25,17.25,17.0,17.0,490000.0,17.06,17.3,16.88,17.23,321500.0,18.76
2015-01-13,17.01,17.23,16.43,16.54,158100.0,16.95,17.08,16.9,16.97,417100.0,16.6,16.98,16.6,16.85,273500.0,17.0,17.15,16.44,16.45,468400.0,17.25,17.25,17.0,17.0,490000.0,17.24
2015-01-14,16.65,16.75,16.25,16.65,154100.0,17.01,17.23,16.43,16.54,158100.0,16.95,17.08,16.9,16.97,417100.0,16.6,16.98,16.6,16.85,273500.0,17.0,17.15,16.44,16.45,468400.0,17.31
2015-01-15,16.7,17.59,16.7,17.45,1623500.0,16.65,16.75,16.25,16.65,154100.0,17.01,17.23,16.43,16.54,158100.0,16.95,17.08,16.9,16.97,417100.0,16.6,16.98,16.6,16.85,273500.0,17.3
2015-01-16,17.65,18.35,17.38,17.95,245500.0,16.7,17.59,16.7,17.45,1623500.0,16.65,16.75,16.25,16.65,154100.0,17.01,17.23,16.43,16.54,158100.0,16.95,17.08,16.9,16.97,417100.0,16.86
2015-01-19,18.23,18.23,17.87,18.07,45100.0,17.65,18.35,17.38,17.95,245500.0,16.7,17.59,16.7,17.45,1623500.0,16.65,16.75,16.25,16.65,154100.0,17.01,17.23,16.43,16.54,158100.0,17.02
2015-01-20,18.37,18.85,18.05,18.76,171400.0,18.23,18.23,17.87,18.07,45100.0,17.65,18.35,17.38,17.95,245500.0,16.7,17.59,16.7,17.45,1623500.0,16.65,16.75,16.25,16.65,154100.0,16.72
2015-01-21,18.0,18.0,16.99,17.24,1526300.0,18.37,18.85,18.05,18.76,171400.0,18.23,18.23,17.87,18.07,45100.0,17.65,18.35,17.38,17.95,245500.0,16.7,17.59,16.7,17.45,1623500.0,16.63
2015-01-22,17.37,17.48,17.25,17.31,1327200.0,18.0,18.0,16.99,17.24,1526300.0,18.37,18.85,18.05,18.76,171400.0,18.23,18.23,17.87,18.07,45100.0,17.65,18.35,17.38,17.95,245500.0,17.09
2015-01-23,17.38,17.45,17.19,17.3,221700.0,17.37,17.48,17.25,17.31,1327200.0,18.0,18.0,16.99,17.24,1526300.0,18.37,18.85,18.05,18.76,171400.0,18.23,18.23,17.87,18.07,45100.0,17.16
2015-01-26,17.34,17.34,16.86,16.86,335100.0,17.38,17.45,17.19,17.3,221700.0,17.37,17.48,17.25,17.31,1327200.0,18.0,18.0,16.99,17.24,1526300.0,18.37,18.85,18.05,18.76,171400.0,16.2
2015-01-27,16.95,17.08,16.66,17.02,454500.0,17.34,17.34,16.86,16.86,335100.0,17.38,17.45,17.19,17.3,221700.0,17.37,17.48,17.25,17.31,1327200.0,18.0,18.0,16.99,17.24,1526300.0,16.22
2015-01-28,16.98,17.1,16.68,16.72,223400.0,16.95,17.08,16.66,17.02,454500.0,17.34,17.34,16.86,16.86,335100.0,17.38,17.45,17.19,17.3,221700.0,17.37,17.48,17.25,17.31,1327200.0,16.3
2015-01-29,16.69,16.7,16.3,16.63,279800.0,16.98,17.1,16.68,16.72,223400.0,16.95,17.08,16.66,17.02,454500.0,17.34,17.34,16.86,16.86,335100.0,17.38,17.45,17.19,17.3,221700.0,15.92
2015-01-30,16.66,17.1,16.57,17.09,360000.0,16.69,16.7,16.3,16.63,279800.0,16.98,17.1,16.68,16.72,223400.0,16.95,17.08,16.66,17.02,454500.0,17.34,17.34,16.86,16.86,335100.0,16.01
2015-02-02,17.03,17.18,16.85,17.16,227000.0,16.66,17.1,16.57,17.09,360000.0,16.69,16.7,16.3,16.63,279800.0,16.98,17.1,16.68,16.72,223400.0,16.95,17.08,16.66,17.02,454500.0,15.92
2015-02-03,17.04,17.04,16.17,16.2,353600.0,17.03,17.18,16.85,17.16,227000.0,16.66,17.1,16.57,17.09,360000.0,16.69,16.7,16.3,16.63,279800.0,16.98,17.1,16.68,16.72,223400.0,16.08
2015-02-04,16.32,16.42,16.15,16.22,130400.0,17.04,17.04,16.17,16.2,353600.0,17.03,17.18,16.85,17.16,227000.0,16.66,17.1,16.57,17.09,360000.0,16.69,16.7,16.3,16.63,279800.0,16.43
2015-02-05,16.11,16.43,16.0,16.3,522200.0,16.32,16.42,16.15,16.22,130400.0,17.04,17.04,16.17,16.2,353600.0,17.03,17.18,16.85,17.16,227000.0,16.66,17.1,16.57,17.09,360000.0,16.31
2015-02-06,16.18,16.18,15.55,15.92,318800.0,16.11,16.43,16.0,16.3,522200.0,16.32,16.42,16.15,16.22,130400.0,17.04,17.04,16.17,16.2,353600.0,17.03,17.18,16.85,17.16,227000.0,16.0
2015-02-09,16.0,16.15,15.95,16.01,243000.0,16.18,16.18,15.55,15.92,318800.0,16.11,16.43,16.0,16.3,522200.0,16.32,16.42,16.15,16.22,130400.0,17.04,17.04,16.17,16.2,353600.0,16.35
2015-02-10,15.86,16.09,15.75,15.92,84600.0,16.0,16.15,15.95,16.01,243000.0,16.18,16.18,15.55,15.92,318800.0,16.11,16.43,16.0,16.3,522200.0,16.32,16.42,16.15,16.22,130400.0,16.65
2015-02-11,15.93,16.15,15.73,16.08,121000.0,15.86,16.09,15.75,15.92,84600.0,16.0,16.15,15.95,16.01,243000.0,16.18,16.18,15.55,15.92,318800.0,16.11,16.43,16.0,16.3,522200.0,16.75
2015-02-12,16.26,16.69,16.1,16.43,209400.0,15.93,16.15,15.73,16.08,121000.0,15.86,16.09,15.75,15.92,84600.0,16.0,16.15,15.95,16.01,243000.0,16.18,16.18,15.55,15.92,318800.0,16.91
2015-02-13,16.44,16.7,16.31,16.31,213300.0,16.26,16.69,16.1,16.43,209400.0,15.93,16.15,15.73,16.08,121000.0,15.86,16.09,15.75,15.92,84600.0,16.0,16.15,15.95,16.01,243000.0,17.3
2015-02-17,16.16,16.18,15.93,16.0,93300.0,16.44,16.7,16.31,16.31,213300.0,16.26,16.69,16.1,16.43,209400.0,15.93,16.15,15.73,16.08,121000.0,15.86,16.09,15.75,15.92,84600.0,17.15
2015-02-18,15.97,16.48,15.9,16.35,244300.0,16.16,16.18,15.93,16.0,93300.0,16.44,16.7,16.31,16.31,213300.0,16.26,16.69,16.1,16.43,209400.0,15.93,16.15,15.73,16.08,121000.0,17.42
