date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,3.3625,3.3875,3.2938,3.3125,303200.0,3.375,3.4375,3.3563,3.3875,1085600.0,3.625,3.625,3.35,3.3875,232800.0,3.5,3.75,3.4063,3.4625,537600.0,3.3438,3.5562,3.3,3.5125,1341600.0,3.5375
2000-01-13,3.4063,3.4188,3.3125,3.4125,113600.0,3.3625,3.3875,3.2938,3.3125,303200.0,3.375,3.4375,3.3563,3.3875,1085600.0,3.625,3.625,3.35,3.3875,232800.0,3.5,3.75,3.4063,3.4625,537600.0,3.4875
2000-01-14,3.4,3.4562,3.35,3.35,144800.0,3.4063,3.4188,3.3125,3.4125,113600.0,3.3625,3.3875,3.2938,3.3125,303200.0,3.375,3.4375,3.3563,3.3875,1085600.0,3.625,3.625,3.35,3.3875,232800.0,3.4
2000-01-17,3.3375,3.4375,3.3375,3.375,103200.0,3.4,3.4562,3.35,3.35,144800.0,3.4063,3.4188,3.3125,3.4125,113600.0,3.3625,3.3875,3.2938,3.3125,303200.0,3.375,3.4375,3.3563,3.3875,1085600.0,3.4375
2000-01-18,3.375,3.5625,3.375,3.525,351200.0,3.3375,3.4375,3.3375,3.375,103200.0,3.4,3.4562,3.35,3.35,144800.0,3.4063,3.4188,3.3125,3.4125,113600.0,3.3625,3.3875,3.2938,3.3125,303200.0,3.4188
2000-01-19,3.5625,3.7813,3.55,3.6,572000.0,3.375,3.5625,3.375,3.525,351200.0,3.3375,3.4375,3.3375,3.375,103200.0,3.4,3.4562,3.35,3.35,144800.0,3.4063,3.4188,3.3125,3.4125,113600.0,3.8125
2000-01-20,3.65,3.6625,3.5375,3.5375,924800.0,3.5625,3.7813,3.55,3.6,572000.0,3.375,3.5625,3.375,3.525,351200.0,3.3375,3.4375,3.3375,3.375,103200.0,3.4,3.4562,3.35,3.35,144800.0,3.7
2000-01-21,3.4375,3.625,3.4375,3.4875,136800.0,3.65,3.6625,3.5375,3.5375,924800.0,3.5625,3.7813,3.55,3.6,572000.0,3.375,3.5625,3.375,3.525,351200.0,3.3375,3.4375,3.3375,3.375,103200.0,3.7062
2000-01-24,3.5,3.5,3.225,3.4,240800.0,3.4375,3.625,3.4375,3.4875,136800.0,3.65,3.6625,3.5375,3.5375,924800.0,3.5625,3.7813,3.55,3.6,572000.0,3.375,3.5625,3.375,3.525,351200.0,4.4375
2000-01-25,3.4188,3.4375,3.25,3.4375,235200.0,3.5,3.5,3.225,3.4,240800.0,3.4375,3.625,3.4375,3.4875,136800.0,3.65,3.6625,3.5375,3.5375,924800.0,3.5625,3.7813,3.55,3.6,572000.0,4.8125
2000-01-26,3.3,3.45,3.3,3.4188,392800.0,3.4188,3.4375,3.25,3.4375,235200.0,3.5,3.5,3.225,3.4,240800.0,3.4375,3.625,3.4375,3.4875,136800.0,3.65,3.6625,3.5375,3.5375,924800.0,4.9188
2000-01-27,3.3625,3.8125,3.35,3.8125,1426400.0,3.3,3.45,3.3,3.4188,392800.0,3.4188,3.4375,3.25,3.4375,235200.0,3.5,3.5,3.225,3.4,240800.0,3.4375,3.625,3.4375,3.4875,136800.0,4.8438
2000-01-28,3.8062,3.9188,3.5562,3.7,393600.0,3.3625,3.8125,3.35,3.8125,1426400.0,3.3,3.45,3.3,3.4188,392800.0,3.4188,3.4375,3.25,3.4375,235200.0,3.5,3.5,3.225,3.4,240800.0,4.9375
2000-01-31,3.6625,3.7062,3.625,3.7062,1336800.0,3.8062,3.9188,3.5562,3.7,393600.0,3.3625,3.8125,3.35,3.8125,1426400.0,3.3,3.45,3.3,3.4188,392800.0,3.4188,3.4375,3.25,3.4375,235200.0,5.2875
2000-02-01,3.725,4.4688,3.625,4.4375,3736000.0,3.6625,3.7062,3.625,3.7062,1336800.0,3.8062,3.9188,3.5562,3.7,393600.0,3.3625,3.8125,3.35,3.8125,1426400.0,3.3,3.45,3.3,3.4188,392800.0,5.5812
2000-02-02,4.4375,4.9562,4.4375,4.8125,3290400.0,3.725,4.4688,3.625,4.4375,3736000.0,3.6625,3.7062,3.625,3.7062,1336800.0,3.8062,3.9188,3.5562,3.7,393600.0,3.3625,3.8125,3.35,3.8125,1426400.0,5.2562
2000-02-03,4.875,5.0,4.75,4.9188,647200.0,4.4375,4.9562,4.4375,4.8125,3290400.0,3.725,4.4688,3.625,4.4375,3736000.0,3.6625,3.7062,3.625,3.7062,1336800.0,3.8062,3.9188,3.5562,3.7,393600.0,5.3125
2000-02-04,4.7813,4.8688,4.7188,4.8438,1107200.0,4.875,5.0,4.75,4.9188,647200.0,4.4375,4.9562,4.4375,4.8125,3290400.0,3.725,4.4688,3.625,4.4375,3736000.0,3.6625,3.7062,3.625,3.7062,1336800.0,5.375
2000-02-07,4.8063,4.9375,4.5625,4.9375,609600.0,4.7813,4.8688,4.7188,4.8438,1107200.0,4.875,5.0,4.75,4.9188,647200.0,4.4375,4.9562,4.4375,4.8125,3290400.0,3.725,4.4688,3.625,4.4375,3736000.0,6.1563
2000-02-08,4.9813,5.4375,4.9813,5.2875,1478400.0,4.8063,4.9375,4.5625,4.9375,609600.0,4.7813,4.8688,4.7188,4.8438,1107200.0,4.875,5.0,4.75,4.9188,647200.0,4.4375,4.9562,4.4375,4.8125,3290400.0,6.175
2000-02-09,5.5,5.7625,5.3438,5.5812,1093600.0,4.9813,5.4375,4.9813,5.2875,1478400.0,4.8063,4.9375,4.5625,4.9375,609600.0,4.7813,4.8688,4.7188,4.8438,1107200.0,4.875,5.0,4.75,4.9188,647200.0,6.0
2000-02-10,5.5125,5.625,5.2188,5.2562,507200.0,5.5,5.7625,5.3438,5.5812,1093600.0,4.9813,5.4375,4.9813,5.2875,1478400.0,4.8063,4.9375,4.5625,4.9375,609600.0,4.7813,4.8688,4.7188,4.8438,1107200.0,6.1563
2000-02-11,5.125,5.3187,5.125,5.3125,408800.0,5.5125,5.625,5.2188,5.2562,507200.0,5.5,5.7625,5.3438,5.5812,1093600.0,4.9813,5.4375,4.9813,5.2875,1478400.0,4.8063,4.9375,4.5625,4.9375,609600.0,6.0625
2000-02-14,5.2625,5.625,5.2625,5.375,764800.0,5.125,5.3187,5.125,5.3125,408800.0,5.5125,5.625,5.2188,5.2562,507200.0,5.5,5.7625,5.3438,5.5812,1093600.0,4.9813,5.4375,4.9813,5.2875,1478400.0,5.7188
2000-02-15,5.375,6.6063,5.375,6.1563,1800800.0,5.2625,5.625,5.2625,5.375,764800.0,5.125,5.3187,5.125,5.3125,408800.0,5.5125,5.625,5.2188,5.2562,507200.0,5.5,5.7625,5.3438,5.5812,1093600.0,6.2375
2000-02-16,6.2438,6.275,6.0187,6.175,486400.0,5.375,6.6063,5.375,6.1563,1800800.0,5.2625,5.625,5.2625,5.375,764800.0,5.125,5.3187,5.125,5.3125,408800.0,5.5125,5.625,5.2188,5.2562,507200.0,8.375
2000-02-17,6.1312,6.4375,6.0,6.0,539200.0,6.2438,6.275,6.0187,6.175,486400.0,5.375,6.6063,5.375,6.1563,1800800.0,5.2625,5.625,5.2625,5.375,764800.0,5.125,5.3187,5.125,5.3125,408800.0,7.25
2000-02-18,6.0187,6.25,6.0,6.1563,1437600.0,6.1312,6.4375,6.0,6.0,539200.0,6.2438,6.275,6.0187,6.175,486400.0,5.375,6.6063,5.375,6.1563,1800800.0,5.2625,5.625,5.2625,5.375,764800.0,7.25
