date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,7.0,7.0,6.8,6.8,13100.0,7.5,7.5,6.85,6.9,15800.0,7.1,7.1,6.8,6.85,37000.0,7.45,7.45,7.0,7.0,64200.0,7.25,7.4,7.2,7.35,22100.0,6.75
2000-01-13,7.0,7.0,6.7,6.7,28700.0,7.0,7.0,6.8,6.8,13100.0,7.5,7.5,6.85,6.9,15800.0,7.1,7.1,6.8,6.85,37000.0,7.45,7.45,7.0,7.0,64200.0,6.6
2000-01-14,7.0,7.0,6.5,6.85,15900.0,7.0,7.0,6.7,6.7,28700.0,7.0,7.0,6.8,6.8,13100.0,7.5,7.5,6.85,6.9,15800.0,7.1,7.1,6.8,6.85,37000.0,6.45
2000-01-17,7.0,7.0,6.4,6.4,23100.0,7.0,7.0,6.5,6.85,15900.0,7.0,7.0,6.7,6.7,28700.0,7.0,7.0,6.8,6.8,13100.0,7.5,7.5,6.85,6.9,15800.0,6.55
2000-01-18,6.6,6.85,6.6,6.85,11000.0,7.0,7.0,6.4,6.4,23100.0,7.0,7.0,6.5,6.85,15900.0,7.0,7.0,6.7,6.7,28700.0,7.0,7.0,6.8,6.8,13100.0,6.6
2000-01-19,6.75,6.9,6.6,6.9,10300.0,6.6,6.85,6.6,6.85,11000.0,7.0,7.0,6.4,6.4,23100.0,7.0,7.0,6.5,6.85,15900.0,7.0,7.0,6.7,6.7,28700.0,6.75
2000-01-20,6.6,6.85,6.6,6.75,3700.0,6.75,6.9,6.6,6.9,10300.0,6.6,6.85,6.6,6.85,11000.0,7.0,7.0,6.4,6.4,23100.0,7.0,7.0,6.5,6.85,15900.0,6.75
2000-01-21,6.9,6.9,6.6,6.6,2700.0,6.6,6.85,6.6,6.75,3700.0,6.75,6.9,6.6,6.9,10300.0,6.6,6.85,6.6,6.85,11000.0,7.0,7.0,6.4,6.4,23100.0,6.7
2000-01-24,7.0,7.0,6.45,6.45,6700.0,6.9,6.9,6.6,6.6,2700.0,6.6,6.85,6.6,6.75,3700.0,6.75,6.9,6.6,6.9,10300.0,6.6,6.85,6.6,6.85,11000.0,6.65
2000-01-25,6.5,6.9,6.5,6.55,3100.0,7.0,7.0,6.45,6.45,6700.0,6.9,6.9,6.6,6.6,2700.0,6.6,6.85,6.6,6.75,3700.0,6.75,6.9,6.6,6.9,10300.0,6.65
2000-01-26,7.0,7.0,6.6,6.6,8800.0,6.5,6.9,6.5,6.55,3100.0,7.0,7.0,6.45,6.45,6700.0,6.9,6.9,6.6,6.6,2700.0,6.6,6.85,6.6,6.75,3700.0,6.6
2000-01-27,6.9,7.05,6.65,6.75,5300.0,7.0,7.0,6.6,6.6,8800.0,6.5,6.9,6.5,6.55,3100.0,7.0,7.0,6.45,6.45,6700.0,6.9,6.9,6.6,6.6,2700.0,6.85
2000-01-28,7.0,7.2,6.75,6.75,8600.0,6.9,7.05,6.65,6.75,5300.0,7.0,7.0,6.6,6.6,8800.0,6.5,6.9,6.5,6.55,3100.0,7.0,7.0,6.45,6.45,6700.0,6.85
2000-01-31,6.6,6.95,6.6,6.7,1600.0,7.0,7.2,6.75,6.75,8600.0,6.9,7.05,6.65,6.75,5300.0,7.0,7.0,6.6,6.6,8800.0,6.5,6.9,6.5,6.55,3100.0,6.75
2000-02-01,6.9,6.9,6.6,6.65,7800.0,6.6,6.95,6.6,6.7,1600.0,7.0,7.2,6.75,6.75,8600.0,6.9,7.05,6.65,6.75,5300.0,7.0,7.0,6.6,6.6,8800.0,7.15
2000-02-02,6.7,6.85,6.65,6.65,6100.0,6.9,6.9,6.6,6.65,7800.0,6.6,6.95,6.6,6.7,1600.0,7.0,7.2,6.75,6.75,8600.0,6.9,7.05,6.65,6.75,5300.0,7.2
2000-02-03,6.65,6.65,6.45,6.6,16200.0,6.7,6.85,6.65,6.65,6100.0,6.9,6.9,6.6,6.65,7800.0,6.6,6.95,6.6,6.7,1600.0,7.0,7.2,6.75,6.75,8600.0,6.75
2000-02-04,6.7,7.2,6.7,6.85,192000.0,6.65,6.65,6.45,6.6,16200.0,6.7,6.85,6.65,6.65,6100.0,6.9,6.9,6.6,6.65,7800.0,6.6,6.95,6.6,6.7,1600.0,6.8
2000-02-07,7.2,7.2,6.85,6.85,76800.0,6.7,7.2,6.7,6.85,192000.0,6.65,6.65,6.45,6.6,16200.0,6.7,6.85,6.65,6.65,6100.0,6.9,6.9,6.6,6.65,7800.0,6.75
2000-02-08,6.85,6.85,6.75,6.75,5300.0,7.2,7.2,6.85,6.85,76800.0,6.7,7.2,6.7,6.85,192000.0,6.65,6.65,6.45,6.6,16200.0,6.7,6.85,6.65,6.65,6100.0,6.8
2000-02-09,7.1,7.2,6.95,7.15,25900.0,6.85,6.85,6.75,6.75,5300.0,7.2,7.2,6.85,6.85,76800.0,6.7,7.2,6.7,6.85,192000.0,6.65,6.65,6.45,6.6,16200.0,6.6
2000-02-10,7.2,7.35,6.8,7.2,36200.0,7.1,7.2,6.95,7.15,25900.0,6.85,6.85,6.75,6.75,5300.0,7.2,7.2,6.85,6.85,76800.0,6.7,7.2,6.7,6.85,192000.0,6.5
2000-02-11,7.05,7.05,6.75,6.75,7300.0,7.2,7.35,6.8,7.2,36200.0,7.1,7.2,6.95,7.15,25900.0,6.85,6.85,6.75,6.75,5300.0,7.2,7.2,6.85,6.85,76800.0,6.75
2000-02-14,6.8,6.9,6.8,6.8,11100.0,7.05,7.05,6.75,6.75,7300.0,7.2,7.35,6.8,7.2,36200.0,7.1,7.2,6.95,7.15,25900.0,6.85,6.85,6.75,6.75,5300.0,6.55
2000-02-15,6.9,6.9,6.75,6.75,6900.0,6.8,6.9,6.8,6.8,11100.0,7.05,7.05,6.75,6.75,7300.0,7.2,7.35,6.8,7.2,36200.0,7.1,7.2,6.95,7.15,25900.0,6.5
2000-02-16,6.9,7.0,6.8,6.8,17300.0,6.9,6.9,6.75,6.75,6900.0,6.8,6.9,6.8,6.8,11100.0,7.05,7.05,6.75,6.75,7300.0,7.2,7.35,6.8,7.2,36200.0,6.0
2000-02-17,6.9,6.9,6.6,6.6,9900.0,6.9,7.0,6.8,6.8,17300.0,6.9,6.9,6.75,6.75,6900.0,6.8,6.9,6.8,6.8,11100.0,7.05,7.05,6.75,6.75,7300.0,5.7
2000-02-18,6.6,7.0,6.45,6.5,135400.0,6.9,6.9,6.6,6.6,9900.0,6.9,7.0,6.8,6.8,17300.0,6.9,6.9,6.75,6.75,6900.0,6.8,6.9,6.8,6.8,11100.0,6.05
2000-02-21,6.75,6.75,6.4,6.75,3900.0,6.6,7.0,6.45,6.5,135400.0,6.9,6.9,6.6,6.6,9900.0,6.9,7.0,6.8,6.8,17300.0,6.9,6.9,6.75,6.75,6900.0,5.7
