date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,0.345,0.345,0.345,0.345,0.0,0.315,0.345,0.315,0.345,8000.0,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.0,0.345,0.35,0.345,0.35,77000.0,0.405
2000-01-13,0.315,0.35,0.315,0.35,42000.0,0.345,0.345,0.345,0.345,0.0,0.315,0.345,0.315,0.345,8000.0,0.35,0.35,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.0,0.41
2000-01-14,0.35,0.35,0.325,0.335,50000.0,0.315,0.35,0.315,0.35,42000.0,0.345,0.345,0.345,0.345,0.0,0.315,0.345,0.315,0.345,8000.0,0.35,0.35,0.35,0.35,0.0,0.415
2000-01-17,0.325,0.325,0.325,0.325,1000.0,0.35,0.35,0.325,0.335,50000.0,0.315,0.35,0.315,0.35,42000.0,0.345,0.345,0.345,0.345,0.0,0.315,0.345,0.315,0.345,8000.0,0.405
2000-01-18,0.335,0.35,0.33,0.35,222200.0,0.325,0.325,0.325,0.325,1000.0,0.35,0.35,0.325,0.335,50000.0,0.315,0.35,0.315,0.35,42000.0,0.345,0.345,0.345,0.345,0.0,0.405
2000-01-19,0.35,0.35,0.34,0.35,171800.0,0.335,0.35,0.33,0.35,222200.0,0.325,0.325,0.325,0.325,1000.0,0.35,0.35,0.325,0.335,50000.0,0.315,0.35,0.315,0.35,42000.0,0.41
2000-01-20,0.355,0.42,0.355,0.405,164000.0,0.35,0.35,0.34,0.35,171800.0,0.335,0.35,0.33,0.35,222200.0,0.325,0.325,0.325,0.325,1000.0,0.35,0.35,0.325,0.335,50000.0,0.4
2000-01-21,0.38,0.41,0.365,0.41,77000.0,0.355,0.42,0.355,0.405,164000.0,0.35,0.35,0.34,0.35,171800.0,0.335,0.35,0.33,0.35,222200.0,0.325,0.325,0.325,0.325,1000.0,0.375
2000-01-24,0.41,0.415,0.41,0.415,48000.0,0.38,0.41,0.365,0.41,77000.0,0.355,0.42,0.355,0.405,164000.0,0.35,0.35,0.34,0.35,171800.0,0.335,0.35,0.33,0.35,222200.0,0.39
2000-01-25,0.415,0.415,0.4,0.405,51400.0,0.41,0.415,0.41,0.415,48000.0,0.38,0.41,0.365,0.41,77000.0,0.355,0.42,0.355,0.405,164000.0,0.35,0.35,0.34,0.35,171800.0,0.38
2000-01-26,0.4,0.405,0.395,0.405,78000.0,0.415,0.415,0.4,0.405,51400.0,0.41,0.415,0.41,0.415,48000.0,0.38,0.41,0.365,0.41,77000.0,0.355,0.42,0.355,0.405,164000.0,0.4
2000-01-27,0.4,0.42,0.4,0.41,44000.0,0.4,0.405,0.395,0.405,78000.0,0.415,0.415,0.4,0.405,51400.0,0.41,0.415,0.41,0.415,48000.0,0.38,0.41,0.365,0.41,77000.0,0.405
2000-01-28,0.4,0.41,0.375,0.4,68000.0,0.4,0.42,0.4,0.41,44000.0,0.4,0.405,0.395,0.405,78000.0,0.415,0.415,0.4,0.405,51400.0,0.41,0.415,0.41,0.415,48000.0,0.405
2000-01-31,0.4,0.41,0.375,0.375,45000.0,0.4,0.41,0.375,0.4,68000.0,0.4,0.42,0.4,0.41,44000.0,0.4,0.405,0.395,0.405,78000.0,0.415,0.415,0.4,0.405,51400.0,0.375
2000-02-01,0.39,0.39,0.39,0.39,30000.0,0.4,0.41,0.375,0.375,45000.0,0.4,0.41,0.375,0.4,68000.0,0.4,0.42,0.4,0.41,44000.0,0.4,0.405,0.395,0.405,78000.0,0.34
2000-02-02,0.375,0.385,0.375,0.38,21000.0,0.39,0.39,0.39,0.39,30000.0,0.4,0.41,0.375,0.375,45000.0,0.4,0.41,0.375,0.4,68000.0,0.4,0.42,0.4,0.41,44000.0,0.34
