date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-11,2.2167,2.2167,2.1917,2.1917,10200.0,2.225,2.225,2.2167,2.2167,12000.0,2.1667,2.25,2.1667,2.25,263400.0,2.2,2.2,2.2,2.2,1800.0,2.2083,2.2083,2.2083,2.2083,6000.0,2.25
2000-01-12,2.2,2.2,2.2,2.2,1800.0,2.2167,2.2167,2.1917,2.1917,10200.0,2.225,2.225,2.2167,2.2167,12000.0,2.1667,2.25,2.1667,2.25,263400.0,2.2,2.2,2.2,2.2,1800.0,2.1667
2000-01-13,2.1917,2.1917,2.1667,2.1667,12000.0,2.2,2.2,2.2,2.2,1800.0,2.2167,2.2167,2.1917,2.1917,10200.0,2.225,2.225,2.2167,2.2167,12000.0,2.1667,2.25,2.1667,2.25,263400.0,2.1667
2000-01-14,2.1667,2.1667,2.1667,2.1667,0.0,2.1917,2.1917,2.1667,2.1667,12000.0,2.2,2.2,2.2,2.2,1800.0,2.2167,2.2167,2.1917,2.1917,10200.0,2.225,2.225,2.2167,2.2167,12000.0,2.1667
2000-01-17,2.1667,2.1667,2.1667,2.1667,61800.0,2.1667,2.1667,2.1667,2.1667,0.0,2.1917,2.1917,2.1667,2.1667,12000.0,2.2,2.2,2.2,2.2,1800.0,2.2167,2.2167,2.1917,2.1917,10200.0,2.125
2000-01-18,2.1667,2.1667,2.1667,2.1667,6000.0,2.1667,2.1667,2.1667,2.1667,61800.0,2.1667,2.1667,2.1667,2.1667,0.0,2.1917,2.1917,2.1667,2.1667,12000.0,2.2,2.2,2.2,2.2,1800.0,2.125
2000-01-19,2.2167,2.25,2.1667,2.25,22200.0,2.1667,2.1667,2.1667,2.1667,6000.0,2.1667,2.1667,2.1667,2.1667,61800.0,2.1667,2.1667,2.1667,2.1667,0.0,2.1917,2.1917,2.1667,2.1667,12000.0,2.1167
2000-01-20,2.1667,2.1667,2.1667,2.1667,1200.0,2.2167,2.25,2.1667,2.25,22200.0,2.1667,2.1667,2.1667,2.1667,6000.0,2.1667,2.1667,2.1667,2.1667,61800.0,2.1667,2.1667,2.1667,2.1667,0.0,2.1167
2000-01-21,2.1667,2.1667,2.1667,2.1667,5400.0,2.1667,2.1667,2.1667,2.1667,1200.0,2.2167,2.25,2.1667,2.25,22200.0,2.1667,2.1667,2.1667,2.1667,6000.0,2.1667,2.1667,2.1667,2.1667,61800.0,2.1083
2000-01-24,2.2333,2.2333,2.1667,2.1667,38400.0,2.1667,2.1667,2.1667,2.1667,5400.0,2.1667,2.1667,2.1667,2.1667,1200.0,2.2167,2.25,2.1667,2.25,22200.0,2.1667,2.1667,2.1667,2.1667,6000.0,2.0833
