date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-11-28,8.15,8.2,8.1,8.1,59900.0,8.15,8.25,8.15,8.25,54700.0,8.05,8.25,8.05,8.15,51900.0,8.1,8.15,8.0,8.05,34800.0,8.05,8.15,8.0,8.15,50400.0,8.15
2000-11-29,8.15,8.3,8.1,8.25,66600.0,8.15,8.2,8.1,8.1,59900.0,8.15,8.25,8.15,8.25,54700.0,8.05,8.25,8.05,8.15,51900.0,8.1,8.15,8.0,8.05,34800.0,8.3
2000-11-30,8.25,8.25,8.1,8.15,63000.0,8.15,8.3,8.1,8.25,66600.0,8.15,8.2,8.1,8.1,59900.0,8.15,8.25,8.15,8.25,54700.0,8.05,8.25,8.05,8.15,51900.0,8.25
2000-12-01,8.1,8.2,8.1,8.2,34900.0,8.25,8.25,8.1,8.15,63000.0,8.15,8.3,8.1,8.25,66600.0,8.15,8.2,8.1,8.1,59900.0,8.15,8.25,8.15,8.25,54700.0,8.35
2000-12-04,8.1,8.2,8.1,8.15,71100.0,8.1,8.2,8.1,8.2,34900.0,8.25,8.25,8.1,8.15,63000.0,8.15,8.3,8.1,8.25,66600.0,8.15,8.2,8.1,8.1,59900.0,8.45
2000-12-05,8.2,8.4,8.15,8.25,122200.0,8.1,8.2,8.1,8.15,71100.0,8.1,8.2,8.1,8.2,34900.0,8.25,8.25,8.1,8.15,63000.0,8.15,8.3,8.1,8.25,66600.0,8.35
2000-12-06,8.2,8.3,8.15,8.15,82600.0,8.2,8.4,8.15,8.25,122200.0,8.1,8.2,8.1,8.15,71100.0,8.1,8.2,8.1,8.2,34900.0,8.25,8.25,8.1,8.15,63000.0,8.35
2000-12-07,8.25,8.3,8.1,8.3,39300.0,8.2,8.3,8.15,8.15,82600.0,8.2,8.4,8.15,8.25,122200.0,8.1,8.2,8.1,8.15,71100.0,8.1,8.2,8.1,8.2,34900.0,8.4
2000-12-08,8.15,8.4,8.15,8.25,45700.0,8.25,8.3,8.1,8.3,39300.0,8.2,8.3,8.15,8.15,82600.0,8.2,8.4,8.15,8.25,122200.0,8.1,8.2,8.1,8.15,71100.0,8.5
2000-12-11,8.2,8.45,8.2,8.35,38900.0,8.15,8.4,8.15,8.25,45700.0,8.25,8.3,8.1,8.3,39300.0,8.2,8.3,8.15,8.15,82600.0,8.2,8.4,8.15,8.25,122200.0,8.7
2000-12-12,8.45,8.5,8.35,8.45,48800.0,8.2,8.45,8.2,8.35,38900.0,8.15,8.4,8.15,8.25,45700.0,8.25,8.3,8.1,8.3,39300.0,8.2,8.3,8.15,8.15,82600.0,8.6
2000-12-13,8.45,8.5,8.35,8.35,98500.0,8.45,8.5,8.35,8.45,48800.0,8.2,8.45,8.2,8.35,38900.0,8.15,8.4,8.15,8.25,45700.0,8.25,8.3,8.1,8.3,39300.0,8.6
2000-12-14,8.45,8.5,8.35,8.35,92400.0,8.45,8.5,8.35,8.35,98500.0,8.45,8.5,8.35,8.45,48800.0,8.2,8.45,8.2,8.35,38900.0,8.15,8.4,8.15,8.25,45700.0,8.65
2000-12-15,8.35,8.5,8.35,8.4,84900.0,8.45,8.5,8.35,8.35,92400.0,8.45,8.5,8.35,8.35,98500.0,8.45,8.5,8.35,8.45,48800.0,8.2,8.45,8.2,8.35,38900.0,8.65
2000-12-18,8.5,8.55,8.35,8.5,90100.0,8.35,8.5,8.35,8.4,84900.0,8.45,8.5,8.35,8.35,92400.0,8.45,8.5,8.35,8.35,98500.0,8.45,8.5,8.35,8.45,48800.0,8.65
2000-12-19,8.45,8.7,8.45,8.7,46800.0,8.5,8.55,8.35,8.5,90100.0,8.35,8.5,8.35,8.4,84900.0,8.45,8.5,8.35,8.35,92400.0,8.45,8.5,8.35,8.35,98500.0,8.65
2000-12-20,8.6,8.7,8.55,8.6,162100.0,8.45,8.7,8.45,8.7,46800.0,8.5,8.55,8.35,8.5,90100.0,8.35,8.5,8.35,8.4,84900.0,8.45,8.5,8.35,8.35,92400.0,8.7
2000-12-21,8.6,8.7,8.4,8.6,63400.0,8.6,8.7,8.55,8.6,162100.0,8.45,8.7,8.45,8.7,46800.0,8.5,8.55,8.35,8.5,90100.0,8.35,8.5,8.35,8.4,84900.0,8.75
2000-12-22,8.5,8.75,8.4,8.65,61700.0,8.6,8.7,8.4,8.6,63400.0,8.6,8.7,8.55,8.6,162100.0,8.45,8.7,8.45,8.7,46800.0,8.5,8.55,8.35,8.5,90100.0,8.75
2000-12-25,8.65,8.65,8.65,8.65,0.0,8.5,8.75,8.4,8.65,61700.0,8.6,8.7,8.4,8.6,63400.0,8.6,8.7,8.55,8.6,162100.0,8.45,8.7,8.45,8.7,46800.0,8.5
2000-12-26,8.65,8.65,8.65,8.65,0.0,8.65,8.65,8.65,8.65,0.0,8.5,8.75,8.4,8.65,61700.0,8.6,8.7,8.4,8.6,63400.0,8.6,8.7,8.55,8.6,162100.0,8.6
2000-12-27,8.65,8.65,8.45,8.65,22900.0,8.65,8.65,8.65,8.65,0.0,8.65,8.65,8.65,8.65,0.0,8.5,8.75,8.4,8.65,61700.0,8.6,8.7,8.4,8.6,63400.0,8.7
2000-12-28,8.75,8.75,8.6,8.7,20800.0,8.65,8.65,8.45,8.65,22900.0,8.65,8.65,8.65,8.65,0.0,8.65,8.65,8.65,8.65,0.0,8.5,8.75,8.4,8.65,61700.0,8.65
2000-12-29,8.65,8.75,8.6,8.75,23600.0,8.75,8.75,8.6,8.7,20800.0,8.65,8.65,8.45,8.65,22900.0,8.65,8.65,8.65,8.65,0.0,8.65,8.65,8.65,8.65,0.0,8.6
2001-01-01,8.75,8.75,8.75,8.75,0.0,8.65,8.75,8.6,8.75,23600.0,8.75,8.75,8.6,8.7,20800.0,8.65,8.65,8.45,8.65,22900.0,8.65,8.65,8.65,8.65,0.0,8.6
2001-01-02,8.75,8.75,8.5,8.5,38300.0,8.75,8.75,8.75,8.75,0.0,8.65,8.75,8.6,8.75,23600.0,8.75,8.75,8.6,8.7,20800.0,8.65,8.65,8.45,8.65,22900.0,8.65
2001-01-03,8.6,8.65,8.55,8.6,80700.0,8.75,8.75,8.5,8.5,38300.0,8.75,8.75,8.75,8.75,0.0,8.65,8.75,8.6,8.75,23600.0,8.75,8.75,8.6,8.7,20800.0,8.65
2001-01-04,8.6,8.7,8.55,8.7,67900.0,8.6,8.65,8.55,8.6,80700.0,8.75,8.75,8.5,8.5,38300.0,8.75,8.75,8.75,8.75,0.0,8.65,8.75,8.6,8.75,23600.0,8.65
2001-01-05,8.65,8.7,8.6,8.65,31400.0,8.6,8.7,8.55,8.7,67900.0,8.6,8.65,8.55,8.6,80700.0,8.75,8.75,8.5,8.5,38300.0,8.75,8.75,8.75,8.75,0.0,8.6
2001-01-08,8.65,8.65,8.55,8.6,67100.0,8.65,8.7,8.6,8.65,31400.0,8.6,8.7,8.55,8.7,67900.0,8.6,8.65,8.55,8.6,80700.0,8.75,8.75,8.5,8.5,38300.0,8.65
2001-01-09,8.6,8.65,8.55,8.6,160900.0,8.65,8.65,8.55,8.6,67100.0,8.65,8.7,8.6,8.65,31400.0,8.6,8.7,8.55,8.7,67900.0,8.6,8.65,8.55,8.6,80700.0,8.7
2001-01-10,8.65,8.7,8.55,8.65,171300.0,8.6,8.65,8.55,8.6,160900.0,8.65,8.65,8.55,8.6,67100.0,8.65,8.7,8.6,8.65,31400.0,8.6,8.7,8.55,8.7,67900.0,8.65
2001-01-11,8.6,8.65,8.6,8.65,61300.0,8.65,8.7,8.55,8.65,171300.0,8.6,8.65,8.55,8.6,160900.0,8.65,8.65,8.55,8.6,67100.0,8.65,8.7,8.6,8.65,31400.0,8.65
2001-01-12,8.65,8.7,8.6,8.65,128300.0,8.6,8.65,8.6,8.65,61300.0,8.65,8.7,8.55,8.65,171300.0,8.6,8.65,8.55,8.6,160900.0,8.65,8.65,8.55,8.6,67100.0,8.75
2001-01-15,8.65,8.65,8.55,8.6,35300.0,8.65,8.7,8.6,8.65,128300.0,8.6,8.65,8.6,8.65,61300.0,8.65,8.7,8.55,8.65,171300.0,8.6,8.65,8.55,8.6,160900.0,8.8
2001-01-16,8.6,8.7,8.6,8.65,67500.0,8.65,8.65,8.55,8.6,35300.0,8.65,8.7,8.6,8.65,128300.0,8.6,8.65,8.6,8.65,61300.0,8.65,8.7,8.55,8.65,171300.0,8.8
2001-01-17,8.6,8.7,8.6,8.7,96200.0,8.6,8.7,8.6,8.65,67500.0,8.65,8.65,8.55,8.6,35300.0,8.65,8.7,8.6,8.65,128300.0,8.6,8.65,8.6,8.65,61300.0,8.75
2001-01-18,8.7,8.7,8.6,8.65,66100.0,8.6,8.7,8.6,8.7,96200.0,8.6,8.7,8.6,8.65,67500.0,8.65,8.65,8.55,8.6,35300.0,8.65,8.7,8.6,8.65,128300.0,8.9
2001-01-19,8.7,8.7,8.6,8.65,405800.0,8.7,8.7,8.6,8.65,66100.0,8.6,8.7,8.6,8.7,96200.0,8.6,8.7,8.6,8.65,67500.0,8.65,8.65,8.55,8.6,35300.0,9.1
2001-01-22,8.65,8.75,8.65,8.75,49000.0,8.7,8.7,8.6,8.65,405800.0,8.7,8.7,8.6,8.65,66100.0,8.6,8.7,8.6,8.7,96200.0,8.6,8.7,8.6,8.65,67500.0,9.1
2001-01-23,8.75,8.85,8.7,8.8,383300.0,8.65,8.75,8.65,8.75,49000.0,8.7,8.7,8.6,8.65,405800.0,8.7,8.7,8.6,8.65,66100.0,8.6,8.7,8.6,8.7,96200.0,9.1
2001-01-24,8.75,8.85,8.7,8.8,93700.0,8.75,8.85,8.7,8.8,383300.0,8.65,8.75,8.65,8.75,49000.0,8.7,8.7,8.6,8.65,405800.0,8.7,8.7,8.6,8.65,66100.0,9.1
2001-01-25,8.8,8.8,8.7,8.75,74100.0,8.75,8.85,8.7,8.8,93700.0,8.75,8.85,8.7,8.8,383300.0,8.65,8.75,8.65,8.75,49000.0,8.7,8.7,8.6,8.65,405800.0,9.1
2001-01-26,8.8,8.9,8.75,8.9,151000.0,8.8,8.8,8.7,8.75,74100.0,8.75,8.85,8.7,8.8,93700.0,8.75,8.85,8.7,8.8,383300.0,8.65,8.75,8.65,8.75,49000.0,9.05
2001-01-29,8.85,9.1,8.85,9.1,109200.0,8.8,8.9,8.75,8.9,151000.0,8.8,8.8,8.7,8.75,74100.0,8.75,8.85,8.7,8.8,93700.0,8.75,8.85,8.7,8.8,383300.0,9.0
2001-01-30,9.05,9.15,9.0,9.1,111300.0,8.85,9.1,8.85,9.1,109200.0,8.8,8.9,8.75,8.9,151000.0,8.8,8.8,8.7,8.75,74100.0,8.75,8.85,8.7,8.8,93700.0,9.0
2001-01-31,9.0,9.1,9.0,9.1,131700.0,9.05,9.15,9.0,9.1,111300.0,8.85,9.1,8.85,9.1,109200.0,8.8,8.9,8.75,8.9,151000.0,8.8,8.8,8.7,8.75,74100.0,9.0
2001-02-01,9.05,9.14,9.0,9.1,131200.0,9.0,9.1,9.0,9.1,131700.0,9.05,9.15,9.0,9.1,111300.0,8.85,9.1,8.85,9.1,109200.0,8.8,8.9,8.75,8.9,151000.0,8.95
2001-02-02,9.1,9.13,9.0,9.1,198600.0,9.05,9.14,9.0,9.1,131200.0,9.0,9.1,9.0,9.1,131700.0,9.05,9.15,9.0,9.1,111300.0,8.85,9.1,8.85,9.1,109200.0,9.0
2001-02-05,9.1,9.1,8.96,9.05,122100.0,9.1,9.13,9.0,9.1,198600.0,9.05,9.14,9.0,9.1,131200.0,9.0,9.1,9.0,9.1,131700.0,9.05,9.15,9.0,9.1,111300.0,8.9
