date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2014-06-06,36.32,36.54,36.25,36.43,246500.0,36.34,36.5,36.25,36.31,214300.0,36.25,36.51,36.1,36.46,306300.0,36.06,36.33,36.05,36.3,769700.0,36.0,36.36,35.95,36.05,1163600.0,39.45
2014-06-09,36.75,38.0,36.5,38.0,234300.0,36.32,36.54,36.25,36.43,246500.0,36.34,36.5,36.25,36.31,214300.0,36.25,36.51,36.1,36.46,306300.0,36.06,36.33,36.05,36.3,769700.0,39.1
2014-06-10,37.82,40.0,37.82,39.37,743200.0,36.75,38.0,36.5,38.0,234300.0,36.32,36.54,36.25,36.43,246500.0,36.34,36.5,36.25,36.31,214300.0,36.25,36.51,36.1,36.46,306300.0,38.55
2014-06-11,39.35,40.28,38.99,39.91,1476700.0,37.82,40.0,37.82,39.37,743200.0,36.75,38.0,36.5,38.0,234300.0,36.32,36.54,36.25,36.43,246500.0,36.34,36.5,36.25,36.31,214300.0,38.66
2014-06-12,39.9,40.31,39.76,40.0,844400.0,39.35,40.28,38.99,39.91,1476700.0,37.82,40.0,37.82,39.37,743200.0,36.75,38.0,36.5,38.0,234300.0,36.32,36.54,36.25,36.43,246500.0,38.77
2014-06-13,40.1,40.1,39.3,39.3,275600.0,39.9,40.31,39.76,40.0,844400.0,39.35,40.28,38.99,39.91,1476700.0,37.82,40.0,37.82,39.37,743200.0,36.75,38.0,36.5,38.0,234300.0,38.55
2014-06-16,39.32,39.81,39.13,39.45,167200.0,40.1,40.1,39.3,39.3,275600.0,39.9,40.31,39.76,40.0,844400.0,39.35,40.28,38.99,39.91,1476700.0,37.82,40.0,37.82,39.37,743200.0,38.25
2014-06-17,39.29,39.8,38.96,39.1,319800.0,39.32,39.81,39.13,39.45,167200.0,40.1,40.1,39.3,39.3,275600.0,39.9,40.31,39.76,40.0,844400.0,39.35,40.28,38.99,39.91,1476700.0,38.2
2014-06-18,39.0,39.0,38.35,38.55,984500.0,39.29,39.8,38.96,39.1,319800.0,39.32,39.81,39.13,39.45,167200.0,40.1,40.1,39.3,39.3,275600.0,39.9,40.31,39.76,40.0,844400.0,38.22
2014-06-19,38.74,38.75,38.21,38.66,526700.0,39.0,39.0,38.35,38.55,984500.0,39.29,39.8,38.96,39.1,319800.0,39.32,39.81,39.13,39.45,167200.0,40.1,40.1,39.3,39.3,275600.0,38.57
2014-06-20,38.73,38.8,38.5,38.77,279400.0,38.74,38.75,38.21,38.66,526700.0,39.0,39.0,38.35,38.55,984500.0,39.29,39.8,38.96,39.1,319800.0,39.32,39.81,39.13,39.45,167200.0,38.8
2014-06-23,38.78,38.78,38.5,38.55,46500.0,38.73,38.8,38.5,38.77,279400.0,38.74,38.75,38.21,38.66,526700.0,39.0,39.0,38.35,38.55,984500.0,39.29,39.8,38.96,39.1,319800.0,39.0
2014-06-24,38.5,38.8,38.22,38.25,146000.0,38.78,38.78,38.5,38.55,46500.0,38.73,38.8,38.5,38.77,279400.0,38.74,38.75,38.21,38.66,526700.0,39.0,39.0,38.35,38.55,984500.0,39.9
2014-06-25,38.22,38.44,37.87,38.2,141500.0,38.5,38.8,38.22,38.25,146000.0,38.78,38.78,38.5,38.55,46500.0,38.73,38.8,38.5,38.77,279400.0,38.74,38.75,38.21,38.66,526700.0,40.83
2014-06-26,38.15,38.8,38.1,38.22,115900.0,38.22,38.44,37.87,38.2,141500.0,38.5,38.8,38.22,38.25,146000.0,38.78,38.78,38.5,38.55,46500.0,38.73,38.8,38.5,38.77,279400.0,39.86
2014-06-27,38.47,38.67,38.0,38.57,52000.0,38.15,38.8,38.1,38.22,115900.0,38.22,38.44,37.87,38.2,141500.0,38.5,38.8,38.22,38.25,146000.0,38.78,38.78,38.5,38.55,46500.0,39.24
2014-06-30,38.71,38.8,38.5,38.8,15800.0,38.47,38.67,38.0,38.57,52000.0,38.15,38.8,38.1,38.22,115900.0,38.22,38.44,37.87,38.2,141500.0,38.5,38.8,38.22,38.25,146000.0,39.23
2014-07-02,39.11,39.5,38.49,39.0,231500.0,38.71,38.8,38.5,38.8,15800.0,38.47,38.67,38.0,38.57,52000.0,38.15,38.8,38.1,38.22,115900.0,38.22,38.44,37.87,38.2,141500.0,38.84
