date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2010-12-31,6.3,6.4,6.3,6.39,70000.0,6.25,6.35,6.18,6.3,107200.0,6.31,6.31,6.16,6.25,93700.0,6.28,6.31,6.26,6.31,31900.0,6.18,6.29,6.06,6.28,119900.0,6.26
2011-01-04,6.45,6.45,6.22,6.23,118400.0,6.3,6.4,6.3,6.39,70000.0,6.25,6.35,6.18,6.3,107200.0,6.31,6.31,6.16,6.25,93700.0,6.28,6.31,6.26,6.31,31900.0,6.4
2011-01-05,6.23,6.6,6.13,6.45,390100.0,6.45,6.45,6.22,6.23,118400.0,6.3,6.4,6.3,6.39,70000.0,6.25,6.35,6.18,6.3,107200.0,6.31,6.31,6.16,6.25,93700.0,6.31
2011-01-06,6.58,6.58,6.25,6.3,111300.0,6.23,6.6,6.13,6.45,390100.0,6.45,6.45,6.22,6.23,118400.0,6.3,6.4,6.3,6.39,70000.0,6.25,6.35,6.18,6.3,107200.0,6.26
2011-01-07,6.25,6.44,6.25,6.3,137800.0,6.58,6.58,6.25,6.3,111300.0,6.23,6.6,6.13,6.45,390100.0,6.45,6.45,6.22,6.23,118400.0,6.3,6.4,6.3,6.39,70000.0,6.45
2011-01-10,6.31,6.35,6.24,6.3,30400.0,6.25,6.44,6.25,6.3,137800.0,6.58,6.58,6.25,6.3,111300.0,6.23,6.6,6.13,6.45,390100.0,6.45,6.45,6.22,6.23,118400.0,6.4
2011-01-11,6.3,6.32,6.25,6.26,86500.0,6.31,6.35,6.24,6.3,30400.0,6.25,6.44,6.25,6.3,137800.0,6.58,6.58,6.25,6.3,111300.0,6.23,6.6,6.13,6.45,390100.0,6.4
2011-01-12,6.3,6.49,6.25,6.4,232400.0,6.3,6.32,6.25,6.26,86500.0,6.31,6.35,6.24,6.3,30400.0,6.25,6.44,6.25,6.3,137800.0,6.58,6.58,6.25,6.3,111300.0,6.27
2011-01-13,6.45,6.45,6.29,6.31,108600.0,6.3,6.49,6.25,6.4,232400.0,6.3,6.32,6.25,6.26,86500.0,6.31,6.35,6.24,6.3,30400.0,6.25,6.44,6.25,6.3,137800.0,6.39
2011-01-14,6.3,6.34,6.26,6.26,94500.0,6.45,6.45,6.29,6.31,108600.0,6.3,6.49,6.25,6.4,232400.0,6.3,6.32,6.25,6.26,86500.0,6.31,6.35,6.24,6.3,30400.0,6.24
2011-01-17,6.34,6.45,6.22,6.45,149800.0,6.3,6.34,6.26,6.26,94500.0,6.45,6.45,6.29,6.31,108600.0,6.3,6.49,6.25,6.4,232400.0,6.3,6.32,6.25,6.26,86500.0,6.01
2011-01-18,6.45,6.49,6.35,6.4,136600.0,6.34,6.45,6.22,6.45,149800.0,6.3,6.34,6.26,6.26,94500.0,6.45,6.45,6.29,6.31,108600.0,6.3,6.49,6.25,6.4,232400.0,6.05
2011-01-19,6.4,6.49,6.35,6.4,89100.0,6.45,6.49,6.35,6.4,136600.0,6.34,6.45,6.22,6.45,149800.0,6.3,6.34,6.26,6.26,94500.0,6.45,6.45,6.29,6.31,108600.0,6.1
