date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,11.725,11.725,11.0,11.1,294000.0,11.5,11.625,11.4,11.525,261600.0,11.5,11.875,11.4,11.625,163600.0,11.55,11.575,11.5,11.5,145400.0,11.875,11.975,11.55,11.55,213800.0,10.65
2000-01-13,11.0,11.05,10.775,10.8,411800.0,11.725,11.725,11.0,11.1,294000.0,11.5,11.625,11.4,11.525,261600.0,11.5,11.875,11.4,11.625,163600.0,11.55,11.575,11.5,11.5,145400.0,10.225
2000-01-14,10.85,11.25,10.75,10.8,2459000.0,11.0,11.05,10.775,10.8,411800.0,11.725,11.725,11.0,11.1,294000.0,11.5,11.625,11.4,11.525,261600.0,11.5,11.875,11.4,11.625,163600.0,9.75
2000-01-17,10.9,11.15,10.9,11.05,265400.0,10.85,11.25,10.75,10.8,2459000.0,11.0,11.05,10.775,10.8,411800.0,11.725,11.725,11.0,11.1,294000.0,11.5,11.625,11.4,11.525,261600.0,9.55
2000-01-18,11.125,11.4,10.775,10.95,131600.0,10.9,11.15,10.9,11.05,265400.0,10.85,11.25,10.75,10.8,2459000.0,11.0,11.05,10.775,10.8,411800.0,11.725,11.725,11.0,11.1,294000.0,10.0
2000-01-19,10.85,11.0,10.825,10.925,170800.0,11.125,11.4,10.775,10.95,131600.0,10.9,11.15,10.9,11.05,265400.0,10.85,11.25,10.75,10.8,2459000.0,11.0,11.05,10.775,10.8,411800.0,10.725
2000-01-20,10.875,10.975,10.65,10.65,195200.0,10.85,11.0,10.825,10.925,170800.0,11.125,11.4,10.775,10.95,131600.0,10.9,11.15,10.9,11.05,265400.0,10.85,11.25,10.75,10.8,2459000.0,10.6
2000-01-21,10.65,10.65,10.125,10.225,227000.0,10.875,10.975,10.65,10.65,195200.0,10.85,11.0,10.825,10.925,170800.0,11.125,11.4,10.775,10.95,131600.0,10.9,11.15,10.9,11.05,265400.0,10.875
2000-01-24,10.35,10.35,9.525,9.75,371800.0,10.65,10.65,10.125,10.225,227000.0,10.875,10.975,10.65,10.65,195200.0,10.85,11.0,10.825,10.925,170800.0,11.125,11.4,10.775,10.95,131600.0,10.75
2000-01-25,9.75,9.8,9.525,9.55,270000.0,10.35,10.35,9.525,9.75,371800.0,10.65,10.65,10.125,10.225,227000.0,10.875,10.975,10.65,10.65,195200.0,10.85,11.0,10.825,10.925,170800.0,10.875
2000-01-26,9.7,10.25,9.525,10.0,410400.0,9.75,9.8,9.525,9.55,270000.0,10.35,10.35,9.525,9.75,371800.0,10.65,10.65,10.125,10.225,227000.0,10.875,10.975,10.65,10.65,195200.0,10.5
2000-01-27,10.5,10.875,10.0,10.725,394800.0,9.7,10.25,9.525,10.0,410400.0,9.75,9.8,9.525,9.55,270000.0,10.35,10.35,9.525,9.75,371800.0,10.65,10.65,10.125,10.225,227000.0,9.95
2000-01-28,10.75,10.825,10.4,10.6,243400.0,10.5,10.875,10.0,10.725,394800.0,9.7,10.25,9.525,10.0,410400.0,9.75,9.8,9.525,9.55,270000.0,10.35,10.35,9.525,9.75,371800.0,10.5
2000-01-31,10.6,10.875,10.5,10.875,705200.0,10.75,10.825,10.4,10.6,243400.0,10.5,10.875,10.0,10.725,394800.0,9.7,10.25,9.525,10.0,410400.0,9.75,9.8,9.525,9.55,270000.0,10.5
2000-02-01,10.95,10.95,10.675,10.75,175200.0,10.6,10.875,10.5,10.875,705200.0,10.75,10.825,10.4,10.6,243400.0,10.5,10.875,10.0,10.725,394800.0,9.7,10.25,9.525,10.0,410400.0,10.55
2000-02-02,10.825,10.975,10.775,10.875,396400.0,10.95,10.95,10.675,10.75,175200.0,10.6,10.875,10.5,10.875,705200.0,10.75,10.825,10.4,10.6,243400.0,10.5,10.875,10.0,10.725,394800.0,10.5
2000-02-03,11.0,11.025,10.5,10.5,141800.0,10.825,10.975,10.775,10.875,396400.0,10.95,10.95,10.675,10.75,175200.0,10.6,10.875,10.5,10.875,705200.0,10.75,10.825,10.4,10.6,243400.0,10.525
2000-02-04,10.825,10.825,9.875,9.95,249400.0,11.0,11.025,10.5,10.5,141800.0,10.825,10.975,10.775,10.875,396400.0,10.95,10.95,10.675,10.75,175200.0,10.6,10.875,10.5,10.875,705200.0,10.675
2000-02-07,10.75,10.75,10.25,10.5,319200.0,10.825,10.825,9.875,9.95,249400.0,11.0,11.025,10.5,10.5,141800.0,10.825,10.975,10.775,10.875,396400.0,10.95,10.95,10.675,10.75,175200.0,10.65
2000-02-08,10.525,10.8,10.3,10.5,473000.0,10.75,10.75,10.25,10.5,319200.0,10.825,10.825,9.875,9.95,249400.0,11.0,11.025,10.5,10.5,141800.0,10.825,10.975,10.775,10.875,396400.0,10.8
2000-02-09,10.775,10.85,10.5,10.55,240200.0,10.525,10.8,10.3,10.5,473000.0,10.75,10.75,10.25,10.5,319200.0,10.825,10.825,9.875,9.95,249400.0,11.0,11.025,10.5,10.5,141800.0,10.175
2000-02-10,10.7,10.825,10.5,10.5,662200.0,10.775,10.85,10.5,10.55,240200.0,10.525,10.8,10.3,10.5,473000.0,10.75,10.75,10.25,10.5,319200.0,10.825,10.825,9.875,9.95,249400.0,10.0
2000-02-11,10.85,10.85,10.5,10.525,1472600.0,10.7,10.825,10.5,10.5,662200.0,10.775,10.85,10.5,10.55,240200.0,10.525,10.8,10.3,10.5,473000.0,10.75,10.75,10.25,10.5,319200.0,10.225
2000-02-14,10.75,10.8,10.575,10.675,765200.0,10.85,10.85,10.5,10.525,1472600.0,10.7,10.825,10.5,10.5,662200.0,10.775,10.85,10.5,10.55,240200.0,10.525,10.8,10.3,10.5,473000.0,10.025
2000-02-15,10.775,10.85,10.55,10.65,356800.0,10.75,10.8,10.575,10.675,765200.0,10.85,10.85,10.5,10.525,1472600.0,10.7,10.825,10.5,10.5,662200.0,10.775,10.85,10.5,10.55,240200.0,10.125
