date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2012-02-01,8.17,8.36,8.15,8.35,375600.0,8.4,8.4,8.17,8.18,120200.0,8.16,8.32,7.6,8.25,130700.0,7.79,8.19,7.79,8.16,297900.0,7.81,8.01,7.81,7.87,72600.0,8.49
2012-02-02,8.39,8.55,8.36,8.49,159400.0,8.17,8.36,8.15,8.35,375600.0,8.4,8.4,8.17,8.18,120200.0,8.16,8.32,7.6,8.25,130700.0,7.79,8.19,7.79,8.16,297900.0,8.25
2012-02-03,8.5,8.53,8.25,8.5,91500.0,8.39,8.55,8.36,8.49,159400.0,8.17,8.36,8.15,8.35,375600.0,8.4,8.4,8.17,8.18,120200.0,8.16,8.32,7.6,8.25,130700.0,8.39
2012-02-06,8.5,8.52,8.46,8.51,118100.0,8.5,8.53,8.25,8.5,91500.0,8.39,8.55,8.36,8.49,159400.0,8.17,8.36,8.15,8.35,375600.0,8.4,8.4,8.17,8.18,120200.0,8.55
2012-02-07,8.4,8.67,8.4,8.6,147200.0,8.5,8.52,8.46,8.51,118100.0,8.5,8.53,8.25,8.5,91500.0,8.39,8.55,8.36,8.49,159400.0,8.17,8.36,8.15,8.35,375600.0,8.38
2012-02-08,8.6,8.65,8.5,8.58,115700.0,8.4,8.67,8.4,8.6,147200.0,8.5,8.52,8.46,8.51,118100.0,8.5,8.53,8.25,8.5,91500.0,8.39,8.55,8.36,8.49,159400.0,7.15
2012-02-09,8.6,8.6,8.3,8.49,93700.0,8.6,8.65,8.5,8.58,115700.0,8.4,8.67,8.4,8.6,147200.0,8.5,8.52,8.46,8.51,118100.0,8.5,8.53,8.25,8.5,91500.0,7.16
2012-02-10,8.34,8.43,8.22,8.25,284000.0,8.6,8.6,8.3,8.49,93700.0,8.6,8.65,8.5,8.58,115700.0,8.4,8.67,8.4,8.6,147200.0,8.5,8.52,8.46,8.51,118100.0,6.99
2012-02-13,8.3,8.48,8.19,8.39,110800.0,8.34,8.43,8.22,8.25,284000.0,8.6,8.6,8.3,8.49,93700.0,8.6,8.65,8.5,8.58,115700.0,8.4,8.67,8.4,8.6,147200.0,7.1
2012-02-14,8.38,8.55,8.36,8.55,230100.0,8.3,8.48,8.19,8.39,110800.0,8.34,8.43,8.22,8.25,284000.0,8.6,8.6,8.3,8.49,93700.0,8.6,8.65,8.5,8.58,115700.0,7.13
2012-02-15,8.65,8.65,8.36,8.38,121200.0,8.38,8.55,8.36,8.55,230100.0,8.3,8.48,8.19,8.39,110800.0,8.34,8.43,8.22,8.25,284000.0,8.6,8.6,8.3,8.49,93700.0,6.95
2012-02-16,7.5,7.5,6.94,7.15,1248800.0,8.65,8.65,8.36,8.38,121200.0,8.38,8.55,8.36,8.55,230100.0,8.3,8.48,8.19,8.39,110800.0,8.34,8.43,8.22,8.25,284000.0,6.94
2012-02-17,7.2,7.3,6.95,7.16,439100.0,7.5,7.5,6.94,7.15,1248800.0,8.65,8.65,8.36,8.38,121200.0,8.38,8.55,8.36,8.55,230100.0,8.3,8.48,8.19,8.39,110800.0,6.88
2012-02-21,7.1,7.15,6.88,6.99,575600.0,7.2,7.3,6.95,7.16,439100.0,7.5,7.5,6.94,7.15,1248800.0,8.65,8.65,8.36,8.38,121200.0,8.38,8.55,8.36,8.55,230100.0,6.91
2012-02-22,7.0,7.13,6.86,7.1,2293500.0,7.1,7.15,6.88,6.99,575600.0,7.2,7.3,6.95,7.16,439100.0,7.5,7.5,6.94,7.15,1248800.0,8.65,8.65,8.36,8.38,121200.0,7.0
2012-02-23,7.1,7.13,6.9,7.13,747000.0,7.0,7.13,6.86,7.1,2293500.0,7.1,7.15,6.88,6.99,575600.0,7.2,7.3,6.95,7.16,439100.0,7.5,7.5,6.94,7.15,1248800.0,7.24
2012-02-24,7.15,7.25,6.95,6.95,160500.0,7.1,7.13,6.9,7.13,747000.0,7.0,7.13,6.86,7.1,2293500.0,7.1,7.15,6.88,6.99,575600.0,7.2,7.3,6.95,7.16,439100.0,7.0
2012-02-27,7.0,7.01,6.87,6.94,118200.0,7.15,7.25,6.95,6.95,160500.0,7.1,7.13,6.9,7.13,747000.0,7.0,7.13,6.86,7.1,2293500.0,7.1,7.15,6.88,6.99,575600.0,6.83
2012-02-28,6.91,7.01,6.88,6.88,149500.0,7.0,7.01,6.87,6.94,118200.0,7.15,7.25,6.95,6.95,160500.0,7.1,7.13,6.9,7.13,747000.0,7.0,7.13,6.86,7.1,2293500.0,6.88
2012-02-29,6.88,6.96,6.79,6.91,254200.0,6.91,7.01,6.88,6.88,149500.0,7.0,7.01,6.87,6.94,118200.0,7.15,7.25,6.95,6.95,160500.0,7.1,7.13,6.9,7.13,747000.0,6.86
2012-03-01,6.85,7.07,6.85,7.0,168700.0,6.88,6.96,6.79,6.91,254200.0,6.91,7.01,6.88,6.88,149500.0,7.0,7.01,6.87,6.94,118200.0,7.15,7.25,6.95,6.95,160500.0,7.06
2012-03-02,7.14,7.35,7.14,7.24,834500.0,6.85,7.07,6.85,7.0,168700.0,6.88,6.96,6.79,6.91,254200.0,6.91,7.01,6.88,6.88,149500.0,7.0,7.01,6.87,6.94,118200.0,6.91
2012-03-05,7.24,7.43,6.98,7.0,499100.0,7.14,7.35,7.14,7.24,834500.0,6.85,7.07,6.85,7.0,168700.0,6.88,6.96,6.79,6.91,254200.0,6.91,7.01,6.88,6.88,149500.0,7.04
2012-03-06,6.99,6.99,6.77,6.83,176400.0,7.24,7.43,6.98,7.0,499100.0,7.14,7.35,7.14,7.24,834500.0,6.85,7.07,6.85,7.0,168700.0,6.88,6.96,6.79,6.91,254200.0,6.89
2012-03-07,6.86,6.91,6.8,6.88,83400.0,6.99,6.99,6.77,6.83,176400.0,7.24,7.43,6.98,7.0,499100.0,7.14,7.35,7.14,7.24,834500.0,6.85,7.07,6.85,7.0,168700.0,6.82
2012-03-08,6.93,7.06,6.85,6.86,152200.0,6.86,6.91,6.8,6.88,83400.0,6.99,6.99,6.77,6.83,176400.0,7.24,7.43,6.98,7.0,499100.0,7.14,7.35,7.14,7.24,834500.0,6.82
2012-03-09,6.86,7.12,6.86,7.06,146500.0,6.93,7.06,6.85,6.86,152200.0,6.86,6.91,6.8,6.88,83400.0,6.99,6.99,6.77,6.83,176400.0,7.24,7.43,6.98,7.0,499100.0,6.9
2012-03-12,7.05,7.05,6.88,6.91,85300.0,6.86,7.12,6.86,7.06,146500.0,6.93,7.06,6.85,6.86,152200.0,6.86,6.91,6.8,6.88,83400.0,6.99,6.99,6.77,6.83,176400.0,6.78
2012-03-13,6.95,7.06,6.95,7.04,45700.0,7.05,7.05,6.88,6.91,85300.0,6.86,7.12,6.86,7.06,146500.0,6.93,7.06,6.85,6.86,152200.0,6.86,6.91,6.8,6.88,83400.0,6.67
2012-03-14,7.0,7.08,6.88,6.89,132000.0,6.95,7.06,6.95,7.04,45700.0,7.05,7.05,6.88,6.91,85300.0,6.86,7.12,6.86,7.06,146500.0,6.93,7.06,6.85,6.86,152200.0,6.63
2012-03-15,6.91,6.91,6.78,6.82,123700.0,7.0,7.08,6.88,6.89,132000.0,6.95,7.06,6.95,7.04,45700.0,7.05,7.05,6.88,6.91,85300.0,6.86,7.12,6.86,7.06,146500.0,6.71
2012-03-16,6.85,6.9,6.75,6.82,155400.0,6.91,6.91,6.78,6.82,123700.0,7.0,7.08,6.88,6.89,132000.0,6.95,7.06,6.95,7.04,45700.0,7.05,7.05,6.88,6.91,85300.0,6.93
2012-03-19,6.83,7.0,6.83,6.9,66200.0,6.85,6.9,6.75,6.82,155400.0,6.91,6.91,6.78,6.82,123700.0,7.0,7.08,6.88,6.89,132000.0,6.95,7.06,6.95,7.04,45700.0,7.15
2012-03-20,6.9,6.9,6.72,6.78,241200.0,6.83,7.0,6.83,6.9,66200.0,6.85,6.9,6.75,6.82,155400.0,6.91,6.91,6.78,6.82,123700.0,7.0,7.08,6.88,6.89,132000.0,6.98
2012-03-21,6.78,6.78,6.6,6.67,237000.0,6.9,6.9,6.72,6.78,241200.0,6.83,7.0,6.83,6.9,66200.0,6.85,6.9,6.75,6.82,155400.0,6.91,6.91,6.78,6.82,123700.0,7.01
2012-03-22,6.68,6.7,6.49,6.63,279500.0,6.78,6.78,6.6,6.67,237000.0,6.9,6.9,6.72,6.78,241200.0,6.83,7.0,6.83,6.9,66200.0,6.85,6.9,6.75,6.82,155400.0,7.04
2012-03-23,6.63,6.75,6.63,6.71,148100.0,6.68,6.7,6.49,6.63,279500.0,6.78,6.78,6.6,6.67,237000.0,6.9,6.9,6.72,6.78,241200.0,6.83,7.0,6.83,6.9,66200.0,6.93
2012-03-26,6.71,6.93,6.71,6.93,122200.0,6.63,6.75,6.63,6.71,148100.0,6.68,6.7,6.49,6.63,279500.0,6.78,6.78,6.6,6.67,237000.0,6.9,6.9,6.72,6.78,241200.0,6.95
2012-03-27,6.94,7.21,6.85,7.15,511000.0,6.71,6.93,6.71,6.93,122200.0,6.63,6.75,6.63,6.71,148100.0,6.68,6.7,6.49,6.63,279500.0,6.78,6.78,6.6,6.67,237000.0,6.96
2012-03-28,7.12,7.15,6.96,6.98,506100.0,6.94,7.21,6.85,7.15,511000.0,6.71,6.93,6.71,6.93,122200.0,6.63,6.75,6.63,6.71,148100.0,6.68,6.7,6.49,6.63,279500.0,7.02
2012-03-29,6.98,7.02,6.86,7.01,187300.0,7.12,7.15,6.96,6.98,506100.0,6.94,7.21,6.85,7.15,511000.0,6.71,6.93,6.71,6.93,122200.0,6.63,6.75,6.63,6.71,148100.0,6.91
2012-03-30,7.03,7.1,7.01,7.04,232000.0,6.98,7.02,6.86,7.01,187300.0,7.12,7.15,6.96,6.98,506100.0,6.94,7.21,6.85,7.15,511000.0,6.71,6.93,6.71,6.93,122200.0,6.75
2012-04-02,7.07,7.07,6.91,6.93,283200.0,7.03,7.1,7.01,7.04,232000.0,6.98,7.02,6.86,7.01,187300.0,7.12,7.15,6.96,6.98,506100.0,6.94,7.21,6.85,7.15,511000.0,6.83
2012-04-03,7.0,7.05,6.94,6.95,166900.0,7.07,7.07,6.91,6.93,283200.0,7.03,7.1,7.01,7.04,232000.0,6.98,7.02,6.86,7.01,187300.0,7.12,7.15,6.96,6.98,506100.0,7.06
2012-04-04,6.91,7.0,6.85,6.96,269200.0,7.0,7.05,6.94,6.95,166900.0,7.07,7.07,6.91,6.93,283200.0,7.03,7.1,7.01,7.04,232000.0,6.98,7.02,6.86,7.01,187300.0,5.76
2012-04-05,6.97,7.04,6.94,7.02,248000.0,6.91,7.0,6.85,6.96,269200.0,7.0,7.05,6.94,6.95,166900.0,7.07,7.07,6.91,6.93,283200.0,7.03,7.1,7.01,7.04,232000.0,5.81
2012-04-09,6.95,6.97,6.8,6.91,335000.0,6.97,7.04,6.94,7.02,248000.0,6.91,7.0,6.85,6.96,269200.0,7.0,7.05,6.94,6.95,166900.0,7.07,7.07,6.91,6.93,283200.0,5.73
2012-04-10,6.95,6.98,6.6,6.75,165900.0,6.95,6.97,6.8,6.91,335000.0,6.97,7.04,6.94,7.02,248000.0,6.91,7.0,6.85,6.96,269200.0,7.0,7.05,6.94,6.95,166900.0,5.63
2012-04-11,6.72,6.92,6.72,6.83,145100.0,6.95,6.98,6.6,6.75,165900.0,6.95,6.97,6.8,6.91,335000.0,6.97,7.04,6.94,7.02,248000.0,6.91,7.0,6.85,6.96,269200.0,5.68
2012-04-12,6.95,7.15,6.84,7.06,660500.0,6.72,6.92,6.72,6.83,145100.0,6.95,6.98,6.6,6.75,165900.0,6.95,6.97,6.8,6.91,335000.0,6.97,7.04,6.94,7.02,248000.0,5.68
2012-04-13,5.85,6.03,4.95,5.76,3838400.0,6.95,7.15,6.84,7.06,660500.0,6.72,6.92,6.72,6.83,145100.0,6.95,6.98,6.6,6.75,165900.0,6.95,6.97,6.8,6.91,335000.0,5.54
2012-04-16,5.79,5.92,5.71,5.81,815500.0,5.85,6.03,4.95,5.76,3838400.0,6.95,7.15,6.84,7.06,660500.0,6.72,6.92,6.72,6.83,145100.0,6.95,6.98,6.6,6.75,165900.0,5.34
