date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-11,9.7375,10.0,9.725,9.8125,955996.0,9.675,9.7375,9.5,9.7375,154148.0,9.5,9.6,9.375,9.475,140252.0,9.375,9.75,9.375,9.625,629012.0,9.375,9.5,9.3125,9.3875,567520.0,11.5625
2000-01-12,9.75,9.775,9.6125,9.6125,4637276.0,9.7375,10.0,9.725,9.8125,955996.0,9.675,9.7375,9.5,9.7375,154148.0,9.5,9.6,9.375,9.475,140252.0,9.375,9.75,9.375,9.625,629012.0,11.5625
2000-01-13,9.65,9.75,9.65,9.6625,2329768.0,9.75,9.775,9.6125,9.6125,4637276.0,9.7375,10.0,9.725,9.8125,955996.0,9.675,9.7375,9.5,9.7375,154148.0,9.5,9.6,9.375,9.475,140252.0,11.8875
2000-01-14,9.7125,10.125,9.65,10.0,3202432.0,9.65,9.75,9.65,9.6625,2329768.0,9.75,9.775,9.6125,9.6125,4637276.0,9.7375,10.0,9.725,9.8125,955996.0,9.675,9.7375,9.5,9.7375,154148.0,11.25
2000-01-17,10.125,11.25,10.125,11.125,340496.0,9.7125,10.125,9.65,10.0,3202432.0,9.65,9.75,9.65,9.6625,2329768.0,9.75,9.775,9.6125,9.6125,4637276.0,9.7375,10.0,9.725,9.8125,955996.0,12.0125
2000-01-18,11.1875,11.875,11.0,11.5375,1072336.0,10.125,11.25,10.125,11.125,340496.0,9.7125,10.125,9.65,10.0,3202432.0,9.65,9.75,9.65,9.6625,2329768.0,9.75,9.775,9.6125,9.6125,4637276.0,12.375
2000-01-19,11.25,12.0,11.25,11.5625,1732328.0,11.1875,11.875,11.0,11.5375,1072336.0,10.125,11.25,10.125,11.125,340496.0,9.7125,10.125,9.65,10.0,3202432.0,9.65,9.75,9.65,9.6625,2329768.0,12.5
2000-01-20,11.5875,11.5875,11.5,11.5625,572256.0,11.25,12.0,11.25,11.5625,1732328.0,11.1875,11.875,11.0,11.5375,1072336.0,10.125,11.25,10.125,11.125,340496.0,9.7125,10.125,9.65,10.0,3202432.0,12.4875
2000-01-21,11.5875,12.125,11.5875,11.8875,464452.0,11.5875,11.5875,11.5,11.5625,572256.0,11.25,12.0,11.25,11.5625,1732328.0,11.1875,11.875,11.0,11.5375,1072336.0,10.125,11.25,10.125,11.125,340496.0,12.375
2000-01-24,12.375,12.375,11.25,11.25,1909028.0,11.5875,12.125,11.5875,11.8875,464452.0,11.5875,11.5875,11.5,11.5625,572256.0,11.25,12.0,11.25,11.5625,1732328.0,11.1875,11.875,11.0,11.5375,1072336.0,12.8125
2000-01-25,11.3125,12.0875,11.3125,12.0125,934528.0,12.375,12.375,11.25,11.25,1909028.0,11.5875,12.125,11.5875,11.8875,464452.0,11.5875,11.5875,11.5,11.5625,572256.0,11.25,12.0,11.25,11.5625,1732328.0,12.75
2000-01-26,12.025,12.3875,12.0,12.375,1191144.0,11.3125,12.0875,11.3125,12.0125,934528.0,12.375,12.375,11.25,11.25,1909028.0,11.5875,12.125,11.5875,11.8875,464452.0,11.5875,11.5875,11.5,11.5625,572256.0,13.8125
2000-01-27,12.25,12.5,12.1875,12.5,366704.0,12.025,12.3875,12.0,12.375,1191144.0,11.3125,12.0875,11.3125,12.0125,934528.0,12.375,12.375,11.25,11.25,1909028.0,11.5875,12.125,11.5875,11.8875,464452.0,14.75
2000-01-28,12.5,12.5,12.3125,12.4875,619000.0,12.25,12.5,12.1875,12.5,366704.0,12.025,12.3875,12.0,12.375,1191144.0,11.3125,12.0875,11.3125,12.0125,934528.0,12.375,12.375,11.25,11.25,1909028.0,15.125
2000-01-31,12.3375,12.5,12.3375,12.375,912884.0,12.5,12.5,12.3125,12.4875,619000.0,12.25,12.5,12.1875,12.5,366704.0,12.025,12.3875,12.0,12.375,1191144.0,11.3125,12.0875,11.3125,12.0125,934528.0,14.875
2000-02-01,12.375,12.875,12.375,12.8125,1862212.0,12.3375,12.5,12.3375,12.375,912884.0,12.5,12.5,12.3125,12.4875,619000.0,12.25,12.5,12.1875,12.5,366704.0,12.025,12.3875,12.0,12.375,1191144.0,14.4375
2000-02-02,12.875,13.0,12.6875,12.75,1645132.0,12.375,12.875,12.375,12.8125,1862212.0,12.3375,12.5,12.3375,12.375,912884.0,12.5,12.5,12.3125,12.4875,619000.0,12.25,12.5,12.1875,12.5,366704.0,14.4375
2000-02-03,12.8375,14.25,12.8375,13.8125,1418092.0,12.875,13.0,12.6875,12.75,1645132.0,12.375,12.875,12.375,12.8125,1862212.0,12.3375,12.5,12.3375,12.375,912884.0,12.5,12.5,12.3125,12.4875,619000.0,14.5
2000-02-04,13.8125,15.0,13.6875,14.75,1158204.0,12.8375,14.25,12.8375,13.8125,1418092.0,12.875,13.0,12.6875,12.75,1645132.0,12.375,12.875,12.375,12.8125,1862212.0,12.3375,12.5,12.3375,12.375,912884.0,14.2125
2000-02-07,14.0,15.5,14.0,15.125,818828.0,13.8125,15.0,13.6875,14.75,1158204.0,12.8375,14.25,12.8375,13.8125,1418092.0,12.875,13.0,12.6875,12.75,1645132.0,12.375,12.875,12.375,12.8125,1862212.0,14.4
2000-02-08,14.5,15.3125,14.5,14.875,1287380.0,14.0,15.5,14.0,15.125,818828.0,13.8125,15.0,13.6875,14.75,1158204.0,12.8375,14.25,12.8375,13.8125,1418092.0,12.875,13.0,12.6875,12.75,1645132.0,14.025
2000-02-09,14.125,14.975,14.125,14.4375,928508.0,14.5,15.3125,14.5,14.875,1287380.0,14.0,15.5,14.0,15.125,818828.0,13.8125,15.0,13.6875,14.75,1158204.0,12.8375,14.25,12.8375,13.8125,1418092.0,13.875
2000-02-10,13.75,15.375,13.75,14.4375,2277732.0,14.125,14.975,14.125,14.4375,928508.0,14.5,15.3125,14.5,14.875,1287380.0,14.0,15.5,14.0,15.125,818828.0,13.8125,15.0,13.6875,14.75,1158204.0,13.5
2000-02-11,14.0,15.0,14.0,14.5,1993024.0,13.75,15.375,13.75,14.4375,2277732.0,14.125,14.975,14.125,14.4375,928508.0,14.5,15.3125,14.5,14.875,1287380.0,14.0,15.5,14.0,15.125,818828.0,13.75
2000-02-14,14.0625,14.875,14.0625,14.2125,2271780.0,14.0,15.0,14.0,14.5,1993024.0,13.75,15.375,13.75,14.4375,2277732.0,14.125,14.975,14.125,14.4375,928508.0,14.5,15.3125,14.5,14.875,1287380.0,13.375
