date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2014-12-19,45.35,47.03,44.35,47.03,3038300.0,43.33,44.87,42.83,44.49,1695900.0,41.45,42.73,41.25,42.73,1116300.0,41.25,41.58,41.14,41.34,1304300.0,41.78,41.85,40.61,41.14,2765600.0,45.5
2014-12-22,47.89,49.99,46.06,46.06,1624600.0,45.35,47.03,44.35,47.03,3038300.0,43.33,44.87,42.83,44.49,1695900.0,41.45,42.73,41.25,42.73,1116300.0,41.25,41.58,41.14,41.34,1304300.0,45.04
2014-12-23,47.05,47.06,45.54,45.83,0.0,47.89,49.99,46.06,46.06,1624600.0,45.35,47.03,44.35,47.03,3038300.0,43.33,44.87,42.83,44.49,1695900.0,41.45,42.73,41.25,42.73,1116300.0,44.48
2014-12-24,0.0,0.0,0.0,0.0,0.0,47.05,47.06,45.54,45.83,0.0,47.89,49.99,46.06,46.06,1624600.0,45.35,47.03,44.35,47.03,3038300.0,43.33,44.87,42.83,44.49,1695900.0,44.79
2014-12-29,45.89,45.89,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,47.05,47.06,45.54,45.83,0.0,47.89,49.99,46.06,46.06,1624600.0,45.35,47.03,44.35,47.03,3038300.0,46.5
2014-12-30,45.0,45.29,44.27,45.09,0.0,45.89,45.89,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,47.05,47.06,45.54,45.83,0.0,47.89,49.99,46.06,46.06,1624600.0,47.65
2014-12-31,45.49,45.5,44.75,45.5,150600.0,45.0,45.29,44.27,45.09,0.0,45.89,45.89,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,47.05,47.06,45.54,45.83,0.0,47.45
2015-01-02,45.96,46.4,44.7,45.04,185600.0,45.49,45.5,44.75,45.5,150600.0,45.0,45.29,44.27,45.09,0.0,45.89,45.89,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,47.57
2015-01-05,44.85,45.25,43.77,44.48,299800.0,45.96,46.4,44.7,45.04,185600.0,45.49,45.5,44.75,45.5,150600.0,45.0,45.29,44.27,45.09,0.0,45.89,45.89,45.0,45.0,0.0,48.12
2015-01-06,44.6,45.01,43.84,44.79,360400.0,44.85,45.25,43.77,44.48,299800.0,45.96,46.4,44.7,45.04,185600.0,45.49,45.5,44.75,45.5,150600.0,45.0,45.29,44.27,45.09,0.0,48.35
