date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2004-05-17,12.7167,12.8333,12.3333,12.8333,14400.0,13.1333,13.1667,13.0,13.0,5400.0,12.9333,13.1,12.9333,13.0733,6600.0,12.8333,12.85,12.7267,12.7267,4200.0,13.1667,13.17,13.12,13.17,6300.0,12.3733
2004-05-18,12.6667,12.6667,12.53,12.57,13800.0,12.7167,12.8333,12.3333,12.8333,14400.0,13.1333,13.1667,13.0,13.0,5400.0,12.9333,13.1,12.9333,13.0733,6600.0,12.8333,12.85,12.7267,12.7267,4200.0,12.4167
2004-05-19,12.5667,12.5667,12.3,12.3,3000.0,12.6667,12.6667,12.53,12.57,13800.0,12.7167,12.8333,12.3333,12.8333,14400.0,13.1333,13.1667,13.0,13.0,5400.0,12.9333,13.1,12.9333,13.0733,6600.0,12.4167
2004-05-20,12.3333,12.3333,12.1167,12.16,11700.0,12.5667,12.5667,12.3,12.3,3000.0,12.6667,12.6667,12.53,12.57,13800.0,12.7167,12.8333,12.3333,12.8333,14400.0,13.1333,13.1667,13.0,13.0,5400.0,12.35
2004-05-21,12.25,12.5,12.1667,12.31,41100.0,12.3333,12.3333,12.1167,12.16,11700.0,12.5667,12.5667,12.3,12.3,3000.0,12.6667,12.6667,12.53,12.57,13800.0,12.7167,12.8333,12.3333,12.8333,14400.0,12.25
2004-05-24,0.0,0.0,0.0,0.0,0.0,12.25,12.5,12.1667,12.31,41100.0,12.3333,12.3333,12.1167,12.16,11700.0,12.5667,12.5667,12.3,12.3,3000.0,12.6667,12.6667,12.53,12.57,13800.0,12.3667
2004-05-25,12.31,12.3733,12.1667,12.3733,213300.0,0.0,0.0,0.0,0.0,0.0,12.25,12.5,12.1667,12.31,41100.0,12.3333,12.3333,12.1167,12.16,11700.0,12.5667,12.5667,12.3,12.3,3000.0,12.0
2004-05-26,12.5,12.5167,12.3333,12.4167,26400.0,12.31,12.3733,12.1667,12.3733,213300.0,0.0,0.0,0.0,0.0,0.0,12.25,12.5,12.1667,12.31,41100.0,12.3333,12.3333,12.1167,12.16,11700.0,11.95
2004-05-27,12.3333,12.4167,12.3333,12.4167,15000.0,12.5,12.5167,12.3333,12.4167,26400.0,12.31,12.3733,12.1667,12.3733,213300.0,0.0,0.0,0.0,0.0,0.0,12.25,12.5,12.1667,12.31,41100.0,11.94
2004-05-28,12.5,12.5167,12.35,12.35,25800.0,12.3333,12.4167,12.3333,12.4167,15000.0,12.5,12.5167,12.3333,12.4167,26400.0,12.31,12.3733,12.1667,12.3733,213300.0,0.0,0.0,0.0,0.0,0.0,12.1333
2004-05-31,12.25,12.25,12.25,12.25,300.0,12.5,12.5167,12.35,12.35,25800.0,12.3333,12.4167,12.3333,12.4167,15000.0,12.5,12.5167,12.3333,12.4167,26400.0,12.31,12.3733,12.1667,12.3733,213300.0,11.8
2004-06-01,12.3667,12.3667,12.3667,12.3667,600.0,12.25,12.25,12.25,12.25,300.0,12.5,12.5167,12.35,12.35,25800.0,12.3333,12.4167,12.3333,12.4167,15000.0,12.5,12.5167,12.3333,12.4167,26400.0,11.8
2004-06-02,12.1667,12.1667,12.0,12.0,600.0,12.3667,12.3667,12.3667,12.3667,600.0,12.25,12.25,12.25,12.25,300.0,12.5,12.5167,12.35,12.35,25800.0,12.3333,12.4167,12.3333,12.4167,15000.0,11.95
2004-06-03,11.8667,11.95,11.8667,11.95,2700.0,12.1667,12.1667,12.0,12.0,600.0,12.3667,12.3667,12.3667,12.3667,600.0,12.25,12.25,12.25,12.25,300.0,12.5,12.5167,12.35,12.35,25800.0,11.95
2004-06-04,11.95,12.0,11.9167,11.94,6000.0,11.8667,11.95,11.8667,11.95,2700.0,12.1667,12.1667,12.0,12.0,600.0,12.3667,12.3667,12.3667,12.3667,600.0,12.25,12.25,12.25,12.25,300.0,11.9333
2004-06-07,11.8167,12.1333,11.8167,12.1333,3600.0,11.95,12.0,11.9167,11.94,6000.0,11.8667,11.95,11.8667,11.95,2700.0,12.1667,12.1667,12.0,12.0,600.0,12.3667,12.3667,12.3667,12.3667,600.0,11.9333
2004-06-08,12.0833,12.0833,11.8,11.8,3600.0,11.8167,12.1333,11.8167,12.1333,3600.0,11.95,12.0,11.9167,11.94,6000.0,11.8667,11.95,11.8667,11.95,2700.0,12.1667,12.1667,12.0,12.0,600.0,12.3333
2004-06-09,11.8,11.8,11.8,11.8,0.0,12.0833,12.0833,11.8,11.8,3600.0,11.8167,12.1333,11.8167,12.1333,3600.0,11.95,12.0,11.9167,11.94,6000.0,11.8667,11.95,11.8667,11.95,2700.0,12.25
2004-06-10,11.95,11.95,11.95,11.95,900.0,11.8,11.8,11.8,11.8,0.0,12.0833,12.0833,11.8,11.8,3600.0,11.8167,12.1333,11.8167,12.1333,3600.0,11.95,12.0,11.9167,11.94,6000.0,12.25
2004-06-11,11.95,11.95,11.95,11.95,0.0,11.95,11.95,11.95,11.95,900.0,11.8,11.8,11.8,11.8,0.0,12.0833,12.0833,11.8,11.8,3600.0,11.8167,12.1333,11.8167,12.1333,3600.0,12.1067
2004-06-14,11.95,11.95,11.9,11.9333,13800.0,11.95,11.95,11.95,11.95,0.0,11.95,11.95,11.95,11.95,900.0,11.8,11.8,11.8,11.8,0.0,12.0833,12.0833,11.8,11.8,3600.0,12.1067
2004-06-15,11.9333,11.9333,11.9333,11.9333,0.0,11.95,11.95,11.9,11.9333,13800.0,11.95,11.95,11.95,11.95,0.0,11.95,11.95,11.95,11.95,900.0,11.8,11.8,11.8,11.8,0.0,12.1667
2004-06-16,12.1667,12.3333,12.1667,12.3333,2100.0,11.9333,11.9333,11.9333,11.9333,0.0,11.95,11.95,11.9,11.9333,13800.0,11.95,11.95,11.95,11.95,0.0,11.95,11.95,11.95,11.95,900.0,12.0
2004-06-17,12.45,12.45,12.25,12.25,4200.0,12.1667,12.3333,12.1667,12.3333,2100.0,11.9333,11.9333,11.9333,11.9333,0.0,11.95,11.95,11.9,11.9333,13800.0,11.95,11.95,11.95,11.95,0.0,12.3333
2004-06-18,12.1,12.25,12.1,12.25,10200.0,12.45,12.45,12.25,12.25,4200.0,12.1667,12.3333,12.1667,12.3333,2100.0,11.9333,11.9333,11.9333,11.9333,0.0,11.95,11.95,11.9,11.9333,13800.0,12.5833
2004-06-21,12.0,12.5,12.0,12.1067,10200.0,12.1,12.25,12.1,12.25,10200.0,12.45,12.45,12.25,12.25,4200.0,12.1667,12.3333,12.1667,12.3333,2100.0,11.9333,11.9333,11.9333,11.9333,0.0,12.8
2004-06-22,12.1067,12.1067,12.1067,12.1067,3600.0,12.0,12.5,12.0,12.1067,10200.0,12.1,12.25,12.1,12.25,10200.0,12.45,12.45,12.25,12.25,4200.0,12.1667,12.3333,12.1667,12.3333,2100.0,12.99
2004-06-23,12.1667,12.1667,12.1667,12.1667,900.0,12.1067,12.1067,12.1067,12.1067,3600.0,12.0,12.5,12.0,12.1067,10200.0,12.1,12.25,12.1,12.25,10200.0,12.45,12.45,12.25,12.25,4200.0,0.0
2004-06-24,12.0,12.0,12.0,12.0,600.0,12.1667,12.1667,12.1667,12.1667,900.0,12.1067,12.1067,12.1067,12.1067,3600.0,12.0,12.5,12.0,12.1067,10200.0,12.1,12.25,12.1,12.25,10200.0,12.86
2004-06-25,12.1667,12.3333,12.1667,12.3333,7200.0,12.0,12.0,12.0,12.0,600.0,12.1667,12.1667,12.1667,12.1667,900.0,12.1067,12.1067,12.1067,12.1067,3600.0,12.0,12.5,12.0,12.1067,10200.0,13.1667
2004-06-28,12.4333,12.6667,12.4333,12.5833,8700.0,12.1667,12.3333,12.1667,12.3333,7200.0,12.0,12.0,12.0,12.0,600.0,12.1667,12.1667,12.1667,12.1667,900.0,12.1067,12.1067,12.1067,12.1067,3600.0,13.1667
2004-06-29,12.6667,12.8033,12.6667,12.8,118800.0,12.4333,12.6667,12.4333,12.5833,8700.0,12.1667,12.3333,12.1667,12.3333,7200.0,12.0,12.0,12.0,12.0,600.0,12.1667,12.1667,12.1667,12.1667,900.0,13.25
2004-06-30,13.0,13.1667,12.9,12.99,9300.0,12.6667,12.8033,12.6667,12.8,118800.0,12.4333,12.6667,12.4333,12.5833,8700.0,12.1667,12.3333,12.1667,12.3333,7200.0,12.0,12.0,12.0,12.0,600.0,13.15
2004-07-01,0.0,0.0,0.0,0.0,0.0,13.0,13.1667,12.9,12.99,9300.0,12.6667,12.8033,12.6667,12.8,118800.0,12.4333,12.6667,12.4333,12.5833,8700.0,12.1667,12.3333,12.1667,12.3333,7200.0,13.15
2004-07-02,12.99,12.99,12.8567,12.86,2100.0,0.0,0.0,0.0,0.0,0.0,13.0,13.1667,12.9,12.99,9300.0,12.6667,12.8033,12.6667,12.8,118800.0,12.4333,12.6667,12.4333,12.5833,8700.0,13.1333
2004-07-05,13.1667,13.1667,13.1667,13.1667,1200.0,12.99,12.99,12.8567,12.86,2100.0,0.0,0.0,0.0,0.0,0.0,13.0,13.1667,12.9,12.99,9300.0,12.6667,12.8033,12.6667,12.8,118800.0,13.3
2004-07-06,12.85,13.1667,12.85,13.1667,3300.0,13.1667,13.1667,13.1667,13.1667,1200.0,12.99,12.99,12.8567,12.86,2100.0,0.0,0.0,0.0,0.0,0.0,13.0,13.1667,12.9,12.99,9300.0,13.15
2004-07-07,13.2567,13.2567,13.1667,13.25,7200.0,12.85,13.1667,12.85,13.1667,3300.0,13.1667,13.1667,13.1667,13.1667,1200.0,12.99,12.99,12.8567,12.86,2100.0,0.0,0.0,0.0,0.0,0.0,13.0833
2004-07-08,13.3333,13.3333,13.1367,13.15,8700.0,13.2567,13.2567,13.1667,13.25,7200.0,12.85,13.1667,12.85,13.1667,3300.0,13.1667,13.1667,13.1667,13.1667,1200.0,12.99,12.99,12.8567,12.86,2100.0,12.7667
2004-07-09,13.15,13.15,13.15,13.15,0.0,13.3333,13.3333,13.1367,13.15,8700.0,13.2567,13.2567,13.1667,13.25,7200.0,12.85,13.1667,12.85,13.1667,3300.0,13.1667,13.1667,13.1667,13.1667,1200.0,12.7667
2004-07-12,13.1667,13.1667,13.1333,13.1333,13200.0,13.15,13.15,13.15,13.15,0.0,13.3333,13.3333,13.1367,13.15,8700.0,13.2567,13.2567,13.1667,13.25,7200.0,12.85,13.1667,12.85,13.1667,3300.0,13.0
2004-07-13,13.3,13.3,13.3,13.3,300.0,13.1667,13.1667,13.1333,13.1333,13200.0,13.15,13.15,13.15,13.15,0.0,13.3333,13.3333,13.1367,13.15,8700.0,13.2567,13.2567,13.1667,13.25,7200.0,13.0
2004-07-14,13.15,13.15,13.15,13.15,900.0,13.3,13.3,13.3,13.3,300.0,13.1667,13.1667,13.1333,13.1333,13200.0,13.15,13.15,13.15,13.15,0.0,13.3333,13.3333,13.1367,13.15,8700.0,12.85
2004-07-15,13.15,13.15,13.0833,13.0833,6300.0,13.15,13.15,13.15,13.15,900.0,13.3,13.3,13.3,13.3,300.0,13.1667,13.1667,13.1333,13.1333,13200.0,13.15,13.15,13.15,13.15,0.0,12.8333
2004-07-16,12.7667,12.7667,12.7667,12.7667,600.0,13.15,13.15,13.0833,13.0833,6300.0,13.15,13.15,13.15,13.15,900.0,13.3,13.3,13.3,13.3,300.0,13.1667,13.1667,13.1333,13.1333,13200.0,12.8167
2004-07-19,12.7667,12.7667,12.7667,12.7667,0.0,12.7667,12.7667,12.7667,12.7667,600.0,13.15,13.15,13.0833,13.0833,6300.0,13.15,13.15,13.15,13.15,900.0,13.3,13.3,13.3,13.3,300.0,12.9533
2004-07-20,13.0,13.0,12.8833,13.0,2100.0,12.7667,12.7667,12.7667,12.7667,0.0,12.7667,12.7667,12.7667,12.7667,600.0,13.15,13.15,13.0833,13.0833,6300.0,13.15,13.15,13.15,13.15,900.0,12.75
2004-07-21,13.0833,13.1667,13.0,13.0,12600.0,13.0,13.0,12.8833,13.0,2100.0,12.7667,12.7667,12.7667,12.7667,0.0,12.7667,12.7667,12.7667,12.7667,600.0,13.15,13.15,13.0833,13.0833,6300.0,13.1833
2004-07-22,12.8333,12.85,12.6667,12.85,6000.0,13.0833,13.1667,13.0,13.0,12600.0,13.0,13.0,12.8833,13.0,2100.0,12.7667,12.7667,12.7667,12.7667,0.0,12.7667,12.7667,12.7667,12.7667,600.0,13.2667
2004-07-23,12.7833,12.8333,12.7833,12.8333,1500.0,12.8333,12.85,12.6667,12.85,6000.0,13.0833,13.1667,13.0,13.0,12600.0,13.0,13.0,12.8833,13.0,2100.0,12.7667,12.7667,12.7667,12.7667,0.0,0.0
2004-07-26,12.9167,12.9167,12.8167,12.8167,29700.0,12.7833,12.8333,12.7833,12.8333,1500.0,12.8333,12.85,12.6667,12.85,6000.0,13.0833,13.1667,13.0,13.0,12600.0,13.0,13.0,12.8833,13.0,2100.0,12.8933
2004-07-27,12.75,12.9567,12.75,12.9533,11700.0,12.9167,12.9167,12.8167,12.8167,29700.0,12.7833,12.8333,12.7833,12.8333,1500.0,12.8333,12.85,12.6667,12.85,6000.0,13.0833,13.1667,13.0,13.0,12600.0,12.9633
2004-07-28,12.6667,12.75,12.6533,12.75,2400.0,12.75,12.9567,12.75,12.9533,11700.0,12.9167,12.9167,12.8167,12.8167,29700.0,12.7833,12.8333,12.7833,12.8333,1500.0,12.8333,12.85,12.6667,12.85,6000.0,12.8367
2004-07-29,12.75,13.2,12.75,13.1833,6600.0,12.6667,12.75,12.6533,12.75,2400.0,12.75,12.9567,12.75,12.9533,11700.0,12.9167,12.9167,12.8167,12.8167,29700.0,12.7833,12.8333,12.7833,12.8333,1500.0,12.2
2004-07-30,13.2667,13.2667,13.2667,13.2667,300.0,12.75,13.2,12.75,13.1833,6600.0,12.6667,12.75,12.6533,12.75,2400.0,12.75,12.9567,12.75,12.9533,11700.0,12.9167,12.9167,12.8167,12.8167,29700.0,12.0
2004-08-02,0.0,0.0,0.0,0.0,0.0,13.2667,13.2667,13.2667,13.2667,300.0,12.75,13.2,12.75,13.1833,6600.0,12.6667,12.75,12.6533,12.75,2400.0,12.75,12.9567,12.75,12.9533,11700.0,12.1667
2004-08-03,12.9167,12.9167,12.8933,12.8933,600.0,0.0,0.0,0.0,0.0,0.0,13.2667,13.2667,13.2667,13.2667,300.0,12.75,13.2,12.75,13.1833,6600.0,12.6667,12.75,12.6533,12.75,2400.0,12.2333
2004-08-04,13.0,13.0,12.9633,12.9633,4500.0,12.9167,12.9167,12.8933,12.8933,600.0,0.0,0.0,0.0,0.0,0.0,13.2667,13.2667,13.2667,13.2667,300.0,12.75,13.2,12.75,13.1833,6600.0,12.2167
2004-08-05,12.9633,13.0,12.8367,12.8367,3000.0,13.0,13.0,12.9633,12.9633,4500.0,12.9167,12.9167,12.8933,12.8933,600.0,0.0,0.0,0.0,0.0,0.0,13.2667,13.2667,13.2667,13.2667,300.0,12.0
2004-08-06,12.75,12.75,12.1333,12.2,35400.0,12.9633,13.0,12.8367,12.8367,3000.0,13.0,13.0,12.9633,12.9633,4500.0,12.9167,12.9167,12.8933,12.8933,600.0,0.0,0.0,0.0,0.0,0.0,12.2133
2004-08-09,12.1633,12.1633,12.0,12.0,1500.0,12.75,12.75,12.1333,12.2,35400.0,12.9633,13.0,12.8367,12.8367,3000.0,13.0,13.0,12.9633,12.9633,4500.0,12.9167,12.9167,12.8933,12.8933,600.0,12.3333
2004-08-10,12.1667,12.1667,12.1667,12.1667,1800.0,12.1633,12.1633,12.0,12.0,1500.0,12.75,12.75,12.1333,12.2,35400.0,12.9633,13.0,12.8367,12.8367,3000.0,13.0,13.0,12.9633,12.9633,4500.0,12.39
2004-08-11,12.1667,12.2333,12.1667,12.2333,7800.0,12.1667,12.1667,12.1667,12.1667,1800.0,12.1633,12.1633,12.0,12.0,1500.0,12.75,12.75,12.1333,12.2,35400.0,12.9633,13.0,12.8367,12.8367,3000.0,12.3567
2004-08-12,12.2167,12.2167,12.2167,12.2167,1500.0,12.1667,12.2333,12.1667,12.2333,7800.0,12.1667,12.1667,12.1667,12.1667,1800.0,12.1633,12.1633,12.0,12.0,1500.0,12.75,12.75,12.1333,12.2,35400.0,12.3333
2004-08-13,11.9667,12.0,11.9667,12.0,346500.0,12.2167,12.2167,12.2167,12.2167,1500.0,12.1667,12.2333,12.1667,12.2333,7800.0,12.1667,12.1667,12.1667,12.1667,1800.0,12.1633,12.1633,12.0,12.0,1500.0,12.3333
2004-08-16,12.2133,12.2133,12.2133,12.2133,2400.0,11.9667,12.0,11.9667,12.0,346500.0,12.2167,12.2167,12.2167,12.2167,1500.0,12.1667,12.2333,12.1667,12.2333,7800.0,12.1667,12.1667,12.1667,12.1667,1800.0,12.3167
2004-08-17,12.3,12.3333,12.3,12.3333,2100.0,12.2133,12.2133,12.2133,12.2133,2400.0,11.9667,12.0,11.9667,12.0,346500.0,12.2167,12.2167,12.2167,12.2167,1500.0,12.1667,12.2333,12.1667,12.2333,7800.0,12.1467
2004-08-18,12.3933,12.4167,12.25,12.39,6900.0,12.3,12.3333,12.3,12.3333,2100.0,12.2133,12.2133,12.2133,12.2133,2400.0,11.9667,12.0,11.9667,12.0,346500.0,12.2167,12.2167,12.2167,12.2167,1500.0,12.1667
2004-08-19,12.3567,12.3567,12.3567,12.3567,900.0,12.3933,12.4167,12.25,12.39,6900.0,12.3,12.3333,12.3,12.3333,2100.0,12.2133,12.2133,12.2133,12.2133,2400.0,11.9667,12.0,11.9667,12.0,346500.0,12.25
2004-08-20,12.3167,12.3333,12.3167,12.3333,7200.0,12.3567,12.3567,12.3567,12.3567,900.0,12.3933,12.4167,12.25,12.39,6900.0,12.3,12.3333,12.3,12.3333,2100.0,12.2133,12.2133,12.2133,12.2133,2400.0,12.3233
2004-08-23,12.3333,12.3333,12.1667,12.3333,11100.0,12.3167,12.3333,12.3167,12.3333,7200.0,12.3567,12.3567,12.3567,12.3567,900.0,12.3933,12.4167,12.25,12.39,6900.0,12.3,12.3333,12.3,12.3333,2100.0,12.2767
2004-08-24,12.3333,12.3333,12.3167,12.3167,26700.0,12.3333,12.3333,12.1667,12.3333,11100.0,12.3167,12.3333,12.3167,12.3333,7200.0,12.3567,12.3567,12.3567,12.3567,900.0,12.3933,12.4167,12.25,12.39,6900.0,12.23
2004-08-25,12.3267,12.3267,12.0833,12.1467,4800.0,12.3333,12.3333,12.3167,12.3167,26700.0,12.3333,12.3333,12.1667,12.3333,11100.0,12.3167,12.3333,12.3167,12.3333,7200.0,12.3567,12.3567,12.3567,12.3567,900.0,12.1133
2004-08-26,12.1667,12.17,12.1667,12.1667,21600.0,12.3267,12.3267,12.0833,12.1467,4800.0,12.3333,12.3333,12.3167,12.3167,26700.0,12.3333,12.3333,12.1667,12.3333,11100.0,12.3167,12.3333,12.3167,12.3333,7200.0,12.1333
