date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,1.8417,1.8417,1.8333,1.8333,48000.0,1.8583,1.8583,1.8583,1.8583,0.0,1.8583,1.8583,1.8417,1.8583,675600.0,1.8417,1.8417,1.8417,1.8417,600.0,1.8417,1.8417,1.8417,1.8417,0.0,1.75
2000-01-13,1.8333,1.8333,1.8333,1.8333,600.0,1.8417,1.8417,1.8333,1.8333,48000.0,1.8583,1.8583,1.8583,1.8583,0.0,1.8583,1.8583,1.8417,1.8583,675600.0,1.8417,1.8417,1.8417,1.8417,600.0,1.6667
2000-01-14,1.8333,1.8333,1.8333,1.8333,40200.0,1.8333,1.8333,1.8333,1.8333,600.0,1.8417,1.8417,1.8333,1.8333,48000.0,1.8583,1.8583,1.8583,1.8583,0.0,1.8583,1.8583,1.8417,1.8583,675600.0,1.7
2000-01-17,1.8333,1.8333,1.75,1.75,6000.0,1.8333,1.8333,1.8333,1.8333,40200.0,1.8333,1.8333,1.8333,1.8333,600.0,1.8417,1.8417,1.8333,1.8333,48000.0,1.8583,1.8583,1.8583,1.8583,0.0,1.7167
2000-01-18,1.75,1.75,1.75,1.75,0.0,1.8333,1.8333,1.75,1.75,6000.0,1.8333,1.8333,1.8333,1.8333,40200.0,1.8333,1.8333,1.8333,1.8333,600.0,1.8417,1.8417,1.8333,1.8333,48000.0,1.7167
2000-01-19,1.75,1.75,1.75,1.75,0.0,1.75,1.75,1.75,1.75,0.0,1.8333,1.8333,1.75,1.75,6000.0,1.8333,1.8333,1.8333,1.8333,40200.0,1.8333,1.8333,1.8333,1.8333,600.0,1.7167
2000-01-20,1.75,1.75,1.75,1.75,21600.0,1.75,1.75,1.75,1.75,0.0,1.75,1.75,1.75,1.75,0.0,1.8333,1.8333,1.75,1.75,6000.0,1.8333,1.8333,1.8333,1.8333,40200.0,1.7167
2000-01-21,1.75,1.75,1.6667,1.6667,68400.0,1.75,1.75,1.75,1.75,21600.0,1.75,1.75,1.75,1.75,0.0,1.75,1.75,1.75,1.75,0.0,1.8333,1.8333,1.75,1.75,6000.0,1.7167
2000-01-24,1.7,1.7,1.7,1.7,109200.0,1.75,1.75,1.6667,1.6667,68400.0,1.75,1.75,1.75,1.75,21600.0,1.75,1.75,1.75,1.75,0.0,1.75,1.75,1.75,1.75,0.0,1.7167
2000-01-25,1.7167,1.8333,1.7,1.7167,188400.0,1.7,1.7,1.7,1.7,109200.0,1.75,1.75,1.6667,1.6667,68400.0,1.75,1.75,1.75,1.75,21600.0,1.75,1.75,1.75,1.75,0.0,1.7167
2000-01-26,1.7167,1.7167,1.7167,1.7167,0.0,1.7167,1.8333,1.7,1.7167,188400.0,1.7,1.7,1.7,1.7,109200.0,1.75,1.75,1.6667,1.6667,68400.0,1.75,1.75,1.75,1.75,21600.0,1.7
