date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-11,8.35,8.35,8.3,8.3,121700.0,8.5,8.55,8.25,8.45,96700.0,8.5,8.6,8.4,8.5,118700.0,8.5,8.6,8.4,8.5,133600.0,8.65,8.7,8.5,8.6,169500.0,8.5
2000-01-12,8.25,8.5,8.25,8.5,128600.0,8.35,8.35,8.3,8.3,121700.0,8.5,8.55,8.25,8.45,96700.0,8.5,8.6,8.4,8.5,118700.0,8.5,8.6,8.4,8.5,133600.0,8.45
2000-01-13,8.5,8.6,8.5,8.6,116300.0,8.25,8.5,8.25,8.5,128600.0,8.35,8.35,8.3,8.3,121700.0,8.5,8.55,8.25,8.45,96700.0,8.5,8.6,8.4,8.5,118700.0,8.3
2000-01-14,8.6,8.6,8.35,8.5,214000.0,8.5,8.6,8.5,8.6,116300.0,8.25,8.5,8.25,8.5,128600.0,8.35,8.35,8.3,8.3,121700.0,8.5,8.55,8.25,8.45,96700.0,8.35
2000-01-17,8.55,8.55,8.4,8.4,114500.0,8.6,8.6,8.35,8.5,214000.0,8.5,8.6,8.5,8.6,116300.0,8.25,8.5,8.25,8.5,128600.0,8.35,8.35,8.3,8.3,121700.0,8.25
2000-01-18,8.4,8.45,8.35,8.45,110500.0,8.55,8.55,8.4,8.4,114500.0,8.6,8.6,8.35,8.5,214000.0,8.5,8.6,8.5,8.6,116300.0,8.25,8.5,8.25,8.5,128600.0,8.5
2000-01-19,8.4,8.5,8.35,8.5,101500.0,8.4,8.45,8.35,8.45,110500.0,8.55,8.55,8.4,8.4,114500.0,8.6,8.6,8.35,8.5,214000.0,8.5,8.6,8.5,8.6,116300.0,8.35
2000-01-20,8.5,8.5,8.4,8.45,86600.0,8.4,8.5,8.35,8.5,101500.0,8.4,8.45,8.35,8.45,110500.0,8.55,8.55,8.4,8.4,114500.0,8.6,8.6,8.35,8.5,214000.0,8.4
2000-01-21,8.4,8.5,8.3,8.3,139100.0,8.5,8.5,8.4,8.45,86600.0,8.4,8.5,8.35,8.5,101500.0,8.4,8.45,8.35,8.45,110500.0,8.55,8.55,8.4,8.4,114500.0,8.35
2000-01-24,8.4,8.5,8.35,8.35,138300.0,8.4,8.5,8.3,8.3,139100.0,8.5,8.5,8.4,8.45,86600.0,8.4,8.5,8.35,8.5,101500.0,8.4,8.45,8.35,8.45,110500.0,8.4
2000-01-25,8.4,8.4,8.25,8.25,133300.0,8.4,8.5,8.35,8.35,138300.0,8.4,8.5,8.3,8.3,139100.0,8.5,8.5,8.4,8.45,86600.0,8.4,8.5,8.35,8.5,101500.0,8.35
2000-01-26,8.3,8.5,8.3,8.5,253600.0,8.4,8.4,8.25,8.25,133300.0,8.4,8.5,8.35,8.35,138300.0,8.4,8.5,8.3,8.3,139100.0,8.5,8.5,8.4,8.45,86600.0,8.35
