date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2013-08-19,10.01,10.01,9.97,10.0,55100.0,10.0,10.01,9.97,10.0,45400.0,9.99,10.0,9.97,10.0,56200.0,9.95,10.0,9.88,9.99,365200.0,9.97,9.97,9.93,9.93,270700.0,10.03
2013-08-20,10.0,10.0,9.9,9.92,42900.0,10.01,10.01,9.97,10.0,55100.0,10.0,10.01,9.97,10.0,45400.0,9.99,10.0,9.97,10.0,56200.0,9.95,10.0,9.88,9.99,365200.0,10.14
2013-08-21,9.95,9.98,9.92,9.92,65000.0,10.0,10.0,9.9,9.92,42900.0,10.01,10.01,9.97,10.0,55100.0,10.0,10.01,9.97,10.0,45400.0,9.99,10.0,9.97,10.0,56200.0,10.05
2013-08-22,9.98,10.05,9.97,10.0,98900.0,9.95,9.98,9.92,9.92,65000.0,10.0,10.0,9.9,9.92,42900.0,10.01,10.01,9.97,10.0,55100.0,10.0,10.01,9.97,10.0,45400.0,10.1
2013-08-23,10.0,10.1,9.99,10.04,143000.0,9.98,10.05,9.97,10.0,98900.0,9.95,9.98,9.92,9.92,65000.0,10.0,10.0,9.9,9.92,42900.0,10.01,10.01,9.97,10.0,55100.0,10.04
2013-08-26,10.1,10.1,10.03,10.08,55800.0,10.0,10.1,9.99,10.04,143000.0,9.98,10.05,9.97,10.0,98900.0,9.95,9.98,9.92,9.92,65000.0,10.0,10.0,9.9,9.92,42900.0,10.06
2013-08-27,10.08,10.1,10.03,10.03,65900.0,10.1,10.1,10.03,10.08,55800.0,10.0,10.1,9.99,10.04,143000.0,9.98,10.05,9.97,10.0,98900.0,9.95,9.98,9.92,9.92,65000.0,10.02
2013-08-28,10.08,10.14,10.08,10.14,30100.0,10.08,10.1,10.03,10.03,65900.0,10.1,10.1,10.03,10.08,55800.0,10.0,10.1,9.99,10.04,143000.0,9.98,10.05,9.97,10.0,98900.0,10.01
2013-08-29,10.08,10.08,10.0,10.05,40300.0,10.08,10.14,10.08,10.14,30100.0,10.08,10.1,10.03,10.03,65900.0,10.1,10.1,10.03,10.08,55800.0,10.0,10.1,9.99,10.04,143000.0,9.98
2013-08-30,10.0,10.1,10.0,10.1,71800.0,10.08,10.08,10.0,10.05,40300.0,10.08,10.14,10.08,10.14,30100.0,10.08,10.1,10.03,10.03,65900.0,10.1,10.1,10.03,10.08,55800.0,9.97
2013-09-03,10.1,10.1,9.97,10.04,33800.0,10.0,10.1,10.0,10.1,71800.0,10.08,10.08,10.0,10.05,40300.0,10.08,10.14,10.08,10.14,30100.0,10.08,10.1,10.03,10.03,65900.0,10.0
2013-09-04,10.08,10.1,10.06,10.06,36800.0,10.1,10.1,9.97,10.04,33800.0,10.0,10.1,10.0,10.1,71800.0,10.08,10.08,10.0,10.05,40300.0,10.08,10.14,10.08,10.14,30100.0,10.0
2013-09-05,10.09,10.09,10.02,10.02,13400.0,10.08,10.1,10.06,10.06,36800.0,10.1,10.1,9.97,10.04,33800.0,10.0,10.1,10.0,10.1,71800.0,10.08,10.08,10.0,10.05,40300.0,10.07
2013-09-06,10.05,10.05,10.0,10.01,13000.0,10.09,10.09,10.02,10.02,13400.0,10.08,10.1,10.06,10.06,36800.0,10.1,10.1,9.97,10.04,33800.0,10.0,10.1,10.0,10.1,71800.0,10.0
2013-09-09,10.04,10.04,9.98,9.98,17600.0,10.05,10.05,10.0,10.01,13000.0,10.09,10.09,10.02,10.02,13400.0,10.08,10.1,10.06,10.06,36800.0,10.1,10.1,9.97,10.04,33800.0,10.19
2013-09-10,10.0,10.04,9.97,9.97,18200.0,10.04,10.04,9.98,9.98,17600.0,10.05,10.05,10.0,10.01,13000.0,10.09,10.09,10.02,10.02,13400.0,10.08,10.1,10.06,10.06,36800.0,10.32
2013-09-11,10.0,10.05,9.98,10.0,55900.0,10.0,10.04,9.97,9.97,18200.0,10.04,10.04,9.98,9.98,17600.0,10.05,10.05,10.0,10.01,13000.0,10.09,10.09,10.02,10.02,13400.0,10.3
2013-09-12,10.05,10.05,9.98,10.0,47600.0,10.0,10.05,9.98,10.0,55900.0,10.0,10.04,9.97,9.97,18200.0,10.04,10.04,9.98,9.98,17600.0,10.05,10.05,10.0,10.01,13000.0,10.3
2013-09-13,10.0,10.12,10.0,10.07,45700.0,10.05,10.05,9.98,10.0,47600.0,10.0,10.05,9.98,10.0,55900.0,10.0,10.04,9.97,9.97,18200.0,10.04,10.04,9.98,9.98,17600.0,10.33
2013-09-16,10.06,10.1,10.0,10.0,47200.0,10.0,10.12,10.0,10.07,45700.0,10.05,10.05,9.98,10.0,47600.0,10.0,10.05,9.98,10.0,55900.0,10.0,10.04,9.97,9.97,18200.0,10.3
2013-09-17,10.04,10.19,10.02,10.19,62000.0,10.06,10.1,10.0,10.0,47200.0,10.0,10.12,10.0,10.07,45700.0,10.05,10.05,9.98,10.0,47600.0,10.0,10.05,9.98,10.0,55900.0,10.3
2013-09-18,10.19,10.35,10.18,10.32,95800.0,10.04,10.19,10.02,10.19,62000.0,10.06,10.1,10.0,10.0,47200.0,10.0,10.12,10.0,10.07,45700.0,10.05,10.05,9.98,10.0,47600.0,10.25
2013-09-19,10.32,10.32,10.26,10.3,50400.0,10.19,10.35,10.18,10.32,95800.0,10.04,10.19,10.02,10.19,62000.0,10.06,10.1,10.0,10.0,47200.0,10.0,10.12,10.0,10.07,45700.0,10.15
2013-09-20,10.3,10.32,10.28,10.3,50500.0,10.32,10.32,10.26,10.3,50400.0,10.19,10.35,10.18,10.32,95800.0,10.04,10.19,10.02,10.19,62000.0,10.06,10.1,10.0,10.0,47200.0,10.27
2013-09-23,10.3,10.33,10.25,10.33,135800.0,10.3,10.32,10.28,10.3,50500.0,10.32,10.32,10.26,10.3,50400.0,10.19,10.35,10.18,10.32,95800.0,10.04,10.19,10.02,10.19,62000.0,10.3
2013-09-24,10.33,10.33,10.27,10.3,57500.0,10.3,10.33,10.25,10.33,135800.0,10.3,10.32,10.28,10.3,50500.0,10.32,10.32,10.26,10.3,50400.0,10.19,10.35,10.18,10.32,95800.0,10.25
2013-09-25,10.3,10.3,10.2,10.3,53800.0,10.33,10.33,10.27,10.3,57500.0,10.3,10.33,10.25,10.33,135800.0,10.3,10.32,10.28,10.3,50500.0,10.32,10.32,10.26,10.3,50400.0,10.2
2013-09-26,10.3,10.3,10.25,10.25,26300.0,10.3,10.3,10.2,10.3,53800.0,10.33,10.33,10.27,10.3,57500.0,10.3,10.33,10.25,10.33,135800.0,10.3,10.32,10.28,10.3,50500.0,10.29
2013-09-27,10.25,10.27,10.11,10.15,65800.0,10.3,10.3,10.25,10.25,26300.0,10.3,10.3,10.2,10.3,53800.0,10.33,10.33,10.27,10.3,57500.0,10.3,10.33,10.25,10.33,135800.0,10.22
2013-09-30,10.17,10.27,10.11,10.27,31200.0,10.25,10.27,10.11,10.15,65800.0,10.3,10.3,10.25,10.25,26300.0,10.3,10.3,10.2,10.3,53800.0,10.33,10.33,10.27,10.3,57500.0,10.25
2013-10-01,10.27,10.3,10.2,10.3,42100.0,10.17,10.27,10.11,10.27,31200.0,10.25,10.27,10.11,10.15,65800.0,10.3,10.3,10.25,10.25,26300.0,10.3,10.3,10.2,10.3,53800.0,10.23
2013-10-02,10.18,10.25,10.18,10.25,20800.0,10.27,10.3,10.2,10.3,42100.0,10.17,10.27,10.11,10.27,31200.0,10.25,10.27,10.11,10.15,65800.0,10.3,10.3,10.25,10.25,26300.0,10.15
2013-10-03,10.25,10.25,10.12,10.2,9500.0,10.18,10.25,10.18,10.25,20800.0,10.27,10.3,10.2,10.3,42100.0,10.17,10.27,10.11,10.27,31200.0,10.25,10.27,10.11,10.15,65800.0,10.14
