date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,3.75,4.0,3.75,4.0,39300.0,4.0,4.15,4.0,4.0,80200.0,4.0,4.15,4.0,4.1,142000.0,3.75,4.0,3.75,3.8,13200.0,3.65,3.8,3.65,3.73,9500.0,3.5
2000-01-13,4.0,4.0,4.0,4.0,12400.0,3.75,4.0,3.75,4.0,39300.0,4.0,4.15,4.0,4.0,80200.0,4.0,4.15,4.0,4.1,142000.0,3.75,4.0,3.75,3.8,13200.0,3.5
2000-01-14,4.05,4.05,3.9,3.9,34600.0,4.0,4.0,4.0,4.0,12400.0,3.75,4.0,3.75,4.0,39300.0,4.0,4.15,4.0,4.0,80200.0,4.0,4.15,4.0,4.1,142000.0,3.4
2000-01-17,3.75,4.0,3.75,3.9,187300.0,4.05,4.05,3.9,3.9,34600.0,4.0,4.0,4.0,4.0,12400.0,3.75,4.0,3.75,4.0,39300.0,4.0,4.15,4.0,4.0,80200.0,3.45
2000-01-18,3.85,3.9,3.85,3.85,49900.0,3.75,4.0,3.75,3.9,187300.0,4.05,4.05,3.9,3.9,34600.0,4.0,4.0,4.0,4.0,12400.0,3.75,4.0,3.75,4.0,39300.0,3.5
2000-01-19,3.85,3.85,3.75,3.75,8900.0,3.85,3.9,3.85,3.85,49900.0,3.75,4.0,3.75,3.9,187300.0,4.05,4.05,3.9,3.9,34600.0,4.0,4.0,4.0,4.0,12400.0,3.4
2000-01-20,3.75,3.8,3.5,3.5,96800.0,3.85,3.85,3.75,3.75,8900.0,3.85,3.9,3.85,3.85,49900.0,3.75,4.0,3.75,3.9,187300.0,4.05,4.05,3.9,3.9,34600.0,3.47
2000-01-21,3.6,3.65,3.5,3.5,10000.0,3.75,3.8,3.5,3.5,96800.0,3.85,3.85,3.75,3.75,8900.0,3.85,3.9,3.85,3.85,49900.0,3.75,4.0,3.75,3.9,187300.0,3.5
2000-01-24,3.5,3.55,3.4,3.4,12000.0,3.6,3.65,3.5,3.5,10000.0,3.75,3.8,3.5,3.5,96800.0,3.85,3.85,3.75,3.75,8900.0,3.85,3.9,3.85,3.85,49900.0,3.45
2000-01-25,3.5,3.5,3.4,3.45,14500.0,3.5,3.55,3.4,3.4,12000.0,3.6,3.65,3.5,3.5,10000.0,3.75,3.8,3.5,3.5,96800.0,3.85,3.85,3.75,3.75,8900.0,3.81
2000-01-26,3.5,3.51,3.45,3.5,76900.0,3.5,3.5,3.4,3.45,14500.0,3.5,3.55,3.4,3.4,12000.0,3.6,3.65,3.5,3.5,10000.0,3.75,3.8,3.5,3.5,96800.0,4.05
2000-01-27,3.5,3.51,3.4,3.4,105300.0,3.5,3.51,3.45,3.5,76900.0,3.5,3.5,3.4,3.45,14500.0,3.5,3.55,3.4,3.4,12000.0,3.6,3.65,3.5,3.5,10000.0,3.8
2000-01-28,3.5,3.5,3.47,3.47,38300.0,3.5,3.51,3.4,3.4,105300.0,3.5,3.51,3.45,3.5,76900.0,3.5,3.5,3.4,3.45,14500.0,3.5,3.55,3.4,3.4,12000.0,3.85
2000-01-31,3.5,3.5,3.4,3.5,14200.0,3.5,3.5,3.47,3.47,38300.0,3.5,3.51,3.4,3.4,105300.0,3.5,3.51,3.45,3.5,76900.0,3.5,3.5,3.4,3.45,14500.0,3.5
2000-02-01,3.5,3.5,3.45,3.45,114000.0,3.5,3.5,3.4,3.5,14200.0,3.5,3.5,3.47,3.47,38300.0,3.5,3.51,3.4,3.4,105300.0,3.5,3.51,3.45,3.5,76900.0,3.55
2000-02-02,3.5,3.81,3.5,3.81,96900.0,3.5,3.5,3.45,3.45,114000.0,3.5,3.5,3.4,3.5,14200.0,3.5,3.5,3.47,3.47,38300.0,3.5,3.51,3.4,3.4,105300.0,3.5
2000-02-03,3.81,4.05,3.81,4.05,129000.0,3.5,3.81,3.5,3.81,96900.0,3.5,3.5,3.45,3.45,114000.0,3.5,3.5,3.4,3.5,14200.0,3.5,3.5,3.47,3.47,38300.0,3.45
2000-02-04,3.8,4.05,3.8,3.8,24600.0,3.81,4.05,3.81,4.05,129000.0,3.5,3.81,3.5,3.81,96900.0,3.5,3.5,3.45,3.45,114000.0,3.5,3.5,3.4,3.5,14200.0,3.4
2000-02-07,4.0,4.0,3.81,3.85,19200.0,3.8,4.05,3.8,3.8,24600.0,3.81,4.05,3.81,4.05,129000.0,3.5,3.81,3.5,3.81,96900.0,3.5,3.5,3.45,3.45,114000.0,3.5
2000-02-08,3.8,3.8,3.5,3.5,121500.0,4.0,4.0,3.81,3.85,19200.0,3.8,4.05,3.8,3.8,24600.0,3.81,4.05,3.81,4.05,129000.0,3.5,3.81,3.5,3.81,96900.0,3.7
2000-02-09,3.7,3.7,3.5,3.55,67200.0,3.8,3.8,3.5,3.5,121500.0,4.0,4.0,3.81,3.85,19200.0,3.8,4.05,3.8,3.8,24600.0,3.81,4.05,3.81,4.05,129000.0,3.5
2000-02-10,3.8,3.8,3.5,3.5,23800.0,3.7,3.7,3.5,3.55,67200.0,3.8,3.8,3.5,3.5,121500.0,4.0,4.0,3.81,3.85,19200.0,3.8,4.05,3.8,3.8,24600.0,3.48
2000-02-11,3.55,3.55,3.45,3.45,77500.0,3.8,3.8,3.5,3.5,23800.0,3.7,3.7,3.5,3.55,67200.0,3.8,3.8,3.5,3.5,121500.0,4.0,4.0,3.81,3.85,19200.0,3.55
2000-02-14,3.75,3.75,3.3,3.4,258300.0,3.55,3.55,3.45,3.45,77500.0,3.8,3.8,3.5,3.5,23800.0,3.7,3.7,3.5,3.55,67200.0,3.8,3.8,3.5,3.5,121500.0,3.55
2000-02-15,3.6,3.6,3.45,3.5,92000.0,3.75,3.75,3.3,3.4,258300.0,3.55,3.55,3.45,3.45,77500.0,3.8,3.8,3.5,3.5,23800.0,3.7,3.7,3.5,3.55,67200.0,3.6
2000-02-16,3.6,4.0,3.5,3.7,162200.0,3.6,3.6,3.45,3.5,92000.0,3.75,3.75,3.3,3.4,258300.0,3.55,3.55,3.45,3.45,77500.0,3.8,3.8,3.5,3.5,23800.0,3.78
2000-02-17,3.95,3.95,3.41,3.5,328400.0,3.6,4.0,3.5,3.7,162200.0,3.6,3.6,3.45,3.5,92000.0,3.75,3.75,3.3,3.4,258300.0,3.55,3.55,3.45,3.45,77500.0,3.81
2000-02-18,3.75,3.75,3.48,3.48,165200.0,3.95,3.95,3.41,3.5,328400.0,3.6,4.0,3.5,3.7,162200.0,3.6,3.6,3.45,3.5,92000.0,3.75,3.75,3.3,3.4,258300.0,3.83
2000-02-21,3.58,3.58,3.48,3.55,6200.0,3.75,3.75,3.48,3.48,165200.0,3.95,3.95,3.41,3.5,328400.0,3.6,4.0,3.5,3.7,162200.0,3.6,3.6,3.45,3.5,92000.0,4.04
2000-02-22,3.6,3.65,3.4,3.55,168700.0,3.58,3.58,3.48,3.55,6200.0,3.75,3.75,3.48,3.48,165200.0,3.95,3.95,3.41,3.5,328400.0,3.6,4.0,3.5,3.7,162200.0,4.1
2000-02-23,3.6,3.65,3.6,3.6,14700.0,3.6,3.65,3.4,3.55,168700.0,3.58,3.58,3.48,3.55,6200.0,3.75,3.75,3.48,3.48,165200.0,3.95,3.95,3.41,3.5,328400.0,4.1
2000-02-24,3.55,3.8,3.55,3.78,100300.0,3.6,3.65,3.6,3.6,14700.0,3.6,3.65,3.4,3.55,168700.0,3.58,3.58,3.48,3.55,6200.0,3.75,3.75,3.48,3.48,165200.0,4.1
2000-02-25,3.85,3.85,3.75,3.81,79500.0,3.55,3.8,3.55,3.78,100300.0,3.6,3.65,3.6,3.6,14700.0,3.6,3.65,3.4,3.55,168700.0,3.58,3.58,3.48,3.55,6200.0,4.05
