date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,4.0,4.0438,3.9375,3.975,160000.0,3.95,4.0625,3.95,3.975,96800.0,4.25,4.25,3.9688,3.975,342400.0,4.1437,4.1437,4.1063,4.125,80000.0,4.2313,4.2375,4.125,4.125,244800.0,3.9875
2000-01-13,3.9937,3.9937,3.9063,3.925,160800.0,4.0,4.0438,3.9375,3.975,160000.0,3.95,4.0625,3.95,3.975,96800.0,4.25,4.25,3.9688,3.975,342400.0,4.1437,4.1437,4.1063,4.125,80000.0,4.0
2000-01-14,3.9688,3.975,3.8125,3.925,355200.0,3.9937,3.9937,3.9063,3.925,160800.0,4.0,4.0438,3.9375,3.975,160000.0,3.95,4.0625,3.95,3.975,96800.0,4.25,4.25,3.9688,3.975,342400.0,3.9813
2000-01-17,4.125,4.125,3.9375,4.0,133600.0,3.9688,3.975,3.8125,3.925,355200.0,3.9937,3.9937,3.9063,3.925,160800.0,4.0,4.0438,3.9375,3.975,160000.0,3.95,4.0625,3.95,3.975,96800.0,4.0125
2000-01-18,3.9688,3.9688,3.875,3.9,98400.0,4.125,4.125,3.9375,4.0,133600.0,3.9688,3.975,3.8125,3.925,355200.0,3.9937,3.9937,3.9063,3.925,160800.0,4.0,4.0438,3.9375,3.975,160000.0,3.9688
2000-01-19,3.9,3.9813,3.9,3.9625,88800.0,3.9688,3.9688,3.875,3.9,98400.0,4.125,4.125,3.9375,4.0,133600.0,3.9688,3.975,3.8125,3.925,355200.0,3.9937,3.9937,3.9063,3.925,160800.0,3.9375
2000-01-20,3.9937,4.0812,3.9625,3.9875,240000.0,3.9,3.9813,3.9,3.9625,88800.0,3.9688,3.9688,3.875,3.9,98400.0,4.125,4.125,3.9375,4.0,133600.0,3.9688,3.975,3.8125,3.925,355200.0,3.9813
2000-01-21,3.9688,4.1563,3.9688,4.0,1046400.0,3.9937,4.0812,3.9625,3.9875,240000.0,3.9,3.9813,3.9,3.9625,88800.0,3.9688,3.9688,3.875,3.9,98400.0,4.125,4.125,3.9375,4.0,133600.0,4.0625
2000-01-24,3.975,4.0625,3.975,3.9813,185600.0,3.9688,4.1563,3.9688,4.0,1046400.0,3.9937,4.0812,3.9625,3.9875,240000.0,3.9,3.9813,3.9,3.9625,88800.0,3.9688,3.9688,3.875,3.9,98400.0,4.0313
2000-01-25,3.975,4.0625,3.975,4.0125,74400.0,3.975,4.0625,3.975,3.9813,185600.0,3.9688,4.1563,3.9688,4.0,1046400.0,3.9937,4.0812,3.9625,3.9875,240000.0,3.9,3.9813,3.9,3.9625,88800.0,4.075
2000-01-26,4.0313,4.0313,3.9375,3.9688,212800.0,3.975,4.0625,3.975,4.0125,74400.0,3.975,4.0625,3.975,3.9813,185600.0,3.9688,4.1563,3.9688,4.0,1046400.0,3.9937,4.0812,3.9625,3.9875,240000.0,4.0812
2000-01-27,3.9625,4.0,3.9,3.9375,160800.0,4.0313,4.0313,3.9375,3.9688,212800.0,3.975,4.0625,3.975,4.0125,74400.0,3.975,4.0625,3.975,3.9813,185600.0,3.9688,4.1563,3.9688,4.0,1046400.0,4.375
2000-01-28,3.9375,4.0,3.9375,3.9813,62400.0,3.9625,4.0,3.9,3.9375,160800.0,4.0313,4.0313,3.9375,3.9688,212800.0,3.975,4.0625,3.975,4.0125,74400.0,3.975,4.0625,3.975,3.9813,185600.0,4.1563
2000-01-31,3.9562,4.0625,3.9562,4.0625,488800.0,3.9375,4.0,3.9375,3.9813,62400.0,3.9625,4.0,3.9,3.9375,160800.0,4.0313,4.0313,3.9375,3.9688,212800.0,3.975,4.0625,3.975,4.0125,74400.0,4.1937
2000-02-01,4.0563,4.0563,4.0,4.0313,177600.0,3.9562,4.0625,3.9562,4.0625,488800.0,3.9375,4.0,3.9375,3.9813,62400.0,3.9625,4.0,3.9,3.9375,160800.0,4.0313,4.0313,3.9375,3.9688,212800.0,4.1563
2000-02-02,4.0,4.075,3.9937,4.075,240800.0,4.0563,4.0563,4.0,4.0313,177600.0,3.9562,4.0625,3.9562,4.0625,488800.0,3.9375,4.0,3.9375,3.9813,62400.0,3.9625,4.0,3.9,3.9375,160800.0,4.3125
2000-02-03,4.0313,4.0938,4.0313,4.0812,74400.0,4.0,4.075,3.9937,4.075,240800.0,4.0563,4.0563,4.0,4.0313,177600.0,3.9562,4.0625,3.9562,4.0625,488800.0,3.9375,4.0,3.9375,3.9813,62400.0,4.2562
2000-02-04,4.0938,4.375,4.0812,4.375,212000.0,4.0313,4.0938,4.0313,4.0812,74400.0,4.0,4.075,3.9937,4.075,240800.0,4.0563,4.0563,4.0,4.0313,177600.0,3.9562,4.0625,3.9562,4.0625,488800.0,4.2188
2000-02-07,4.3688,4.3688,4.1437,4.1563,72800.0,4.0938,4.375,4.0812,4.375,212000.0,4.0313,4.0938,4.0313,4.0812,74400.0,4.0,4.075,3.9937,4.075,240800.0,4.0563,4.0563,4.0,4.0313,177600.0,4.375
2000-02-08,4.1563,4.25,4.1563,4.1937,112800.0,4.3688,4.3688,4.1437,4.1563,72800.0,4.0938,4.375,4.0812,4.375,212000.0,4.0313,4.0938,4.0313,4.0812,74400.0,4.0,4.075,3.9937,4.075,240800.0,4.3312
2000-02-09,4.1563,4.2813,4.1563,4.1563,61600.0,4.1563,4.25,4.1563,4.1937,112800.0,4.3688,4.3688,4.1437,4.1563,72800.0,4.0938,4.375,4.0812,4.375,212000.0,4.0313,4.0938,4.0313,4.0812,74400.0,4.25
2000-02-10,4.25,4.3125,4.2062,4.3125,55200.0,4.1563,4.2813,4.1563,4.1563,61600.0,4.1563,4.25,4.1563,4.1937,112800.0,4.3688,4.3688,4.1437,4.1563,72800.0,4.0938,4.375,4.0812,4.375,212000.0,4.1563
2000-02-11,4.3,4.3438,4.25,4.2562,42400.0,4.25,4.3125,4.2062,4.3125,55200.0,4.1563,4.2813,4.1563,4.1563,61600.0,4.1563,4.25,4.1563,4.1937,112800.0,4.3688,4.3688,4.1437,4.1563,72800.0,4.1063
2000-02-14,4.3438,4.3438,4.1437,4.2188,60800.0,4.3,4.3438,4.25,4.2562,42400.0,4.25,4.3125,4.2062,4.3125,55200.0,4.1563,4.2813,4.1563,4.1563,61600.0,4.1563,4.25,4.1563,4.1937,112800.0,4.1437
2000-02-15,4.25,4.4063,4.2188,4.375,213600.0,4.3438,4.3438,4.1437,4.2188,60800.0,4.3,4.3438,4.25,4.2562,42400.0,4.25,4.3125,4.2062,4.3125,55200.0,4.1563,4.2813,4.1563,4.1563,61600.0,4.0938
2000-02-16,4.3312,4.375,4.3312,4.3312,160800.0,4.25,4.4063,4.2188,4.375,213600.0,4.3438,4.3438,4.1437,4.2188,60800.0,4.3,4.3438,4.25,4.2562,42400.0,4.25,4.3125,4.2062,4.3125,55200.0,3.875
2000-02-17,4.2813,4.375,4.25,4.25,203200.0,4.3312,4.375,4.3312,4.3312,160800.0,4.25,4.4063,4.2188,4.375,213600.0,4.3438,4.3438,4.1437,4.2188,60800.0,4.3,4.3438,4.25,4.2562,42400.0,3.7813
2000-02-18,4.3625,4.3625,4.15,4.1563,326400.0,4.2813,4.375,4.25,4.25,203200.0,4.3312,4.375,4.3312,4.3312,160800.0,4.25,4.4063,4.2188,4.375,213600.0,4.3438,4.3438,4.1437,4.2188,60800.0,3.8062
2000-02-21,4.1437,4.1437,4.0625,4.1063,344000.0,4.3625,4.3625,4.15,4.1563,326400.0,4.2813,4.375,4.25,4.25,203200.0,4.3312,4.375,4.3312,4.3312,160800.0,4.25,4.4063,4.2188,4.375,213600.0,3.625
2000-02-22,4.1125,4.1563,4.1125,4.1437,131200.0,4.1437,4.1437,4.0625,4.1063,344000.0,4.3625,4.3625,4.15,4.1563,326400.0,4.2813,4.375,4.25,4.25,203200.0,4.3312,4.375,4.3312,4.3312,160800.0,3.75
2000-02-23,4.1563,4.1875,4.0687,4.0938,191200.0,4.1125,4.1563,4.1125,4.1437,131200.0,4.1437,4.1437,4.0625,4.1063,344000.0,4.3625,4.3625,4.15,4.1563,326400.0,4.2813,4.375,4.25,4.25,203200.0,3.75
2000-02-24,4.025,4.025,3.875,3.875,115200.0,4.1563,4.1875,4.0687,4.0938,191200.0,4.1125,4.1563,4.1125,4.1437,131200.0,4.1437,4.1437,4.0625,4.1063,344000.0,4.3625,4.3625,4.15,4.1563,326400.0,3.875
