date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2010-04-20,3.5,3.55,3.45,3.5,1348300.0,3.5,3.5,3.45,3.5,1348300.0,3.48,3.5,3.45,3.47,1110500.0,3.48,3.5,3.46,3.47,1151500.0,3.4,3.48,3.38,3.48,69500.0,3.95
2010-04-21,3.5,3.7,3.47,3.65,1143300.0,3.5,3.55,3.45,3.5,1348300.0,3.5,3.5,3.45,3.5,1348300.0,3.48,3.5,3.45,3.47,1110500.0,3.48,3.5,3.46,3.47,1151500.0,3.9
2010-04-22,3.68,3.75,3.66,3.75,80800.0,3.5,3.7,3.47,3.65,1143300.0,3.5,3.55,3.45,3.5,1348300.0,3.5,3.5,3.45,3.5,1348300.0,3.48,3.5,3.45,3.47,1110500.0,3.88
2010-04-23,3.75,4.15,3.74,4.0,538500.0,3.68,3.75,3.66,3.75,80800.0,3.5,3.7,3.47,3.65,1143300.0,3.5,3.55,3.45,3.5,1348300.0,3.5,3.5,3.45,3.5,1348300.0,3.85
2010-04-26,4.0,4.1,3.7,3.97,429600.0,3.75,4.15,3.74,4.0,538500.0,3.68,3.75,3.66,3.75,80800.0,3.5,3.7,3.47,3.65,1143300.0,3.5,3.55,3.45,3.5,1348300.0,3.85
2010-04-27,4.0,4.05,3.95,3.95,576000.0,4.0,4.1,3.7,3.97,429600.0,3.75,4.15,3.74,4.0,538500.0,3.68,3.75,3.66,3.75,80800.0,3.5,3.7,3.47,3.65,1143300.0,3.85
2010-04-28,4.05,4.09,3.95,3.95,34600.0,4.0,4.05,3.95,3.95,576000.0,4.0,4.1,3.7,3.97,429600.0,3.75,4.15,3.74,4.0,538500.0,3.68,3.75,3.66,3.75,80800.0,3.8
2010-04-29,3.95,4.05,3.9,3.9,53600.0,4.05,4.09,3.95,3.95,34600.0,4.0,4.05,3.95,3.95,576000.0,4.0,4.1,3.7,3.97,429600.0,3.75,4.15,3.74,4.0,538500.0,3.7
2010-04-30,4.0,4.0,3.76,3.88,58200.0,3.95,4.05,3.9,3.9,53600.0,4.05,4.09,3.95,3.95,34600.0,4.0,4.05,3.95,3.95,576000.0,4.0,4.1,3.7,3.97,429600.0,3.83
2010-05-03,3.88,3.95,3.65,3.85,803800.0,4.0,4.0,3.76,3.88,58200.0,3.95,4.05,3.9,3.9,53600.0,4.05,4.09,3.95,3.95,34600.0,4.0,4.05,3.95,3.95,576000.0,3.85
