date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2015-05-29,33.71,34.25,33.35,33.52,22800.0,34.6,34.6,33.14,34.0,38400.0,37.82,38.55,33.6,34.5,159100.0,36.0,37.69,36.0,36.92,96800.0,35.0,37.47,35.0,37.26,117800.0,33.64
2015-06-01,33.62,34.38,33.43,34.24,11400.0,33.71,34.25,33.35,33.52,22800.0,34.6,34.6,33.14,34.0,38400.0,37.82,38.55,33.6,34.5,159100.0,36.0,37.69,36.0,36.92,96800.0,0.0
2015-06-02,34.72,34.72,33.13,33.13,7300.0,33.62,34.38,33.43,34.24,11400.0,33.71,34.25,33.35,33.52,22800.0,34.6,34.6,33.14,34.0,38400.0,37.82,38.55,33.6,34.5,159100.0,34.5
2015-06-03,0.0,0.0,0.0,0.0,0.0,34.72,34.72,33.13,33.13,7300.0,33.62,34.38,33.43,34.24,11400.0,33.71,34.25,33.35,33.52,22800.0,34.6,34.6,33.14,34.0,38400.0,37.65
2015-06-04,34.99,34.99,31.88,33.45,32200.0,0.0,0.0,0.0,0.0,0.0,34.72,34.72,33.13,33.13,7300.0,33.62,34.38,33.43,34.24,11400.0,33.71,34.25,33.35,33.52,22800.0,41.45
2015-06-05,33.97,33.98,33.1,33.98,4300.0,34.99,34.99,31.88,33.45,32200.0,0.0,0.0,0.0,0.0,0.0,34.72,34.72,33.13,33.13,7300.0,33.62,34.38,33.43,34.24,11400.0,43.5
2015-06-08,33.98,34.11,33.5,33.64,4800.0,33.97,33.98,33.1,33.98,4300.0,34.99,34.99,31.88,33.45,32200.0,0.0,0.0,0.0,0.0,0.0,34.72,34.72,33.13,33.13,7300.0,46.95
2015-06-09,0.0,0.0,0.0,0.0,0.0,33.98,34.11,33.5,33.64,4800.0,33.97,33.98,33.1,33.98,4300.0,34.99,34.99,31.88,33.45,32200.0,0.0,0.0,0.0,0.0,0.0,47.19
2015-06-10,34.83,34.99,34.37,34.5,11600.0,0.0,0.0,0.0,0.0,0.0,33.98,34.11,33.5,33.64,4800.0,33.97,33.98,33.1,33.98,4300.0,34.99,34.99,31.88,33.45,32200.0,43.5
2015-06-11,35.5,37.65,35.5,37.65,23900.0,34.83,34.99,34.37,34.5,11600.0,0.0,0.0,0.0,0.0,0.0,33.98,34.11,33.5,33.64,4800.0,33.97,33.98,33.1,33.98,4300.0,43.2
2015-06-12,38.92,41.5,38.67,41.45,61800.0,35.5,37.65,35.5,37.65,23900.0,34.83,34.99,34.37,34.5,11600.0,0.0,0.0,0.0,0.0,0.0,33.98,34.11,33.5,33.64,4800.0,45.5
2015-06-15,42.0,46.99,41.36,43.5,87300.0,38.92,41.5,38.67,41.45,61800.0,35.5,37.65,35.5,37.65,23900.0,34.83,34.99,34.37,34.5,11600.0,0.0,0.0,0.0,0.0,0.0,43.41
2015-06-16,44.89,47.2,44.69,46.95,62300.0,42.0,46.99,41.36,43.5,87300.0,38.92,41.5,38.67,41.45,61800.0,35.5,37.65,35.5,37.65,23900.0,34.83,34.99,34.37,34.5,11600.0,44.6
