date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2010-04-28,9.75,9.75,9.5,9.64,21700.0,9.75,9.8,9.65,9.75,28600.0,9.51,9.72,9.5,9.65,29700.0,9.51,9.51,9.35,9.5,49700.0,9.6,9.67,9.45,9.5,123200.0,9.5
2010-04-29,9.64,9.9,9.61,9.9,29600.0,9.75,9.75,9.5,9.64,21700.0,9.75,9.8,9.65,9.75,28600.0,9.51,9.72,9.5,9.65,29700.0,9.51,9.51,9.35,9.5,49700.0,9.4
2010-04-30,9.89,9.9,9.75,9.85,37000.0,9.64,9.9,9.61,9.9,29600.0,9.75,9.75,9.5,9.64,21700.0,9.75,9.8,9.65,9.75,28600.0,9.51,9.72,9.5,9.65,29700.0,9.6
2010-05-03,9.85,9.85,9.73,9.8,122900.0,9.89,9.9,9.75,9.85,37000.0,9.64,9.9,9.61,9.9,29600.0,9.75,9.75,9.5,9.64,21700.0,9.75,9.8,9.65,9.75,28600.0,9.47
2010-05-04,9.8,9.8,9.5,9.63,50300.0,9.85,9.85,9.73,9.8,122900.0,9.89,9.9,9.75,9.85,37000.0,9.64,9.9,9.61,9.9,29600.0,9.75,9.75,9.5,9.64,21700.0,9.45
2010-05-05,9.57,9.6,9.5,9.6,42600.0,9.8,9.8,9.5,9.63,50300.0,9.85,9.85,9.73,9.8,122900.0,9.89,9.9,9.75,9.85,37000.0,9.64,9.9,9.61,9.9,29600.0,9.42
2010-05-06,9.61,9.61,9.35,9.5,36900.0,9.57,9.6,9.5,9.6,42600.0,9.8,9.8,9.5,9.63,50300.0,9.85,9.85,9.73,9.8,122900.0,9.89,9.9,9.75,9.85,37000.0,9.35
2010-05-07,9.51,9.6,9.36,9.4,18300.0,9.61,9.61,9.35,9.5,36900.0,9.57,9.6,9.5,9.6,42600.0,9.8,9.8,9.5,9.63,50300.0,9.85,9.85,9.73,9.8,122900.0,9.2
2010-05-10,9.72,9.72,9.36,9.6,24000.0,9.51,9.6,9.36,9.4,18300.0,9.61,9.61,9.35,9.5,36900.0,9.57,9.6,9.5,9.6,42600.0,9.8,9.8,9.5,9.63,50300.0,9.4
2010-05-11,9.58,9.58,9.4,9.47,23400.0,9.72,9.72,9.36,9.6,24000.0,9.51,9.6,9.36,9.4,18300.0,9.61,9.61,9.35,9.5,36900.0,9.57,9.6,9.5,9.6,42600.0,9.4
