date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-03-31,15.65,16.0,15.0,16.0,2010000.0,13.7,15.1,13.6,15.1,4975100.0,13.4,13.75,13.35,13.7,1403000.0,13.4,13.4,13.05,13.35,2149500.0,13.8,13.85,13.35,13.35,3751100.0,15.3
2000-04-03,16.2,16.25,15.1,15.4,1453200.0,15.65,16.0,15.0,16.0,2010000.0,13.7,15.1,13.6,15.1,4975100.0,13.4,13.75,13.35,13.7,1403000.0,13.4,13.4,13.05,13.35,2149500.0,15.25
2000-04-04,15.5,15.9,13.75,14.8,1298300.0,16.2,16.25,15.1,15.4,1453200.0,15.65,16.0,15.0,16.0,2010000.0,13.7,15.1,13.6,15.1,4975100.0,13.4,13.75,13.35,13.7,1403000.0,17.0
2000-04-05,14.75,15.4,14.4,15.25,1180200.0,15.5,15.9,13.75,14.8,1298300.0,16.2,16.25,15.1,15.4,1453200.0,15.65,16.0,15.0,16.0,2010000.0,13.7,15.1,13.6,15.1,4975100.0,17.05
2000-04-06,15.5,15.6,15.0,15.4,676600.0,14.75,15.4,14.4,15.25,1180200.0,15.5,15.9,13.75,14.8,1298300.0,16.2,16.25,15.1,15.4,1453200.0,15.65,16.0,15.0,16.0,2010000.0,16.0
2000-04-07,15.35,15.7,15.15,15.15,701300.0,15.5,15.6,15.0,15.4,676600.0,14.75,15.4,14.4,15.25,1180200.0,15.5,15.9,13.75,14.8,1298300.0,16.2,16.25,15.1,15.4,1453200.0,16.05
2000-04-10,15.45,15.45,14.75,15.3,1948000.0,15.35,15.7,15.15,15.15,701300.0,15.5,15.6,15.0,15.4,676600.0,14.75,15.4,14.4,15.25,1180200.0,15.5,15.9,13.75,14.8,1298300.0,16.7
2000-04-11,15.15,15.4,14.9,15.25,1298700.0,15.45,15.45,14.75,15.3,1948000.0,15.35,15.7,15.15,15.15,701300.0,15.5,15.6,15.0,15.4,676600.0,14.75,15.4,14.4,15.25,1180200.0,16.95
2000-04-12,15.25,17.15,15.25,17.0,2305300.0,15.15,15.4,14.9,15.25,1298700.0,15.45,15.45,14.75,15.3,1948000.0,15.35,15.7,15.15,15.15,701300.0,15.5,15.6,15.0,15.4,676600.0,17.0
2000-04-13,16.55,17.3,16.5,17.05,1229200.0,15.25,17.15,15.25,17.0,2305300.0,15.15,15.4,14.9,15.25,1298700.0,15.45,15.45,14.75,15.3,1948000.0,15.35,15.7,15.15,15.15,701300.0,0.0
2000-04-14,16.85,16.9,15.5,16.0,1603200.0,16.55,17.3,16.5,17.05,1229200.0,15.25,17.15,15.25,17.0,2305300.0,15.15,15.4,14.9,15.25,1298700.0,15.45,15.45,14.75,15.3,1948000.0,16.7
2000-04-17,15.9,16.2,15.6,16.05,1096600.0,16.85,16.9,15.5,16.0,1603200.0,16.55,17.3,16.5,17.05,1229200.0,15.25,17.15,15.25,17.0,2305300.0,15.15,15.4,14.9,15.25,1298700.0,17.7
2000-04-18,16.1,17.1,16.1,16.7,1999600.0,15.9,16.2,15.6,16.05,1096600.0,16.85,16.9,15.5,16.0,1603200.0,16.55,17.3,16.5,17.05,1229200.0,15.25,17.15,15.25,17.0,2305300.0,17.15
2000-04-19,16.8,17.3,16.1,16.95,913300.0,16.1,17.1,16.1,16.7,1999600.0,15.9,16.2,15.6,16.05,1096600.0,16.85,16.9,15.5,16.0,1603200.0,16.55,17.3,16.5,17.05,1229200.0,17.8
2000-04-20,16.75,17.1,16.75,17.0,261100.0,16.8,17.3,16.1,16.95,913300.0,16.1,17.1,16.1,16.7,1999600.0,15.9,16.2,15.6,16.05,1096600.0,16.85,16.9,15.5,16.0,1603200.0,17.65
2000-04-21,0.0,0.0,0.0,0.0,0.0,16.75,17.1,16.75,17.0,261100.0,16.8,17.3,16.1,16.95,913300.0,16.1,17.1,16.1,16.7,1999600.0,15.9,16.2,15.6,16.05,1096600.0,17.55
2000-04-24,16.9,17.1,16.5,16.7,514000.0,0.0,0.0,0.0,0.0,0.0,16.75,17.1,16.75,17.0,261100.0,16.8,17.3,16.1,16.95,913300.0,16.1,17.1,16.1,16.7,1999600.0,17.85
2000-04-25,16.6,17.9,16.6,17.7,673600.0,16.9,17.1,16.5,16.7,514000.0,0.0,0.0,0.0,0.0,0.0,16.75,17.1,16.75,17.0,261100.0,16.8,17.3,16.1,16.95,913300.0,17.55
2000-04-26,17.5,17.7,17.15,17.15,630100.0,16.6,17.9,16.6,17.7,673600.0,16.9,17.1,16.5,16.7,514000.0,0.0,0.0,0.0,0.0,0.0,16.75,17.1,16.75,17.0,261100.0,17.55
2000-04-27,17.0,17.8,16.75,17.8,908500.0,17.5,17.7,17.15,17.15,630100.0,16.6,17.9,16.6,17.7,673600.0,16.9,17.1,16.5,16.7,514000.0,0.0,0.0,0.0,0.0,0.0,17.2
2000-04-28,17.75,18.2,17.3,17.65,477100.0,17.0,17.8,16.75,17.8,908500.0,17.5,17.7,17.15,17.15,630100.0,16.6,17.9,16.6,17.7,673600.0,16.9,17.1,16.5,16.7,514000.0,17.05
2000-05-01,18.1,18.1,16.75,17.55,3249800.0,17.75,18.2,17.3,17.65,477100.0,17.0,17.8,16.75,17.8,908500.0,17.5,17.7,17.15,17.15,630100.0,16.6,17.9,16.6,17.7,673600.0,17.2
2000-05-02,17.35,18.1,17.3,17.85,875300.0,18.1,18.1,16.75,17.55,3249800.0,17.75,18.2,17.3,17.65,477100.0,17.0,17.8,16.75,17.8,908500.0,17.5,17.7,17.15,17.15,630100.0,17.2
2000-05-03,17.8,18.0,17.35,17.55,769000.0,17.35,18.1,17.3,17.85,875300.0,18.1,18.1,16.75,17.55,3249800.0,17.75,18.2,17.3,17.65,477100.0,17.0,17.8,16.75,17.8,908500.0,17.85
2000-05-04,17.55,17.8,17.2,17.55,743400.0,17.8,18.0,17.35,17.55,769000.0,17.35,18.1,17.3,17.85,875300.0,18.1,18.1,16.75,17.55,3249800.0,17.75,18.2,17.3,17.65,477100.0,19.2
