date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2001-03-26,16.7,16.75,16.6,16.7,38000.0,16.55,16.63,16.51,16.55,33000.0,16.65,16.74,16.5,16.52,45300.0,16.41,16.85,16.41,16.83,76200.0,16.26,16.55,16.26,16.45,103100.0,16.1
2001-03-27,16.6,17.1,16.6,17.0,302600.0,16.7,16.75,16.6,16.7,38000.0,16.55,16.63,16.51,16.55,33000.0,16.65,16.74,16.5,16.52,45300.0,16.41,16.85,16.41,16.83,76200.0,16.15
2001-03-28,16.65,16.65,16.15,16.4,91000.0,16.6,17.1,16.6,17.0,302600.0,16.7,16.75,16.6,16.7,38000.0,16.55,16.63,16.51,16.55,33000.0,16.65,16.74,16.5,16.52,45300.0,15.0
2001-03-29,16.31,16.39,16.3,16.3,29000.0,16.65,16.65,16.15,16.4,91000.0,16.6,17.1,16.6,17.0,302600.0,16.7,16.75,16.6,16.7,38000.0,16.55,16.63,16.51,16.55,33000.0,14.31
2001-03-30,16.35,16.4,16.21,16.27,35100.0,16.31,16.39,16.3,16.3,29000.0,16.65,16.65,16.15,16.4,91000.0,16.6,17.1,16.6,17.0,302600.0,16.7,16.75,16.6,16.7,38000.0,14.09
2001-04-02,16.35,16.4,16.13,16.3,32200.0,16.35,16.4,16.21,16.27,35100.0,16.31,16.39,16.3,16.3,29000.0,16.65,16.65,16.15,16.4,91000.0,16.6,17.1,16.6,17.0,302600.0,14.75
2001-04-03,16.21,16.34,16.1,16.1,45400.0,16.35,16.4,16.13,16.3,32200.0,16.35,16.4,16.21,16.27,35100.0,16.31,16.39,16.3,16.3,29000.0,16.65,16.65,16.15,16.4,91000.0,14.7
2001-04-04,16.11,16.29,16.11,16.15,16100.0,16.21,16.34,16.1,16.1,45400.0,16.35,16.4,16.13,16.3,32200.0,16.35,16.4,16.21,16.27,35100.0,16.31,16.39,16.3,16.3,29000.0,15.0
2001-04-05,16.1,16.1,14.41,15.0,99600.0,16.11,16.29,16.11,16.15,16100.0,16.21,16.34,16.1,16.1,45400.0,16.35,16.4,16.13,16.3,32200.0,16.35,16.4,16.21,16.27,35100.0,0.0
2001-04-06,14.51,14.75,13.81,14.31,642900.0,16.1,16.1,14.41,15.0,99600.0,16.11,16.29,16.11,16.15,16100.0,16.21,16.34,16.1,16.1,45400.0,16.35,16.4,16.13,16.3,32200.0,14.95
2001-04-09,14.25,14.3,14.0,14.09,192700.0,14.51,14.75,13.81,14.31,642900.0,16.1,16.1,14.41,15.0,99600.0,16.11,16.29,16.11,16.15,16100.0,16.21,16.34,16.1,16.1,45400.0,14.81
2001-04-10,14.2,14.79,14.06,14.75,193900.0,14.25,14.3,14.0,14.09,192700.0,14.51,14.75,13.81,14.31,642900.0,16.1,16.1,14.41,15.0,99600.0,16.11,16.29,16.11,16.15,16100.0,14.9
2001-04-11,14.61,14.8,14.56,14.7,197700.0,14.2,14.79,14.06,14.75,193900.0,14.25,14.3,14.0,14.09,192700.0,14.51,14.75,13.81,14.31,642900.0,16.1,16.1,14.41,15.0,99600.0,15.1
2001-04-12,14.63,15.15,14.63,15.0,168000.0,14.61,14.8,14.56,14.7,197700.0,14.2,14.79,14.06,14.75,193900.0,14.25,14.3,14.0,14.09,192700.0,14.51,14.75,13.81,14.31,642900.0,14.97
