date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,1.75,1.95,1.7,1.85,44300.0,1.61,1.65,1.61,1.62,5400.0,1.55,1.55,1.55,1.55,100.0,1.6,1.6,1.6,1.6,0.0,1.6,1.6,1.6,1.6,0.0,1.7
2000-01-13,1.85,1.85,1.85,1.85,1000.0,1.75,1.95,1.7,1.85,44300.0,1.61,1.65,1.61,1.62,5400.0,1.55,1.55,1.55,1.55,100.0,1.6,1.6,1.6,1.6,0.0,1.95
2000-01-14,1.8,1.8,1.7,1.7,23400.0,1.85,1.85,1.85,1.85,1000.0,1.75,1.95,1.7,1.85,44300.0,1.61,1.65,1.61,1.62,5400.0,1.55,1.55,1.55,1.55,100.0,1.75
2000-01-17,1.65,1.7,1.65,1.7,100.0,1.8,1.8,1.7,1.7,23400.0,1.85,1.85,1.85,1.85,1000.0,1.75,1.95,1.7,1.85,44300.0,1.61,1.65,1.61,1.62,5400.0,1.75
2000-01-18,1.8,1.8,1.7,1.7,3400.0,1.65,1.7,1.65,1.7,100.0,1.8,1.8,1.7,1.7,23400.0,1.85,1.85,1.85,1.85,1000.0,1.75,1.95,1.7,1.85,44300.0,1.9
2000-01-19,1.72,1.72,1.7,1.7,4500.0,1.8,1.8,1.7,1.7,3400.0,1.65,1.7,1.65,1.7,100.0,1.8,1.8,1.7,1.7,23400.0,1.85,1.85,1.85,1.85,1000.0,2.0
2000-01-20,1.7,1.7,1.7,1.7,800.0,1.72,1.72,1.7,1.7,4500.0,1.8,1.8,1.7,1.7,3400.0,1.65,1.7,1.65,1.7,100.0,1.8,1.8,1.7,1.7,23400.0,2.0
2000-01-21,1.84,1.95,1.84,1.95,4300.0,1.7,1.7,1.7,1.7,800.0,1.72,1.72,1.7,1.7,4500.0,1.8,1.8,1.7,1.7,3400.0,1.65,1.7,1.65,1.7,100.0,2.0
2000-01-24,1.76,1.95,1.75,1.75,3000.0,1.84,1.95,1.84,1.95,4300.0,1.7,1.7,1.7,1.7,800.0,1.72,1.72,1.7,1.7,4500.0,1.8,1.8,1.7,1.7,3400.0,1.75
2000-01-25,1.75,1.75,1.75,1.75,0.0,1.76,1.95,1.75,1.75,3000.0,1.84,1.95,1.84,1.95,4300.0,1.7,1.7,1.7,1.7,800.0,1.72,1.72,1.7,1.7,4500.0,1.75
