date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,1.4063,1.4063,1.375,1.375,12000.0,1.375,1.375,1.375,1.375,2400.0,1.375,1.375,1.375,1.375,8800.0,1.375,1.4063,1.375,1.375,66400.0,1.375,1.4063,1.375,1.4,94400.0,1.4063
2000-01-13,1.375,1.375,1.375,1.375,4000.0,1.4063,1.4063,1.375,1.375,12000.0,1.375,1.375,1.375,1.375,2400.0,1.375,1.375,1.375,1.375,8800.0,1.375,1.4063,1.375,1.375,66400.0,1.4063
2000-01-14,1.375,1.375,1.375,1.375,0.0,1.375,1.375,1.375,1.375,4000.0,1.4063,1.4063,1.375,1.375,12000.0,1.375,1.375,1.375,1.375,2400.0,1.375,1.375,1.375,1.375,8800.0,1.375
2000-01-17,1.4063,1.4063,1.3875,1.3875,17600.0,1.375,1.375,1.375,1.375,0.0,1.375,1.375,1.375,1.375,4000.0,1.4063,1.4063,1.375,1.375,12000.0,1.375,1.375,1.375,1.375,2400.0,1.375
2000-01-18,1.3875,1.4063,1.3875,1.4063,15200.0,1.4063,1.4063,1.3875,1.3875,17600.0,1.375,1.375,1.375,1.375,0.0,1.375,1.375,1.375,1.375,4000.0,1.4063,1.4063,1.375,1.375,12000.0,1.3625
2000-01-19,1.4375,1.4375,1.4375,1.4375,4800.0,1.3875,1.4063,1.3875,1.4063,15200.0,1.4063,1.4063,1.3875,1.3875,17600.0,1.375,1.375,1.375,1.375,0.0,1.375,1.375,1.375,1.375,4000.0,1.3625
2000-01-20,1.4063,1.4063,1.4063,1.4063,206400.0,1.4375,1.4375,1.4375,1.4375,4800.0,1.3875,1.4063,1.3875,1.4063,15200.0,1.4063,1.4063,1.3875,1.3875,17600.0,1.375,1.375,1.375,1.375,0.0,1.3625
2000-01-21,1.4063,1.4063,1.4063,1.4063,800.0,1.4063,1.4063,1.4063,1.4063,206400.0,1.4375,1.4375,1.4375,1.4375,4800.0,1.3875,1.4063,1.3875,1.4063,15200.0,1.4063,1.4063,1.3875,1.3875,17600.0,1.3625
2000-01-24,1.4063,1.4063,1.375,1.375,13600.0,1.4063,1.4063,1.4063,1.4063,800.0,1.4063,1.4063,1.4063,1.4063,206400.0,1.4375,1.4375,1.4375,1.4375,4800.0,1.3875,1.4063,1.3875,1.4063,15200.0,1.375
2000-01-25,1.375,1.375,1.375,1.375,4000.0,1.4063,1.4063,1.375,1.375,13600.0,1.4063,1.4063,1.4063,1.4063,800.0,1.4063,1.4063,1.4063,1.4063,206400.0,1.4375,1.4375,1.4375,1.4375,4800.0,1.375
2000-01-26,1.375,1.375,1.3125,1.3625,37600.0,1.375,1.375,1.375,1.375,4000.0,1.4063,1.4063,1.375,1.375,13600.0,1.4063,1.4063,1.4063,1.4063,800.0,1.4063,1.4063,1.4063,1.4063,206400.0,1.375
2000-01-27,1.3625,1.3625,1.3625,1.3625,23200.0,1.375,1.375,1.3125,1.3625,37600.0,1.375,1.375,1.375,1.375,4000.0,1.4063,1.4063,1.375,1.375,13600.0,1.4063,1.4063,1.4063,1.4063,800.0,1.375
2000-01-28,1.3625,1.3625,1.3625,1.3625,0.0,1.3625,1.3625,1.3625,1.3625,23200.0,1.375,1.375,1.3125,1.3625,37600.0,1.375,1.375,1.375,1.375,4000.0,1.4063,1.4063,1.375,1.375,13600.0,1.375
2000-01-31,1.3625,1.3625,1.3625,1.3625,4000.0,1.3625,1.3625,1.3625,1.3625,0.0,1.3625,1.3625,1.3625,1.3625,23200.0,1.375,1.375,1.3125,1.3625,37600.0,1.375,1.375,1.375,1.375,4000.0,1.3875
2000-02-01,1.3625,1.375,1.3625,1.375,266400.0,1.3625,1.3625,1.3625,1.3625,4000.0,1.3625,1.3625,1.3625,1.3625,0.0,1.3625,1.3625,1.3625,1.3625,23200.0,1.375,1.375,1.3125,1.3625,37600.0,1.4
2000-02-02,1.375,1.375,1.375,1.375,4000.0,1.3625,1.375,1.3625,1.375,266400.0,1.3625,1.3625,1.3625,1.3625,4000.0,1.3625,1.3625,1.3625,1.3625,0.0,1.3625,1.3625,1.3625,1.3625,23200.0,1.4
2000-02-03,1.375,1.375,1.375,1.375,6400.0,1.375,1.375,1.375,1.375,4000.0,1.3625,1.375,1.3625,1.375,266400.0,1.3625,1.3625,1.3625,1.3625,4000.0,1.3625,1.3625,1.3625,1.3625,0.0,1.3875
