date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,8.225,8.225,7.7188,7.8125,2953600.0,8.325,8.425,8.0062,8.0188,1955200.0,8.1188,8.4375,8.1188,8.3438,2369600.0,8.1375,8.2375,8.0,8.2375,2156800.0,8.25,8.3438,8.0687,8.2375,3106400.0,7.875
2000-01-13,7.875,8.125,7.875,7.925,1430400.0,8.225,8.225,7.7188,7.8125,2953600.0,8.325,8.425,8.0062,8.0188,1955200.0,8.1188,8.4375,8.1188,8.3438,2369600.0,8.1375,8.2375,8.0,8.2375,2156800.0,7.5062
2000-01-14,7.925,8.3125,7.75,8.225,1487200.0,7.875,8.125,7.875,7.925,1430400.0,8.225,8.225,7.7188,7.8125,2953600.0,8.325,8.425,8.0062,8.0188,1955200.0,8.1188,8.4375,8.1188,8.3438,2369600.0,7.625
2000-01-17,8.25,8.4875,8.1875,8.4313,578400.0,7.925,8.3125,7.75,8.225,1487200.0,7.875,8.125,7.875,7.925,1430400.0,8.225,8.225,7.7188,7.8125,2953600.0,8.325,8.425,8.0062,8.0188,1955200.0,7.625
2000-01-18,8.475,8.7375,8.4,8.5062,2938400.0,8.25,8.4875,8.1875,8.4313,578400.0,7.925,8.3125,7.75,8.225,1487200.0,7.875,8.125,7.875,7.925,1430400.0,8.225,8.225,7.7188,7.8125,2953600.0,7.5
2000-01-19,8.5,8.5625,8.2063,8.2063,965600.0,8.475,8.7375,8.4,8.5062,2938400.0,8.25,8.4875,8.1875,8.4313,578400.0,7.925,8.3125,7.75,8.225,1487200.0,7.875,8.125,7.875,7.925,1430400.0,8.1375
2000-01-20,8.2063,8.2063,7.8187,7.875,2615200.0,8.5,8.5625,8.2063,8.2063,965600.0,8.475,8.7375,8.4,8.5062,2938400.0,8.25,8.4875,8.1875,8.4313,578400.0,7.925,8.3125,7.75,8.225,1487200.0,8.1563
2000-01-21,7.7813,7.875,7.4375,7.5062,5476800.0,8.2063,8.2063,7.8187,7.875,2615200.0,8.5,8.5625,8.2063,8.2063,965600.0,8.475,8.7375,8.4,8.5062,2938400.0,8.25,8.4875,8.1875,8.4313,578400.0,7.7125
2000-01-24,7.5,7.6875,7.4063,7.625,4332000.0,7.7813,7.875,7.4375,7.5062,5476800.0,8.2063,8.2063,7.8187,7.875,2615200.0,8.5,8.5625,8.2063,8.2063,965600.0,8.475,8.7375,8.4,8.5062,2938400.0,7.875
2000-01-25,7.625,7.8625,7.5062,7.625,1981600.0,7.5,7.6875,7.4063,7.625,4332000.0,7.7813,7.875,7.4375,7.5062,5476800.0,8.2063,8.2063,7.8187,7.875,2615200.0,8.5,8.5625,8.2063,8.2063,965600.0,7.7813
2000-01-26,7.8312,7.8312,7.3125,7.5,1381600.0,7.625,7.8625,7.5062,7.625,1981600.0,7.5,7.6875,7.4063,7.625,4332000.0,7.7813,7.875,7.4375,7.5062,5476800.0,8.2063,8.2063,7.8187,7.875,2615200.0,7.75
2000-01-27,7.6125,8.1375,7.5,8.1375,2440800.0,7.8312,7.8312,7.3125,7.5,1381600.0,7.625,7.8625,7.5062,7.625,1981600.0,7.5,7.6875,7.4063,7.625,4332000.0,7.7813,7.875,7.4375,7.5062,5476800.0,7.5625
2000-01-28,8.1375,8.4375,8.125,8.1563,8016800.0,7.6125,8.1375,7.5,8.1375,2440800.0,7.8312,7.8312,7.3125,7.5,1381600.0,7.625,7.8625,7.5062,7.625,1981600.0,7.5,7.6875,7.4063,7.625,4332000.0,7.6437
2000-01-31,8.1563,8.1563,7.7125,7.7125,1137600.0,8.1375,8.4375,8.125,8.1563,8016800.0,7.6125,8.1375,7.5,8.1375,2440800.0,7.8312,7.8312,7.3125,7.5,1381600.0,7.625,7.8625,7.5062,7.625,1981600.0,7.5938
