date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,63.1,66.0,57.5,61.0,71400.0,72.35,72.35,63.0,63.9,40500.0,71.9,73.5,68.0,72.0,85500.0,59.9,67.0,57.0,67.0,93200.0,57.0,59.95,56.7,58.45,77200.0,86.0
2000-01-13,63.95,68.0,63.95,67.0,136400.0,63.1,66.0,57.5,61.0,71400.0,72.35,72.35,63.0,63.9,40500.0,71.9,73.5,68.0,72.0,85500.0,59.9,67.0,57.0,67.0,93200.0,88.5
2000-01-14,69.5,70.0,67.5,67.5,58000.0,63.95,68.0,63.95,67.0,136400.0,63.1,66.0,57.5,61.0,71400.0,72.35,72.35,63.0,63.9,40500.0,71.9,73.5,68.0,72.0,85500.0,85.25
2000-01-17,67.0,69.25,67.0,68.5,26000.0,69.5,70.0,67.5,67.5,58000.0,63.95,68.0,63.95,67.0,136400.0,63.1,66.0,57.5,61.0,71400.0,72.35,72.35,63.0,63.9,40500.0,81.0
2000-01-18,69.5,71.5,68.0,71.5,74000.0,67.0,69.25,67.0,68.5,26000.0,69.5,70.0,67.5,67.5,58000.0,63.95,68.0,63.95,67.0,136400.0,63.1,66.0,57.5,61.0,71400.0,98.0
2000-01-19,70.6,82.5,70.6,79.95,164300.0,69.5,71.5,68.0,71.5,74000.0,67.0,69.25,67.0,68.5,26000.0,69.5,70.0,67.5,67.5,58000.0,63.95,68.0,63.95,67.0,136400.0,95.5
2000-01-20,80.0,86.0,78.0,86.0,110700.0,70.6,82.5,70.6,79.95,164300.0,69.5,71.5,68.0,71.5,74000.0,67.0,69.25,67.0,68.5,26000.0,69.5,70.0,67.5,67.5,58000.0,95.95
2000-01-21,85.5,89.0,85.5,88.5,71400.0,80.0,86.0,78.0,86.0,110700.0,70.6,82.5,70.6,79.95,164300.0,69.5,71.5,68.0,71.5,74000.0,67.0,69.25,67.0,68.5,26000.0,119.0
2000-01-24,90.5,94.0,83.05,85.25,91500.0,85.5,89.0,85.5,88.5,71400.0,80.0,86.0,78.0,86.0,110700.0,70.6,82.5,70.6,79.95,164300.0,69.5,71.5,68.0,71.5,74000.0,116.0
2000-01-25,83.1,85.0,80.05,81.0,32400.0,90.5,94.0,83.05,85.25,91500.0,85.5,89.0,85.5,88.5,71400.0,80.0,86.0,78.0,86.0,110700.0,70.6,82.5,70.6,79.95,164300.0,127.95
2000-01-26,100.0,114.0,95.0,98.0,229100.0,83.1,85.0,80.05,81.0,32400.0,90.5,94.0,83.05,85.25,91500.0,85.5,89.0,85.5,88.5,71400.0,80.0,86.0,78.0,86.0,110700.0,132.0
2000-01-27,94.95,101.0,94.95,95.5,97400.0,100.0,114.0,95.0,98.0,229100.0,83.1,85.0,80.05,81.0,32400.0,90.5,94.0,83.05,85.25,91500.0,85.5,89.0,85.5,88.5,71400.0,128.0
2000-01-28,96.0,104.0,94.0,95.95,86300.0,94.95,101.0,94.95,95.5,97400.0,100.0,114.0,95.0,98.0,229100.0,83.1,85.0,80.05,81.0,32400.0,90.5,94.0,83.05,85.25,91500.0,145.0
2000-01-31,100.05,122.0,100.05,119.0,497200.0,96.0,104.0,94.0,95.95,86300.0,94.95,101.0,94.95,95.5,97400.0,100.0,114.0,95.0,98.0,229100.0,83.1,85.0,80.05,81.0,32400.0,147.6
2000-02-01,118.95,118.95,109.0,116.0,164000.0,100.05,122.0,100.05,119.0,497200.0,96.0,104.0,94.0,95.95,86300.0,94.95,101.0,94.95,95.5,97400.0,100.0,114.0,95.0,98.0,229100.0,127.0
2000-02-02,117.0,128.95,112.25,127.95,61700.0,118.95,118.95,109.0,116.0,164000.0,100.05,122.0,100.05,119.0,497200.0,96.0,104.0,94.0,95.95,86300.0,94.95,101.0,94.95,95.5,97400.0,141.0
