date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2017-11-10,47.83,48.77,47.54,48.47,1979200.0,46.7,47.69,46.3,47.52,1332300.0,46.99,47.36,46.83,47.09,2762100.0,46.61,47.0,46.6,46.99,673400.0,46.5,46.65,46.26,46.56,531300.0,48.71
2017-11-13,48.48,48.73,48.23,48.49,894100.0,47.83,48.77,47.54,48.47,1979200.0,46.7,47.69,46.3,47.52,1332300.0,46.99,47.36,46.83,47.09,2762100.0,46.61,47.0,46.6,46.99,673400.0,48.71
2017-11-14,48.43,48.5,48.17,48.35,537000.0,48.48,48.73,48.23,48.49,894100.0,47.83,48.77,47.54,48.47,1979200.0,46.7,47.69,46.3,47.52,1332300.0,46.99,47.36,46.83,47.09,2762100.0,48.4
2017-11-15,48.36,48.47,47.98,48.02,1112900.0,48.43,48.5,48.17,48.35,537000.0,48.48,48.73,48.23,48.49,894100.0,47.83,48.77,47.54,48.47,1979200.0,46.7,47.69,46.3,47.52,1332300.0,48.5
2017-11-16,48.01,48.24,47.97,48.12,939000.0,48.36,48.47,47.98,48.02,1112900.0,48.43,48.5,48.17,48.35,537000.0,48.48,48.73,48.23,48.49,894100.0,47.83,48.77,47.54,48.47,1979200.0,48.78
2017-11-17,48.2,48.5,48.1,48.47,989800.0,48.01,48.24,47.97,48.12,939000.0,48.36,48.47,47.98,48.02,1112900.0,48.43,48.5,48.17,48.35,537000.0,48.48,48.73,48.23,48.49,894100.0,48.79
2017-11-20,48.5,48.84,48.49,48.71,713100.0,48.2,48.5,48.1,48.47,989800.0,48.01,48.24,47.97,48.12,939000.0,48.36,48.47,47.98,48.02,1112900.0,48.43,48.5,48.17,48.35,537000.0,48.53
2017-11-21,48.68,48.89,48.65,48.71,624900.0,48.5,48.84,48.49,48.71,713100.0,48.2,48.5,48.1,48.47,989800.0,48.01,48.24,47.97,48.12,939000.0,48.36,48.47,47.98,48.02,1112900.0,48.05
2017-11-22,48.82,48.82,48.21,48.4,773600.0,48.68,48.89,48.65,48.71,624900.0,48.5,48.84,48.49,48.71,713100.0,48.2,48.5,48.1,48.47,989800.0,48.01,48.24,47.97,48.12,939000.0,47.68
2017-11-23,48.45,48.75,48.35,48.5,259500.0,48.82,48.82,48.21,48.4,773600.0,48.68,48.89,48.65,48.71,624900.0,48.5,48.84,48.49,48.71,713100.0,48.2,48.5,48.1,48.47,989800.0,47.7
