date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,15.0,15.1,14.95,15.05,201100.0,15.05,15.1,14.9,15.0,411600.0,15.4,15.5,14.95,15.0,488500.0,15.35,15.35,14.85,15.3,514400.0,14.9,15.5,14.8,15.3,665700.0,14.6
2000-01-13,15.05,15.05,14.8,15.05,240000.0,15.0,15.1,14.95,15.05,201100.0,15.05,15.1,14.9,15.0,411600.0,15.4,15.5,14.95,15.0,488500.0,15.35,15.35,14.85,15.3,514400.0,14.15
2000-01-14,14.75,15.2,14.75,14.95,258200.0,15.05,15.05,14.8,15.05,240000.0,15.0,15.1,14.95,15.05,201100.0,15.05,15.1,14.9,15.0,411600.0,15.4,15.5,14.95,15.0,488500.0,13.65
2000-01-17,15.15,15.95,15.15,15.9,580600.0,14.75,15.2,14.75,14.95,258200.0,15.05,15.05,14.8,15.05,240000.0,15.0,15.1,14.95,15.05,201100.0,15.05,15.1,14.9,15.0,411600.0,13.75
2000-01-18,16.0,16.15,15.35,15.35,313900.0,15.15,15.95,15.15,15.9,580600.0,14.75,15.2,14.75,14.95,258200.0,15.05,15.05,14.8,15.05,240000.0,15.0,15.1,14.95,15.05,201100.0,13.45
2000-01-19,15.5,15.65,15.15,15.2,217500.0,16.0,16.15,15.35,15.35,313900.0,15.15,15.95,15.15,15.9,580600.0,14.75,15.2,14.75,14.95,258200.0,15.05,15.05,14.8,15.05,240000.0,13.5
2000-01-20,15.3,15.4,14.5,14.6,394100.0,15.5,15.65,15.15,15.2,217500.0,16.0,16.15,15.35,15.35,313900.0,15.15,15.95,15.15,15.9,580600.0,14.75,15.2,14.75,14.95,258200.0,13.95
2000-01-21,14.8,14.8,14.1,14.15,357200.0,15.3,15.4,14.5,14.6,394100.0,15.5,15.65,15.15,15.2,217500.0,16.0,16.15,15.35,15.35,313900.0,15.15,15.95,15.15,15.9,580600.0,14.9
2000-01-24,14.5,14.55,13.3,13.65,510700.0,14.8,14.8,14.1,14.15,357200.0,15.3,15.4,14.5,14.6,394100.0,15.5,15.65,15.15,15.2,217500.0,16.0,16.15,15.35,15.35,313900.0,15.05
2000-01-25,13.65,14.35,13.3,13.75,305700.0,14.5,14.55,13.3,13.65,510700.0,14.8,14.8,14.1,14.15,357200.0,15.3,15.4,14.5,14.6,394100.0,15.5,15.65,15.15,15.2,217500.0,14.5
2000-01-26,13.8,13.95,13.3,13.45,352500.0,13.65,14.35,13.3,13.75,305700.0,14.5,14.55,13.3,13.65,510700.0,14.8,14.8,14.1,14.15,357200.0,15.3,15.4,14.5,14.6,394100.0,14.45
2000-01-27,13.8,14.05,13.2,13.5,419300.0,13.8,13.95,13.3,13.45,352500.0,13.65,14.35,13.3,13.75,305700.0,14.5,14.55,13.3,13.65,510700.0,14.8,14.8,14.1,14.15,357200.0,14.1
2000-01-28,13.75,14.5,13.6,13.95,241300.0,13.8,14.05,13.2,13.5,419300.0,13.8,13.95,13.3,13.45,352500.0,13.65,14.35,13.3,13.75,305700.0,14.5,14.55,13.3,13.65,510700.0,14.4
2000-01-31,15.0,15.15,14.65,14.9,883700.0,13.75,14.5,13.6,13.95,241300.0,13.8,14.05,13.2,13.5,419300.0,13.8,13.95,13.3,13.45,352500.0,13.65,14.35,13.3,13.75,305700.0,14.2
2000-02-01,14.5,15.2,14.5,15.05,569200.0,15.0,15.15,14.65,14.9,883700.0,13.75,14.5,13.6,13.95,241300.0,13.8,14.05,13.2,13.5,419300.0,13.8,13.95,13.3,13.45,352500.0,13.85
2000-02-02,15.25,15.25,14.5,14.5,359600.0,14.5,15.2,14.5,15.05,569200.0,15.0,15.15,14.65,14.9,883700.0,13.75,14.5,13.6,13.95,241300.0,13.8,14.05,13.2,13.5,419300.0,14.0
2000-02-03,14.85,14.9,14.4,14.45,266200.0,15.25,15.25,14.5,14.5,359600.0,14.5,15.2,14.5,15.05,569200.0,15.0,15.15,14.65,14.9,883700.0,13.75,14.5,13.6,13.95,241300.0,13.65
2000-02-04,14.5,14.5,13.8,14.1,267800.0,14.85,14.9,14.4,14.45,266200.0,15.25,15.25,14.5,14.5,359600.0,14.5,15.2,14.5,15.05,569200.0,15.0,15.15,14.65,14.9,883700.0,13.75
2000-02-07,14.25,14.5,14.1,14.4,287900.0,14.5,14.5,13.8,14.1,267800.0,14.85,14.9,14.4,14.45,266200.0,15.25,15.25,14.5,14.5,359600.0,14.5,15.2,14.5,15.05,569200.0,13.65
2000-02-08,14.3,14.4,14.15,14.2,274000.0,14.25,14.5,14.1,14.4,287900.0,14.5,14.5,13.8,14.1,267800.0,14.85,14.9,14.4,14.45,266200.0,15.25,15.25,14.5,14.5,359600.0,13.65
2000-02-09,14.2,14.3,13.8,13.85,406600.0,14.3,14.4,14.15,14.2,274000.0,14.25,14.5,14.1,14.4,287900.0,14.5,14.5,13.8,14.1,267800.0,14.85,14.9,14.4,14.45,266200.0,14.9
2000-02-10,14.1,14.15,13.85,14.0,223400.0,14.2,14.3,13.8,13.85,406600.0,14.3,14.4,14.15,14.2,274000.0,14.25,14.5,14.1,14.4,287900.0,14.5,14.5,13.8,14.1,267800.0,14.65
2000-02-11,14.15,14.3,13.5,13.65,386600.0,14.1,14.15,13.85,14.0,223400.0,14.2,14.3,13.8,13.85,406600.0,14.3,14.4,14.15,14.2,274000.0,14.25,14.5,14.1,14.4,287900.0,14.85
2000-02-14,13.85,13.85,13.5,13.75,216100.0,14.15,14.3,13.5,13.65,386600.0,14.1,14.15,13.85,14.0,223400.0,14.2,14.3,13.8,13.85,406600.0,14.3,14.4,14.15,14.2,274000.0,14.5
2000-02-15,13.85,13.85,13.45,13.65,405400.0,13.85,13.85,13.5,13.75,216100.0,14.15,14.3,13.5,13.65,386600.0,14.1,14.15,13.85,14.0,223400.0,14.2,14.3,13.8,13.85,406600.0,14.8
2000-02-16,13.65,13.85,13.6,13.65,217100.0,13.85,13.85,13.45,13.65,405400.0,13.85,13.85,13.5,13.75,216100.0,14.15,14.3,13.5,13.65,386600.0,14.1,14.15,13.85,14.0,223400.0,14.75
2000-02-17,13.9,15.0,13.7,14.9,418900.0,13.65,13.85,13.6,13.65,217100.0,13.85,13.85,13.45,13.65,405400.0,13.85,13.85,13.5,13.75,216100.0,14.15,14.3,13.5,13.65,386600.0,14.95
2000-02-18,14.9,15.1,14.2,14.65,562200.0,13.9,15.0,13.7,14.9,418900.0,13.65,13.85,13.6,13.65,217100.0,13.85,13.85,13.45,13.65,405400.0,13.85,13.85,13.5,13.75,216100.0,14.3
2000-02-21,14.8,15.0,14.75,14.85,165900.0,14.9,15.1,14.2,14.65,562200.0,13.9,15.0,13.7,14.9,418900.0,13.65,13.85,13.6,13.65,217100.0,13.85,13.85,13.45,13.65,405400.0,13.9
2000-02-22,14.95,15.25,14.5,14.5,337100.0,14.8,15.0,14.75,14.85,165900.0,14.9,15.1,14.2,14.65,562200.0,13.9,15.0,13.7,14.9,418900.0,13.65,13.85,13.6,13.65,217100.0,13.6
2000-02-23,14.7,15.05,14.7,14.8,325400.0,14.95,15.25,14.5,14.5,337100.0,14.8,15.0,14.75,14.85,165900.0,14.9,15.1,14.2,14.65,562200.0,13.9,15.0,13.7,14.9,418900.0,13.9
2000-02-24,14.85,14.95,14.65,14.75,258900.0,14.7,15.05,14.7,14.8,325400.0,14.95,15.25,14.5,14.5,337100.0,14.8,15.0,14.75,14.85,165900.0,14.9,15.1,14.2,14.65,562200.0,13.65
2000-02-25,15.05,15.25,14.75,14.95,1059900.0,14.85,14.95,14.65,14.75,258900.0,14.7,15.05,14.7,14.8,325400.0,14.95,15.25,14.5,14.5,337100.0,14.8,15.0,14.75,14.85,165900.0,13.25
2000-02-28,14.85,15.05,14.0,14.3,396400.0,15.05,15.25,14.75,14.95,1059900.0,14.85,14.95,14.65,14.75,258900.0,14.7,15.05,14.7,14.8,325400.0,14.95,15.25,14.5,14.5,337100.0,13.6
2000-02-29,14.35,14.5,13.9,13.9,356100.0,14.85,15.05,14.0,14.3,396400.0,15.05,15.25,14.75,14.95,1059900.0,14.85,14.95,14.65,14.75,258900.0,14.7,15.05,14.7,14.8,325400.0,13.45
2000-03-01,14.0,14.0,13.55,13.6,888600.0,14.35,14.5,13.9,13.9,356100.0,14.85,15.05,14.0,14.3,396400.0,15.05,15.25,14.75,14.95,1059900.0,14.85,14.95,14.65,14.75,258900.0,13.85
2000-03-02,13.75,13.9,13.65,13.9,364600.0,14.0,14.0,13.55,13.6,888600.0,14.35,14.5,13.9,13.9,356100.0,14.85,15.05,14.0,14.3,396400.0,15.05,15.25,14.75,14.95,1059900.0,13.75
2000-03-03,14.0,14.0,13.6,13.65,490500.0,13.75,13.9,13.65,13.9,364600.0,14.0,14.0,13.55,13.6,888600.0,14.35,14.5,13.9,13.9,356100.0,14.85,15.05,14.0,14.3,396400.0,14.05
2000-03-06,13.65,13.75,13.25,13.25,3448700.0,14.0,14.0,13.6,13.65,490500.0,13.75,13.9,13.65,13.9,364600.0,14.0,14.0,13.55,13.6,888600.0,14.35,14.5,13.9,13.9,356100.0,14.1
2000-03-07,13.45,13.65,13.3,13.6,346300.0,13.65,13.75,13.25,13.25,3448700.0,14.0,14.0,13.6,13.65,490500.0,13.75,13.9,13.65,13.9,364600.0,14.0,14.0,13.55,13.6,888600.0,14.2
2000-03-08,13.7,13.75,13.4,13.45,273800.0,13.45,13.65,13.3,13.6,346300.0,13.65,13.75,13.25,13.25,3448700.0,14.0,14.0,13.6,13.65,490500.0,13.75,13.9,13.65,13.9,364600.0,14.45
2000-03-09,13.75,13.9,13.6,13.85,525000.0,13.7,13.75,13.4,13.45,273800.0,13.45,13.65,13.3,13.6,346300.0,13.65,13.75,13.25,13.25,3448700.0,14.0,14.0,13.6,13.65,490500.0,14.4
2000-03-10,13.85,13.95,13.65,13.75,244300.0,13.75,13.9,13.6,13.85,525000.0,13.7,13.75,13.4,13.45,273800.0,13.45,13.65,13.3,13.6,346300.0,13.65,13.75,13.25,13.25,3448700.0,14.55
2000-03-13,13.9,14.2,13.85,14.05,486100.0,13.85,13.95,13.65,13.75,244300.0,13.75,13.9,13.6,13.85,525000.0,13.7,13.75,13.4,13.45,273800.0,13.45,13.65,13.3,13.6,346300.0,14.75
2000-03-14,14.15,14.15,13.95,14.1,982500.0,13.9,14.2,13.85,14.05,486100.0,13.85,13.95,13.65,13.75,244300.0,13.75,13.9,13.6,13.85,525000.0,13.7,13.75,13.4,13.45,273800.0,14.45
