date,1. open,2. high,3. low,4. close,5. volume,1. open2,2. high2,3. low2,4. close2,5. volume2,1. open3,2. high3,3. low3,4. close3,5. volume3,1. open4,2. high4,3. low4,4. close4,5. volume4,1. open5,2. high5,3. low5,4. close5,5. volume5,label
2000-01-12,7.525,7.525,7.375,7.4,868600.0,7.6,7.675,7.525,7.525,1008800.0,7.425,7.625,7.25,7.6,446600.0,7.45,7.45,7.125,7.425,573600.0,7.325,7.5,7.325,7.45,1023600.0,7.0
2000-01-13,7.25,7.4,7.25,7.375,129800.0,7.525,7.525,7.375,7.4,868600.0,7.6,7.675,7.525,7.525,1008800.0,7.425,7.625,7.25,7.6,446600.0,7.45,7.45,7.125,7.425,573600.0,6.75
2000-01-14,7.15,7.325,7.0,7.0,1182600.0,7.25,7.4,7.25,7.375,129800.0,7.525,7.525,7.375,7.4,868600.0,7.6,7.675,7.525,7.525,1008800.0,7.425,7.625,7.25,7.6,446600.0,6.45
2000-01-17,7.25,7.375,7.075,7.25,1874600.0,7.15,7.325,7.0,7.0,1182600.0,7.25,7.4,7.25,7.375,129800.0,7.525,7.525,7.375,7.4,868600.0,7.6,7.675,7.525,7.525,1008800.0,6.325
2000-01-18,7.3,7.375,7.2,7.375,687800.0,7.25,7.375,7.075,7.25,1874600.0,7.15,7.325,7.0,7.0,1182600.0,7.25,7.4,7.25,7.375,129800.0,7.525,7.525,7.375,7.4,868600.0,6.15
2000-01-19,7.35,7.35,7.25,7.25,372000.0,7.3,7.375,7.2,7.375,687800.0,7.25,7.375,7.075,7.25,1874600.0,7.15,7.325,7.0,7.0,1182600.0,7.25,7.4,7.25,7.375,129800.0,6.175
2000-01-20,7.3,7.3,7.0,7.0,221000.0,7.35,7.35,7.25,7.25,372000.0,7.3,7.375,7.2,7.375,687800.0,7.25,7.375,7.075,7.25,1874600.0,7.15,7.325,7.0,7.0,1182600.0,6.275
2000-01-21,7.0,7.0,6.55,6.75,2192400.0,7.3,7.3,7.0,7.0,221000.0,7.35,7.35,7.25,7.25,372000.0,7.3,7.375,7.2,7.375,687800.0,7.25,7.375,7.075,7.25,1874600.0,6.3
2000-01-24,6.8,6.8,6.375,6.45,407800.0,7.0,7.0,6.55,6.75,2192400.0,7.3,7.3,7.0,7.0,221000.0,7.35,7.35,7.25,7.25,372000.0,7.3,7.375,7.2,7.375,687800.0,6.35
2000-01-25,6.4,6.5,6.25,6.325,320000.0,6.8,6.8,6.375,6.45,407800.0,7.0,7.0,6.55,6.75,2192400.0,7.3,7.3,7.0,7.0,221000.0,7.35,7.35,7.25,7.25,372000.0,6.55
2000-01-26,6.375,6.375,6.05,6.15,343600.0,6.4,6.5,6.25,6.325,320000.0,6.8,6.8,6.375,6.45,407800.0,7.0,7.0,6.55,6.75,2192400.0,7.3,7.3,7.0,7.0,221000.0,6.5
2000-01-27,6.1,6.225,6.0,6.175,264000.0,6.375,6.375,6.05,6.15,343600.0,6.4,6.5,6.25,6.325,320000.0,6.8,6.8,6.375,6.45,407800.0,7.0,7.0,6.55,6.75,2192400.0,6.9
2000-01-28,6.25,6.5,6.25,6.275,430600.0,6.1,6.225,6.0,6.175,264000.0,6.375,6.375,6.05,6.15,343600.0,6.4,6.5,6.25,6.325,320000.0,6.8,6.8,6.375,6.45,407800.0,7.1
2000-01-31,6.25,6.475,6.2,6.3,239200.0,6.25,6.5,6.25,6.275,430600.0,6.1,6.225,6.0,6.175,264000.0,6.375,6.375,6.05,6.15,343600.0,6.4,6.5,6.25,6.325,320000.0,6.675
2000-02-01,6.325,6.45,6.3,6.35,1936000.0,6.25,6.475,6.2,6.3,239200.0,6.25,6.5,6.25,6.275,430600.0,6.1,6.225,6.0,6.175,264000.0,6.375,6.375,6.05,6.15,343600.0,6.75
2000-02-02,6.525,6.625,6.4,6.55,1713400.0,6.325,6.45,6.3,6.35,1936000.0,6.25,6.475,6.2,6.3,239200.0,6.25,6.5,6.25,6.275,430600.0,6.1,6.225,6.0,6.175,264000.0,6.9
2000-02-03,6.575,6.6,6.45,6.5,323600.0,6.525,6.625,6.4,6.55,1713400.0,6.325,6.45,6.3,6.35,1936000.0,6.25,6.475,6.2,6.3,239200.0,6.25,6.5,6.25,6.275,430600.0,6.6
2000-02-04,6.7,6.95,6.5,6.9,1670200.0,6.575,6.6,6.45,6.5,323600.0,6.525,6.625,6.4,6.55,1713400.0,6.325,6.45,6.3,6.35,1936000.0,6.25,6.475,6.2,6.3,239200.0,6.675
2000-02-07,7.5,7.5,6.9,7.1,1644400.0,6.7,6.95,6.5,6.9,1670200.0,6.575,6.6,6.45,6.5,323600.0,6.525,6.625,6.4,6.55,1713400.0,6.325,6.45,6.3,6.35,1936000.0,6.675
2000-02-08,7.1,7.1,6.65,6.675,424400.0,7.5,7.5,6.9,7.1,1644400.0,6.7,6.95,6.5,6.9,1670200.0,6.575,6.6,6.45,6.5,323600.0,6.525,6.625,6.4,6.55,1713400.0,6.675
2000-02-09,6.625,6.9,6.625,6.75,365400.0,7.1,7.1,6.65,6.675,424400.0,7.5,7.5,6.9,7.1,1644400.0,6.7,6.95,6.5,6.9,1670200.0,6.575,6.6,6.45,6.5,323600.0,6.3
2000-02-10,6.975,6.975,6.75,6.9,199200.0,6.625,6.9,6.625,6.75,365400.0,7.1,7.1,6.65,6.675,424400.0,7.5,7.5,6.9,7.1,1644400.0,6.7,6.95,6.5,6.9,1670200.0,6.225
2000-02-11,6.9,6.9,6.575,6.6,627200.0,6.975,6.975,6.75,6.9,199200.0,6.625,6.9,6.625,6.75,365400.0,7.1,7.1,6.65,6.675,424400.0,7.5,7.5,6.9,7.1,1644400.0,6.175
2000-02-14,6.6,6.7,6.5,6.675,178600.0,6.9,6.9,6.575,6.6,627200.0,6.975,6.975,6.75,6.9,199200.0,6.625,6.9,6.625,6.75,365400.0,7.1,7.1,6.65,6.675,424400.0,6.075
2000-02-15,6.7,6.775,6.5,6.675,438800.0,6.6,6.7,6.5,6.675,178600.0,6.9,6.9,6.575,6.6,627200.0,6.975,6.975,6.75,6.9,199200.0,6.625,6.9,6.625,6.75,365400.0,5.9
2000-02-16,6.65,6.75,6.65,6.675,1004000.0,6.7,6.775,6.5,6.675,438800.0,6.6,6.7,6.5,6.675,178600.0,6.9,6.9,6.575,6.6,627200.0,6.975,6.975,6.75,6.9,199200.0,5.85
2000-02-17,6.65,6.7,6.3,6.3,923800.0,6.65,6.75,6.65,6.675,1004000.0,6.7,6.775,6.5,6.675,438800.0,6.6,6.7,6.5,6.675,178600.0,6.9,6.9,6.575,6.6,627200.0,5.2
